# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = timeseries_model
# start_datetime = 2023-01-12 14:23:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\timeseries\timeseries.data.R
# init = 2 (Default)
# random
#   seed = 2911287628 (Default)
# output
#   file = examples\timeseries\timeseriesMCMC5k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,lambda
-21.2941,0.997265,0.215188,3,7,0,21.4918,-1.53084,0.920327,0.483827
-22.2626,0.682116,0.215188,3,7,0,23.6864,-1.55431,0.918669,0.447771
-21.0487,0.784968,0.215188,4,15,0,26.8957,-1.81556,0.588436,0.340795
-20.7682,0.983631,0.215188,4,19,0,22.8685,-1.34679,0.732169,0.610511
-18.1784,0.952656,0.215188,1,3,0,20.5617,-1.21667,0.725604,0.586744
-18.6673,0.791908,0.215188,2,3,0,19.0192,-1.28715,0.716541,0.597612
-18.9741,0.999686,0.215188,4,31,0,21.0989,-1.77327,0.53722,0.404957
-20.111,0.948571,0.215188,2,7,0,21.9105,-1.7695,0.495716,0.394565
-20.1801,0.939145,0.215188,4,15,0,21.5612,-2.10258,0.730817,0.335855
-19.3377,0.914446,0.215188,4,15,0,21.5722,-1.86199,0.752291,0.35715
-18.9237,0.955295,0.215188,5,31,0,20.5048,-1.85357,0.748919,0.367766
-18.9896,0.860201,0.215188,4,15,0,20.0847,-1.18697,0.632207,0.579572
-19.611,0.895241,0.215188,2,7,0,21.3534,-1.2083,0.606852,0.617862
-18.8009,0.972295,0.215188,4,15,0,19.863,-1.22794,0.622775,0.570664
-18.7044,0.995509,0.215188,3,11,0,19.9557,-1.77008,0.778022,0.430952
-19.8575,0.997926,0.215188,3,7,0,20.4917,-1.86525,0.819565,0.39695
-20.5293,0.957858,0.215188,3,7,0,20.9155,-1.77005,0.850421,0.392216
-22.894,0.762403,0.215188,4,23,0,26.1094,-0.951985,0.739969,0.733979
-20.998,1,0.215188,2,3,0,22.5147,-0.870408,0.747343,0.722683
-19.1919,0.998719,0.215188,4,15,0,22.8838,-1.56634,0.838829,0.490887
-20.7647,0.764935,0.215188,4,15,0,21.7322,-1.23885,0.632521,0.634939
-20.6945,1,0.215188,2,3,0,21.0912,-1.1005,0.604692,0.586543
-18.7229,0.96434,0.215188,2,7,0,20.8261,-1.27049,0.629889,0.591417
-18.7229,0.0838439,0.215188,1,3,0,27.8751,-1.27049,0.629889,0.591417
-18.3645,0.994393,0.215188,4,15,0,18.916,-1.63652,0.774287,0.439983
-17.9863,0.999271,0.215188,3,15,0,18.7154,-1.7403,0.69776,0.405935
-19.0114,0.73053,0.215188,2,7,0,20.2707,-1.80669,0.681619,0.444921
-19.3482,0.966299,0.215188,3,15,0,19.8448,-1.61212,0.665432,0.515228
-18.9354,0.966667,0.215188,3,15,0,20.7984,-1.93387,0.686316,0.393489
-20.3686,0.915215,0.215188,2,3,0,20.6949,-1.84455,0.721844,0.339965
-21.3489,0.565548,0.215188,2,3,0,26.8914,-2.09864,0.697931,0.365489
-19.8164,1,0.215188,3,7,0,21.4134,-2.00932,0.732518,0.314139
-19.7147,0.818722,0.215188,2,3,0,21.5692,-2.10349,0.708108,0.326901
-20.5718,0.905568,0.215188,5,31,0,24.1995,-1.64559,0.493321,0.423171
-17.9489,0.937465,0.215188,4,15,0,22.0325,-1.28785,0.728525,0.560248
-18.4671,0.94714,0.215188,2,7,0,19.4887,-1.20523,0.77293,0.588259
-18.8551,0.99945,0.215188,4,15,0,19.2834,-1.11021,0.703093,0.633884
-18.8439,0.983225,0.215188,4,15,0,19.6421,-1.17672,0.80032,0.598443
-18.6252,0.894779,0.215188,2,7,0,19.4424,-1.23982,0.758429,0.603554
-18.8853,0.959962,0.215188,4,15,0,20.7387,-1.19694,0.80637,0.601593
-20.5276,0.806022,0.215188,4,15,0,21.193,-1.05761,0.751262,0.681101
-17.9829,0.994163,0.215188,4,15,0,20.7659,-1.45496,0.645447,0.493007
-17.8456,0.993426,0.215188,3,11,0,18.2039,-1.38283,0.699422,0.519209
-20.8178,0.875765,0.215188,3,15,0,22.5003,-1.58033,0.86619,0.439049
-18.5462,0.99652,0.215188,3,15,0,23.5964,-1.84163,0.721432,0.41699
-19.9487,0.979505,0.215188,4,15,0,20.6896,-1.61719,0.524497,0.495334
-19.8039,1,0.215188,4,15,0,22.408,-2.08505,0.577661,0.341105
-21.3536,0.994881,0.215188,3,7,0,21.966,-2.24623,0.520215,0.254338
-18.4044,0.99971,0.215188,4,23,0,21.8605,-1.26867,0.787658,0.569089
-18.7196,0.997375,0.215188,4,15,0,19.5664,-1.2712,0.603961,0.56986
-17.5054,0.999662,0.215188,3,15,0,18.9829,-1.58623,0.703985,0.466689
-17.622,0.975818,0.215188,3,11,0,17.7935,-1.61378,0.657552,0.477868
-19.5195,0.925977,0.215188,4,15,0,20.1757,-1.84014,0.522293,0.376341
-18.9569,0.967889,0.215188,4,31,0,23.5567,-1.12819,0.72932,0.592937
-18.7841,0.999905,0.215188,4,23,0,20.3228,-1.979,0.646446,0.370609
-18.5468,0.981801,0.215188,4,15,0,19.2593,-1.94553,0.704965,0.359936
-20.0533,0.807852,0.215188,4,15,0,20.6252,-1.71472,0.570406,0.384755
-19.5688,0.99737,0.215188,2,7,0,20.323,-1.84749,0.626903,0.437662
-20.125,0.970326,0.215188,3,11,0,20.5612,-1.76928,0.730547,0.470524
-19.5195,0.962978,0.215188,4,21,0,21.5154,-1.17805,0.700184,0.55994
-19.0685,1,0.215188,2,3,0,19.5141,-1.30093,0.723349,0.601417
-18.3141,0.809725,0.215188,3,13,0,21.9772,-1.65933,0.595815,0.428321
-17.7046,0.893219,0.215188,4,31,0,20.0634,-1.3819,0.714493,0.527887
-19.4144,0.827182,0.215188,3,11,0,19.6682,-1.17357,0.760241,0.566016
-20.285,0.947888,0.215188,2,3,0,20.4632,-1.25499,0.774823,0.627295
-18.7022,1,0.215188,1,3,0,20.047,-1.1583,0.774138,0.613411
-20.4185,0.786419,0.215188,4,15,0,23.7949,-0.981018,0.675139,0.629878
-20.6989,0.978667,0.215188,2,3,0,20.8886,-1.14352,0.65438,0.659876
-19.5706,1,0.215188,2,5,0,20.9588,-1.15946,0.665057,0.640287
-19.0015,1,0.215188,4,15,0,19.7373,-1.2019,0.729446,0.623784
-18.2986,0.997456,0.215188,3,11,0,21.0933,-1.4123,0.772411,0.506539
-17.6119,0.966568,0.215188,2,7,0,19.2945,-1.45639,0.682422,0.524885
-17.6297,0.985762,0.215188,3,13,0,18.1111,-1.67789,0.666595,0.456639
-18.8293,0.951816,0.215188,4,15,0,19.4851,-1.30444,0.61788,0.584196
-18.8293,0.747474,0.215188,1,3,0,20.0557,-1.30444,0.61788,0.584196
-19.0205,0.970557,0.215188,4,15,0,19.1023,-1.31645,0.617746,0.586317
-18.1242,1,0.215188,2,7,0,19.2565,-1.31227,0.651815,0.545612
-19.7577,0.748814,0.215188,4,23,0,21.4413,-1.3365,0.644905,0.501465
-18.6337,1,0.215188,1,1,0,19.6474,-1.34807,0.650561,0.515322
-18.5247,1,0.215188,2,3,0,18.9213,-1.33874,0.644156,0.522507
-18.7909,0.9933,0.215188,2,7,0,21.5757,-1.28967,0.606239,0.548393
-21.4223,0.984612,0.215188,3,7,0,21.6608,-1.28867,0.488942,0.547788
-17.953,0.990137,0.215188,3,11,0,24.863,-1.5075,0.675454,0.522967
-18.4689,0.995308,0.215188,3,15,0,20.1615,-1.58801,0.576442,0.454234
-20.2388,0.637599,0.215188,4,23,0,23.0733,-2.07079,0.693456,0.360585
-18.9441,0.999425,0.215188,4,15,0,20.9219,-1.69228,0.532817,0.442029
-17.6377,0.996194,0.215188,4,15,0,19.6798,-1.39859,0.677345,0.527596
-18.2144,0.710997,0.215188,2,3,0,19.6348,-1.29998,0.656809,0.545586
-19.1258,0.73733,0.215188,1,1,0,19.1774,-1.27494,0.654857,0.532877
-18.2912,0.99945,0.215188,4,31,0,19.6289,-1.66689,0.670123,0.416008
-17.5698,0.995127,0.215188,4,17,0,18.5372,-1.55746,0.655703,0.491862
-17.6322,0.875162,0.215188,2,7,0,18.2787,-1.56406,0.676046,0.496021
-18.6423,0.868713,0.215188,4,31,0,20.4412,-1.86066,0.56475,0.384194
-18.694,0.933834,0.215188,3,7,0,19.0527,-1.8692,0.562709,0.389265
-19.524,0.955241,0.215188,2,7,0,20.8455,-1.90018,0.527534,0.391856
-18.8473,0.932062,0.215188,4,15,0,21.7008,-1.4689,0.572875,0.530707
-18.1099,0.999197,0.215188,4,23,0,19.9502,-1.7483,0.593515,0.431101
-17.9817,0.902005,0.215188,3,13,0,20.45,-1.37965,0.712395,0.558203
-17.9806,0.998525,0.215188,3,15,0,19.8665,-1.71127,0.748242,0.436735
-17.5364,0.98928,0.215188,3,15,0,19.4885,-1.63917,0.677838,0.447797
-18.2285,0.976975,0.215188,3,15,0,18.8769,-1.27732,0.655433,0.580105
-19.3966,0.934502,0.215188,2,7,0,20.5172,-1.18996,0.599082,0.609928
-20.5837,0.67875,0.215188,2,3,0,21.0832,-1.08103,0.59839,0.599886
-20.0932,0.989263,0.215188,4,15,0,20.7339,-1.11851,0.595984,0.595326
-19.5585,0.994503,0.215188,4,15,0,21.7968,-1.40747,0.862583,0.5388
-19.848,0.8268,0.215188,4,15,0,22.1039,-1.26868,0.619305,0.612865
-19.4768,0.968791,0.215188,3,7,0,20.3903,-1.29349,0.604064,0.596994
-20.0897,0.997084,0.215188,5,31,0,20.693,-2.12061,0.715595,0.328477
-17.6842,0.98167,0.215188,3,15,0,21.7836,-1.5889,0.724521,0.485309
-19.1179,0.787411,0.215188,4,15,0,20.2853,-1.1374,0.787176,0.593919
-19.3198,0.778133,0.215188,4,23,0,22.0185,-1.60951,0.812285,0.437231
-18.0477,0.94819,0.215188,3,15,0,20.0485,-1.75026,0.637892,0.401744
-18.5313,0.928541,0.215188,2,7,0,19.2199,-1.72437,0.660193,0.395496
-19.066,0.995747,0.215188,4,31,0,20.648,-1.2113,0.799464,0.567769
-19.6667,0.8998,0.215188,4,27,0,22.4197,-1.82356,0.805107,0.377894
-19.6141,0.974324,0.215188,2,3,0,20.1178,-1.86039,0.810912,0.395948
-19.9899,0.968337,0.215188,2,3,0,20.0388,-1.83057,0.815152,0.373543
-17.892,0.998781,0.215188,3,7,0,20.4788,-1.82155,0.681484,0.396692
-18.1859,0.881734,0.215188,4,15,0,18.9945,-1.89929,0.63773,0.380671
-18.1129,0.991742,0.215188,4,15,0,18.2897,-1.82371,0.631007,0.384414
-18.5383,0.889013,0.215188,4,19,0,19.2407,-1.25785,0.747313,0.599056
-17.6329,0.996692,0.215188,3,15,0,19.471,-1.54014,0.724014,0.499018
-18.6667,0.81261,0.215188,3,15,0,20.5645,-1.63188,0.713071,0.420762
-18.7228,0.998916,0.215188,4,15,0,19.2292,-1.4689,0.664465,0.549016
-20.9474,1,0.215188,4,15,0,21.9297,-2.28915,0.603906,0.27117
-20.792,0.997854,0.215188,3,7,0,21.1804,-2.18831,0.581523,0.256385
-21.2713,0.97769,0.215188,2,3,0,21.3549,-2.18532,0.573835,0.248901
-19.5307,0.977636,0.215188,4,23,0,24.217,-1.58332,0.822057,0.443661
-18.2034,0.95115,0.215188,4,23,0,20.4444,-1.34154,0.78088,0.556948
-18.196,0.933309,0.215188,3,15,0,23.3107,-1.31647,0.721969,0.578953
-18.7642,0.930893,0.215188,2,7,0,18.898,-1.32707,0.730824,0.588901
-19.3004,0.756735,0.215188,2,7,0,20.9847,-1.16797,0.720681,0.567667
-20.4181,0.841368,0.215188,2,3,0,20.4715,-1.30916,0.708131,0.61764
-19.6136,1,0.215188,4,15,0,20.936,-1.13583,0.661028,0.578971
-17.823,0.875024,0.215188,3,11,0,20.1728,-1.39883,0.73845,0.543573
-18.3554,0.843252,0.215188,2,7,0,19.4113,-1.39204,0.784145,0.551333
-18.124,0.563449,0.215188,2,3,0,21.8278,-1.42656,0.723128,0.549202
-18.2527,0.997101,0.215188,2,7,0,18.4678,-1.35211,0.749903,0.523181
-18.0331,0.932034,0.215188,2,7,0,18.7725,-1.32948,0.752441,0.564486
-18.2582,0.971543,0.215188,4,15,0,18.3868,-1.29603,0.729715,0.58472
-21.4136,0.944679,0.215188,4,15,0,22.4223,-1.17296,0.513041,0.58577
-18.0079,0.988042,0.215188,3,7,0,21.9186,-1.53859,0.614612,0.471006
-18.4973,0.998075,0.215188,3,7,0,18.6074,-1.44866,0.587233,0.499423
-19.2603,0.938511,0.215188,4,23,0,20.294,-2.00627,0.699125,0.367255
-17.7736,0.998191,0.215188,3,15,0,20.5683,-1.62918,0.745069,0.457913
-18.1745,0.957904,0.215188,4,15,0,18.2416,-1.70276,0.749765,0.454143
-18.5663,0.999914,0.215188,3,7,0,18.8314,-1.70462,0.776161,0.418797
-19.1154,0.969003,0.215188,3,7,0,19.6814,-1.5774,0.818014,0.45344
-18.3127,0.999679,0.215188,4,15,0,20.1701,-1.89593,0.66997,0.392693
-18.3127,0.475062,0.215188,1,3,0,21.7836,-1.89593,0.66997,0.392693
-19.1016,0.996984,0.215188,4,15,0,19.6345,-1.66795,0.538159,0.465924
-20.2227,0.990287,0.215188,3,7,0,21.9296,-1.81239,0.485201,0.388191
-20.1195,0.954582,0.215188,2,3,0,20.5025,-1.88022,0.501387,0.40215
-19.3999,0.968178,0.215188,3,7,0,21.7124,-1.86618,0.528064,0.401099
-18.3658,0.999903,0.215188,3,7,0,19.5445,-1.91057,0.639194,0.387173
-18.5392,0.860121,0.215188,2,3,0,19.4686,-1.76574,0.632004,0.385941
-18.3374,0.996973,0.215188,4,31,0,21.0437,-1.65334,0.73675,0.481156
-19.4475,0.998341,0.215188,4,15,0,20.2549,-1.40043,0.830233,0.502541
-18.3646,1,0.215188,2,7,0,19.79,-1.50395,0.781898,0.519563
-19.5224,0.921771,0.215188,4,15,0,20.7234,-1.1453,0.775752,0.642317
-20.2133,0.99999,0.215188,2,7,0,21.0088,-0.924238,0.773741,0.662661
-18.5006,0.858896,0.215188,4,15,0,21.3011,-1.37553,0.778494,0.562521
-18.2531,0.78074,0.215188,2,3,0,19.6724,-1.33857,0.764322,0.568369
-18.7236,0.994006,0.215188,4,15,0,19.8037,-1.43506,0.566205,0.525122
-17.6579,0.946985,0.215188,3,15,0,19.537,-1.38249,0.718631,0.536092
-17.9433,0.913159,0.215188,4,15,0,18.8543,-1.45326,0.624563,0.525605
-17.9211,0.998943,0.215188,3,15,0,18.5062,-1.44534,0.769885,0.518997
-18.2528,0.946342,0.215188,4,19,0,18.4655,-1.76787,0.584409,0.407451
-18.3378,0.754271,0.215188,2,3,0,19.8114,-1.82298,0.615418,0.420342
-17.9448,0.975294,0.215188,2,7,0,18.4538,-1.76969,0.620713,0.405737
-17.6323,0.999972,0.215188,3,7,0,17.9587,-1.67427,0.646502,0.437135
-18.89,0.730988,0.215188,2,7,0,20.1662,-1.77331,0.69679,0.454165
-17.6113,0.946375,0.215188,2,3,0,18.9631,-1.66288,0.694605,0.438886
-18.0073,0.999353,0.215188,4,15,0,18.069,-1.27307,0.685092,0.5644
-18.1216,0.909379,0.215188,2,7,0,19.5183,-1.37054,0.707292,0.564683
-18.1988,0.987354,0.215188,3,15,0,18.9269,-1.49922,0.611094,0.519848
-18.1811,0.992316,0.215188,2,3,0,18.3085,-1.42956,0.621402,0.502844
-17.6986,0.966862,0.215188,2,3,0,18.38,-1.48471,0.63442,0.506075
-18.5754,0.972935,0.215188,3,11,0,19.5942,-1.48174,0.816405,0.508628
-20.5859,0.610616,0.215188,2,3,0,21.1218,-1.37297,0.829594,0.491492
-21.8094,0.950161,0.215188,4,15,0,22.2107,-1.05118,0.616086,0.587406
-18.6243,0.915523,0.215188,3,11,0,22.6946,-1.48836,0.819028,0.502238
-17.4707,0.98566,0.215188,3,11,0,20.3223,-1.52069,0.690703,0.499217
-17.5781,0.976717,0.215188,4,23,0,17.6599,-1.62387,0.663123,0.472983
-18.1348,0.808325,0.215188,4,15,0,20.388,-1.51258,0.685144,0.526183
-18.0936,0.999715,0.215188,3,9,0,18.5746,-1.37592,0.657039,0.517409
-20.2526,0.976289,0.215188,4,15,0,20.7379,-0.949103,0.790022,0.650736
-19.4806,0.951663,0.215188,2,3,0,20.6112,-1.04143,0.797647,0.64841
-18.7906,0.999655,0.215188,4,15,0,19.6217,-1.10083,0.731993,0.63068
-18.6525,0.911191,0.215188,3,7,0,19.2727,-1.12327,0.708303,0.610603
-18.413,0.9295,0.215188,4,15,0,20.8356,-1.32223,0.766733,0.5769
-19.7984,0.790712,0.215188,2,7,0,20.4291,-1.18034,0.806768,0.56473
-21.679,0.971577,0.215188,4,15,0,22.5334,-0.962386,0.80788,0.713091
-18.2327,0.922739,0.215188,4,15,0,23.1394,-1.71688,0.640673,0.404989
-18.7653,0.998903,0.215188,3,15,0,19.2944,-1.71772,0.76916,0.407026
-19.7802,0.673523,0.215188,3,11,0,24.3939,-1.83933,0.719535,0.442037
-19.0446,1,0.215188,1,1,0,19.8098,-1.81884,0.718376,0.437976
-17.8851,1,0.215188,3,15,0,19.3556,-1.7706,0.623339,0.408819
-18.8181,0.931064,0.215188,4,15,0,18.919,-1.70534,0.567325,0.410789
-19.4179,0.780841,0.215188,4,15,0,21.5137,-1.90064,0.523611,0.380585
-19.5054,0.728231,0.215188,4,15,0,22.0053,-1.9971,0.747024,0.363886
-18.5032,0.787626,0.215188,2,7,0,21.9317,-1.87724,0.703669,0.403825
-18.1685,0.829581,0.215188,4,15,0,20.4764,-1.28187,0.661026,0.555476
-18.0361,0.975012,0.215188,3,15,0,19.2911,-1.45156,0.737496,0.538007
-17.8787,0.999765,0.215188,4,15,0,18.3459,-1.60259,0.645436,0.446667
-18.5682,0.719677,0.215188,3,13,0,20.6409,-1.45933,0.569618,0.511104
-17.8242,0.99909,0.215188,4,15,0,19.185,-1.39643,0.754319,0.530784
-18.3879,0.885244,0.215188,4,15,0,18.804,-1.34052,0.675633,0.577315
-17.8285,0.999195,0.215188,4,31,0,18.9977,-1.61848,0.614064,0.472325
-18.3799,0.907525,0.215188,4,31,0,20.3523,-1.36588,0.753694,0.515498
-17.8865,0.571459,0.215188,3,11,0,21.7155,-1.3003,0.688365,0.557903
-19.2585,0.442773,0.215188,2,7,0,23.9225,-1.42373,0.693948,0.475772
-19.2206,0.96887,0.215188,3,15,0,23.2973,-2.01981,0.650161,0.364564
-19.4663,0.804792,0.215188,2,3,0,21.5197,-2.07127,0.672596,0.345249
-17.8717,0.991373,0.215188,4,15,0,19.6041,-1.53235,0.609034,0.487304
-19.5076,0.841348,0.215188,3,15,0,21.4726,-1.37724,0.54594,0.520426
-18.5422,0.983938,0.215188,4,15,0,20.9343,-1.2053,0.647097,0.594743
-19.1529,0.999656,0.215188,4,15,0,19.7213,-1.05663,0.765686,0.64404
-19.418,0.994397,0.215188,3,7,0,19.6652,-1.00798,0.734272,0.662891
-19.8962,0.977106,0.215188,4,15,0,20.8814,-1.20845,0.865017,0.579947
-19.754,1,0.215188,2,3,0,19.881,-1.23104,0.865094,0.585275
-18.9906,0.909513,0.215188,3,7,0,20.4064,-1.31053,0.80384,0.533519
-17.9568,0.996734,0.215188,4,31,0,19.5554,-1.592,0.677114,0.445308
-17.7525,0.855138,0.215188,3,11,0,19.55,-1.7284,0.690955,0.417095
-18.6966,0.997493,0.215188,4,31,0,19.1348,-1.22532,0.63992,0.600626
-21.4205,0.438845,0.215188,2,3,0,24.1447,-1.16465,0.662385,0.542055
-20.863,0.990921,0.215188,3,11,0,23.5652,-1.64622,0.720673,0.520823
-17.5235,0.957531,0.215188,2,3,0,20.6467,-1.56711,0.713286,0.4732
-18.0966,0.717466,0.215188,3,15,0,19.9108,-1.71062,0.6497,0.460123
-19.7289,0.989201,0.215188,4,15,0,19.9347,-1.96677,0.54632,0.380798
-24.6795,0.559741,0.215188,3,15,0,26.5768,-1.8002,0.512334,0.48992
-18.7484,0.937483,0.215188,2,7,0,26.2282,-1.74516,0.589446,0.39425
-17.8803,0.971299,0.215188,4,15,0,20.197,-1.48691,0.676273,0.480899
-17.7029,0.998577,0.215188,3,15,0,18.8515,-1.42984,0.702782,0.536118
-17.978,0.95035,0.215188,4,15,0,18.8605,-1.85186,0.650036,0.387746
-18.1623,0.986204,0.215188,4,31,0,19.5078,-1.514,0.78776,0.501883
-19.4138,0.869675,0.215188,3,15,0,21.3361,-1.07595,0.73392,0.604645
-18.8917,0.953249,0.215188,4,15,0,19.9052,-1.2075,0.766499,0.565016
-18.7665,1,0.215188,4,19,0,19.4915,-1.86008,0.566115,0.373787
-22.3249,0.746698,0.215188,4,15,0,22.6649,-2.14445,0.503841,0.34525
-20.5699,0.988239,0.215188,4,19,0,22.9211,-1.15188,0.826319,0.566718
-21.2038,0.993842,0.215188,4,31,0,23.7708,-2.162,0.544673,0.259739
-19.9317,0.993502,0.215188,3,7,0,21.57,-1.96109,0.558224,0.322625
-19.4924,0.916919,0.215188,4,31,0,21.7375,-1.39447,0.732344,0.581762
-19.102,0.999322,0.215188,3,15,0,20.106,-1.57392,0.634906,0.521461
-17.8753,0.846157,0.215188,3,11,0,21.2756,-1.68752,0.67735,0.420727
-18.1492,0.992335,0.215188,3,15,0,18.8249,-1.60467,0.586786,0.456901
-17.5145,0.905392,0.215188,3,15,0,20.18,-1.61685,0.706905,0.460491
-18.0593,0.654118,0.215188,2,3,0,19.7044,-1.61818,0.694288,0.491486
-21.4706,0.764951,0.215188,3,11,0,21.6452,-1.26386,0.809727,0.51257
-18.7006,1,0.215188,2,3,0,20.745,-1.36057,0.816133,0.532575
-19.4737,0.998935,0.215188,4,15,0,19.896,-1.18507,0.589352,0.604591
-19.1385,0.895963,0.215188,3,7,0,20.0129,-1.20348,0.602735,0.583043
-18.0404,1,0.215188,3,15,0,19.3402,-1.41577,0.615584,0.529771
-18.1627,0.89983,0.215188,3,7,0,18.6321,-1.3859,0.627867,0.550328
-21.3302,0.863338,0.215188,4,15,0,21.9995,-2.30644,0.694486,0.261083
-21.6804,0.991127,0.215188,2,3,0,21.7954,-2.32663,0.702858,0.257981
-21.4614,0.990267,0.215188,2,3,0,22.025,-2.23943,0.70784,0.241336
-19.0703,0.916748,0.215188,4,31,0,23.0796,-1.63188,0.647434,0.504178
-17.6687,0.967513,0.215188,2,7,0,19.4221,-1.51731,0.635414,0.488517
-19.2684,0.587293,0.215188,2,7,0,20.8498,-1.64821,0.672921,0.502838
-20.9908,0.85224,0.215188,3,11,0,22.003,-1.36042,0.709035,0.476733
-20.2733,1,0.215188,1,1,0,21.6221,-1.35511,0.706402,0.486122
-20.8317,0.970487,0.215188,3,11,0,22.0872,-1.52433,0.768305,0.555391
