# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2023-01-12 08:41:24 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\bernoulli\bernoulli.data.R
# init = 2 (Default)
# random
#   seed = 2890771183 (Default)
# output
#   file = examples\bernoulli\bernoullivar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,theta
0,-6.85824,-0.255868,0.311504
0,-6.87988,-0.0315334,0.189746
0,-6.74962,-0.0223755,0.242983
0,-7.68133,-0.718016,0.10938
0,-6.79788,-0.16293,0.290786
0,-7.244,-0.297726,0.14108
0,-7.73797,-1.21876,0.446036
0,-8.05696,-1.52358,0.477245
0,-6.75048,-0.0562093,0.258827
0,-6.92671,-0.0576267,0.180662
0,-7.56415,-0.598215,0.116514
0,-6.76659,-0.102877,0.27459
0,-7.18904,-0.656213,0.377559
0,-7.40619,-0.444579,0.12752
0,-6.93917,-0.0652076,0.178489
0,-8.37978,-1.51788,0.0781484
0,-6.78797,-0.145488,0.286391
0,-6.84319,-0.0146246,0.19828
0,-7.22255,-0.692796,0.382616
0,-6.7763,-0.000483364,0.221085
0,-6.82979,-0.00955302,0.201857
0,-7.16647,-0.631314,0.374051
0,-6.75806,-0.00809506,0.232573
0,-9.66906,-2.9659,0.593638
0,-6.77737,-0.000354373,0.220561
0,-7.0471,-0.138846,0.162517
0,-7.99608,-1.06143,0.0933547
0,-7.0348,-0.481044,0.351561
0,-6.82855,-0.00912048,0.202205
0,-6.80144,-0.00173692,0.210701
0,-6.88591,-0.294274,0.319126
0,-7.82516,-0.871227,0.101561
0,-6.85844,-0.0211816,0.194538
0,-8.36751,-1.50268,0.0785787
0,-7.34265,-0.820804,0.399513
0,-7.74161,-0.781431,0.105988
0,-7.22351,-0.280088,0.143007
0,-8.24882,-1.3577,0.0829148
0,-6.8087,-0.180985,0.295133
0,-7.57714,-0.611253,0.115685
0,-6.78411,-0.138388,0.284538
0,-6.79752,-0.00108231,0.212112
0,-7.77339,-1.25318,0.449725
0,-8.40832,-1.55338,0.0771599
0,-6.75453,-0.0714021,0.264435
0,-6.86247,-0.261863,0.312723
0,-6.7525,-0.0151244,0.238298
0,-6.80435,-0.173826,0.293432
0,-7.06271,-0.150445,0.160527
0,-7.1882,-0.25022,0.146468
0,-6.75099,-0.0182949,0.240452
0,-7.14835,-0.611164,0.371172
0,-6.82654,-0.209154,0.30157
0,-7.12468,-0.198379,0.153197
0,-8.6579,-1.8724,0.069193
0,-7.17006,-0.235166,0.148318
0,-8.76934,-2.01978,0.0659851
0,-7.08213,-0.165153,0.158137
0,-7.59543,-1.07849,0.430505
0,-6.87754,-0.0303507,0.190244
0,-6.7848,-3.23142e-006,0.217163
0,-8.13708,-1.22459,0.0873108
0,-6.76355,-0.0958185,0.272446
0,-7.53637,-0.570515,0.118323
0,-6.98957,-0.0980018,0.170482
0,-6.74961,-0.0518445,0.257094
0,-6.86971,-0.0264767,0.191957
0,-6.75261,-0.0149199,0.238152
0,-9.82128,-3.0976,0.6024
0,-8.64374,-1.8539,0.0696148
0,-7.05524,-0.14487,0.161471
0,-6.7555,-0.0107279,0.234921
0,-7.19032,-0.657615,0.377755
0,-6.8562,-0.0201725,0.195068
0,-6.75036,-0.055664,0.258614
0,-8.83429,-2.10703,0.064204
0,-7.05162,-0.142185,0.161934
0,-7.08444,-0.53884,0.360506
0,-7.25515,-0.728,0.387382
0,-6.92234,-0.342529,0.328151
0,-7.26014,-0.311783,0.1396
0,-6.94971,-0.0717915,0.176718
0,-9.78273,-3.06429,0.600208
0,-7.22343,-0.280018,0.143015
0,-6.89206,-0.0379079,0.187222
0,-6.8373,-0.22541,0.305121
0,-6.83505,-0.0114589,0.200416
0,-6.89944,-0.0419245,0.185752
0,-6.75505,-0.0730436,0.265008
0,-7.0732,-0.158357,0.159224
0,-7.87228,-0.922801,0.0991912
0,-7.05854,-0.147325,0.161053
0,-6.83067,-0.215442,0.302957
0,-7.48889,-0.971477,0.418061
0,-6.7739,-0.000860826,0.222308
0,-7.00812,-0.110815,0.167796
0,-6.75333,-0.0137034,0.237264
0,-6.83816,-0.012638,0.199588
0,-8.91968,-2.22328,0.0619544
0,-6.75385,-0.0129212,0.236674
0,-7.07752,-0.161642,0.158695
0,-8.24389,-1.35176,0.083102
0,-7.00552,-0.109001,0.168164
0,-7.4137,-0.451662,0.126954
0,-6.76741,-0.104704,0.275135
0,-6.81811,-0.00577424,0.205255
0,-7.88167,-1.35745,0.460631
0,-7.11785,-0.192956,0.153964
0,-7.56084,-1.04397,0.426551
0,-6.76452,-0.00381969,0.227763
0,-6.77216,-0.11493,0.27811
0,-7.11136,-0.569565,0.365103
0,-8.24514,-1.35327,0.0830543
0,-6.88462,-0.0339794,0.188747
0,-6.75212,-0.015833,0.238797
0,-7.70845,-0.746399,0.107832
0,-7.36376,-0.40501,0.130811
0,-6.78581,-0.141541,0.285366
0,-7.14437,-0.214178,0.151034
0,-7.15097,-0.219526,0.150326
0,-6.7917,-0.000369029,0.214324
0,-7.75723,-0.798051,0.105137
0,-7.35174,-0.393942,0.131773
0,-6.75578,-0.0752902,0.265783
0,-8.12489,-1.21027,0.0878104
0,-6.7648,-0.0987786,0.273353
0,-6.83075,-0.215565,0.302983
0,-7.81659,-0.861913,0.102001
0,-6.80151,-0.169073,0.292286
0,-6.87455,-0.278728,0.316092
0,-8.14208,-1.23047,0.0871072
0,-6.77469,-0.000722148,0.221897
0,-6.78237,-2.2057e-005,0.218229
0,-8.64452,-1.85491,0.0695915
0,-7.41608,-0.453908,0.126775
0,-8.49858,-1.66697,0.0741437
0,-6.9505,-0.378472,0.334544
0,-6.76804,-0.106105,0.27555
0,-7.4057,-0.44412,0.127557
0,-7.80813,-1.28679,0.453283
0,-7.09129,-0.172194,0.15704
0,-6.83624,-0.0119058,0.200097
0,-7.54115,-0.575259,0.118008
0,-6.74829,-0.0419764,0.252918
0,-7.35002,-0.828516,0.400495
0,-6.75277,-0.0146382,0.23795
0,-8.84179,-2.11717,0.0640024
0,-6.76899,-0.00206609,0.225004
0,-8.21725,-1.67309,0.49148
0,-7.04171,-0.134881,0.163221
0,-6.95948,-0.0780343,0.175125
0,-7.95656,-1.01669,0.0951601
0,-7.61508,-0.649706,0.113319
0,-6.83955,-0.0131761,0.199223
0,-7.11169,-0.188095,0.154665
0,-6.89008,-0.299923,0.320212
0,-7.38177,-0.421709,0.129394
0,-9.16773,-2.52833,0.562601
0,-6.75051,-0.0195434,0.241252
0,-6.74914,-0.0490602,0.255955
0,-6.89649,-0.0403058,0.186334
0,-7.00902,-0.450337,0.346634
0,-7.02647,-0.123834,0.165253
0,-6.75258,-0.0647565,0.262054
0,-6.8662,-0.267097,0.313778
0,-6.74905,-0.0247505,0.244357
0,-7.53956,-0.573679,0.118113
0,-6.83501,-0.221996,0.304384
0,-7.42874,-0.465918,0.125834
0,-6.74926,-0.0237986,0.243814
0,-7.69589,-1.17766,0.44157
0,-8.24019,-1.34731,0.0832428
0,-8.89282,-2.18653,0.062651
0,-7.06,-0.148414,0.160868
0,-6.76181,-0.00529937,0.229632
0,-7.19858,-0.258931,0.145431
0,-7.48292,-0.518007,0.121949
0,-7.38276,-0.862629,0.404794
0,-8.7711,-2.02213,0.065936
0,-7.15541,-0.619035,0.372301
0,-7.0304,-0.12666,0.164723
0,-8.38301,-1.82569,0.505379
0,-7.23664,-0.708056,0.384694
0,-6.78516,-7.60321e-006,0.217006
0,-6.77635,-0.123458,0.280507
0,-6.8251,-0.206942,0.301078
0,-9.7875,-3.49997,0.0437994
0,-6.76431,-0.00392291,0.227904
0,-8.49851,-1.93098,0.51463
0,-7.46853,-0.504065,0.122959
0,-6.75181,-0.0618805,0.26099
0,-6.94056,-0.0660657,0.178253
0,-7.14856,-0.611398,0.371206
0,-6.80033,-0.167088,0.291804
0,-6.80856,-0.180756,0.295079
0,-7.15629,-0.223864,0.14976
0,-7.85898,-0.908172,0.0998514
0,-6.76363,-0.0042678,0.228361
0,-6.74921,-0.0240319,0.243948
0,-7.21232,-0.270543,0.144085
0,-7.97732,-1.04014,0.0942052
0,-6.78779,-9.06369e-005,0.215901
0,-7.29475,-0.342357,0.136534
0,-6.75789,-0.0813713,0.267831
0,-7.34886,-0.3913,0.132006
0,-7.2224,-0.692636,0.382595
0,-6.83774,-0.012476,0.199699
0,-7.57478,-1.0579,0.428153
0,-6.75102,-0.0182301,0.24041
0,-7.18493,-0.247491,0.146798
0,-7.18814,-0.655222,0.377421
0,-7.05677,-0.506816,0.3556
0,-8.37083,-1.5068,0.0784617
0,-6.76652,-0.00294495,0.226488
0,-6.99274,-0.100168,0.170014
0,-7.29241,-0.340269,0.136737
0,-8.1222,-1.20711,0.0879213
0,-7.07442,-0.159283,0.159074
0,-7.53629,-0.570433,0.118329
0,-6.86313,-0.262787,0.31291
0,-8.61992,-2.04084,0.524007
0,-7.42853,-0.465716,0.125849
0,-7.16057,-0.227365,0.149308
0,-7.0018,-0.10641,0.168697
0,-10.6422,-3.80179,0.645288
0,-6.77988,-0.130375,0.282399
0,-7.28612,-0.334671,0.137286
0,-6.81892,-0.00601352,0.20501
0,-8.69469,-1.92072,0.068112
0,-7.21577,-0.685423,0.381606
0,-6.77009,-0.00173839,0.224373
0,-9.97061,-3.2264,0.610728
0,-6.77735,-0.125446,0.281055
0,-8.6394,-2.0584,0.525481
0,-7.50536,-0.539926,0.120402
0,-7.371,-0.850408,0.403262
0,-7.39749,-0.436404,0.128181
0,-6.83801,-0.226472,0.30535
0,-8.86778,-2.15242,0.0633094
0,-7.39265,-0.431873,0.128552
0,-6.76463,-0.00376668,0.22769
0,-6.93384,-0.35733,0.330815
0,-6.76271,-0.00476669,0.228992
0,-7.32954,-0.807041,0.397751
0,-6.75139,-0.0173567,0.239835
0,-7.28359,-0.33243,0.137508
0,-7.2862,-0.334746,0.137279
0,-7.9254,-0.981738,0.0966209
0,-6.77779,-0.000309785,0.220358
0,-7.2925,-0.767891,0.392669
0,-8.12945,-1.21561,0.0876233
0,-8.09755,-1.17829,0.0889461
0,-6.80883,-0.00329868,0.208187
0,-6.75812,-0.0820013,0.268039
0,-8.48345,-1.91729,0.513443
0,-6.78079,-0.132126,0.282871
0,-6.8549,-0.0195936,0.195379
0,-6.7601,-0.00645289,0.230918
0,-6.77537,-0.000615885,0.221555
0,-6.83332,-0.0108162,0.200887
0,-8.07702,-1.15441,0.0898133
0,-6.90055,-0.0425371,0.185535
0,-7.39726,-0.436192,0.128199
0,-8.47197,-1.63327,0.0750159
0,-6.95942,-0.0779963,0.175134
0,-8.28749,-1.40454,0.0814663
0,-7.04348,-0.136184,0.162989
0,-6.74811,-0.0391038,0.251621
0,-6.74831,-0.0296743,0.247025
0,-7.26081,-0.312366,0.139539
0,-7.31986,-0.364895,0.134395
0,-7.87096,-0.921354,0.0992561
0,-6.75347,-0.0679136,0.263198
0,-7.18012,-0.646391,0.376182
0,-7.06345,-0.151003,0.160434
0,-8.58873,-1.78244,0.0712869
0,-6.74802,-0.0352435,0.249808
0,-6.82753,-0.00876879,0.202494
0,-7.15321,-0.616581,0.37195
0,-6.91041,-0.048084,0.183644
0,-6.82901,-0.212932,0.302405
0,-7.92609,-1.39984,0.464956
0,-6.75364,-0.0132286,0.236908
0,-6.7611,-0.089817,0.270568
0,-7.14518,-0.214828,0.150948
0,-6.93655,-0.0635932,0.178939
0,-7.07641,-0.160795,0.15883
0,-6.78699,-0.143711,0.285931
0,-7.5649,-0.598967,0.116466
0,-6.7741,-0.118937,0.279246
0,-6.9093,-0.04745,0.183854
0,-7.61665,-1.09956,0.432892
0,-7.05032,-0.141222,0.162101
0,-6.75079,-0.0188075,0.240784
0,-6.74804,-0.0341115,0.24926
0,-8.27499,-1.38936,0.0819304
0,-6.897,-0.309213,0.32198
0,-7.4612,-0.496985,0.12348
0,-6.82931,-0.213391,0.302506
0,-7.29223,-0.340103,0.136753
0,-6.77141,-0.00139203,0.223638
0,-8.01547,-1.48453,0.473419
0,-6.96929,-0.084429,0.173568
0,-6.7497,-0.0523141,0.257284
0,-6.74878,-0.0261901,0.245161
0,-7.79283,-0.836217,0.103239
0,-6.91967,-0.339072,0.327522
0,-7.83248,-1.31025,0.455742
0,-6.76659,-0.102865,0.274586
0,-8.32054,-1.44488,0.080256
0,-7.19111,-0.252655,0.146176
0,-6.78622,-3.04154e-005,0.216555
0,-7.4897,-0.524611,0.121478
0,-8.25367,-1.36355,0.0827312
0,-7.41976,-0.457398,0.1265
0,-7.67039,-1.15263,0.438817
0,-6.75777,-0.00835533,0.23282
0,-6.81104,-0.00384116,0.207466
0,-6.91801,-0.33691,0.327128
0,-7.76292,-1.24303,0.448641
0,-6.75427,-0.0123068,0.236198
0,-6.91954,-0.338896,0.32749
0,-6.79193,-0.152568,0.2882
0,-6.79331,-0.155012,0.288816
0,-9.21241,-2.63472,0.0549553
0,-6.81744,-0.00557761,0.20546
0,-6.76687,-0.00280703,0.226271
0,-7.90673,-0.960931,0.0975124
0,-7.24262,-0.714512,0.385567
0,-7.83209,-0.878764,0.101207
0,-7.09325,-0.548941,0.362028
0,-6.898,-0.310547,0.322232
0,-7.80295,-1.28179,0.452756
0,-7.23006,-0.700937,0.383727
0,-7.04225,-0.489815,0.352945
0,-6.76274,-0.00475286,0.228975
0,-7.36868,-0.409554,0.130421
0,-6.7561,-0.0762388,0.266107
0,-7.00512,-0.108719,0.168222
0,-7.14707,-0.609736,0.370966
0,-6.80766,-0.179288,0.294732
0,-6.77974,-0.13011,0.282327
0,-7.66846,-0.704631,0.110127
0,-6.75531,-0.0109666,0.235119
0,-7.35921,-0.400811,0.131174
0,-7.22388,-0.280398,0.142973
0,-6.97127,-0.40436,0.338997
0,-6.75184,-0.0163907,0.239182
0,-7.00214,-0.442051,0.345282
0,-6.75258,-0.0647868,0.262065
0,-7.12785,-0.200906,0.152843
0,-7.20802,-0.676982,0.380444
0,-7.36493,-0.40609,0.130718
0,-7.44509,-0.926858,0.412702
0,-6.80396,-0.173181,0.293277
0,-6.74857,-0.0448435,0.254173
0,-6.77481,-0.120377,0.279649
0,-7.65261,-0.68822,0.111059
0,-8.24917,-1.70262,0.494217
0,-7.14595,-0.215453,0.150865
0,-8.45354,-1.61003,0.0756285
0,-8.0375,-1.10879,0.0915171
0,-6.76414,-0.00400474,0.228014
0,-7.01774,-0.117604,0.166449
0,-6.83023,-0.21478,0.302811
0,-7.0597,-0.148189,0.160906
0,-8.1814,-1.27698,0.0855286
0,-9.42778,-2.94999,0.0504189
0,-7.57966,-0.613796,0.115525
0,-6.75268,-0.0651486,0.262197
0,-6.75786,-0.0812895,0.267804
0,-6.75514,-0.0111681,0.235285
0,-6.89796,-0.0411129,0.186042
0,-6.77047,-0.00163249,0.224156
0,-6.75479,-0.0116174,0.23565
0,-7.10724,-0.184605,0.155175
0,-8.15033,-1.24019,0.0867726
0,-6.7823,-2.3842e-005,0.21826
0,-7.07207,-0.157501,0.159363
0,-7.85698,-1.3338,0.458191
0,-6.79236,-0.153342,0.288396
0,-7.43996,-0.921601,0.412063
0,-6.7593,-0.00705388,0.231545
0,-7.77713,-1.25681,0.450111
0,-6.75858,-0.083252,0.268451
0,-7.12795,-0.200987,0.152832
0,-6.9479,-0.0706528,0.177018
0,-7.29775,-0.773467,0.3934
0,-6.79726,-0.161857,0.290521
0,-7.07392,-0.158901,0.159136
0,-6.76383,-0.00416208,0.228223
0,-6.86831,-0.270052,0.31437
0,-6.76076,-0.0889601,0.270296
0,-8.13509,-1.22224,0.0873923
0,-6.89994,-0.0422013,0.185654
0,-7.30449,-0.351059,0.135696
0,-9.65578,-2.95439,0.592861
0,-6.96584,-0.0821627,0.174112
0,-6.95741,-0.387139,0.336048
0,-6.79046,-0.000262033,0.214815
0,-6.74851,-0.0442575,0.25392
0,-7.66325,-0.69923,0.110431
0,-8.07792,-1.15547,0.0897747
0,-7.87095,-0.921336,0.0992569
0,-6.77974,-0.000143692,0.21943
0,-7.70721,-0.745103,0.107902
0,-6.76038,-0.00624667,0.230697
0,-6.75363,-0.068465,0.263395
0,-6.78507,-0.14017,0.285007
0,-6.83641,-0.011969,0.200052
0,-7.09402,-0.174311,0.156716
0,-6.87633,-0.281183,0.316576
0,-6.98938,-0.0978722,0.170511
0,-7.40839,-0.446652,0.127353
0,-7.22361,-0.280167,0.142998
0,-6.85873,-0.256568,0.311647
0,-6.91897,-0.0530407,0.182057
0,-6.78736,-7.11072e-005,0.216078
0,-8.30184,-1.42202,0.0809376
0,-6.76741,-0.0026018,0.225939
0,-6.89973,-0.0420821,0.185696
0,-6.78263,-1.58714e-005,0.218112
0,-6.98016,-0.415312,0.340847
0,-8.30157,-1.4217,0.0809474
0,-6.79327,-0.000528499,0.213712
0,-7.09753,-0.553825,0.362761
0,-8.01139,-1.07888,0.0926693
0,-6.75761,-0.00850333,0.232959
0,-6.8241,-0.00762819,0.203477
0,-6.78495,-0.139956,0.284951
0,-7.06131,-0.149399,0.160702
0,-6.75067,-0.0570726,0.259162
0,-6.80876,-0.181081,0.295155
0,-6.84067,-0.230411,0.306192
0,-6.74807,-0.0331689,0.248797
0,-6.76778,-0.105524,0.275378
0,-8.32803,-1.45406,0.0799853
0,-6.77086,-0.112203,0.277328
0,-7.05194,-0.142418,0.161894
0,-6.74856,-0.0275474,0.2459
0,-8.0944,-1.17461,0.0890787
0,-8.45169,-1.6077,0.0756904
0,-7.27763,-0.327159,0.138033
0,-6.91756,-0.336323,0.327021
0,-7.35523,-0.833962,0.401186
0,-6.85303,-0.248411,0.309971
0,-7.88593,-0.937866,0.0985208
0,-6.80949,-0.18227,0.295435
0,-7.07675,-0.529987,0.359161
0,-7.09072,-0.171755,0.157108
0,-7.17834,-0.644433,0.375906
0,-7.07473,-0.527657,0.358806
0,-6.75401,-0.0697385,0.263848
0,-7.46352,-0.499221,0.123314
0,-7.46361,-0.945775,0.414987
0,-8.01987,-1.08857,0.0922928
0,-7.80569,-0.850101,0.102566
0,-6.84361,-0.234733,0.307111
0,-6.75555,-0.0106712,0.234873
0,-6.83638,-0.0119586,0.20006
0,-6.90887,-0.324949,0.324926
0,-6.77344,-0.117572,0.278861
0,-7.74083,-1.22155,0.446336
0,-6.95353,-0.0742205,0.176089
0,-7.22482,-0.695257,0.382953
0,-7.94664,-1.41938,0.466929
0,-6.74933,-0.0502033,0.256426
0,-7.24838,-0.301531,0.140675
0,-6.84632,-0.0159086,0.197485
0,-9.74695,-3.03335,0.598157
0,-7.58915,-1.07223,0.429792
0,-7.6378,-0.672972,0.111941
0,-7.18637,-0.653271,0.377147
0,-6.76533,-0.00344439,0.227236
0,-6.93941,-0.065354,0.178449
0,-6.84055,-0.0135704,0.198961
0,-6.75239,-0.0153244,0.23844
0,-6.80989,-0.00355581,0.207838
0,-6.75875,-0.00749762,0.231991
0,-6.74903,-0.02485,0.244413
0,-7.22643,-0.282589,0.142729
0,-7.33025,-0.807783,0.397846
0,-6.84939,-0.243161,0.308881
0,-6.77496,-0.000679497,0.221763
0,-6.76049,-0.00617036,0.230614
0,-6.89561,-0.0398293,0.186508
0,-7.1022,-0.559156,0.363557
0,-7.8802,-0.931539,0.0988012
0,-8.54234,-1.97073,0.518054
0,-7.2761,-0.325806,0.138169
0,-7.24681,-0.300163,0.14082
0,-7.30939,-0.355457,0.135279
0,-9.65943,-3.30084,0.0460311
0,-6.82401,-0.205254,0.300701
0,-7.84502,-1.32231,0.456999
0,-6.75671,-0.00939606,0.233772
0,-7.62762,-0.662526,0.112555
0,-6.74811,-0.0322254,0.248327
0,-8.17156,-1.2653,0.0859197
0,-7.83587,-0.882893,0.101014
0,-8.00151,-1.47135,0.472117
0,-7.80707,-1.28577,0.453175
0,-7.58693,-1.07003,0.42954
0,-6.78357,-2.12678e-006,0.217697
0,-6.99389,-0.100953,0.169846
0,-6.75032,-0.0554559,0.258532
0,-7.30332,-0.779372,0.39417
0,-8.14414,-1.2329,0.0870232
0,-10.4931,-3.67448,0.637993
0,-7.23562,-0.706954,0.384544
0,-6.89425,-0.0390899,0.186781
0,-7.06312,-0.150754,0.160475
0,-7.26036,-0.311967,0.139581
0,-6.87303,-0.276624,0.315677
0,-8.57631,-2.00146,0.520678
0,-6.76706,-0.103924,0.274903
0,-6.75014,-0.0545817,0.258188
0,-12.4911,-5.37276,0.721741
0,-6.93073,-0.060049,0.179951
0,-7.15733,-0.621176,0.372607
0,-8.29891,-1.41845,0.0810451
0,-7.51656,-0.999468,0.42137
0,-6.77236,-0.115357,0.278232
0,-7.28791,-0.76301,0.392028
0,-6.74808,-0.0327745,0.248601
0,-6.81781,-0.00568566,0.205347
0,-6.9305,-0.0599071,0.179992
0,-7.57258,-0.606673,0.115974
0,-6.80822,-0.180191,0.294946
0,-6.88354,-0.0334154,0.188973
0,-6.79483,-0.157654,0.289478
0,-6.86337,-0.263122,0.312977
0,-6.76018,-0.00639296,0.230855
0,-7.35988,-0.401434,0.13112
0,-6.86262,-0.262075,0.312766
0,-6.82816,-0.00898495,0.202316
0,-6.9581,-0.387994,0.336196
0,-6.78591,-0.141718,0.285412
0,-7.41134,-0.449432,0.127131
0,-6.83991,-0.0133191,0.199128
0,-7.50686,-0.541398,0.1203
0,-6.80865,-0.180896,0.295112
0,-7.19868,-0.259011,0.145422
0,-6.81865,-0.196899,0.298816
0,-7.52157,-0.555866,0.119308
0,-7.08592,-0.168066,0.157679
0,-7.76069,-1.24086,0.44841
