# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2023-01-12 08:39:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\bernoulli\bernoulli.data.R
# init = 2 (Default)
# random
#   seed = 2890681867 (Default)
# output
#   file = examples\bernoulli\bernoulliMCMC10k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
-6.81546,0.989494,1.04594,1,1,0,6.81825,0.206069
-6.81546,0.508882,1.04594,1,3,0,9.13257,0.206069
-6.89708,0.893869,1.04594,2,3,0,7.60111,0.186218
-6.76355,1,1.04594,2,3,0,6.87079,0.272447
-6.86771,0.966028,1.04594,1,1,0,6.86776,0.314204
-6.79866,1,1.04594,2,3,0,6.84725,0.211695
-6.83316,0.97655,1.04594,2,3,0,6.98427,0.20093
-7.46396,0.885116,1.04594,2,3,0,7.82027,0.41503
-7.58263,0.954077,1.04594,1,1,0,7.83639,0.42905
-6.80225,0.996387,1.04594,1,3,0,7.56373,0.210413
-6.74802,0.984201,1.04594,2,3,0,6.90989,0.249762
-6.74997,0.999491,1.04594,1,3,0,6.75019,0.242251
-6.76334,0.981417,1.04594,2,3,0,6.84449,0.272294
-6.76334,0.551901,1.04594,1,3,0,8.25265,0.272294
-7.69253,0.831783,1.04594,2,3,0,7.77936,0.108736
-6.74855,0.958235,1.04594,1,3,0,7.66553,0.245935
-6.75072,0.998765,1.04594,2,3,0,6.75502,0.259253
-6.74828,0.990881,1.04594,2,3,0,6.79358,0.252843
-6.74828,0.777819,1.04594,1,3,0,7.67677,0.252843
-7.16929,0.734569,1.04594,2,3,0,8.07738,0.374495
-9.11322,0.71586,1.04594,2,3,0,9.17271,0.559001
-7.05205,0.970313,1.04594,1,3,0,9.40159,0.16188
-7.7466,0.943742,1.04594,2,3,0,7.82629,0.446941
-7.26287,1,1.04594,1,1,0,7.70321,0.388489
-6.97788,1,1.04594,1,1,0,7.21018,0.340375
-6.82588,0.666235,1.04594,2,3,0,8.4379,0.301345
-6.75728,1,1.04594,2,3,0,6.82481,0.233251
-6.79498,0.989339,1.04594,1,1,0,6.79499,0.213059
-7.7462,0.820504,1.04594,1,3,0,7.86572,0.105737
-7.36599,1,1.04594,1,1,0,7.72956,0.130634
-6.75076,0.915393,1.04594,2,3,0,7.90256,0.259325
-6.92935,0.950214,1.04594,1,3,0,6.982,0.180194
-6.92935,0.935855,1.04594,1,1,0,7.16335,0.180194
-7.77385,0.903636,1.04594,2,3,0,8.11757,0.449773
-7.77385,0.577766,1.04594,1,1,0,8.8755,0.449773
-7.35732,1,1.04594,1,1,0,7.79678,0.401463
-6.87883,1,1.04594,1,1,0,7.19544,0.31725
-6.77119,0.992292,1.04594,1,3,0,6.91323,0.223759
-7.47264,0.874471,1.04594,2,3,0,7.69642,0.122669
-6.74861,1,1.04594,2,3,0,7.40871,0.245721
-6.75522,0.992958,1.04594,2,3,0,6.78367,0.265198
-7.06923,0.742212,1.04594,2,3,0,7.97368,0.357833
-6.81692,1,1.04594,1,1,0,6.98584,0.298196
-6.81692,0.364323,1.04594,1,3,0,9.24204,0.298196
-7.10314,0.709131,1.04594,2,3,0,8.18828,0.155649
-6.90063,1,1.04594,1,1,0,7.06434,0.18552
-7.4892,0.85551,1.04594,1,3,0,7.8246,0.418099
-7.33197,1,1.04594,1,1,0,7.62568,0.398079
-6.8185,0.984338,1.04594,1,3,0,7.40251,0.205136
-7.42322,0.892177,1.04594,1,3,0,7.45248,0.126243
-6.79245,1,1.04594,1,3,0,7.31277,0.214029
-6.7563,0.994508,1.04594,2,3,0,6.81711,0.266313
-6.74805,1,1.04594,1,3,0,6.75446,0.250913
-6.87793,0.966108,1.04594,1,3,0,6.90181,0.190161
-6.85645,1,1.04594,1,1,0,6.89711,0.195007
-6.83554,1,1.04594,2,3,0,6.87058,0.200284
-6.75062,1,1.04594,2,3,0,6.82991,0.259084
-6.74848,0.988472,1.04594,2,3,0,6.80473,0.25379
-6.97661,0.941132,1.04594,1,3,0,6.99056,0.340112
-7.0604,0.497382,1.04594,2,3,0,9.86895,0.356255
-6.8052,1,1.04594,1,1,0,6.97411,0.293769
-7.12783,0.948585,1.04594,2,3,0,7.12989,0.36784
-7.10849,1,1.04594,1,1,0,7.24625,0.36462
-6.81946,0.980793,1.04594,1,3,0,7.21466,0.204849
-7.39123,0.889295,1.04594,2,3,0,7.69137,0.128662
-6.84215,1,1.04594,1,3,0,7.27493,0.198547
-7.45428,0.897017,1.04594,1,3,0,7.47519,0.123975
-6.75787,0.954568,1.04594,1,3,0,7.49211,0.267815
-6.74844,0.999702,1.04594,1,3,0,6.75776,0.246394
-6.77886,0.991228,1.04594,2,3,0,6.79975,0.219846
-6.74838,0.9862,1.04594,2,3,0,6.86464,0.246641
-6.81025,0.980331,1.04594,2,3,0,6.85726,0.295724
-6.99419,0.937678,1.04594,1,1,0,7.00063,0.3437
-7.34177,0.877095,1.04594,1,1,0,7.39788,0.399394
-6.9559,0.931716,1.04594,1,3,0,7.69783,0.175703
-6.84578,1,1.04594,1,1,0,6.93722,0.19762
-6.85862,0.771056,1.04594,2,3,0,8.5153,0.194496
-6.76959,0.98907,1.04594,1,3,0,6.89816,0.276538
-6.83317,0.991485,1.04594,2,3,0,6.83483,0.303785
-7.13438,0.897814,1.04594,1,1,0,7.14251,0.368911
-6.75782,0.936569,1.04594,2,3,0,7.44713,0.232778
-6.99083,0.946118,1.04594,2,3,0,7.11915,0.170296
-6.96081,1,1.04594,1,1,0,7.03128,0.174912
-6.80601,1,1.04594,2,3,0,6.92159,0.209125
-7.03597,0.959186,1.04594,1,3,0,7.03631,0.163979
-7.05529,0.995731,1.04594,1,1,0,7.1222,0.161465
-6.90319,0.916547,1.04594,2,3,0,7.69873,0.323529
-8.85495,0.472623,1.04594,1,1,0,8.85667,0.541255
-7.91022,1,1.04594,1,1,0,8.84353,0.46342
-7.91022,0.271286,1.04594,1,1,0,10.1362,0.46342
-7.66366,1,1.04594,1,1,0,8.13364,0.438084
-7.66366,0.55457,1.04594,1,1,0,8.78031,0.438084
-6.79014,1,1.04594,1,3,0,7.35284,0.287391
-6.85146,0.993143,1.04594,2,3,0,6.85856,0.309504
-6.76383,1,1.04594,1,1,0,6.82264,0.272652
-7.08172,0.904967,1.04594,1,3,0,7.22383,0.158186
-7.45643,0.89564,1.04594,1,3,0,8.03509,0.414104
-7.62508,0.935302,1.04594,1,1,0,7.87137,0.433833
-6.74803,1,1.04594,1,3,0,7.3864,0.250445
-6.75229,0.99858,1.04594,2,3,0,6.75571,0.26167
-6.74806,0.999509,1.04594,2,3,0,6.75494,0.251035
-7.25331,0.906141,1.04594,2,3,0,7.36698,0.140222
-6.75386,0.971696,1.04594,1,3,0,7.26233,0.263669
-6.77194,0.981842,1.04594,2,3,0,6.83412,0.277981
-6.84015,0.990907,1.04594,2,3,0,6.84213,0.306029
-6.77322,0.992219,1.04594,1,3,0,6.88164,0.222663
-6.76838,0.910649,1.04594,2,3,0,7.26019,0.27577
-7.56118,0.782605,1.04594,1,3,0,7.92237,0.116705
-7.02335,1,1.04594,1,1,0,7.45207,0.165679
-6.7837,0.985339,1.04594,2,3,0,7.14398,0.217641
-6.94875,0.872691,1.04594,2,3,0,7.61962,0.176877
-7.01537,0.984696,1.04594,1,1,0,7.05208,0.166778
-6.7519,0.947587,1.04594,2,3,0,7.45331,0.239096
-6.96729,0.927652,1.04594,2,3,0,7.16016,0.33816
-7.16231,0.930147,1.04594,1,1,0,7.21868,0.373396
-6.76888,1,1.04594,1,3,0,7.02927,0.276093
-7.05138,0.912185,1.04594,1,3,0,7.19454,0.161965
-8.49615,0.834037,1.04594,2,3,0,9.25004,0.514444
-7.48949,1,1.04594,2,3,0,8.20575,0.121492
-7.28571,1,1.04594,1,1,0,7.52282,0.137322
-6.98572,1,1.04594,1,1,0,7.23161,0.171056
-7.9384,0.459308,1.04594,2,3,0,11.6931,0.0960071
-6.77844,1,1.04594,2,3,0,7.66979,0.281639
-7.42889,0.594327,1.04594,2,3,0,8.91571,0.125823
-8.23334,0.924977,1.04594,2,3,0,8.23624,0.492863
-6.9908,1,1.04594,1,1,0,7.77837,0.343017
-6.80833,1,1.04594,2,3,0,6.96222,0.208352
-6.7574,0.967258,1.04594,2,3,0,7.03699,0.233146
-9.3938,0.519194,1.04594,1,3,0,9.57157,0.577038
-6.77295,1,1.04594,1,3,0,8.77286,0.222807
-6.82934,0.98467,1.04594,1,1,0,6.83025,0.201985
-6.90537,0.980838,1.04594,1,1,0,6.91478,0.184601
-6.84492,0.976729,1.04594,2,3,0,7.1342,0.197838
-8.66703,0.641685,1.04594,1,3,0,9.0089,0.527556
-8.79472,0.949671,1.04594,1,1,0,9.53361,0.536942
-7.94277,1,1.04594,1,1,0,8.83971,0.466558
-7.94277,0.5349,1.04594,1,3,0,9.56917,0.466558
-7.94277,0.710744,1.04594,1,3,0,9.04634,0.466558
-6.93879,1,1.04594,2,3,0,7.57748,0.331937
-6.76871,1,1.04594,1,1,0,6.88148,0.275983
-6.95737,0.967986,1.04594,2,3,0,6.97719,0.175464
-7.24413,0.919174,1.04594,1,3,0,7.62375,0.385786
-6.88284,1,1.04594,2,3,0,7.19069,0.189119
-7.09456,0.951321,1.04594,1,1,0,7.09985,0.156653
-6.7733,0.987862,1.04594,2,3,0,7.18596,0.222618
-6.97645,0.9653,1.04594,2,3,0,7.05334,0.34008
-7.96103,0.68505,1.04594,1,1,0,7.98875,0.468301
-7.52883,1,1.04594,1,1,0,8.04232,0.42282
-7.17213,1,1.04594,1,1,0,7.511,0.374939
-7.17213,0.269911,1.04594,1,1,0,9.19051,0.374939
-7.9109,0.748145,1.04594,1,1,0,8.01074,0.463486
-7.21913,1,1.04594,1,1,0,7.75741,0.382109
-7.52214,0.679176,1.04594,1,3,0,8.62738,0.11927
-8.39697,0.877311,1.04594,1,1,0,8.40341,0.0775509
-6.99153,1,1.04594,1,3,0,8.21511,0.170192
-8.5226,0.798058,1.04594,1,3,0,8.65451,0.0733677
-6.84801,0.831965,1.04594,2,3,0,9.51931,0.308463
-6.80358,0.977659,1.04594,2,3,0,6.98499,0.209952
-6.97013,0.958144,1.04594,1,1,0,6.97027,0.173438
-6.97013,0.873632,1.04594,1,3,0,7.7595,0.173438
-6.82572,1,1.04594,1,1,0,6.9366,0.20301
-7.03044,0.983441,1.04594,2,3,0,7.03085,0.164717
-6.90658,1,1.04594,2,3,0,7.01953,0.18437
-6.8737,1,1.04594,1,1,0,6.92488,0.191076
-7.46261,0.908099,1.04594,1,3,0,7.47306,0.123379
-7.83651,0.940773,1.04594,1,1,0,7.89825,0.100982
-6.82466,1,1.04594,1,3,0,7.69767,0.203314
-7.67061,0.856892,1.04594,2,3,0,7.98891,0.110001
-7.19638,1,1.04594,1,1,0,7.59936,0.145649
-6.93862,1,1.04594,1,1,0,7.14713,0.178584
-7.12379,0.958866,1.04594,1,1,0,7.13968,0.153296
-6.8826,1,1.04594,1,1,0,7.07059,0.189169
-7.12194,0.802474,1.04594,2,3,0,8.52613,0.153504
-6.75414,0.998138,1.04594,1,3,0,7.06362,0.236344
-6.75372,1,1.04594,2,3,0,6.75563,0.236817
-6.78622,0.993007,1.04594,1,3,0,6.78626,0.216557
-7.20208,0.918773,1.04594,1,3,0,7.22203,0.145086
-6.79479,0.807974,1.04594,2,3,0,8.90231,0.213128
-7.88555,0.754886,1.04594,1,3,0,8.08466,0.461012
-9.96069,0.434141,1.04594,1,1,0,10.2563,0.610183
-7.72051,1,1.04594,2,3,0,9.882,0.107156
-7.76163,0.993688,1.04594,1,1,0,7.94663,0.1049
-6.86758,0.913258,1.04594,2,3,0,8.6548,0.314166
-6.76327,1,1.04594,1,1,0,6.83301,0.272241
-6.81066,0.939805,1.04594,2,3,0,7.01575,0.295879
-6.76479,1,1.04594,1,1,0,6.79693,0.273344
-6.93298,0.946226,1.04594,1,3,0,7.02332,0.179557
-6.78305,0.874924,1.04594,2,3,0,7.76001,0.284017
-6.75894,1,1.04594,1,1,0,6.77633,0.268769
-6.75373,0.917525,1.04594,2,3,0,7.14142,0.236804
-6.76279,0.83775,1.04594,2,3,0,7.65739,0.228942
-6.74812,0.994557,1.04594,2,3,0,6.79496,0.251775
-6.78174,0.990928,1.04594,1,3,0,6.78809,0.218512
-6.80731,0.997678,1.04594,2,3,0,6.81261,0.208688
-6.80731,0.478323,1.04594,1,3,0,9.29229,0.208688
-7.65944,0.843797,1.04594,1,3,0,7.74172,0.110655
-7.78686,0.980381,1.04594,1,1,0,7.93571,0.103553
-7.2662,1,1.04594,2,3,0,7.71304,0.139053
-7.2662,0.954891,1.04594,1,1,0,7.5289,0.139053
-6.93198,0.916834,1.04594,2,3,0,7.9932,0.33039
-6.78091,1,1.04594,1,1,0,6.88179,0.282932
-6.91429,0.955646,1.04594,1,1,0,6.91599,0.326237
-6.98846,0.973559,1.04594,1,1,0,7.03621,0.342544
-6.80855,0.983025,1.04594,1,3,0,7.08567,0.208277
-8.04109,0.776549,1.04594,1,3,0,8.22509,0.0913606
-6.88387,0.875067,1.04594,1,3,0,8.47831,0.31859
-6.85281,1,1.04594,1,1,0,6.90377,0.309907
-6.75794,1,1.04594,1,3,0,6.82179,0.267875
-6.75794,0.685764,1.04594,1,3,0,8.16904,0.267875
-6.77036,0.97902,1.04594,2,3,0,6.84764,0.277017
-6.76802,0.971208,1.04594,2,3,0,6.88748,0.275537
-6.912,0.977004,1.04594,2,3,0,6.91205,0.325687
-6.93243,0.992713,1.04594,1,1,0,6.98549,0.330492
-6.76585,0.99935,1.04594,2,3,0,6.9532,0.226909
-6.76061,1,1.04594,1,1,0,6.76709,0.230521
-7.05477,0.935825,1.04594,1,3,0,7.0767,0.161531
-7.91746,0.937631,1.04594,2,3,0,8.0823,0.464122
-8.37082,0.832094,1.04594,1,1,0,8.77936,0.504382
-7.28277,1,1.04594,2,3,0,8.06168,0.391308
-7.28277,0.433622,1.04594,1,1,0,8.62555,0.391308
-6.75108,1,1.04594,1,3,0,7.12568,0.259855
-6.74852,0.984253,1.04594,2,3,0,6.82472,0.253958
-6.85304,0.971745,1.04594,1,3,0,6.87637,0.195827
-6.78198,1,1.04594,2,3,0,6.83528,0.218405
-7.24674,0.905586,1.04594,2,3,0,7.47311,0.140826
-7.07004,1,1.04594,1,1,0,7.24962,0.159614
-7.66069,0.963416,1.04594,2,3,0,7.66148,0.110582
-7.84897,0.9905,1.04594,2,3,0,7.98069,0.100352
-7.91476,0.990533,1.04594,1,1,0,8.11051,0.0971275
-7.24663,1,1.04594,1,1,0,7.80247,0.140837
-6.74899,0.978176,1.04594,1,3,0,7.22911,0.255535
-6.7683,0.99519,1.04594,1,3,0,6.76866,0.275715
-6.83448,0.978273,1.04594,1,1,0,6.83578,0.304209
-6.7929,0.987028,1.04594,2,3,0,6.92083,0.213852
-7.45238,0.87394,1.04594,1,3,0,7.507,0.124111
-8.03653,0.970346,1.04594,2,3,0,8.06451,0.0915597
-7.27546,1,1.04594,1,1,0,7.90818,0.138226
-9.15419,0.800447,1.04594,2,3,0,9.73016,0.056266
-8.13336,1,1.04594,1,1,0,9.06194,0.0874627
-6.81295,0.996916,1.04594,2,3,0,8.09475,0.206857
-6.77922,0.987881,1.04594,2,3,0,6.91211,0.219676
-6.78508,0.926533,1.04594,2,3,0,7.18761,0.285011
-6.89463,0.963401,1.04594,1,1,0,6.89792,0.321379
-6.79357,1,1.04594,1,1,0,6.86577,0.288928
-6.89739,0.965076,1.04594,1,1,0,6.90298,0.322077
-6.89832,0.999671,1.04594,1,1,0,6.94881,0.322311
-8.11798,0.632021,1.04594,2,3,0,9.2039,0.0880956
-7.43859,1,1.04594,1,1,0,8.02656,0.125111
-6.92081,0.996129,1.04594,1,3,0,7.32549,0.181721
-8.28292,0.718745,1.04594,1,3,0,8.72297,0.497079
-7.48938,1,1.04594,1,1,0,8.1803,0.41812
-6.93295,1,1.04594,1,1,0,7.30743,0.330612
-6.76303,0.996991,1.04594,2,3,0,6.96353,0.228773
-6.78454,0.991181,1.04594,2,3,0,6.82101,0.28475
-9.92622,0.440862,1.04594,1,3,0,9.9621,0.608279
-6.96182,1,1.04594,1,3,0,9.78311,0.174749
-6.75232,0.993419,1.04594,2,3,0,7.00026,0.238532
-8.44612,0.648464,1.04594,1,3,0,8.9983,0.0758768
-11.517,0.775797,1.04594,1,3,0,11.7559,0.023076
-6.83476,1,1.04594,2,3,0,10.6539,0.200495
-6.77791,0.987456,1.04594,2,3,0,6.93635,0.220298
-8.26388,0.399333,1.04594,2,3,0,11.4661,0.0823465
-7.43268,1,1.04594,1,1,0,8.13849,0.125544
-6.83278,0.932022,1.04594,1,3,0,7.64295,0.303655
-7.04974,0.905052,1.04594,2,3,0,7.30605,0.162177
-7.04974,0.950191,1.04594,1,1,0,7.26943,0.162177
-8.96415,0.652302,1.04594,2,3,0,10.3367,0.548902
-8.96415,0.60035,1.04594,1,1,0,10.503,0.548902
-7.04279,1,1.04594,1,1,0,8.2359,0.353046
-7.07025,0.989833,1.04594,1,1,0,7.17035,0.358015
-6.76788,0.994804,1.04594,1,3,0,7.0678,0.22566
-9.11186,0.558471,1.04594,1,3,0,9.31249,0.55891
-8.15718,1,1.04594,1,1,0,9.19334,0.486242
-7.43906,1,1.04594,1,1,0,8.07062,0.411951
-6.80443,0.991195,1.04594,1,3,0,7.45601,0.209659
-6.74802,0.999376,1.04594,1,3,0,6.79622,0.250043
-7.3526,0.742774,1.04594,2,3,0,8.26892,0.131704
-6.94512,1,1.04594,2,3,0,7.26446,0.177483
-7.07717,0.970303,1.04594,1,1,0,7.10151,0.158738
-8.21302,0.769042,1.04594,1,3,0,8.87824,0.491114
-6.85201,1,1.04594,1,1,0,7.70298,0.309669
-8.08718,0.80669,1.04594,2,3,0,8.08778,0.479994
-6.75603,1,1.04594,1,3,0,7.77966,0.234405
-7.28529,0.882386,1.04594,1,3,0,7.3618,0.137359
-7.06018,1,1.04594,1,1,0,7.26861,0.160845
-7.06018,0.799257,1.04594,1,3,0,8.56479,0.160845
-7.2209,0.713397,1.04594,2,3,0,9.68771,0.143257
-6.76674,1,1.04594,1,3,0,7.1406,0.226347
-8.57264,0.632802,1.04594,1,3,0,8.74514,0.520395
-7.06015,1,1.04594,1,1,0,8.01811,0.35621
-7.03458,1,1.04594,1,1,0,7.14791,0.351518
-6.81128,1,1.04594,1,1,0,6.96149,0.296115
-7.6861,0.702692,1.04594,2,3,0,8.51764,0.109104
-7.06972,1,1.04594,2,3,0,7.56536,0.159653
-7.36494,0.941535,1.04594,1,1,0,7.38675,0.130717
-6.82931,0.937937,1.04594,2,3,0,7.56137,0.302505
-7.05336,0.97028,1.04594,2,3,0,7.05689,0.161712
-6.7495,0.949953,1.04594,2,3,0,7.36756,0.256841
-6.7904,0.989663,1.04594,1,3,0,6.79141,0.28751
-7.01695,0.674392,1.04594,2,3,0,8.30397,0.348173
-7.01695,0.367814,1.04594,1,1,0,8.57553,0.348173
-7.01891,0.902057,1.04594,2,3,0,7.49821,0.166287
-10.6323,0.467316,1.04594,1,3,0,11.4237,0.644809
-7.23706,1,1.04594,1,1,0,9.32445,0.384755
-6.80094,0.987956,1.04594,2,3,0,7.36158,0.210875
-6.75893,1,1.04594,1,1,0,6.78909,0.231847
-7.00386,0.934894,1.04594,1,3,0,7.06107,0.345623
-6.95549,1,1.04594,2,3,0,7.05164,0.335631
-7.17696,0.973709,1.04594,2,3,0,7.22726,0.375692
-6.78712,1,1.04594,1,1,0,7.04066,0.285991
-7.19581,0.92764,1.04594,2,3,0,7.2275,0.145706
-11.4691,0.433777,1.04594,1,3,0,12.8511,0.0234764
-11.4597,1,1.04594,1,1,0,11.9642,0.0235555
-12.884,0.956659,1.04594,1,1,0,12.9432,0.0142411
-7.65684,0.977223,1.04594,1,3,0,13.9326,0.110808
-7.31894,1,1.04594,1,1,0,7.6468,0.134472
-7.25534,1,1.04594,1,1,0,7.40625,0.140037
-7.82461,0.904202,1.04594,1,1,0,7.83735,0.101589
-10.3365,0.797149,1.04594,1,3,0,10.5027,0.0355466
-9.15073,1,1.04594,1,1,0,10.2918,0.0563451
-7.71989,0.929433,1.04594,1,3,0,8.9677,0.10719
-7.05192,0.888519,1.04594,2,3,0,8.34029,0.354721
-6.78786,1,1.04594,1,1,0,6.96094,0.286337
-6.82592,0.847002,1.04594,2,3,0,7.48444,0.202952
-6.80826,0.982767,1.04594,2,3,0,6.98125,0.208374
-10.4949,0.513221,1.04594,2,3,0,10.6073,0.0335053
-9.16849,1,1.04594,1,1,0,10.4251,0.0559407
-7.84786,0.915882,1.04594,1,3,0,9.00453,0.100408
-7.35837,1,1.04594,1,1,0,7.79608,0.131241
-6.82489,1,1.04594,1,3,0,7.24662,0.203248
-6.95871,0.958734,1.04594,1,3,0,7.11088,0.336328
-6.78118,0.9958,1.04594,2,3,0,7.00443,0.218767
-7.15573,0.925582,1.04594,1,3,0,7.17323,0.14982
-9.60958,0.725489,1.04594,1,3,0,9.95902,0.0469359
-7.01949,0.984547,1.04594,1,3,0,9.59595,0.166207
-6.87438,1,1.04594,1,1,0,6.9945,0.190928
-6.76548,0.984434,1.04594,2,3,0,6.94023,0.273831
-6.86195,0.968444,1.04594,1,1,0,6.86219,0.312573
-6.78444,0.989434,1.04594,1,3,0,6.92278,0.217319
-7.10492,0.915169,1.04594,1,3,0,7.21996,0.364018
-6.74953,0.807566,1.04594,2,3,0,7.85894,0.256905
-6.83366,0.978401,1.04594,1,3,0,6.83679,0.303943
-6.83366,0.523022,1.04594,1,3,0,9.38199,0.303943
-7.13838,0.954055,1.04594,2,3,0,7.14543,0.151685
-7.33653,0.98709,1.04594,2,3,0,7.38408,0.133011
-7.98032,0.897468,1.04594,1,1,0,7.9928,0.0940684
-7.78153,1,1.04594,1,1,0,8.09699,0.103835
-7.7908,0.998601,1.04594,1,1,0,7.99581,0.103345
-7.66279,1,1.04594,1,1,0,7.9201,0.110458
-7.28096,1,1.04594,1,1,0,7.63202,0.137739
-7.95485,0.890225,1.04594,1,1,0,7.96163,0.0952394
-8.02988,0.989716,1.04594,1,1,0,8.2372,0.0918513
-7.52865,1,1.04594,1,1,0,7.99922,0.118835
-6.79149,1,1.04594,1,3,0,7.41326,0.214405
-6.75065,0.997638,1.04594,1,3,0,6.79471,0.259135
-7.97547,0.709318,1.04594,1,3,0,8.43572,0.0942899
-6.92415,1,1.04594,1,3,0,7.80619,0.181119
-7.10568,0.95921,1.04594,1,1,0,7.11967,0.155355
-7.54604,0.917458,1.04594,1,1,0,7.55692,0.117688
-7.11149,1,1.04594,1,1,0,7.47319,0.154687
-6.80541,1,1.04594,1,3,0,7.03761,0.209328
