# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = surveyunbias_model
# start_datetime = 2023-01-12 09:08:22 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\surveyunbias\surveyunbias.data.R
# init = 2 (Default)
# random
#   seed = 2892388467 (Default)
# output
#   file = examples\surveyunbias\surveyunbiasvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,bias.1,bias.2
0,-5.69265,-0.146812,0.896783,0.340946
0,-5.9512,-0.333298,0.927067,0.67378
0,-5.4992,-0.103808,0.847969,0.352037
0,-9.79116,-3.23541,0.190091,0.641404
0,-5.87904,-0.276564,0.941367,0.559267
0,-6.64033,-0.831973,0.940288,0.787561
0,-8.2652,-2.58855,0.51293,0.903284
0,-6.04771,-0.360662,0.906545,0.262299
0,-6.55848,-0.844163,0.969691,0.358694
0,-6.14983,-0.698484,0.805162,0.797612
0,-7.37467,-1.70952,0.359652,0.410004
0,-6.19429,-0.600559,0.827271,0.198066
0,-8.1159,-2.31282,0.856899,0.933329
0,-5.83276,-0.500523,0.730102,0.266469
0,-5.90124,-0.268122,0.939706,0.406375
0,-6.08925,-0.450561,0.9567,0.499769
0,-5.62284,-0.0939962,0.910363,0.41222
0,-7.98098,-1.90034,0.974382,0.141784
0,-7.23687,-1.67212,0.748695,0.893115
0,-9.19546,-3.21084,0.46037,0.0695463
0,-5.58462,-0.0778002,0.901964,0.402902
0,-6.76964,-0.97017,0.961476,0.751505
0,-6.30216,-0.626284,0.960172,0.631706
0,-6.59108,-0.929408,0.865109,0.839438
0,-5.50361,-0.0872006,0.859647,0.360326
0,-5.27722,-0.0420956,0.812474,0.503665
0,-5.40864,-0.271618,0.707896,0.445881
0,-5.84149,-0.22608,0.935151,0.410574
0,-8.10674,-2.46127,0.528413,0.899305
0,-6.55162,-1.01043,0.807184,0.843403
0,-7.1401,-1.56935,0.378381,0.475855
0,-9.01871,-3.21963,0.591155,0.0519517
0,-5.88117,-0.277809,0.942348,0.546963
0,-7.53489,-1.78344,0.982961,0.241622
0,-5.56178,-0.0981659,0.874779,0.354732
0,-6.4146,-1.01375,0.723809,0.820979
0,-6.5566,-0.82665,0.848405,0.160139
0,-5.69686,-0.17443,0.908359,0.634374
0,-5.534,-0.0555816,0.895185,0.411986
0,-6.03988,-0.804133,0.632386,0.720731
0,-6.50254,-0.833214,0.968789,0.628263
0,-6.28099,-0.58847,0.954619,0.664786
0,-6.8063,-1.3688,0.425725,0.588197
0,-5.72762,-0.177394,0.92227,0.597073
0,-6.40383,-0.812484,0.791978,0.171694
0,-5.56274,-0.0653872,0.902438,0.419697
0,-5.70709,-0.202767,0.895769,0.665829
0,-5.33198,-0.0249442,0.846319,0.548726
0,-6.41488,-0.843022,0.838973,0.826733
0,-5.55589,-0.433822,0.664091,0.582381
0,-5.91098,-0.298074,0.945815,0.505095
0,-5.53735,-0.300296,0.771701,0.671724
0,-5.28809,-0.0726009,0.794624,0.459691
0,-6.31358,-0.635692,0.964359,0.41295
0,-6.66754,-0.975607,0.97097,0.667369
0,-6.20795,-0.882349,0.59101,0.278346
0,-9.35383,-3.50028,0.539377,0.0495994
0,-7.39393,-1.48533,0.975555,0.211313
0,-8.31997,-2.66272,0.783648,0.941994
0,-6.28525,-0.631066,0.963233,0.585714
0,-6.31393,-0.520393,0.926301,0.240556
0,-5.93267,-0.738141,0.563214,0.433787
0,-7.71593,-2.08287,0.985185,0.767018
0,-8.16418,-2.2084,0.341145,0.232805
0,-5.93966,-0.280249,0.917782,0.306222
0,-7.33509,-1.68745,0.489716,0.182316
0,-6.92926,-1.08632,0.970252,0.260583
0,-5.57014,-0.0685689,0.903723,0.419828
0,-5.53769,-0.368127,0.689564,0.385084
0,-5.47562,-0.354896,0.675501,0.46772
0,-5.43294,-0.143503,0.822553,0.63436
0,-7.88438,-1.74248,0.96571,0.129015
0,-6.88401,-1.34362,0.768448,0.870653
0,-6.08886,-0.690022,0.716111,0.224855
0,-7.45043,-1.50804,0.924955,0.883585
0,-6.81919,-0.997293,0.918118,0.836099
0,-6.12186,-0.451567,0.939452,0.685193
0,-5.76296,-0.585961,0.660198,0.671432
0,-6.53221,-1.18059,0.455933,0.534052
0,-5.48864,-0.0461255,0.894473,0.551323
0,-7.44053,-1.74304,0.394753,0.276047
0,-5.9131,-0.262527,0.929755,0.348197
0,-6.08019,-0.426185,0.945567,0.643904
0,-7.93898,-2.33943,0.56672,0.900849
0,-5.83046,-0.240405,0.937748,0.554845
0,-5.61914,-0.451895,0.660437,0.385858
0,-5.34867,-0.0407146,0.833334,0.417629
0,-6.46219,-0.706544,0.92718,0.782253
0,-5.50432,-0.385444,0.677147,0.571829
0,-6.79042,-0.863887,0.920548,0.168925
0,-5.64714,-0.107822,0.909913,0.395145
0,-6.61006,-0.987045,0.975633,0.445075
0,-5.66178,-0.114298,0.914612,0.406226
0,-8.96019,-3.19994,0.701291,0.044105
0,-6.17082,-0.442062,0.907169,0.239819
0,-5.7037,-0.336043,0.823347,0.717617
0,-5.90029,-0.292846,0.942652,0.563821
0,-5.3536,-0.0723139,0.815704,0.404083
0,-6.78031,-1.22088,0.980055,0.539245
0,-6.0384,-0.486546,0.873002,0.764907
0,-6.02027,-0.822349,0.546021,0.568222
0,-5.58791,-0.16822,0.868729,0.662043
0,-8.57246,-3.67711,0.994911,0.265111
0,-7.57701,-1.82998,0.358061,0.327657
0,-6.92038,-1.24375,0.976568,0.686411
0,-8.40205,-2.16154,0.962096,0.091498
0,-5.92392,-0.310321,0.946385,0.524945
0,-5.62203,-0.418662,0.727936,0.679984
0,-7.13727,-1.31481,0.975787,0.255656
0,-5.67523,-0.141771,0.919836,0.574347
0,-5.7119,-0.245149,0.843001,0.28601
0,-9.90901,-3.30783,0.183931,0.6388
0,-5.85482,-0.589212,0.725596,0.736403
0,-5.73568,-0.159815,0.928292,0.438682
0,-5.37405,-0.00218111,0.871334,0.499308
0,-8.55229,-2.47691,0.943543,0.929311
0,-5.59671,-0.111818,0.879704,0.34811
0,-8.29233,-2.33188,0.977931,0.872309
0,-7.47845,-1.80894,0.359924,0.643626
0,-5.95349,-0.446766,0.86142,0.755979
0,-6.45516,-0.738708,0.904273,0.805395
0,-5.81428,-0.220624,0.938181,0.480955
0,-5.3495,-0.000181907,0.861896,0.481695
0,-6.2781,-0.8903,0.739566,0.807876
0,-6.71124,-1.26847,0.462956,0.33303
0,-6.49602,-1.0017,0.695131,0.176919
0,-6.0928,-0.719587,0.762639,0.78682
0,-8.89628,-2.74409,0.342772,0.143401
0,-6.61862,-0.98684,0.974283,0.599737
0,-6.84261,-1.4005,0.437451,0.649606
0,-8.19376,-1.97482,0.959171,0.0992847
0,-8.19074,-2.26129,0.30192,0.677176
0,-7.31396,-1.26535,0.958057,0.164297
0,-5.64876,-0.41244,0.748274,0.696842
0,-6.16868,-0.514774,0.863845,0.210497
0,-6.09611,-0.469896,0.903665,0.750571
0,-6.32156,-0.534065,0.943856,0.278254
0,-5.46932,-0.0422993,0.889219,0.557771
0,-7.31186,-1.77136,0.493954,0.818023
0,-11.7455,-6.09193,0.46715,0.0179959
0,-5.47979,-0.258489,0.772194,0.65197
0,-5.36972,-0.241864,0.71593,0.484583
0,-7.53886,-1.51498,0.895669,0.0987685
0,-6.89086,-1.36231,0.982386,0.468204
0,-5.77734,-0.199221,0.934995,0.51802
0,-7.18852,-1.26147,0.941496,0.849035
0,-5.37108,-0.0823875,0.831702,0.598612
0,-8.38801,-2.37144,0.276823,0.636037
0,-6.96804,-1.5172,0.527493,0.799291
0,-7.86639,-1.98682,0.978185,0.833838
0,-5.426,-0.309232,0.696616,0.54261
0,-6.48784,-0.785991,0.842762,0.166105
0,-5.45072,-0.125389,0.839585,0.633863
0,-6.33107,-0.687636,0.966626,0.553154
0,-5.52387,-0.410376,0.656773,0.505531
0,-8.38379,-2.407,0.913804,0.933977
0,-9.2856,-3.05603,0.97735,0.0722052
0,-6.91409,-0.987701,0.960319,0.21999
0,-7.07514,-1.4701,0.660658,0.131745
0,-5.73987,-0.197799,0.913352,0.638158
0,-6.7281,-0.934314,0.913201,0.830444
0,-7.40957,-1.73781,0.473457,0.185788
0,-6.11684,-0.450999,0.955385,0.419892
0,-5.94239,-0.405697,0.83835,0.237965
0,-6.12957,-0.620123,0.840108,0.790951
0,-8.80986,-3.24282,0.68822,0.951449
0,-5.84378,-0.304438,0.858094,0.263514
0,-5.98304,-0.311883,0.912608,0.285376
0,-6.34331,-0.624308,0.951418,0.699553
0,-5.92004,-0.688948,0.672326,0.723019
0,-5.42906,-0.0197002,0.884607,0.528713
0,-6.46925,-0.681402,0.958453,0.300714
0,-9.00471,-3.24505,0.657536,0.045911
0,-6.39503,-0.575122,0.927204,0.228283
0,-5.92645,-0.312779,0.943179,0.580114
0,-7.71288,-1.78522,0.972968,0.837874
0,-7.26293,-1.32027,0.944938,0.851611
0,-5.65132,-0.426979,0.696798,0.331752
0,-8.82903,-2.84275,0.980299,0.900363
0,-6.52557,-0.855294,0.820637,0.159737
0,-5.31248,-0.164299,0.747897,0.498789
0,-5.84602,-0.68028,0.604901,0.627308
0,-7.66284,-1.96796,0.392051,0.762886
0,-8.92327,-2.68787,0.97404,0.082286
0,-5.35536,-0.100517,0.815092,0.597205
0,-9.22143,-3.35798,0.436835,0.924918
0,-7.31488,-1.37066,0.956509,0.838803
0,-5.68526,-0.552043,0.62791,0.587785
0,-5.72064,-0.515278,0.704518,0.694442
0,-8.07091,-2.19491,0.883686,0.928514
0,-6.55702,-0.689745,0.943092,0.230946
0,-6.87441,-1.2067,0.770171,0.129965
0,-6.96249,-1.39598,0.982308,0.398689
0,-5.67738,-0.14249,0.920444,0.571993
0,-8.84039,-3.27162,0.990229,0.854773
0,-7.09682,-1.28331,0.975553,0.261971
0,-5.32285,-0.173835,0.74973,0.540057
0,-5.30049,-0.0133262,0.836108,0.479503
0,-5.84502,-0.624944,0.683659,0.712955
0,-6.72629,-0.881018,0.963296,0.264995
0,-5.6698,-0.15999,0.90525,0.631128
0,-5.99524,-0.362011,0.941571,0.630848
0,-6.20305,-0.746236,0.735565,0.202793
0,-8.49086,-2.23396,0.954183,0.0799155
0,-6.32692,-0.571593,0.954688,0.320895
0,-6.50085,-0.801372,0.891103,0.819517
0,-5.56527,-0.271023,0.771004,0.319763
0,-5.63478,-0.118434,0.915241,0.57034
0,-5.88899,-0.255039,0.93651,0.391126
0,-5.46333,-0.031883,0.881518,0.418908
0,-7.01016,-1.45715,0.498477,0.218463
0,-5.86669,-0.494686,0.751095,0.253191
0,-8.73364,-2.55989,0.241429,0.500533
0,-6.80895,-1.30458,0.565911,0.195796
0,-11.4322,-5.80673,0.91131,0.0134943
0,-5.34791,-0.217487,0.727357,0.517249
0,-5.35584,-0.000157364,0.865023,0.491271
0,-5.68825,-0.273469,0.817801,0.285102
0,-7.15459,-1.67326,0.608216,0.859562
0,-5.92651,-0.640795,0.726371,0.75071
0,-6.17355,-0.520756,0.957324,0.594271
0,-7.38253,-1.7823,0.983862,0.717203
0,-9.51325,-3.28314,0.978285,0.0651914
0,-6.10244,-0.881779,0.526235,0.542905
0,-6.41315,-1.10753,0.500421,0.64565
0,-5.37056,-0.175876,0.774994,0.603008
0,-6.0714,-0.595117,0.778086,0.214426
0,-5.41664,-0.00894366,0.881602,0.471979
0,-5.5626,-0.081358,0.886953,0.374469
0,-6.52228,-0.857713,0.971831,0.410006
0,-6.98923,-1.15551,0.965213,0.774365
0,-8.33844,-2.32176,0.97429,0.885224
0,-9.71915,-4.02409,0.649245,0.0320893
0,-6.50648,-1.17421,0.532786,0.725407
0,-5.39512,-0.258104,0.725427,0.57541
0,-6.60578,-0.997189,0.975558,0.553206
0,-5.66283,-0.136935,0.916867,0.582909
0,-6.90153,-1.29735,0.980658,0.386735
0,-7.22661,-1.18648,0.92889,0.135561
0,-6.8525,-1.31024,0.981313,0.555181
0,-5.71921,-0.156606,0.902407,0.342531
0,-5.71429,-0.496147,0.718036,0.700544
0,-6.12296,-0.891227,0.519946,0.493026
0,-7.92217,-2.31084,0.744157,0.926633
0,-5.55464,-0.238623,0.817882,0.679149
0,-7.32948,-1.45333,0.84548,0.101432
0,-5.30296,-0.0219624,0.835765,0.528008
0,-6.97063,-1.14466,0.965643,0.769632
0,-5.54568,-0.307631,0.770751,0.674128
0,-9.35228,-3.17288,0.980855,0.0757071
0,-5.3997,-0.00517431,0.877622,0.476792
0,-5.31692,-0.0594262,0.822109,0.565125
0,-5.61106,-0.132934,0.871677,0.333215
0,-6.02453,-0.595681,0.809851,0.779352
0,-5.52806,-0.0877066,0.888456,0.604341
0,-7.05817,-1.51116,0.391506,0.431593
0,-6.50952,-1.02924,0.675164,0.181462
0,-5.33443,-0.191674,0.736185,0.476985
0,-6.72689,-1.03478,0.972268,0.673509
0,-6.26268,-0.554142,0.942673,0.711664
0,-5.821,-0.661161,0.580479,0.477199
0,-5.47591,-0.0561682,0.884945,0.580145
0,-6.77,-1.32663,0.425111,0.447455
0,-7.27547,-1.24258,0.918744,0.124972
0,-6.40233,-0.657424,0.945369,0.734717
0,-5.63814,-0.513275,0.623754,0.497632
0,-5.72236,-0.174406,0.921564,0.597522
0,-5.6059,-0.228479,0.813338,0.305426
0,-5.47661,-0.298885,0.740912,0.636092
0,-5.91768,-0.305355,0.935349,0.629557
0,-5.71363,-0.148651,0.907231,0.355686
0,-6.90539,-1.40177,0.426916,0.356708
0,-6.76387,-0.944407,0.967448,0.279167
0,-6.27045,-0.627911,0.964821,0.530211
0,-5.35249,-0.00971957,0.861229,0.530362
0,-5.39039,-0.208243,0.743357,0.406354
0,-6.82247,-0.904383,0.910214,0.157848
0,-5.66684,-0.386999,0.775831,0.708886
0,-6.28683,-0.615453,0.960206,0.624382
0,-5.94475,-0.331743,0.923608,0.681447
0,-6.35726,-0.788298,0.785487,0.177083
0,-6.73469,-0.945661,0.910159,0.833362
0,-19.0573,-9.86258,0.0367313,0.0583325
0,-5.36953,-0.122792,0.790392,0.393132
0,-5.29631,-0.134605,0.76276,0.514963
0,-5.48247,-0.30659,0.711609,0.386644
0,-5.86056,-0.695922,0.592677,0.609011
0,-8.7254,-2.56734,0.245597,0.582147
0,-10.233,-3.93323,0.353809,0.0636451
0,-5.41838,-0.00941758,0.881893,0.470687
0,-7.04864,-1.04432,0.947511,0.173331
0,-6.45434,-0.614303,0.931617,0.22575
0,-8.20622,-2.32983,0.981259,0.853078
0,-6.48287,-0.702032,0.883567,0.178762
0,-5.82193,-0.27252,0.902924,0.68907
0,-6.79068,-1.35049,0.4201,0.522733
0,-5.93731,-0.756078,0.579159,0.617948
0,-5.792,-0.254096,0.867534,0.280176
0,-5.50058,-0.0363831,0.899922,0.476569
0,-8.15222,-2.01957,0.911553,0.0741891
0,-6.17262,-0.465463,0.952107,0.359324
0,-5.72659,-0.211057,0.86814,0.296455
0,-6.70189,-1.25278,0.489353,0.287472
0,-7.90213,-1.73465,0.935599,0.0957549
0,-5.84225,-0.636223,0.668253,0.701363
0,-6.12961,-0.575641,0.815366,0.205631
0,-7.41114,-1.60992,0.799529,0.0949082
0,-5.51611,-0.369769,0.703782,0.621493
0,-7.15118,-1.22963,0.946809,0.838491
0,-7.28939,-1.2242,0.943492,0.144304
0,-5.70399,-0.479187,0.726396,0.70208
0,-8.98152,-3.14781,0.988698,0.123025
0,-8.49267,-2.84502,0.78128,0.947044
0,-6.55747,-1.08973,0.756684,0.84147
0,-5.71365,-0.574341,0.605344,0.479148
0,-7.11932,-1.20487,0.942533,0.841197
0,-5.38747,-0.026729,0.866596,0.558724
0,-6.33631,-0.885695,0.777689,0.820048
0,-5.95186,-0.34023,0.920425,0.691299
0,-5.42273,-0.227913,0.742464,0.388282
0,-7.1606,-1.76301,0.986902,0.500221
0,-6.40809,-0.975019,0.651761,0.203271
0,-6.30064,-0.974191,0.667499,0.78855
0,-7.84945,-1.81853,0.958779,0.879726
0,-5.30563,-0.147073,0.755273,0.481534
0,-6.92339,-1.21276,0.792691,0.125393
0,-7.61365,-1.83465,0.855449,0.912483
0,-5.55244,-0.215678,0.829939,0.675403
0,-5.3455,-0.037581,0.845323,0.565249
0,-5.78409,-0.308899,0.833395,0.266846
0,-8.41308,-3.05155,0.992157,0.218738
0,-5.382,-0.257236,0.716095,0.542532
0,-6.18164,-0.583557,0.878026,0.784852
0,-5.34444,-0.173773,0.74961,0.43479
0,-6.05669,-0.679767,0.705877,0.233721
0,-6.58047,-0.911354,0.970801,0.636842
0,-5.41999,-0.0658131,0.842621,0.382632
0,-5.53032,-0.153468,0.829817,0.331648
0,-7.52689,-1.97124,0.701129,0.904547
0,-5.61011,-0.22971,0.81419,0.304387
0,-8.91196,-2.68091,0.286775,0.212157
0,-5.9939,-0.795444,0.544157,0.48572
0,-9.88912,-3.63206,0.975915,0.0507616
0,-7.3568,-1.47301,0.847206,0.100056
0,-5.29744,-0.137589,0.760833,0.510575
0,-5.79682,-0.641497,0.586075,0.475181
0,-5.44226,-0.135497,0.830757,0.635082
0,-5.39472,-0.200994,0.769778,0.614019
0,-7.44938,-1.85113,0.448996,0.798017
0,-6.29642,-0.619686,0.959672,0.633742
0,-7.68249,-1.96381,0.691039,0.0887512
0,-7.24354,-1.35913,0.974321,0.227511
0,-8.3467,-2.10456,0.955694,0.0878187
0,-7.04601,-1.51649,0.98323,0.6195
0,-5.83349,-0.243718,0.936161,0.575099
0,-7.55977,-2.01973,0.636537,0.895675
0,-6.60591,-1.18478,0.506735,0.285319
0,-5.8937,-0.28747,0.943292,0.547007
0,-6.64491,-1.0502,0.976947,0.533643
0,-6.74951,-0.975043,0.970611,0.304871
0,-6.11153,-0.456787,0.950637,0.624444
0,-5.84157,-0.237798,0.898213,0.29843
0,-5.30311,-0.0645084,0.803915,0.440769
0,-10.2744,-3.50709,0.19009,0.236634
0,-5.98246,-0.353886,0.950445,0.484576
0,-6.22695,-0.464769,0.937836,0.28247
0,-6.36636,-0.920878,0.769499,0.822773
0,-10.5701,-4.58503,0.444684,0.0356558
0,-5.58928,-0.231923,0.835486,0.684567
0,-5.6042,-0.11771,0.902277,0.607504
0,-6.46278,-0.798093,0.970279,0.418676
0,-5.63744,-0.454591,0.705654,0.670531
0,-6.347,-0.59868,0.886295,0.196723
0,-5.91874,-0.310736,0.88295,0.264211
0,-7.93866,-1.89433,0.948857,0.896539
0,-7.87313,-1.70405,0.958206,0.117857
0,-7.3802,-1.83569,0.514897,0.838787
0,-7.34139,-1.68336,0.981943,0.731322
0,-6.72101,-0.9001,0.951037,0.776643
0,-7.35515,-1.71126,0.61279,0.123445
0,-5.30628,-0.0456333,0.825086,0.551291
0,-5.34841,-0.211535,0.728063,0.477205
0,-6.08821,-0.421183,0.953035,0.410686
0,-5.53463,-0.0826033,0.874359,0.365315
0,-5.55971,-0.247896,0.783645,0.318952
0,-9.45019,-2.98572,0.210169,0.344922
0,-7.765,-2.75899,0.992835,0.555832
0,-5.31761,-0.00422447,0.848679,0.493156
0,-5.33735,-0.0165661,0.852411,0.539771
0,-5.39624,-0.0855419,0.839904,0.607024
0,-6.51492,-0.729745,0.881435,0.174211
0,-8.01929,-1.86909,0.921981,0.0833459
0,-5.96207,-0.337294,0.939152,0.629552
0,-5.67947,-0.54161,0.638704,0.608006
0,-5.74529,-0.225128,0.898577,0.673461
0,-6.87931,-1.27024,0.980247,0.388263
0,-5.76892,-0.620135,0.592005,0.481082
0,-10.2338,-4.33137,0.985726,0.94538
0,-8.08237,-2.09926,0.918341,0.920793
0,-5.83124,-0.368962,0.855377,0.735194
0,-5.95545,-0.295077,0.911629,0.290389
0,-5.70824,-0.18565,0.906405,0.644248
0,-5.66939,-0.15718,0.906807,0.626556
0,-6.23495,-0.859038,0.737912,0.801985
0,-5.34563,-0.0394749,0.844407,0.566824
0,-6.82064,-1.27495,0.980951,0.535961
0,-8.13456,-2.45985,0.501643,0.891928
0,-7.2251,-1.19656,0.921791,0.130612
0,-7.50429,-1.4613,0.905425,0.103873
0,-6.24568,-0.474763,0.934696,0.270267
0,-6.58198,-0.840289,0.902755,0.821803
0,-7.24605,-1.24171,0.90771,0.121419
0,-5.78944,-0.214178,0.930964,0.584232
0,-5.63579,-0.10069,0.917504,0.445622
0,-6.88527,-1.15029,0.972409,0.715382
0,-5.86605,-0.369257,0.868237,0.735478
0,-5.29075,-0.0588574,0.810704,0.542216
0,-5.76464,-0.186796,0.934007,0.490208
0,-6.93565,-1.40694,0.982411,0.579807
0,-5.37587,-0.0177047,0.857491,0.429685
0,-7.23197,-1.29504,0.948748,0.843571
0,-5.33948,-0.112401,0.786389,0.412593
0,-6.50566,-0.686035,0.954827,0.275364
0,-6.45432,-0.719668,0.91416,0.796611
0,-5.28289,-0.0898667,0.783192,0.477517
0,-8.30517,-2.64853,0.782943,0.941524
0,-5.31361,-0.0969062,0.798779,0.569468
0,-5.9841,-0.456164,0.868079,0.758156
0,-6.29706,-0.646896,0.842222,0.187449
0,-5.94324,-0.642176,0.735755,0.756778
0,-6.82008,-1.36747,0.415863,0.505809
0,-6.21943,-0.560555,0.961997,0.447977
0,-6.00607,-0.464852,0.871871,0.759964
0,-6.32677,-0.874946,0.779938,0.819105
0,-5.57892,-0.0807159,0.911762,0.533698
0,-5.94098,-0.587855,0.775404,0.764651
0,-6.59512,-0.914752,0.972689,0.383667
0,-7.7147,-2.21236,0.987621,0.735275
0,-8.42112,-2.3514,0.886612,0.0596101
0,-5.69767,-0.456857,0.741044,0.706794
