# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = surveyunbias_model
# start_datetime = 2023-01-12 09:07:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\surveyunbias\surveyunbias.data.R
# init = 2 (Default)
# random
#   seed = 2892334200 (Default)
# output
#   file = examples\surveyunbias\surveyunbiasMCMC5k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,bias.1,bias.2
-7.70572,0.927475,0.950364,1,1,0,7.81732,0.954491,0.124736
-7.43501,0.946216,0.950364,2,7,0,8.87143,0.956379,0.850464
-8.2374,0.988518,0.950364,2,3,0,9.40528,0.951391,0.0895205
-7.96633,1,0.950364,3,7,0,8.51679,0.937793,0.906303
-5.7402,0.966776,0.950364,2,7,0,8.18102,0.922773,0.602062
-6.82779,0.758183,0.950364,2,3,0,7.79013,0.94006,0.187147
-6.53634,1,0.950364,2,3,0,7.02093,0.886127,0.173959
-5.29089,0.984671,0.950364,1,3,0,6.76679,0.830038,0.511099
-5.84787,0.868986,0.950364,2,3,0,6.19972,0.685195,0.285382
-5.27637,1,0.950364,2,3,0,5.87383,0.810052,0.504245
-5.54302,0.803508,0.950364,2,3,0,6.5538,0.777921,0.674948
-6.23318,0.89897,0.950364,2,3,0,6.31982,0.93328,0.269649
-5.59671,0.98757,0.950364,2,7,0,6.09808,0.643083,0.558899
-6.19981,0.599051,0.950364,2,3,0,7.08456,0.941525,0.699563
-6.9016,0.926083,0.950364,2,3,0,7.18241,0.41528,0.402721
-6.37919,1,0.950364,1,1,0,7.12547,0.493369,0.389234
-6.40566,1,0.950364,2,3,0,6.59697,0.961772,0.658914
-6.40566,0.963379,0.950364,1,3,0,8.88727,0.961772,0.658914
-5.82942,0.918456,0.950364,2,7,0,7.46524,0.869181,0.272904
-5.62478,1,0.950364,2,3,0,5.9039,0.753832,0.69229
-5.33449,1,0.950364,2,3,0,5.61104,0.747154,0.551094
-5.40898,0.970458,0.950364,1,1,0,5.42424,0.703426,0.541412
-6.41902,0.440061,0.950364,2,3,0,8.57827,0.766228,0.828272
-6.2422,1,0.950364,1,1,0,6.52171,0.753552,0.805824
-6.52299,0.987835,0.950364,2,3,0,6.6445,0.828473,0.839348
-6.05199,0.881243,0.950364,2,3,0,7.69573,0.954448,0.522415
-7.19203,0.772408,0.950364,2,3,0,7.74195,0.725675,0.887993
-5.90417,0.980557,0.950364,2,3,0,7.50147,0.917627,0.684055
-6.24998,0.966597,0.950364,2,3,0,6.64972,0.504357,0.568245
-5.55935,1,0.950364,1,1,0,6.02415,0.680474,0.61359
-5.46028,1,0.950364,2,3,0,5.60208,0.890657,0.537438
-6.65241,0.784377,0.950364,1,3,0,7.07279,0.538583,0.760105
-6.25595,0.960403,0.950364,2,3,0,7.80279,0.964231,0.470477
-5.70958,0.962549,0.950364,1,3,0,6.24711,0.922693,0.417509
-7.12717,0.956825,0.950364,2,3,0,7.48763,0.469502,0.771114
-5.82488,0.969635,0.950364,2,7,0,8.47188,0.83772,0.259638
-5.9696,0.972127,0.950364,1,1,0,6.04646,0.859334,0.240221
-6.46604,0.972995,0.950364,2,3,0,6.50039,0.892565,0.185406
-6.16267,0.97805,0.950364,2,7,0,6.93314,0.568748,0.684209
-5.32009,1,0.950364,1,3,0,5.89816,0.758211,0.550657
-7.89057,0.553139,0.950364,2,7,0,7.97861,0.993742,0.451462
-7.70806,0.786421,0.950364,3,7,0,9.62081,0.957649,0.871082
-8.35552,0.958669,0.950364,2,3,0,9.52884,0.503426,0.90515
-6.95893,1,0.950364,1,1,0,8.07053,0.671195,0.861494
-6.56596,1,0.950364,1,1,0,7.00994,0.767458,0.843384
-5.9041,1,0.950364,1,1,0,6.47603,0.812021,0.759412
-5.37404,0.95884,0.950364,2,3,0,6.47309,0.782892,0.392284
-5.59633,0.905416,0.950364,1,3,0,5.95225,0.895166,0.623253
-6.07773,0.809664,0.950364,2,3,0,7.28816,0.758183,0.216122
-5.97654,0.955638,0.950364,2,3,0,6.40071,0.913477,0.711578
-6.51306,0.778895,0.950364,2,3,0,8.81146,0.959794,0.2964
-5.9432,0.917877,0.950364,2,7,0,7.39852,0.807382,0.766388
-8.37348,0.72687,0.950364,2,3,0,8.56833,0.9755,0.115319
-5.47217,0.93825,0.950364,2,3,0,10.4428,0.866378,0.617242
-6.65712,0.84535,0.950364,2,3,0,7.00208,0.82424,0.852347
-5.63105,0.865739,0.950364,2,3,0,7.26334,0.689271,0.345338
-6.22765,0.686775,0.950364,2,3,0,8.12015,0.922269,0.249715
-5.99522,0.968402,0.950364,2,3,0,7.12084,0.939814,0.640301
-7.26961,0.809294,0.950364,2,7,0,7.74808,0.816197,0.103008
-7.21692,0.94256,0.950364,2,3,0,8.68084,0.898863,0.119795
-6.42191,0.830411,0.950364,1,3,0,9.73927,0.501135,0.650667
-7.24613,0.790788,0.950364,2,3,0,7.67829,0.428173,0.739585
-5.3041,1,0.950364,1,3,0,6.82705,0.765922,0.460202
-5.53683,0.726422,0.950364,2,3,0,6.45369,0.758212,0.667268
-5.33595,0.995508,0.950364,2,3,0,5.60542,0.840039,0.564259
-5.4275,0.986795,0.950364,2,3,0,5.46224,0.773644,0.631206
-6.71347,0.734346,0.950364,2,3,0,7.13312,0.454686,0.352577
-6.71347,0.314909,0.950364,1,1,0,9.2576,0.454686,0.352577
-7.46689,0.847566,0.950364,2,3,0,8.09265,0.984627,0.72602
-6.50376,0.998118,0.950364,2,3,0,7.59671,0.97306,0.468796
-6.61673,0.967115,0.950364,2,7,0,6.97937,0.963875,0.29296
-6.84999,0.96616,0.950364,2,3,0,7.73848,0.978189,0.359762
-7.35591,0.882984,0.950364,2,3,0,8.4608,0.968234,0.18578
-6.36387,1,0.950364,2,3,0,7.30756,0.499395,0.621588
-6.46209,0.43721,0.950364,2,3,0,9.3995,0.873362,0.17686
-7.37896,0.948822,0.950364,2,3,0,7.67149,0.961703,0.165401
-7.01184,1,0.950364,2,3,0,7.55838,0.938645,0.164669
-8.15229,0.949519,0.950364,2,3,0,8.62995,0.852084,0.0650089
-9.26322,0.961964,0.950364,2,7,0,11.3054,0.912743,0.958721
-7.90426,1,0.950364,2,3,0,10.6642,0.979662,0.831087
-9.16453,0.821255,0.950364,2,3,0,10.29,0.249789,0.746323
-6.49825,0.89568,0.950364,2,3,0,10.9157,0.966364,0.653
-5.29154,0.905485,0.950364,1,3,0,6.62574,0.829044,0.518267
-5.29154,0.437567,0.950364,2,7,0,9.64195,0.829044,0.518267
-5.88158,0.861821,0.950364,1,3,0,5.97388,0.581947,0.406401
-6.24787,0.985195,0.950364,2,3,0,6.66729,0.900684,0.220793
-5.35124,0.945842,0.950364,2,3,0,7.08077,0.814251,0.594881
-5.34619,0.974663,0.950364,2,3,0,5.56268,0.843567,0.431394
-5.78178,0.935708,0.950364,2,3,0,5.89786,0.925237,0.613042
-5.86419,0.933688,0.950364,2,3,0,6.30732,0.789476,0.752333
-5.80711,0.877312,0.950364,2,3,0,6.76822,0.937508,0.478551
-6.03254,0.979537,0.950364,2,3,0,6.24902,0.92787,0.304669
-5.63168,0.908578,0.950364,1,3,0,7.04215,0.756233,0.694985
-5.58172,0.929571,0.950364,1,3,0,6.31948,0.700446,0.3535
-5.531,0.919249,0.950364,2,3,0,5.94062,0.821556,0.670979
-6.88457,0.499805,0.950364,2,3,0,9.2993,0.978036,0.34401
-10.2655,0.727644,0.950364,2,3,0,10.6736,0.449118,0.0411008
-10.8121,0.631734,0.950364,3,7,0,14.0838,0.996497,0.916669
-5.54489,1,0.950364,2,3,0,9.82466,0.682898,0.609411
-5.33789,0.779673,0.950364,2,3,0,6.24681,0.828842,0.422032
-5.33789,0.769845,0.950364,1,3,0,6.52686,0.828842,0.422032
-5.43642,0.989993,0.950364,2,3,0,5.45822,0.764533,0.368354
-5.92365,0.786004,0.950364,2,7,0,6.59545,0.937736,0.619457
-6.83293,0.810346,0.950364,2,3,0,8.50302,0.98135,0.480226
-8.58641,0.662435,0.950364,2,7,0,9.56286,0.691956,0.945638
-8.51051,0.9739,0.950364,1,1,0,9.00021,0.663474,0.940947
-5.5482,1,0.950364,2,3,0,7.96741,0.908336,0.486667
-5.92904,0.97531,0.950364,2,3,0,5.98438,0.939118,0.613796
-7.28819,0.876328,0.950364,1,3,0,7.38799,0.982028,0.718564
-7.51502,0.878019,0.950364,2,3,0,8.03927,0.35671,0.354117
-5.31173,1,0.950364,2,3,0,6.61718,0.750273,0.482397
-6.7191,0.598524,0.950364,2,3,0,7.56808,0.960391,0.253648
-5.48327,0.976296,0.950364,2,3,0,6.431,0.670285,0.489143
-7.73398,0.689699,0.950364,2,3,0,7.86152,0.863051,0.917254
-5.43919,0.999318,0.950364,2,3,0,7.55624,0.874858,0.581245
-5.8641,0.842002,0.950364,2,3,0,6.58394,0.689288,0.279112
-6.96192,0.909259,0.950364,2,3,0,7.14163,0.810801,0.122686
-7.0412,0.994808,0.950364,2,7,0,7.08719,0.791075,0.882862
-5.43804,0.998364,0.950364,2,3,0,6.98488,0.780529,0.637712
-5.91508,0.849395,0.950364,2,3,0,6.42499,0.906344,0.291756
-6.32223,0.937978,0.950364,2,3,0,6.87144,0.66612,0.208949
-6.69158,0.912018,0.950364,2,3,0,6.98693,0.923288,0.817454
-5.43066,1,0.950364,2,3,0,6.47481,0.690133,0.519266
-5.62586,0.918116,0.950364,1,1,0,5.68404,0.627884,0.480254
-7.24896,0.800517,0.950364,2,3,0,7.36556,0.898288,0.882613
-5.58208,1,0.950364,2,3,0,7.15909,0.88951,0.370748
-6.52055,0.840542,0.950364,2,3,0,6.9804,0.830865,0.161144
-6.98931,0.978785,0.950364,2,3,0,7.08254,0.87201,0.127977
-6.50295,1,0.950364,2,3,0,7.31349,0.860263,0.831732
-6.50295,0.947095,0.950364,1,1,0,7.08443,0.860263,0.831732
-6.12231,0.869465,0.950364,2,3,0,8.25712,0.940384,0.318073
-7.73059,0.879335,0.950364,2,3,0,7.79365,0.433401,0.819031
-8.11959,1,0.950364,2,3,0,9.31116,0.935235,0.0846778
-7.69114,1,0.950364,3,7,0,8.08205,0.764217,0.0821128
-7.91588,0.793567,0.950364,2,3,0,11.7511,0.871604,0.0759406
-8.02558,0.974742,0.950364,3,7,0,8.72154,0.720741,0.9291
-6.83173,0.933019,0.950364,3,7,0,8.78409,0.469552,0.286832
-10.7076,0.514138,0.950364,2,3,0,11.145,0.985023,0.0415629
-7.02266,1,0.950364,2,3,0,10.6538,0.984504,0.550371
-6.73908,1,0.950364,2,3,0,7.1845,0.42729,0.468525
-5.3227,1,0.950364,1,1,0,6.12529,0.74119,0.50759
-5.77816,0.52991,0.950364,2,3,0,7.78247,0.730755,0.278092
-9.39313,0.45483,0.950364,2,7,0,9.64105,0.995283,0.840378
-9.1293,1,0.950364,1,1,0,9.64748,0.99575,0.798157
-6.61896,0.977187,0.950364,2,3,0,9.50332,0.962828,0.713514
-6.1462,0.983974,0.950364,2,3,0,7.09238,0.638718,0.747538
-5.70368,1,0.950364,2,3,0,6.30696,0.616355,0.56799
-5.70368,0.823456,0.950364,1,3,0,6.13693,0.616355,0.56799
-13.8372,0.289692,0.950364,2,3,0,14.0716,0.0835378,0.819262
-7.97035,1,0.950364,1,1,0,12.1007,0.455063,0.858325
-6.35645,0.986549,0.950364,2,7,0,7.94702,0.929865,0.2391
-5.83107,1,0.950364,2,3,0,6.38301,0.932805,0.400942
-5.68493,0.96642,0.950364,2,3,0,6.31464,0.664888,0.649196
-5.88968,0.772,0.950364,2,3,0,6.85136,0.942601,0.446631
-6.17162,0.942364,0.950364,2,3,0,6.72831,0.905768,0.761852
-6.32735,0.991302,0.950364,2,7,0,6.77847,0.961737,0.627937
-5.60834,0.934107,0.950364,2,3,0,6.94311,0.631887,0.505108
-5.31389,1,0.950364,2,3,0,5.50974,0.759573,0.455421
-5.76387,0.92944,0.950364,2,3,0,5.86426,0.883791,0.301034
-5.75877,1,0.950364,2,3,0,6.19073,0.594169,0.484199
-6.28389,0.972418,0.950364,2,3,0,6.40577,0.922028,0.760815
