# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = coinbias_model
# start_datetime = 2023-01-12 09:01:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\coinbias\coinbias.data.R
# init = 2 (Default)
# random
#   seed = 2891974704 (Default)
# output
#   file = examples\coinbias\coinbiasMCMC5k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,bias
-8.3754,1,1.17623,1,1,0,8.47605,0.324117
-8.2784,0.970556,1.17623,2,3,0,8.58236,0.346193
-8.20343,1,1.17623,2,3,0,8.29126,0.46344
-8.46907,0.892358,1.17623,1,1,0,8.48201,0.53173
-8.39401,0.568841,1.17623,2,3,0,10.2773,0.517265
-8.39401,0.588658,1.17623,1,1,0,9.186,0.517265
-8.23267,0.959561,1.17623,2,3,0,8.55532,0.359862
-8.26137,0.988768,1.17623,1,1,0,8.29186,0.350922
-9.08779,0.739904,1.17623,1,1,0,9.09134,0.23735
-9.08779,0.61221,1.17623,1,1,0,10.5039,0.23735
-8.15169,0.967222,1.17623,2,3,0,8.86477,0.424124
-8.25345,0.728332,1.17623,2,3,0,8.93872,0.481978
-8.17235,0.948846,1.17623,2,3,0,8.39117,0.387023
-8.37964,0.921032,1.17623,1,1,0,8.38118,0.323285
-8.57768,0.930027,1.17623,1,1,0,8.64628,0.291243
-8.49072,1,1.17623,2,3,0,8.55623,0.535569
-8.6434,0.979031,1.17623,2,3,0,8.77897,0.559633
-8.16417,0.957738,1.17623,2,3,0,8.72623,0.440465
-9.02312,0.480279,1.17623,2,3,0,10.5047,0.605886
-8.19131,1,1.17623,1,1,0,8.67027,0.457725
-8.53135,0.86443,1.17623,1,1,0,8.53881,0.542445
-9.40881,0.791382,1.17623,2,3,0,9.72799,0.213013
-8.15278,0.973119,1.17623,1,3,0,8.96335,0.406696
-8.15278,0.950153,1.17623,1,3,0,8.25936,0.406696
-8.25852,0.848444,1.17623,2,3,0,8.59193,0.351751
-8.17768,1,1.17623,1,1,0,8.23256,0.383666
-8.15195,0.949009,1.17623,2,3,0,8.30084,0.40856
-8.19931,0.906331,1.17623,2,3,0,8.39916,0.461578
-8.44537,0.899894,1.17623,1,1,0,8.45727,0.527372
-8.39577,0.757518,1.17623,2,3,0,9.31455,0.517627
-8.39577,0.365171,1.17623,1,1,0,9.88981,0.517627
-8.1538,1,1.17623,1,3,0,8.2929,0.428567
-8.2008,0.97985,1.17623,2,3,0,8.22402,0.462261
-9.21849,0.648323,1.17623,1,1,0,9.22099,0.62525
-8.16091,0.951879,1.17623,2,3,0,9.20318,0.396056
-8.27023,0.956821,1.17623,1,1,0,8.27104,0.348417
-8.53032,0.906487,1.17623,1,1,0,8.55762,0.297962
-8.55726,0.990404,1.17623,1,1,0,8.69875,0.294085
-8.26395,1,1.17623,1,1,0,8.47003,0.350182
-8.18362,1,1.17623,1,1,0,8.24036,0.380295
-8.18362,0.595818,1.17623,1,3,0,9.35638,0.380295
-9.25147,0.434086,1.17623,2,3,0,11.5458,0.62831
-8.22214,1,1.17623,1,1,0,8.82037,0.471109
-8.23597,0.998307,1.17623,2,3,0,8.23646,0.358759
-8.77285,0.817717,1.17623,1,1,0,8.77927,0.267432
-8.26352,1,1.17623,1,1,0,8.597,0.350306
-9.4857,0.715727,1.17623,2,3,0,9.72809,0.648615
-9.36587,1,1.17623,1,1,0,9.93345,0.638522
-10.0922,0.935952,1.17623,2,3,0,10.1633,0.173481
-9.35765,1,1.17623,2,3,0,10.1672,0.216575
-8.15432,0.96881,1.17623,1,3,0,8.9552,0.429424
-8.36571,0.939112,1.17623,1,3,0,8.3806,0.326051
-9.17814,0.752355,1.17623,1,1,0,9.20024,0.229984
-8.86068,0.357489,1.17623,2,3,0,15.3147,0.258215
-8.49438,1,1.17623,1,1,0,8.82276,0.303392
-10.493,0.497099,1.17623,2,3,0,11.6722,0.71663
-10.0829,1,1.17623,1,1,0,11.0722,0.6919
-8.58772,1,1.17623,1,1,0,9.57924,0.551382
-9.02792,0.921548,1.17623,2,3,0,9.18633,0.60639
-8.15502,0.594828,1.17623,2,3,0,10.564,0.430507
-9.64503,0.626636,1.17623,1,3,0,9.65528,0.661209
-8.35221,1,1.17623,1,1,0,9.14087,0.508207
-8.35221,0.29859,1.17623,1,1,0,10.1364,0.508207
-8.1574,0.779692,1.17623,2,3,0,8.94274,0.399801
-8.21704,0.871382,1.17623,2,3,0,8.51286,0.365436
-9.02181,0.807827,1.17623,2,3,0,9.12585,0.605748
-8.76855,1,1.17623,2,3,0,9.16073,0.576531
-8.66777,1,1.17623,1,1,0,8.93955,0.56309
-8.8594,0.980192,1.17623,2,3,0,8.88039,0.258345
-10.2325,0.669347,1.17623,1,1,0,10.3134,0.166786
-9.40942,1,1.17623,2,3,0,10.2849,0.212972
-9.7104,0.919566,1.17623,1,1,0,10.0767,0.193929
-8.46031,1,1.17623,2,3,0,9.31543,0.308846
-8.47088,0.996138,1.17623,1,1,0,8.5893,0.307119
-9.45436,0.518359,1.17623,2,3,0,10.8108,0.209929
-9.78704,0.91263,1.17623,1,1,0,10.159,0.189529
-9.65362,1,1.17623,1,1,0,10.2173,0.197297
-12.1947,0.565549,1.17623,1,1,0,12.2755,0.101331
-10.1443,1,1.17623,1,1,0,11.9747,0.170945
-9.28836,1,1.17623,2,3,0,10.1489,0.221574
-8.54173,1,1.17623,2,3,0,9.10769,0.296301
-10.1875,0.594533,1.17623,1,1,0,10.2006,0.16889
-9.56195,1,1.17623,2,3,0,10.3663,0.202943
-11.0626,0.693919,1.17623,1,1,0,11.2572,0.133798
-8.3394,0.936513,1.17623,1,3,0,10.1983,0.331559
-8.97233,0.884892,1.17623,2,3,0,8.99767,0.247488
-8.17111,0.932087,1.17623,2,3,0,9.26332,0.445856
-10.4973,0.45834,1.17623,2,3,0,11.691,0.155138
-9.06499,1,1.17623,1,1,0,10.2151,0.239283
-9.52164,0.334817,1.17623,2,3,0,13.4964,0.205513
-9.27143,1,1.17623,2,3,0,9.4937,0.630135
-9.22145,1,1.17623,2,3,0,9.69613,0.625527
-8.15066,0.785763,1.17623,2,3,0,9.88381,0.420383
-8.79194,0.825248,1.17623,1,3,0,8.79787,0.579476
-8.79194,0.412335,1.17623,1,1,0,10.3201,0.579476
-9.01455,0.911778,1.17623,1,1,0,9.27045,0.604982
-8.67667,1,1.17623,2,3,0,9.03588,0.278497
-9.05104,0.883479,1.17623,1,1,0,9.19583,0.240483
-8.4496,0.936119,1.17623,2,3,0,9.62944,0.31063
-9.61268,0.678421,1.17623,1,1,0,9.63357,0.199785
-8.16057,0.952735,1.17623,2,3,0,9.45422,0.396397
-8.42769,0.654958,1.17623,2,3,0,9.26764,0.524002
-12.9385,0.191458,1.17623,1,3,0,12.9392,0.818241
-9.50121,1,1.17623,1,1,0,11.9869,0.649881
-8.15037,1,1.17623,1,3,0,8.94832,0.415256
-8.16219,0.996218,1.17623,2,3,0,8.16379,0.438695
-8.17568,0.996673,1.17623,2,3,0,8.18413,0.384883
-8.17868,0.991324,1.17623,2,3,0,8.22033,0.383073
-8.25672,0.936173,1.17623,2,3,0,8.39301,0.483013
-8.17874,1,1.17623,1,1,0,8.23189,0.450818
-8.17874,0.244567,1.17623,1,3,0,11.4574,0.450818
-8.23729,0.975416,1.17623,2,3,0,8.2863,0.358323
-8.41062,0.93536,1.17623,1,1,0,8.43242,0.317448
-8.36498,1,1.17623,2,3,0,8.4725,0.3262
-8.89366,0.714235,1.17623,2,3,0,9.55982,0.591655
-8.27325,0.471595,1.17623,2,3,0,11.329,0.488012
-8.24306,1,1.17623,2,3,0,8.26421,0.356463
-8.48302,0.912379,1.17623,1,1,0,8.50294,0.305174
-9.88651,0.632992,1.17623,1,1,0,9.90191,0.184053
-9.45113,1,1.17623,1,1,0,10.1191,0.210145
-8.67943,1,1.17623,1,1,0,9.30485,0.278163
-10.3128,0.609597,1.17623,1,1,0,10.3442,0.163123
-9.56551,1,1.17623,2,3,0,10.1759,0.655034
-8.25754,1,1.17623,1,1,0,9.0242,0.483271
-9.24549,0.657575,1.17623,1,1,0,9.26156,0.627759
-8.19656,1,1.17623,2,3,0,8.80051,0.46029
-8.85034,0.756139,1.17623,1,1,0,8.85521,0.586588
-8.15196,0.971579,1.17623,2,3,0,8.78245,0.408522
-8.24676,0.813257,1.17623,2,3,0,8.67139,0.479814
-8.24676,0.915949,1.17623,1,1,0,8.39485,0.479814
-8.2046,0.969629,1.17623,2,3,0,8.36092,0.463954
-8.57043,0.854891,1.17623,1,1,0,8.58173,0.548709
-8.42782,1,1.17623,2,3,0,8.55856,0.314374
-8.55998,0.983815,1.17623,2,3,0,8.59298,0.547064
-8.55998,0.634946,1.17623,1,1,0,9.32228,0.547064
-8.55998,0.125395,1.17623,1,3,0,12.0642,0.547064
-8.17356,0.997702,1.17623,2,3,0,8.43537,0.386229
-9.17812,0.753436,1.17623,1,3,0,9.23503,0.621428
-9.95312,0.922903,1.17623,2,3,0,10.0583,0.180522
-8.71179,1,1.17623,1,1,0,9.63647,0.274324
-8.92745,0.744657,1.17623,2,3,0,10.1635,0.25168
-8.49596,1,1.17623,1,1,0,8.86185,0.303147
-8.51534,0.905605,1.17623,2,3,0,9.10769,0.300188
-9.53737,0.714191,1.17623,1,1,0,9.57847,0.204503
-8.56522,1,1.17623,1,1,0,9.27622,0.292967
-9.59699,0.448329,1.17623,2,3,0,11.3724,0.200753
-8.9304,1,1.17623,1,1,0,9.57356,0.2514
-8.1512,0.983019,1.17623,1,3,0,8.65381,0.422638
-8.51792,0.865189,1.17623,2,3,0,8.64329,0.540216
-8.3035,0.982658,1.17623,2,3,0,8.66102,0.339795
-8.47209,0.659886,1.17623,2,3,0,9.62785,0.306923
-10.3554,0.609915,1.17623,2,3,0,10.9487,0.7087
-8.48239,0.845516,1.17623,2,3,0,11.3408,0.305275
-8.5613,0.988723,1.17623,2,3,0,8.56356,0.547273
-8.24,0.874361,1.17623,2,3,0,8.94695,0.477547
-8.29443,0.97184,1.17623,2,3,0,8.37724,0.342037
-8.4859,0.930393,1.17623,1,1,0,8.52586,0.304719
-8.4859,0.789103,1.17623,1,1,0,9.0042,0.304719
-8.4859,0.639442,1.17623,1,3,0,10.051,0.304719
-8.7253,0.972958,1.17623,2,3,0,8.82546,0.272761
-8.30291,1,1.17623,1,1,0,8.59737,0.339938
-8.9948,0.867183,1.17623,2,3,0,9.00928,0.245445
-9.13069,0.958349,1.17623,1,1,0,9.40878,0.233795
-9.13069,0.364815,1.17623,1,3,0,12.0399,0.233795
-9.67654,0.954902,1.17623,2,3,0,9.81181,0.663599
-8.24011,0.966991,1.17623,2,3,0,9.5624,0.357406
-8.15911,1,1.17623,1,1,0,8.20811,0.397883
-8.15911,0.741909,1.17623,1,3,0,8.78953,0.397883
-8.57475,0.888482,1.17623,1,3,0,8.59613,0.549381
-8.17669,1,1.17623,1,1,0,8.40705,0.449559
-8.16046,0.998249,1.17623,2,3,0,8.1877,0.396505
-8.23773,0.968257,1.17623,2,3,0,8.27986,0.358179
-8.19631,1,1.17623,1,1,0,8.23659,0.374011
-9.40563,0.595709,1.17623,2,3,0,10.0288,0.213232
-8.37045,1,1.17623,2,3,0,9.06166,0.3251
-8.52428,0.981908,1.17623,2,3,0,8.59761,0.541277
-8.71762,0.973755,1.17623,2,3,0,8.86477,0.569898
-8.21065,1,1.17623,1,1,0,8.51135,0.466538
-8.20788,1,1.17623,2,3,0,8.23372,0.465373
-8.52141,0.874229,1.17623,1,1,0,8.53488,0.5408
-8.25493,1,1.17623,1,1,0,8.43954,0.482448
-8.4857,0.905735,1.17623,1,1,0,8.51933,0.534689
-8.2276,0.880059,1.17623,2,3,0,8.8416,0.361604
-8.15916,1,1.17623,1,1,0,8.20089,0.397827
-8.15916,0.433428,1.17623,1,3,0,10.0575,0.397827
-9.90463,0.593512,1.17623,1,3,0,9.9653,0.680019
-8.9835,1,1.17623,1,1,0,9.81706,0.601664
-8.39124,1,1.17623,1,1,0,8.80608,0.51669
-8.20209,0.431056,1.17623,2,3,0,11.6374,0.462844
-8.29615,0.960505,1.17623,1,1,0,8.31341,0.49441
-8.71663,0.835485,1.17623,1,1,0,8.75996,0.569767
-8.16125,1,1.17623,1,3,0,8.51031,0.39573
-9.05033,0.721344,1.17623,2,3,0,9.33353,0.608723
-9.0231,1,1.17623,2,3,0,9.40576,0.605884
-8.1553,0.593396,1.17623,2,3,0,10.5678,0.430909
-8.25373,0.959056,1.17623,1,1,0,8.25402,0.482068
-9.39129,0.617773,1.17623,1,1,0,9.40376,0.640711
-8.1616,0.916811,1.17623,2,3,0,9.58896,0.395406
-8.29958,0.802912,1.17623,2,3,0,8.73957,0.495321
-8.32338,0.989831,1.17623,1,1,0,8.38553,0.501391
-8.49976,0.967808,1.17623,2,3,0,8.56371,0.537133
-8.18025,0.962053,1.17623,2,3,0,8.61213,0.451724
-8.46133,0.886617,1.17623,1,1,0,8.46629,0.530326
-8.46133,0.672457,1.17623,1,1,0,9.10018,0.530326
-8.21702,0.928527,1.17623,2,3,0,8.68464,0.469119
-8.21702,0.373389,1.17623,1,3,0,9.89872,0.469119
-8.17326,0.71329,1.17623,2,3,0,9.05059,0.447336
-9.18819,0.741296,1.17623,2,3,0,9.33056,0.229192
-8.16239,0.971735,1.17623,1,3,0,8.85538,0.438884
-8.25902,0.95968,1.17623,1,1,0,8.26119,0.48373
-8.46894,0.935479,1.17623,2,3,0,8.59626,0.307434
-9.52406,0.703357,1.17623,1,1,0,9.55394,0.205357
-8.39202,1,1.17623,1,1,0,9.15136,0.320902
-8.55222,0.981238,1.17623,2,3,0,8.62269,0.545829
-8.15444,1,1.17623,1,3,0,8.39907,0.403782
-8.2153,0.897287,1.17623,2,3,0,8.43409,0.468436
-8.15558,1,1.17623,1,1,0,8.19065,0.431314
-9.81366,0.592222,1.17623,1,3,0,9.82588,0.673646
-9.16139,1,1.17623,2,3,0,9.85101,0.231315
-8.17774,0.870021,1.17623,2,3,0,9.90794,0.383629
-8.17774,0.958606,1.17623,1,1,0,8.24683,0.383629
-8.82067,0.837441,1.17623,1,3,0,8.87006,0.583018
-8.40384,0.961102,1.17623,2,3,0,9.10395,0.318691
-8.2599,0.748023,1.17623,2,3,0,9.30343,0.35135
-9.69902,0.685798,1.17623,1,3,0,9.87262,0.665285
-8.22732,1,1.17623,1,1,0,9.08063,0.47305
-8.50782,0.877547,1.17623,2,3,0,8.72457,0.301324
-8.3447,1,1.17623,1,1,0,8.50692,0.330418
-8.96277,0.801841,1.17623,1,1,0,8.99018,0.248369
-8.16895,0.975553,1.17623,2,3,0,8.72243,0.444288
-9.0219,0.765212,1.17623,1,3,0,9.02191,0.605757
-8.80618,1,1.17623,2,3,0,8.9576,0.263844
-8.41587,1,1.17623,1,1,0,8.73056,0.316497
-8.4599,0.993067,1.17623,2,3,0,8.45993,0.530064
-9.30998,0.700713,1.17623,1,1,0,9.39829,0.633607
-8.40447,1,1.17623,1,1,0,8.99597,0.519406
-8.16085,0.759412,1.17623,2,3,0,9.06489,0.396119
-8.22479,0.985025,1.17623,2,3,0,8.22643,0.362597
-8.22479,0.314687,1.17623,1,3,0,10.6869,0.362597
-8.19619,1,1.17623,2,3,0,8.22204,0.460114
-8.61618,0.835351,1.17623,1,1,0,8.62391,0.555665
-8.29811,0.738735,1.17623,2,3,0,9.48597,0.494931
-8.25889,1,1.17623,2,3,0,8.28783,0.351642
-8.51864,0.906224,1.17623,1,1,0,8.5424,0.299693
-8.15047,0.985391,1.17623,2,3,0,8.43302,0.414191
-8.4021,0.919304,1.17623,2,3,0,8.45003,0.319014
-8.30838,0.723396,1.17623,2,3,0,9.4362,0.338617
-8.15355,0.99611,1.17623,2,3,0,8.25685,0.428134
-8.15355,0.828737,1.17623,1,3,0,8.57363,0.428134
-8.15243,0.970673,1.17623,2,3,0,8.21906,0.425943
-8.33298,0.947518,1.17623,1,3,0,8.33316,0.503721
-8.5084,0.726133,1.17623,2,3,0,9.31449,0.53861
-8.77384,0.893622,1.17623,1,1,0,8.91008,0.577202
-9.65256,0.840722,1.17623,2,3,0,9.85558,0.661783
-8.1978,0.77619,1.17623,2,3,0,10.4808,0.373336
-8.21493,0.827722,1.17623,2,3,0,8.69753,0.366238
-8.83491,0.567267,1.17623,2,3,0,10.0635,0.260841
-8.16058,0.850947,1.17623,2,3,0,9.46224,0.396386
-8.27606,0.955017,1.17623,2,3,0,8.32901,0.34682
-8.18544,1,1.17623,2,3,0,8.24859,0.379328
-8.18544,0.345089,1.17623,1,3,0,10.5179,0.379328
-8.18006,0.991422,1.17623,2,3,0,8.23282,0.382273
-11.0823,0.411741,1.17623,1,3,0,11.2422,0.747156
-8.68954,1,1.17623,1,1,0,10.2363,0.566104
-8.3436,1,1.17623,1,1,0,8.60656,0.506226
-8.17517,0.860305,1.17623,2,3,0,8.70966,0.385199
-8.34285,0.804025,1.17623,2,3,0,8.77544,0.50605
-9.30147,0.712253,1.17623,2,3,0,9.78718,0.220612
-8.24775,0.9584,1.17623,2,3,0,9.40551,0.480138
-9.32788,0.632077,1.17623,2,3,0,9.98535,0.218698
-8.15045,0.972227,1.17623,1,3,0,8.91934,0.418999
-8.22201,0.977285,1.17623,2,3,0,8.23174,0.363597
-8.7628,0.815455,1.17623,1,1,0,8.76668,0.268537
-8.15095,0.897387,1.17623,2,3,0,9.18911,0.421737
-8.79034,0.825335,1.17623,1,3,0,8.79549,0.579278
-8.15496,0.952856,1.17623,2,3,0,8.8551,0.430414
-8.23845,0.965185,1.17623,1,1,0,8.23877,0.477014
-8.1605,1,1.17623,2,3,0,8.20716,0.437058
-8.15665,0.91002,1.17623,2,3,0,8.37173,0.432731
-8.17429,0.989902,1.17623,2,3,0,8.19327,0.448016
-8.55423,0.81567,1.17623,2,3,0,8.82587,0.546151
-8.32782,0.988733,1.17623,2,3,0,8.68645,0.334116
-8.5134,0.959796,1.17623,2,3,0,8.65874,0.539456
-9.36833,0.700545,1.17623,1,1,0,9.47605,0.638735
-8.40436,1,1.17623,1,1,0,9.02814,0.519383
-8.2697,0.897379,1.17623,2,3,0,8.74839,0.486966
-8.92886,0.755023,1.17623,1,1,0,8.95573,0.595653
-8.15917,1,1.17623,1,3,0,8.63371,0.397817
-8.90513,0.761257,1.17623,2,3,0,9.14295,0.253824
-9.93442,0.737727,1.17623,1,1,0,10.0606,0.181502
-8.77525,1,1.17623,1,1,0,9.66739,0.267169
-8.16212,0.930197,1.17623,2,3,0,9.0932,0.43863
-8.37092,0.914744,1.17623,1,1,0,8.37185,0.512369
-10.1563,0.478495,1.17623,1,1,0,10.1846,0.696577
-8.21845,1,1.17623,1,3,0,9.49129,0.364906
-8.15854,1,1.17623,1,1,0,8.19518,0.398497
-8.15854,0.636227,1.17623,1,3,0,9.18565,0.398497
-8.19806,0.984006,1.17623,1,1,0,8.19965,0.373215
-8.21585,0.99753,1.17623,2,3,0,8.21885,0.468655
-9.8966,0.625605,1.17623,2,3,0,10.2006,0.183511
-8.51363,1,1.17623,1,1,0,9.47058,0.300444
-8.98895,0.703056,1.17623,2,3,0,9.96667,0.245974
-8.2244,1,1.17623,1,1,0,8.70512,0.362735
-8.18574,1,1.17623,2,3,0,8.22041,0.379168
-8.57672,0.852552,1.17623,2,3,0,8.77275,0.291376
-8.22977,0.764492,1.17623,2,3,0,9.46667,0.360852
-8.32365,0.9859,1.17623,2,3,0,8.3479,0.335058
-8.32614,0.999048,1.17623,1,1,0,8.39449,0.334494
-8.37834,0.992736,1.17623,2,3,0,8.38289,0.513969
-8.29556,1,1.17623,2,3,0,8.37567,0.341753
-8.2186,1,1.17623,2,3,0,8.30137,0.469742
-8.96956,0.725766,1.17623,1,1,0,8.97884,0.600152
-8.15049,1,1.17623,1,3,0,8.63433,0.414018
-8.62757,0.836739,1.17623,2,3,0,8.76861,0.55734
-9.06853,0.937032,1.17623,2,3,0,9.1819,0.238981
-8.68858,1,1.17623,2,3,0,9.00249,0.565972
-8.46972,1,1.17623,1,1,0,8.71834,0.531847
-8.22812,1,1.17623,2,3,0,8.38883,0.473346
-8.58801,0.461454,1.17623,2,3,0,10.9586,0.551426
-8.7038,0.988757,1.17623,2,3,0,8.71149,0.275259
-8.15831,0.996122,1.17623,1,3,0,8.49287,0.398755
-8.15526,1,1.17623,2,3,0,8.15887,0.402575
-8.19054,0.952236,1.17623,2,3,0,8.28847,0.457337
-9.3791,0.713243,1.17623,1,3,0,9.54126,0.215069
-8.37374,1,1.17623,2,3,0,9.04696,0.324445
-8.31312,1,1.17623,1,1,0,8.40876,0.337493
-8.23611,1,1.17623,2,3,0,8.31235,0.476203
-8.23611,0.737462,1.17623,1,1,0,8.66019,0.476203
-8.16023,0.730579,1.17623,2,3,0,8.99511,0.436789
-8.16023,0.86124,1.17623,1,1,0,8.36076,0.436789
-8.60746,0.826108,1.17623,1,1,0,8.60746,0.554367
-8.77079,0.933385,1.17623,1,1,0,8.95463,0.576815
-8.85662,0.964768,1.17623,1,1,0,9.11419,0.587333
-8.73299,1,1.17623,1,1,0,9.04385,0.571932
-8.34726,1,1.17623,1,1,0,8.633,0.507072
-8.16968,1,1.17623,1,1,0,8.2746,0.444831
-8.27592,0.930177,1.17623,2,3,0,8.4037,0.34686
-8.19561,1,1.17623,1,1,0,8.25676,0.374332
-8.51558,0.883258,1.17623,1,1,0,8.51955,0.300151
-9.11383,0.81635,1.17623,1,1,0,9.18768,0.23518
