# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = altermu2_model
# start_datetime = 2023-01-12 11:18:05 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\altermu2\altermu2.data.R
# init = 2 (Default)
# random
#   seed = 2900171209 (Default)
# output
#   file = examples\altermu2\altermu2var.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,mu.1,mu.2
0,-116.987,-0.374882,-7.59966,7.97831
0,-117.105,-0.456322,-7.51629,7.94069
0,-117.408,-0.454175,-7.56131,7.69403
0,-117.098,-0.0187597,-7.66162,7.86695
0,-116.896,-0.0580632,-7.58593,7.8421
0,-118.481,-0.252706,-7.72306,7.74895
0,-117.295,-0.184287,-7.72528,7.89803
0,-117.838,-0.215501,-7.63935,7.72389
0,-118.493,-1.98669,-7.29771,7.90341
0,-118.873,-0.466674,-7.68293,7.67293
0,-118.89,-1.89366,-7.93434,7.9395
0,-117.811,-1.10832,-7.53986,8.06331
0,-118.554,-0.308564,-7.75803,7.77978
0,-117.001,-0.0581755,-7.59325,7.81075
0,-116.836,-0.166782,-7.54665,7.82404
0,-116.995,-0.403284,-7.5059,7.90739
0,-116.858,-0.203468,-7.54679,7.88888
0,-117.229,-0.0945837,-7.70111,7.88333
0,-119.158,-2.11479,-7.5234,7.48297
0,-119.263,-2.30206,-7.27946,7.94383
0,-119.176,-0.454125,-7.76507,7.73636
0,-124.633,-2.26188,-7.89291,7.58086
0,-116.795,-0.718399,-7.46702,7.7307
0,-118.714,-0.316446,-7.74003,7.74668
0,-116.925,-0.0678542,-7.63903,7.90242
0,-121.05,-1.2194,-7.8691,7.72504
0,-117.106,-0.605895,-7.46254,7.89506
0,-119.198,-0.516672,-7.79099,7.76213
0,-119.239,-1.09459,-7.87791,7.85131
0,-117.084,-0.0941679,-7.68533,7.89954
0,-122.782,-1.69151,-7.8816,7.64969
0,-117.067,-1.29326,-7.36486,7.80364
0,-116.898,-0.123651,-7.6365,7.92388
0,-121.459,-1.21083,-7.84486,7.67741
0,-118.545,-0.277854,-7.74141,7.7628
0,-116.818,-0.300434,-7.51913,7.79413
0,-116.965,-0.779802,-7.71544,8.03335
0,-117.096,-2.32025,-7.38834,7.55184
0,-117.093,-2.57259,-7.81258,8.16292
0,-121.198,-4.26342,-7.51053,8.27977
0,-118.183,-0.412368,-7.63109,7.67848
0,-116.932,-0.0255482,-7.60842,7.85524
0,-117.379,-0.272107,-7.74552,7.90569
0,-119.901,-1.26218,-7.63578,7.54996
0,-117.313,-0.0595166,-7.62669,7.78205
0,-117.119,-0.455228,-7.53993,7.9633
0,-126.438,-2.89647,-7.92011,7.53939
0,-116.843,-0.412645,-7.48797,7.84516
0,-120.048,-2.55566,-7.44846,8.15517
0,-117.514,-3.1377,-7.20971,7.7273
0,-118.166,-2.45144,-7.64151,8.19335
0,-117.27,-0.361635,-7.56157,7.71601
0,-116.89,-0.788503,-7.4275,7.81683
0,-117.714,-0.450554,-7.78574,7.89983
0,-117.407,-0.723568,-7.54054,8.01275
0,-120.907,-1.03073,-7.75102,7.60987
0,-117.613,-1.11227,-7.39342,7.90723
0,-122.372,-1.50453,-7.85996,7.6468
0,-127.959,-7.2225,-7.28007,8.33319
0,-117.945,-0.380685,-7.61641,7.6872
0,-118.767,-0.767053,-7.62266,7.61765
0,-117.325,-0.793042,-7.79796,7.97664
0,-117.108,-0.0925642,-7.68819,7.89646
0,-118.05,-0.302755,-7.6403,7.70178
0,-116.956,-0.648781,-7.71136,8.01615
0,-117.189,-0.421203,-7.74904,7.94911
0,-116.932,-0.137456,-7.56468,7.79768
0,-117.309,-1.4335,-7.46272,7.59973
0,-117.136,-0.526752,-7.5773,7.99821
0,-116.911,-1.07386,-7.45351,7.6675
0,-117.184,-0.572886,-7.57313,8.00425
0,-128.785,-7.74393,-8.21987,7.76628
0,-117.038,-0.324103,-7.71562,7.95321
0,-116.994,-0.183672,-7.68612,7.93243
0,-117.652,-0.930922,-7.53252,8.03813
0,-117.564,-1.18315,-7.38022,7.88941
0,-117.318,-0.101979,-7.70914,7.875
0,-118.158,-1.21455,-7.47804,8.04223
0,-117.207,-0.623583,-7.58084,8.01503
0,-116.88,-0.189641,-7.57018,7.91422
0,-118.851,-0.792493,-7.84436,7.84649
0,-118.521,-1.45055,-7.4011,8.00268
0,-118.437,-1.41198,-7.47375,8.0634
0,-117.154,-0.036716,-7.61705,7.80125
0,-117.93,-1.26168,-7.38391,7.9329
0,-116.771,-0.93553,-7.41834,7.76515
0,-117.517,-0.214112,-7.60827,7.73035
0,-121.71,-1.62427,-7.91101,7.73313
0,-117.707,-0.108309,-7.65762,7.75961
0,-133.652,-5.66427,-7.85125,7.24291
0,-116.746,-1.14044,-7.42149,7.69816
0,-117.83,-2.52648,-7.93423,8.04964
0,-117.549,-0.975513,-7.56979,8.05844
0,-118.94,-0.588673,-7.66298,7.64647
0,-117.864,-0.199814,-7.74615,7.83729
0,-117.334,-1.71354,-7.3196,7.80507
0,-117.201,-0.534927,-7.50762,7.95126
0,-117.226,-0.705835,-7.59555,8.03103
0,-117.182,-1.33919,-7.45945,7.61648
0,-116.923,-0.250152,-7.5767,7.93903
0,-117.215,-1.14716,-7.66442,8.08684
0,-123.995,-1.99348,-7.84425,7.55713
0,-121.396,-1.27083,-7.8645,7.70124
0,-116.97,-0.026813,-7.60462,7.83512
0,-120.295,-0.899588,-7.71964,7.61296
0,-117.765,-1.32195,-7.36606,7.89921
0,-117.298,-0.128636,-7.71428,7.88471
0,-117.726,-0.161156,-7.7358,7.84302
0,-119.423,-2.01166,-7.43199,8.09921
0,-117.21,-1.91159,-7.8556,8.0748
0,-119.446,-0.766901,-7.83659,7.79214
0,-117.253,-0.92132,-7.49934,7.64916
0,-119.177,-0.509684,-7.70486,7.67263
0,-116.893,-0.203087,-7.62164,7.9452
0,-118.619,-2.06517,-7.49933,7.49925
0,-117.004,-0.490252,-7.48115,7.88938
0,-116.887,-0.108939,-7.62493,7.91689
0,-117.737,-1.54948,-7.61683,8.12434
0,-118.109,-0.370908,-7.63217,7.68702
0,-117.161,-0.574967,-7.76166,7.97179
0,-117.973,-1.0841,-7.44627,7.99474
0,-121.08,-1.23761,-7.87125,7.72559
0,-116.795,-0.366534,-7.49863,7.8182
0,-120.515,-2.57818,-7.32529,8.06539
0,-117.211,-0.586303,-7.48267,7.93141
0,-117.567,-1.38656,-7.62543,8.11037
0,-117.673,-0.162887,-7.73584,7.85001
0,-117.155,-0.0172548,-7.66717,7.85967
0,-119.156,-2.54115,-7.49517,7.45345
0,-117.249,-1.98779,-7.42074,7.56243
0,-124.658,-2.24889,-7.82691,7.51181
0,-118.293,-0.204863,-7.71657,7.7596
0,-116.803,-0.286579,-7.51712,7.81294
0,-118.297,-0.301171,-7.76664,7.81308
0,-116.815,-0.751662,-7.46782,7.72013
0,-117.741,-0.203036,-7.74629,7.85264
0,-116.986,-0.0137145,-7.6157,7.84366
0,-117.015,-0.101526,-7.58212,7.79324
0,-117.934,-0.515151,-7.80031,7.88839
0,-125.626,-2.65423,-7.92131,7.57097
0,-122.33,-5.14352,-7.48997,8.31676
0,-118.515,-0.751445,-7.60725,7.62243
0,-116.925,-0.351496,-7.50998,7.89139
0,-116.982,-0.0111929,-7.62738,7.85975
0,-118.321,-1.37252,-7.3945,7.9795
0,-118.147,-0.19708,-7.73717,7.79627
0,-117.937,-0.155558,-7.66988,7.74591
0,-118.365,-0.238526,-7.73965,7.77742
0,-116.886,-0.176251,-7.61422,7.93589
0,-116.839,-0.122229,-7.56463,7.86836
0,-117.972,-0.129734,-7.70649,7.7817
0,-117.377,-0.704481,-7.54462,8.01197
0,-119.036,-1.22667,-7.88876,7.8787
0,-119.243,-0.740323,-7.66099,7.6215
0,-117.035,-0.275028,-7.55122,7.75118
0,-116.857,-0.281963,-7.52857,7.78236
0,-116.915,-0.232334,-7.66012,7.95339
0,-120.256,-0.784432,-7.79953,7.69901
0,-119.255,-2.17726,-7.49345,8.1456
0,-116.938,-0.0649954,-7.5851,7.82187
0,-117.955,-0.834238,-7.83446,7.92335
0,-117.217,-0.545434,-7.54011,7.98203
0,-116.902,-0.0378178,-7.60582,7.86745
0,-117.081,-1.13922,-7.79153,8.03804
0,-116.993,-1.15895,-7.75112,8.06522
0,-116.873,-0.377093,-7.51738,7.75994
0,-118.473,-0.477527,-7.80063,7.83289
0,-118.651,-0.318744,-7.75417,7.76714
0,-121.94,-3.91594,-7.1633,7.984
0,-117.041,-0.410824,-7.57864,7.97754
0,-116.99,-0.456737,-7.48836,7.89193
0,-117.359,-0.84367,-7.58829,8.04742
0,-117.391,-0.137842,-7.61238,7.75342
0,-117.242,-0.791623,-7.79001,7.9855
0,-120.026,-0.953086,-7.68575,7.59429
0,-125.396,-2.50739,-7.83413,7.4901
0,-117.327,-1.67694,-7.32307,7.80717
0,-117.015,-0.310413,-7.70903,7.95406
0,-117.071,-0.0287178,-7.61165,7.81404
0,-116.904,-0.750293,-7.43234,7.82446
0,-121.234,-1.0939,-7.8214,7.66509
0,-116.859,-0.214726,-7.54264,7.88724
0,-119.305,-1.51577,-7.91445,7.8851
0,-118.517,-0.929884,-7.58698,7.60075
0,-117.063,-1.74138,-7.76166,8.11892
0,-116.86,-0.181504,-7.54664,7.80606
0,-117.539,-0.488997,-7.56781,7.68273
0,-121.14,-1.63233,-7.9215,7.77476
0,-116.864,-0.192208,-7.54501,7.80162
0,-122.42,-1.52721,-7.86307,7.64771
0,-116.979,-0.323956,-7.57204,7.95528
0,-117.317,-0.617431,-7.51629,7.97792
0,-120.169,-0.818781,-7.72779,7.62931
0,-117.004,-0.541813,-7.63903,8.01297
0,-117.053,-0.623269,-7.45522,7.87849
0,-118.738,-0.448744,-7.67371,7.6741
0,-117.114,-2.77491,-7.87249,8.14092
0,-116.928,-0.346748,-7.51211,7.89399
0,-119.622,-0.60384,-7.73176,7.66917
0,-119.792,-2.1176,-7.5541,7.47165
0,-117.349,-0.0165882,-7.65995,7.81356
0,-116.986,-0.667336,-7.73307,8.00897
0,-117.728,-0.137483,-7.72877,7.83498
0,-117.823,-0.869624,-7.83298,7.93786
0,-116.951,-0.530688,-7.70508,7.99979
0,-116.839,-0.116213,-7.56503,7.86277
0,-117.18,-0.622343,-7.58998,8.01763
0,-119.101,-2.20788,-7.51683,8.15643
0,-116.831,-0.380788,-7.51035,7.77128
0,-117.669,-0.180274,-7.74003,7.85518
0,-117.579,-0.113117,-7.72079,7.84623
0,-117.128,-0.0555606,-7.68033,7.8818
0,-116.773,-0.540704,-7.47287,7.78629
0,-119.294,-0.501087,-7.72559,7.68587
0,-117.813,-0.563408,-7.80255,7.90559
0,-118.512,-0.267725,-7.71134,7.73362
0,-117.169,-0.890027,-7.4135,7.86396
0,-117.133,-0.654934,-7.76528,7.98425
0,-116.862,-0.264378,-7.52582,7.87859
0,-119.379,-2.82123,-7.22359,7.89859
0,-117.735,-0.298666,-7.76453,7.87355
0,-119.603,-1.01725,-7.86898,7.81521
0,-117.741,-3.57574,-7.7542,8.2473
0,-117.78,-0.565268,-7.57717,7.66317
0,-116.971,-0.377224,-7.61179,7.98189
0,-119.83,-2.45712,-7.46118,8.15363
0,-117.792,-0.454695,-7.78881,7.89309
0,-117.264,-0.224749,-7.58225,7.74044
0,-117.318,-0.242351,-7.73685,7.90687
0,-118.185,-0.239975,-7.67089,7.721
0,-121.436,-1.1567,-7.82395,7.65687
0,-118.254,-0.197561,-7.72257,7.76983
0,-117.277,-0.0662084,-7.62017,7.78094
0,-122.689,-2.26756,-7.96324,7.73885
0,-118.138,-0.167858,-7.71341,7.77154
0,-118.302,-0.641016,-7.6062,7.64048
0,-117.528,-0.857758,-7.44297,7.94184
0,-116.988,-0.840018,-7.70018,8.0461
0,-123.589,-1.87004,-7.86042,7.59133
0,-117.999,-0.453937,-7.60927,7.67373
0,-117.245,-0.0606666,-7.61837,7.78477
0,-121.069,-1.32535,-7.7022,7.55001
0,-118.741,-0.513031,-7.80451,7.81313
0,-117.027,-1.73266,-7.78678,8.1064
0,-117.86,-0.688997,-7.5686,7.6448
0,-118.196,-1.22219,-7.43794,8.00862
0,-117.114,-0.898051,-7.78173,8.01143
0,-116.891,-0.330618,-7.5107,7.8803
0,-116.792,-0.389855,-7.49989,7.79228
0,-119.107,-0.697402,-7.83066,7.8112
0,-119.796,-0.867168,-7.68259,7.60587
0,-119.403,-0.628297,-7.81122,7.76841
0,-128.879,-7.27864,-7.2197,8.30431
0,-118.615,-0.379229,-7.67863,7.68974
0,-118.339,-1.35099,-7.47906,8.05971
0,-116.883,-0.98223,-7.40408,7.79612
0,-119.661,-0.846529,-7.84527,7.78608
0,-117.409,-0.228598,-7.59531,7.73165
0,-117.539,-1.02351,-7.83157,7.97663
0,-117.829,-1.41134,-7.58679,8.10797
0,-118.604,-0.470275,-7.65664,7.66723
0,-116.821,-0.569196,-7.48675,7.74318
0,-116.976,-0.564223,-7.65902,8.01574
0,-118.754,-0.633394,-7.6406,7.63771
0,-120.247,-1.78729,-7.93961,7.84678
0,-117.402,-0.900355,-7.51328,7.64175
0,-116.869,-0.0735803,-7.59951,7.88796
0,-118.241,-1.30914,-7.40342,7.98066
0,-121.635,-1.29019,-7.75797,7.57782
0,-118.957,-0.624494,-7.65799,7.63984
0,-121.724,-2.24703,-7.6351,7.44581
0,-123.249,-1.9264,-7.76208,7.50472
0,-117.024,-0.588845,-7.46052,7.87679
0,-117.572,-0.0522084,-7.67034,7.79132
0,-117.92,-0.160348,-7.66545,7.743
0,-117.214,-0.71119,-7.51584,7.6742
0,-116.81,-0.77197,-7.46506,7.719
0,-117.148,-0.551806,-7.75777,7.97062
0,-118.557,-0.272635,-7.72799,7.7474
0,-119.891,-0.695541,-7.80154,7.72448
0,-117.128,-1.1978,-7.46556,7.63297
0,-116.765,-0.848844,-7.44858,7.72548
0,-125.182,-2.80667,-7.75368,7.41563
0,-116.954,-0.534773,-7.7076,7.99947
0,-117.268,-0.0921334,-7.61131,7.77246
0,-116.839,-0.686923,-7.44313,7.81228
0,-117.097,-1.52811,-7.34128,7.7884
0,-117.37,-0.170031,-7.6031,7.74624
0,-120.049,-2.30788,-7.37236,8.0829
0,-116.931,-0.106892,-7.65189,7.91781
0,-117.33,-0.700883,-7.79044,7.96681
0,-116.948,-0.062841,-7.5867,7.82015
0,-116.902,-0.0581339,-7.58585,7.8389
0,-117.418,-0.0472439,-7.69373,7.84025
0,-118.489,-1.10287,-7.87088,7.90697
0,-121.676,-3.55487,-7.40559,8.20406
0,-116.896,-0.316345,-7.51592,7.88606
0,-119.544,-2.36873,-7.52468,7.45729
0,-118.335,-1.31736,-7.42246,8.00678
0,-116.912,-1.40699,-7.35927,7.76708
0,-126.775,-3.12513,-7.95123,7.55914
0,-122.27,-1.62775,-7.74037,7.52776
0,-117.07,-0.219252,-7.70682,7.9307
0,-116.839,-0.116112,-7.56508,7.8628
0,-119.479,-0.534305,-7.7473,7.6955
0,-117.15,-0.249123,-7.56705,7.74431
0,-118.359,-0.232764,-7.73649,7.77466
0,-118.864,-0.7157,-7.83477,7.83513
0,-117.063,-0.406506,-7.55352,7.96248
0,-116.898,-0.184243,-7.64041,7.94232
0,-116.879,-0.0536543,-7.59484,7.86661
0,-118.815,-0.847556,-7.85053,7.85605
0,-117.241,-1.55856,-7.84117,8.04772
0,-117.282,-0.880227,-7.61346,8.0565
0,-118.682,-0.305822,-7.73136,7.74014
0,-120.252,-0.807608,-7.81126,7.71159
0,-116.793,-1.25919,-7.38161,7.75025
0,-116.8,-0.300124,-7.51382,7.81374
0,-117.397,-1.8355,-7.87191,8.04874
0,-117.523,-0.584128,-7.79236,7.93479
0,-120.216,-0.813027,-7.7355,7.63444
0,-117.148,-2.93775,-7.88742,8.1422
0,-116.979,-0.9508,-7.72922,8.05015
0,-117.201,-0.0719207,-7.69263,7.87937
0,-117.353,-1.80602,-7.69916,8.14199
0,-117.479,-0.938597,-7.82124,7.97487
0,-118.245,-0.353442,-7.7791,7.83163
0,-117.392,-0.394844,-7.76316,7.92357
0,-116.813,-0.503972,-7.47217,7.82035
0,-119.93,-0.811498,-7.70497,7.62055
0,-116.822,-0.360338,-7.49831,7.84081
0,-119.688,-0.593273,-7.76091,7.69533
0,-117.019,-0.292803,-7.54679,7.74997
0,-117.838,-0.392465,-7.6056,7.68732
0,-117.741,-0.0979698,-7.71175,7.81463
0,-117.437,-0.106871,-7.71586,7.86213
0,-117.013,-0.255552,-7.70142,7.94463
0,-117.943,-1.65749,-7.32619,7.88076
0,-119.642,-0.747179,-7.69251,7.62655
0,-117.024,-1.23946,-7.73088,8.08232
0,-116.988,-0.889256,-7.70792,8.05005
0,-118.58,-0.293024,-7.70777,7.72382
0,-118.278,-0.356389,-7.77948,7.82878
0,-116.764,-1.05879,-7.4322,7.69973
0,-116.973,-0.877906,-7.41419,7.82676
0,-124.188,-5.08654,-8.12381,7.83825
0,-118.537,-0.436391,-7.65738,7.67389
0,-116.909,-1.20788,-7.44276,7.65534
0,-119.92,-0.681369,-7.79111,7.71159
0,-123.986,-1.99612,-7.8336,7.54651
0,-121.704,-1.4805,-7.72309,7.53804
0,-116.798,-0.485808,-7.47628,7.81389
0,-116.918,-0.244748,-7.58428,7.94214
0,-116.878,-0.128558,-7.61472,7.92088
0,-120.264,-0.774224,-7.76508,7.66243
0,-117.9,-0.232981,-7.64135,7.71912
0,-117.358,-1.64244,-7.32593,7.81394
0,-117.136,-0.000536199,-7.64823,7.84172
0,-119.109,-0.565131,-7.68282,7.65443
0,-116.908,-0.187759,-7.55154,7.78991
0,-120.979,-3.19136,-8.02864,7.89616
0,-118.164,-0.661045,-7.82243,7.88689
0,-116.996,-1.2009,-7.75678,8.06724
0,-118.919,-0.510266,-7.67709,7.66304
0,-121.132,-1.05113,-7.78175,7.62936
0,-117.142,-0.29745,-7.72825,7.9361
0,-116.745,-0.984685,-7.43183,7.71862
0,-117.08,-0.697047,-7.50492,7.68715
0,-117.819,-0.0959255,-7.69437,7.78603
0,-121.072,-2.3857,-7.98265,7.84261
0,-118.98,-0.425345,-7.70927,7.69235
0,-116.992,-0.914326,-7.47585,7.67298
0,-124.151,-2.1669,-7.78993,7.49453
0,-119.796,-2.60957,-7.25678,7.95716
0,-118.764,-1.65547,-7.36756,7.99071
0,-117.032,-0.374713,-7.55063,7.95288
0,-120.347,-1.0708,-7.86532,7.76238
0,-117.939,-0.164566,-7.734,7.81539
0,-116.895,-0.0443017,-7.59638,7.85772
0,-117.942,-0.342591,-7.77584,7.8607
0,-117.554,-2.57321,-7.72221,8.1937
0,-118.324,-0.219798,-7.73154,7.7727
0,-118.5,-1.71456,-7.33527,7.93929
0,-116.988,-0.649082,-7.66818,8.02713
0,-117.144,-4.58325,-7.92581,8.22582
0,-117.176,-0.492911,-7.53608,7.70396
0,-117.882,-1.32882,-7.51055,7.57986
0,-120.773,-1.74385,-7.93508,7.80993
0,-116.98,-0.238346,-7.69058,7.94573
0,-117.222,-0.965607,-7.40341,7.86367
0,-117.809,-0.505477,-7.58706,7.67054
0,-119.4,-1.00153,-7.86816,7.82891
0,-119.191,-0.76848,-7.65266,7.61654
0,-117.504,-0.0512206,-7.69458,7.82793
0,-117.972,-1.46207,-7.35246,7.90796
0,-117.65,-1.08801,-7.39981,7.9174
0,-118.436,-1.5316,-7.50697,8.09423
0,-117.155,-3.01033,-7.81791,8.19121
0,-117.187,-2.67325,-7.7899,8.18039
0,-117.109,-0.00306791,-7.65057,7.85084
0,-116.859,-0.52606,-7.46723,7.83704
0,-122,-1.3978,-7.76841,7.57011
0,-117.072,-0.277899,-7.71565,7.94121
0,-125.982,-2.68292,-7.85803,7.49239
0,-116.899,-0.118638,-7.63601,7.92213
0,-117.148,-0.153735,-7.58422,7.7645
0,-116.801,-1.42789,-7.41253,7.65364
0,-117.805,-0.518705,-7.58499,7.66878
0,-116.863,-0.0780611,-7.57769,7.85176
0,-120.601,-1.24583,-7.68173,7.55519
0,-118.479,-0.91489,-7.85394,7.88968
0,-117.453,-0.0325069,-7.66358,7.80099
0,-117.383,-0.865226,-7.58659,8.0497
0,-117.079,-0.361198,-7.54337,7.73178
0,-116.911,-0.280251,-7.6359,7.96546
0,-119.759,-2.31671,-7.44641,8.13507
0,-118.005,-1.18672,-7.51443,8.06077
0,-119.281,-0.477822,-7.76193,7.72517
0,-117.071,-0.26473,-7.71375,7.93897
0,-121.489,-1.18308,-7.77772,7.60594
0,-121.418,-1.64265,-7.68105,7.50929
0,-117.029,-0.973765,-7.76809,8.03265
0,-116.984,-0.0766121,-7.66169,7.90368
0,-119.198,-2.10388,-7.49002,8.13827
0,-117.143,-0.626466,-7.51809,7.68977
0,-118.596,-0.312509,-7.75642,7.77433
0,-117.271,-1.34324,-7.35694,7.82975
0,-117.028,-1.16464,-7.72083,8.07773
0,-117.368,-1.12982,-7.38307,7.86688
0,-117.855,-0.275352,-7.62772,7.70936
0,-121.735,-4.46308,-7.48565,8.28369
0,-120.892,-0.987383,-7.81599,7.67849
0,-117.482,-0.169187,-7.61436,7.74198
0,-119.008,-1.86872,-7.33864,7.98181
0,-116.968,-0.104478,-7.57639,7.80024
0,-117.924,-0.121096,-7.69122,7.77045
0,-118.548,-0.270493,-7.7291,7.74938
0,-120.401,-1.0067,-7.85315,7.7463
0,-116.878,-0.0622408,-7.60521,7.88604
0,-116.949,-0.0395289,-7.63814,7.88758
0,-119.76,-2.29618,-7.53981,7.45877
