# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = clickgraph_model
# start_datetime = 2023-10-18 22:34:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 20000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = ../programs/STAN/clickgraph/clickgraph.data.R
# init = 2 (Default)
# random
#   seed = 1276562338 (Default)
# output
#   file = clickgraph.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,simAll,unif.1,unif.2,unif.3,unif.4,unif.5,beta1,beta2
-19.4109,0.553292,0.00441821,9,1023,0,23.9942,0.723201,0.150869,0.529744,0.667651,0.725621,0.846061,0.791162,0.0714301
-23.049,0.0901426,0.00441821,10,1023,0,25.8662,0.255549,0.853845,0.300099,0.501579,0.849462,0.215621,0.614128,0.206719
-22.6975,0.754628,0.00441821,9,1023,0,25.2923,0.406737,0.741404,0.868073,0.428941,0.537691,0.567496,0.283307,0.895181
-24.0002,0.57611,0.00441821,9,511,0,27.3978,0.915614,0.347487,0.217276,0.615349,0.241494,0.826145,0.803682,0.0333212
-22.9751,0.970107,0.00441821,9,511,0,27.2264,0.788299,0.341775,0.767224,0.528332,0.417701,0.324769,0.281565,0.0460865
-20.8504,0.730734,0.00441821,9,511,0,26.5246,0.8636,0.185111,0.630332,0.10585,0.192624,0.276947,0.584229,0.501106
-23.2415,0.841606,0.00441821,9,511,0,25.0243,0.4793,0.0718592,0.535407,0.0214752,0.0746598,0.4061,0.542593,0.849053
-26.5896,0.765219,0.00441821,10,1023,0,28.7807,0.964349,0.779293,0.649688,0.994495,0.956439,0.585809,0.6711,0.439216
-29.4703,0.326831,0.00441821,10,1023,0,33.11,0.880845,0.917249,0.387779,0.990682,0.902121,0.370979,0.762619,0.0864592
-23.1041,1,0.00441821,9,511,0,29.7546,0.788602,0.968917,0.635111,0.912565,0.752768,0.279943,0.59504,0.963456
-20.5311,0.888984,0.00441821,9,511,0,24.29,0.449001,0.326349,0.422529,0.183603,0.173828,0.707907,0.374065,0.207845
-19.8615,0.500787,0.00441821,8,511,0,25.8809,0.310899,0.353783,0.401465,0.218812,0.29967,0.578694,0.42861,0.317573
-21.3031,0.649974,0.00441821,9,511,0,22.4895,0.485468,0.482664,0.356989,0.867782,0.441538,0.861901,0.473469,0.86631
-23.9043,0.997623,0.00441821,9,511,0,27.3661,0.842483,0.290535,0.397911,0.854467,0.707571,0.993521,0.457714,0.325002
-21.1264,0.949744,0.00441821,9,511,0,26.314,0.239056,0.306027,0.502098,0.562042,0.107156,0.873429,0.748719,0.715537
-21.031,1,0.00441821,9,1023,0,26.6872,0.925347,0.674472,0.740072,0.458331,0.915187,0.272483,0.57535,0.645425
-20.0915,0.919439,0.00441821,9,1023,0,24.1768,0.862349,0.615726,0.601435,0.613859,0.853333,0.47455,0.654486,0.817644
-19.8074,0.816447,0.00441821,9,511,0,22.6688,0.847943,0.61243,0.386186,0.120369,0.560181,0.429039,0.678689,0.612698
-22.4524,0.948533,0.00441821,9,511,0,24.0498,0.763558,0.855393,0.330668,0.966994,0.258846,0.799579,0.583775,0.819135
-20.9312,0.988656,0.00441821,10,1023,0,24.8232,0.645867,0.872979,0.696201,0.61358,0.667458,0.160039,0.31545,0.69533
-18.7101,0.837346,0.00441821,9,511,0,22.7148,0.584319,0.776513,0.671209,0.680349,0.47459,0.194342,0.301874,0.890573
-18.9309,0.16745,0.00441821,9,511,0,24.9489,0.562998,0.765485,0.667601,0.647341,0.542242,0.163142,0.291748,0.910946
-26.7817,0.852226,0.00441821,9,511,0,28.6788,0.790809,0.842382,0.986631,0.913519,0.150267,0.717358,0.836192,0.680043
-23.754,1,0.00441821,9,511,0,29.0453,0.835616,0.267673,0.973103,0.905129,0.208826,0.921993,0.507127,0.641851
-24.3674,0.610858,0.00441821,10,1023,0,27.3597,0.73343,0.657387,0.983716,0.789079,0.0284063,0.738025,0.465502,0.403702
-24.0983,0.425627,0.00441821,9,1023,0,34.3706,0.556348,0.251788,0.0295645,0.0595066,0.352436,0.973425,0.683649,0.551151
-26.6382,0.850391,0.00441821,10,1023,0,29.9946,0.0619929,0.58838,0.976199,0.918304,0.54335,0.0306504,0.584844,0.923129
-26.379,0.578749,0.00441821,10,1023,0,31.3307,0.108299,0.362113,0.553082,0.0566998,0.498549,0.986659,0.654845,0.900058
-24.58,0.795819,0.00441821,10,1023,0,30.9899,0.654566,0.671107,0.404147,0.858315,0.49512,0.00157575,0.384633,0.940495
-30.5708,0.240158,0.00441821,10,1023,0,35.1619,0.110704,0.061439,0.869715,0.125046,0.572067,0.980487,0.775285,0.0384327
-25.3394,1,0.00441821,10,1023,0,28.8519,0.889298,0.932122,0.121488,0.107922,0.383468,0.0124931,0.602656,0.842799
-23.4872,0.715087,0.00441821,9,1023,0,31.4492,0.0249168,0.65128,0.134245,0.914851,0.871977,0.724706,0.460175,0.626085
-21.9194,0.946689,0.00441821,10,1023,0,26.6445,0.0726258,0.34993,0.778604,0.0870245,0.14395,0.273174,0.660177,0.505838
-23.2341,0.86126,0.00441821,10,1023,0,26.9982,0.209392,0.284977,0.284704,0.844376,0.896873,0.984522,0.494264,0.603704
-23.0431,0.833999,0.00441821,10,1023,0,26.5626,0.572001,0.425292,0.684103,0.890362,0.135076,0.0150895,0.351491,0.900051
-26.1322,0.537274,0.00441821,9,1023,0,28.0827,0.51098,0.12755,0.880447,0.821502,0.0485853,0.0177202,0.470072,0.263797
-23.7928,0.251944,0.00441821,9,1023,0,29.6668,0.608104,0.0927648,0.830034,0.941722,0.079477,0.0513867,0.446487,0.622018
-21.1505,0.389337,0.00441821,9,1023,0,28.8884,0.692296,0.141893,0.743551,0.820534,0.111907,0.117203,0.427723,0.669111
-21.2163,0.698243,0.00441821,10,1023,0,24.4326,0.599137,0.901333,0.260014,0.334557,0.8864,0.857602,0.770806,0.208038
-20.9217,0.420611,0.00441821,9,1023,0,24.5204,0.66693,0.914941,0.309044,0.37236,0.903475,0.773625,0.793443,0.2694
-20.8192,0.336636,0.00441821,9,1023,0,25.6598,0.96081,0.484994,0.503072,0.328055,0.59467,0.129222,0.567165,0.656999
-20.859,0.972119,0.00441821,9,511,0,22.118,0.929231,0.781106,0.644982,0.615492,0.790634,0.163289,0.550795,0.65734
-24.036,0.514886,0.00441821,9,1023,0,27.2753,0.783316,0.174372,0.205508,0.0200244,0.212556,0.777616,0.712552,0.902741
-25.5045,0.773309,0.00441821,9,511,0,28.7553,0.771273,0.0717259,0.140858,0.0250495,0.633428,0.136583,0.383023,0.910374
-22.6923,0.411331,0.00441821,10,1023,0,28.1103,0.833815,0.618398,0.205187,0.749477,0.507338,0.65823,0.815216,0.0506639
-22.7256,0.51212,0.00441821,9,1023,0,24.4611,0.85219,0.281262,0.891057,0.303785,0.733133,0.822466,0.308754,0.922262
-22.5406,0.325246,0.00441821,9,1023,0,28.173,0.973589,0.391838,0.902227,0.55618,0.266558,0.367042,0.508937,0.879278
-19.2137,0.86123,0.00441821,10,1023,0,23.1158,0.740064,0.51658,0.203144,0.432134,0.820115,0.496113,0.698873,0.12559
-21.4526,0.625693,0.00441821,9,1023,0,26.1477,0.668305,0.802878,0.221228,0.846325,0.599328,0.456467,0.738432,0.956192
-20.6794,0.696966,0.00441821,9,511,0,23.5713,0.877472,0.288106,0.50482,0.796144,0.377924,0.325688,0.386887,0.279183
-23.3949,0.972655,0.00441821,9,511,0,25.3903,0.992821,0.762145,0.297397,0.381168,0.861112,0.70504,0.70888,0.63389
-20.1864,0.916576,0.00441821,10,1023,0,24.7791,0.172673,0.241248,0.812764,0.674245,0.127281,0.32766,0.437541,0.644443
-21.5201,0.764394,0.00441821,9,511,0,22.2881,0.135994,0.247012,0.873879,0.659941,0.0556798,0.252188,0.513608,0.700803
-21.2081,0.866963,0.00441821,9,511,0,25.3705,0.124166,0.347218,0.871307,0.548751,0.0682706,0.279382,0.414462,0.587099
-20.8471,0.872314,0.00441821,9,511,0,24.9452,0.199891,0.772262,0.819593,0.542334,0.913472,0.247599,0.677197,0.609667
-21.7475,0.965185,0.00441821,9,511,0,23.6748,0.149365,0.884606,0.931248,0.11472,0.660313,0.531976,0.607718,0.454268
-22.7916,0.867721,0.00441821,9,511,0,24.3229,0.152693,0.768177,0.973256,0.160963,0.793795,0.308776,0.73478,0.609836
-21.4461,0.735991,0.00441821,10,1023,0,24.548,0.748045,0.180503,0.965578,0.740331,0.376629,0.639423,0.534977,0.408608
-23.4266,0.332494,0.00441821,9,1023,0,27.6668,0.769018,0.188649,0.983753,0.894199,0.329573,0.633161,0.612081,0.416106
-22.7193,0.720241,0.00441821,10,1023,0,26.2953,0.903909,0.794036,0.972883,0.210382,0.448797,0.805225,0.457641,0.791937
-25.9101,0.803687,0.00441821,9,1023,0,31.6352,0.853944,0.841728,0.992225,0.627613,0.219148,0.921279,0.389033,0.771264
-23.6177,0.999995,0.00441821,10,1023,0,31.5545,0.786666,0.613201,0.770743,0.157938,0.690087,0.992794,0.774107,0.621202
-23.4041,0.581009,0.00441821,10,1023,0,27.2007,0.369434,0.401611,0.0530572,0.531896,0.267119,0.0147208,0.301666,0.876837
-25.1309,0.362612,0.00441821,9,511,0,27.161,0.274635,0.282334,0.0460234,0.649532,0.258473,0.00843264,0.238446,0.837565
-24.0781,0.282678,0.00441821,10,1023,0,29.3972,0.790633,0.947587,0.152056,0.468953,0.570808,0.0102693,0.614386,0.465523
-23.5363,0.848379,0.00441821,10,1023,0,28.4585,0.511774,0.0974407,0.960144,0.454544,0.169659,0.959395,0.539111,0.67997
-21.9799,0.69428,0.00441821,10,1023,0,26.7171,0.734494,0.441128,0.903947,0.784614,0.939498,0.871833,0.684097,0.389583
-20.206,0.89596,0.00441821,9,511,0,23.6161,0.222583,0.657186,0.837147,0.297123,0.114876,0.439851,0.604378,0.548596
-21.9472,0.758632,0.00441821,9,1023,0,25.6534,0.473016,0.352014,0.127259,0.120608,0.130977,0.115108,0.716374,0.692079
-19.2617,0.958542,0.00441821,9,511,0,23.7796,0.708322,0.736551,0.165262,0.732013,0.26687,0.511731,0.547549,0.865683
-20.2977,0.285499,0.00441821,9,1023,0,22.0153,0.472078,0.468416,0.0948058,0.485374,0.165491,0.467178,0.571382,0.921746
-27.9113,0.431615,0.00441821,10,1023,0,30.203,0.523088,0.277816,0.452259,0.308686,0.173834,0.262714,0.529123,0.999962
-27.7895,0.73511,0.00441821,10,1023,0,35.2908,0.902125,0.557916,0.840438,0.345883,0.852029,0.427133,0.407828,0.000306523
-21.4953,0.567148,0.00441821,10,1023,0,30.381,0.978006,0.46244,0.675461,0.678057,0.32376,0.172627,0.661984,0.377245
-20.9318,0.999995,0.00441821,9,511,0,23.5639,0.960896,0.277561,0.601546,0.397316,0.640566,0.750402,0.519087,0.788718
-20.7923,0.999998,0.00441821,9,511,0,22.4392,0.958128,0.249638,0.355938,0.230418,0.344993,0.486382,0.581742,0.749997
-22.6145,0.759329,0.00441821,10,1023,0,26.2598,0.661821,0.0171362,0.335238,0.810321,0.750696,0.926857,0.743486,0.48167
-20.3895,0.763074,0.00441821,10,1023,0,24.6607,0.0815097,0.419973,0.634771,0.203906,0.214228,0.358713,0.448104,0.64457
-19.3432,0.895182,0.00441821,9,1023,0,21.3741,0.548582,0.504386,0.785801,0.806871,0.776462,0.355785,0.60975,0.691358
-20.3955,0.861724,0.00441821,9,511,0,23.3519,0.527178,0.380557,0.930761,0.787182,0.392385,0.386682,0.309711,0.601084
-19.9248,0.631191,0.00441821,9,511,0,21.6519,0.49376,0.315268,0.879121,0.601433,0.129016,0.452149,0.353773,0.632529
-25.2644,0.47279,0.00441821,9,511,0,26.5583,0.38691,0.0563946,0.920381,0.202602,0.0840392,0.15096,0.292966,0.924222
-20.2364,1,0.00441821,9,511,0,25.8925,0.410653,0.239287,0.71096,0.871243,0.186668,0.411531,0.401274,0.672974
-23.039,0.648774,0.00441821,10,1023,0,27.3918,0.903792,0.704232,0.405119,0.409759,0.0485683,0.0962321,0.368928,0.512355
-25.0551,0.770645,0.00441821,10,1023,0,28.4771,0.689832,0.320805,0.593881,0.118793,0.0681635,0.00744151,0.775178,0.439766
-24.7983,0.614771,0.00441821,9,1023,0,27.0033,0.6607,0.442961,0.620532,0.155556,0.0697593,0.010093,0.800341,0.356852
-19.6648,0.387698,0.00441821,10,1023,0,29.0655,0.882454,0.455616,0.498169,0.440409,0.491697,0.289143,0.661589,0.825987
-20.9791,0.467962,0.00441821,9,511,0,28.9352,0.727945,0.54259,0.455298,0.482306,0.839008,0.067564,0.417656,0.52935
-21.094,0.401559,0.00441821,10,1023,0,24.9607,0.675623,0.379793,0.499883,0.43959,0.785388,0.0683067,0.435759,0.688131
-27.3302,0.672171,0.00441821,9,1023,0,28.7304,0.63855,0.20024,0.439956,0.911696,0.122584,0.072073,0.740198,0.0369643
-24.9136,0.66474,0.00441821,9,511,0,29.5853,0.647916,0.257119,0.525259,0.932044,0.156903,0.0567346,0.708542,0.114865
-22.8801,0.472977,0.00441821,9,511,0,29.7912,0.720265,0.236805,0.711865,0.915432,0.450369,0.0770204,0.686189,0.213298
-25.7783,0.471089,0.00441821,10,1023,0,30.0822,0.79152,0.409254,0.0577973,0.907081,0.575333,0.966641,0.428776,0.910199
-23.1294,1,0.00441821,9,511,0,27.4712,0.829672,0.620513,0.109784,0.58966,0.650902,0.989637,0.696014,0.0873658
-22.4291,0.193885,0.00441821,9,1023,0,25.4,0.773964,0.640726,0.178978,0.745487,0.412395,0.984748,0.739188,0.0978831
-20.2553,0.30149,0.00441821,9,1023,0,27.6702,0.273531,0.751281,0.185794,0.108212,0.510107,0.595364,0.757006,0.649932
-20.2065,0.679273,0.00441821,10,1023,0,22.3525,0.780362,0.482445,0.230933,0.762892,0.706878,0.868389,0.749412,0.129953
-21.4737,0.944837,0.00441821,9,1023,0,25.3244,0.801762,0.385456,0.97308,0.41124,0.595565,0.737835,0.659357,0.840669
-20.6395,0.563149,0.00441821,9,511,0,24.3901,0.455402,0.576927,0.933091,0.433584,0.487752,0.612812,0.572747,0.20033
-24.354,0.986386,0.00441821,8,255,0,24.829,0.348405,0.376838,0.952327,0.372269,0.884143,0.911837,0.314907,0.848617
-22.5025,0.428288,0.00441821,9,1023,0,27.2021,0.457846,0.680835,0.382845,0.63606,0.0731706,0.0486451,0.634861,0.970182
-24.3627,0.69184,0.00441821,9,511,0,26.4496,0.296793,0.665319,0.363427,0.698481,0.0345711,0.0488369,0.715043,0.983732
-24.9825,0.654721,0.00441821,9,511,0,28.2419,0.362919,0.540416,0.293733,0.485454,0.0506931,0.0237118,0.508545,0.995569
-20.4103,0.9034,0.00441821,9,511,0,27.9266,0.530142,0.667194,0.513734,0.648488,0.435516,0.0509474,0.331358,0.908874
-18.0723,0.651546,0.00441821,9,1023,0,21.6366,0.597276,0.733992,0.628022,0.619023,0.363273,0.328945,0.386912,0.924307
-24.4541,0.343478,0.00441821,9,511,0,25.7196,0.854731,0.834987,0.888778,0.57479,0.273514,0.222382,0.352544,0.992151
-23.1282,0.473741,0.00441821,9,511,0,26.791,0.800482,0.841837,0.928802,0.561421,0.465929,0.120169,0.437492,0.988638
-23.8564,0.51205,0.00441821,9,1023,0,29.4911,0.737909,0.85792,0.843308,0.365762,0.617343,0.0693226,0.353021,0.993508
-24.6859,0.159453,0.00441821,9,1023,0,28.236,0.737832,0.783648,0.800044,0.339009,0.466105,0.0293483,0.31398,0.995005
-28.0941,0.139818,0.00441821,10,1023,0,34.1984,0.952205,0.156844,0.900688,0.621513,0.707831,0.0179635,0.486403,0.994047
-23.372,0.930878,0.00441821,9,511,0,32.0658,0.654092,0.571685,0.734439,0.103991,0.495252,0.0464366,0.832566,0.607375
-22.7165,0.81892,0.00441821,10,1023,0,29.1537,0.450148,0.52448,0.122009,0.120164,0.399745,0.016119,0.566923,0.864524
-21.1678,0.848186,0.00441821,9,1023,0,26.0254,0.783,0.76474,0.765315,0.948644,0.615142,0.609856,0.692443,0.573506
-24.6541,0.810152,0.00441821,9,511,0,28.7093,0.962103,0.141745,0.962335,0.884356,0.731237,0.442182,0.348916,0.831139
-34.5261,0.447614,0.00441821,9,511,0,37.249,0.988535,0.0224356,0.939857,0.0467506,0.407583,0.867479,0.704763,0.999699
-28.5415,0.999998,0.00441821,9,511,0,36.8859,0.973194,0.0438325,0.965419,0.379857,0.364201,0.706972,0.808762,0.982857
-28.8128,0.998702,0.00441821,10,1023,0,36.7136,0.889241,0.00433341,0.663218,0.978666,0.0131743,0.639323,0.414321,0.660653
-30.3443,0.628626,0.00441821,10,1023,0,35.3645,0.842279,0.999404,0.489251,0.0227779,0.96308,0.356026,0.562859,0.851868
-28.7582,0.597141,0.00441821,10,1023,0,33.0522,0.896016,0.999822,0.166039,0.859041,0.341979,0.493768,0.587797,0.235012
-25.5413,0.161863,0.00441821,9,1023,0,31.8695,0.774755,0.999339,0.0885467,0.812708,0.662418,0.479284,0.509892,0.771807
-21.0591,0.519757,0.00441821,10,1023,0,26.843,0.468869,0.989396,0.532429,0.788001,0.390284,0.263223,0.515061,0.865276
-22.3216,0.386616,0.00441821,10,1023,0,28.0904,0.524117,0.436523,0.942285,0.975891,0.712119,0.289042,0.626803,0.523708
-20.3775,0.783519,0.00441821,10,1023,0,25.9816,0.510064,0.781181,0.126816,0.148347,0.628289,0.45736,0.572583,0.752494
-22.5305,0.743556,0.00441821,9,511,0,27.12,0.560063,0.225828,0.141302,0.463487,0.341691,0.726156,0.278711,0.649384
-21.0339,0.786625,0.00441821,9,511,0,24.193,0.63552,0.287132,0.181168,0.371341,0.195044,0.742509,0.37852,0.114093
-22.5341,0.696416,0.00441821,9,511,0,26.8775,0.64525,0.214323,0.28067,0.487328,0.428452,0.532358,0.29636,0.041561
-30.3802,0.999985,0.00441821,9,511,0,33.6048,0.932221,0.489758,0.739164,0.28979,0.506267,0.208033,0.785554,2.96185e-05
-25.8817,0.999998,0.00441821,9,511,0,33.7424,0.972722,0.427469,0.494395,0.701276,0.902848,0.286752,0.381694,0.00891749
-23.4676,0.914859,0.00441821,9,511,0,29.9051,0.876091,0.845415,0.178461,0.0556802,0.832269,0.56578,0.650041,0.071728
-23.2083,0.915655,0.00441821,9,511,0,25.826,0.835919,0.817512,0.210227,0.17964,0.69174,0.197574,0.530184,0.0186099
-23.3923,0.483065,0.00441821,9,511,0,26.0203,0.938634,0.46852,0.0707356,0.251681,0.647503,0.396136,0.653296,0.0289415
-20.9418,0.631725,0.00441821,10,1023,0,24.8619,0.780857,0.508073,0.232064,0.477659,0.534026,0.92284,0.667331,0.035522
-20.095,0.254454,0.00441821,10,1023,0,24.3285,0.602159,0.395116,0.496419,0.592917,0.297295,0.962072,0.634798,0.12614
-22.3946,0.739264,0.00441821,9,511,0,27.4713,0.807165,0.858588,0.587029,0.0700676,0.876817,0.942252,0.617399,0.393728
-19.0533,0.758634,0.00441821,9,511,0,23.7249,0.755289,0.660095,0.528766,0.56415,0.813099,0.924017,0.772701,0.313289
-23.735,0.331014,0.00441821,9,511,0,26.8403,0.885898,0.770288,0.849627,0.712284,0.418823,0.981771,0.789144,0.0747981
-21.6504,0.913372,0.00441821,9,511,0,25.6476,0.900479,0.639408,0.513784,0.165132,0.287624,0.967228,0.532692,0.359109
-21.6986,0.678659,0.00441821,10,1023,0,26.8268,0.493423,0.474553,0.0988968,0.357993,0.796061,0.199783,0.875091,0.523143
-19.2857,0.541719,0.00441821,8,511,0,25.9446,0.526778,0.574314,0.114621,0.332916,0.498663,0.333559,0.656691,0.727487
-19.205,0.935353,0.00441821,9,511,0,23.103,0.738983,0.552273,0.485905,0.896408,0.451881,0.34807,0.582317,0.658955
-19.3474,0.583866,0.00441821,9,511,0,23.462,0.23583,0.159152,0.250038,0.324531,0.548866,0.689695,0.673535,0.503156
-19.9252,0.659798,0.00441821,9,1023,0,22.6413,0.135371,0.352061,0.442053,0.802371,0.775447,0.326774,0.444683,0.600318
-20.3068,0.740964,0.00441821,10,1023,0,22.4908,0.861523,0.900388,0.359069,0.659813,0.466679,0.766863,0.44904,0.665339
-19.9559,0.78279,0.00441821,10,1023,0,24.3908,0.683429,0.188516,0.75994,0.479422,0.292505,0.113441,0.500899,0.751143
-23.4514,0.70221,0.00441821,9,511,0,26.0614,0.969588,0.940444,0.145633,0.167451,0.51541,0.605327,0.719064,0.326057
-28.3723,0.506076,0.00441821,10,1023,0,31.3127,0.986141,0.887479,0.115069,0.0237342,0.967671,0.511277,0.759771,0.796819
-27.3253,0.534141,0.00441821,9,511,0,31.5083,0.987161,0.884303,0.0839375,0.013417,0.880997,0.564721,0.706808,0.297669
-28.2893,0.653571,0.00441821,10,1023,0,37.301,0.936229,0.998706,0.564713,0.888429,0.680317,0.111602,0.414262,0.960269
-25.6899,0.988968,0.00441821,10,1023,0,30.9366,0.0785536,0.00279344,0.418661,0.13184,0.139285,0.726041,0.592515,0.675624
-24.5089,0.880726,0.00441821,10,1023,0,31.0873,0.138128,0.0916432,0.545271,0.162707,0.0384078,0.271257,0.812586,0.793978
-21.7079,0.91753,0.00441821,10,1023,0,27.0259,0.204304,0.364627,0.22002,0.304452,0.0369231,0.597211,0.723482,0.579027
-20.7184,0.999999,0.00441821,10,1023,0,23.7507,0.413671,0.597219,0.826642,0.475182,0.963145,0.404054,0.342719,0.653382
-20.2926,0.339969,0.00441821,9,1023,0,25.9775,0.184503,0.847024,0.850744,0.389353,0.688261,0.603507,0.532866,0.710129
-22.7552,0.981288,0.00441821,9,1023,0,27.2025,0.652209,0.0914094,0.256591,0.0294906,0.405626,0.11862,0.557924,0.231599
-22.5058,0.999688,0.00441821,10,1023,0,26.8668,0.382986,0.910243,0.287152,0.772961,0.249802,0.960995,0.740615,0.569564
-21.3578,0.559216,0.00441821,10,1023,0,24.6925,0.499442,0.970282,0.197043,0.651163,0.376221,0.686754,0.721783,0.608319
-22.9423,0.897485,0.00441821,9,511,0,25.6728,0.77152,0.982428,0.0843387,0.807785,0.220564,0.611329,0.402019,0.621398
-23.5986,0.677544,0.00441821,9,511,0,28.1538,0.716074,0.90419,0.298447,0.228566,0.308301,0.477875,0.343262,0.991707
-21.5103,0.794752,0.00441821,9,1023,0,26.2404,0.518782,0.773052,0.520601,0.422204,0.434971,0.480528,0.454705,0.997004
-27.6112,0.206766,0.00441821,9,1023,0,29.7921,0.987108,0.280328,0.9252,0.582964,0.493776,0.656906,0.715446,0.00234702
-31.2022,0.999981,0.00441821,8,255,0,32.5869,0.990138,0.206296,0.950263,0.802268,0.380701,0.863958,0.800043,0.00126401
-27.5801,0.579493,0.00441821,9,1023,0,33.0523,0.995581,0.127107,0.961843,0.55409,0.426595,0.832627,0.646266,0.0274976
-24.8338,0.999999,0.00441821,9,511,0,29.0014,0.995948,0.374885,0.945106,0.345174,0.30572,0.391592,0.535498,0.12198
-22.6495,0.999998,0.00441821,9,511,0,26.1986,0.98466,0.179884,0.809299,0.252219,0.207304,0.529533,0.573989,0.256069
-22.1306,0.999997,0.00441821,9,511,0,24.8507,0.95553,0.482157,0.69564,0.926932,0.294982,0.795506,0.515451,0.756551
-24.1789,0.999991,0.00441821,9,511,0,27.692,0.958707,0.818532,0.836382,0.0608859,0.223917,0.067813,0.652762,0.429164
-20.9959,0.657265,0.00441821,10,1023,0,26.9417,0.97475,0.219507,0.543009,0.256819,0.615672,0.458567,0.602907,0.348233
-23.3017,0.345353,0.00441821,9,1023,0,26.0541,0.989401,0.195864,0.377704,0.182245,0.202041,0.772696,0.537672,0.784919
-22.0012,0.999995,0.00441821,9,511,0,26.0005,0.941775,0.603471,0.497366,0.042252,0.739192,0.27325,0.63003,0.278023
-26.4655,0.999983,0.00441821,9,511,0,27.5983,0.980854,0.64815,0.475038,0.0294594,0.614557,0.467788,0.706276,0.00938144
-28.802,0.998974,0.00441821,9,511,0,32.4987,0.976611,0.495229,0.829918,0.00050012,0.677669,0.380987,0.573982,0.0548804
-25.5846,1,0.00441821,9,511,0,30.3991,0.982937,0.265385,0.685053,0.00561743,0.151891,0.440048,0.640901,0.370817
-23.78,0.974971,0.00441821,10,1023,0,30.6506,0.70291,0.0309794,0.640153,0.919891,0.968865,0.321614,0.596573,0.386704
-24.4548,0.665227,0.00441821,10,1023,0,28.049,0.712912,0.0128471,0.184852,0.859977,0.955554,0.681415,0.478653,0.528357
