# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = cf2_model
# start_datetime = 2023-07-05 12:15:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\cf\cf2.data.r
# init = 2 (Default)
# random
#   seed = 757342305 (Default)
# output
#   file = examples\cf\cf2_1k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mean
-2148.68,0.999383,0.00352524,10,1023,0,2151.4,-5.77747,-3.85014,-3.77355,0.0438718,2.17318,24.2517
-2149.83,0.934177,0.00352524,10,1023,0,2151.02,4.50219,2.83177,-2.40574,-6.32177,-3.86582,24.0919
-2149.82,0.983372,0.00352524,10,1023,0,2152.36,-4.76457,-5.4768,-1.82232,2.95326,3.34861,24.0614
-2151.13,0.97741,0.00352524,10,1023,0,2153.14,-3.21313,2.39448,9.40172,3.87745,-4.69972,24.0612
-2149.34,0.998992,0.00352524,10,1023,0,2151.8,5.34404,0.628298,2.39641,6.98764,4.17413,24.277
-2149.45,0.962908,0.00352524,9,1023,0,2152.13,4.55482,3.39033,7.62208,0.638915,3.95078,24.263
-2150.07,0.816779,0.00352524,9,511,0,2151.28,4.30634,3.71826,5.41164,0.581659,4.89605,24.0559
-2150.22,0.93766,0.00352524,10,1023,0,2152.89,1.17009,1.77948,-6.00776,-4.68017,-6.12864,24.0709
-2151.42,0.862059,0.00352524,2,3,0,2152.27,1.16356,1.79871,-6.08199,-4.70941,-6.1297,24.6058
-2153.44,0.844293,0.00352524,3,7,0,2154.21,1.17212,1.82707,-6.08284,-4.70354,-6.01503,24.7374
-2151.95,0.982434,0.00352524,10,1023,0,2156.65,4.47402,2.17909,4.01152,2.7339,3.15007,23.8665
-2148.91,0.945525,0.00352524,3,7,0,2153.47,4.42413,2.23169,4.08265,2.78043,3.20175,24.4266
-2150.45,0.901489,0.00352524,9,1023,0,2154.55,0.071842,1.41547,4.64096,7.10826,-8.87214,24.2187
-2151.66,0.902693,0.00352524,10,1023,0,2154.34,-9.56131,1.15187,5.17825,7.90768,-5.58868,24.3459
-2149.41,0.998965,0.00352524,10,1023,0,2151.96,-2.08579,-8.80978,2.48921,0.925264,3.65406,24.3326
-2149.36,0.995919,0.00352524,10,1023,0,2149.9,-2.00327,-7.78637,2.9681,1.24508,5.03381,24.3276
-2149.62,0.939277,0.00352524,10,1023,0,2150.62,-8.22896,-2.42097,-4.64841,-1.22388,-1.45552,24.1557
-2152.88,0.601986,0.00352524,7,237,0,2160.55,-10.5775,-1.60546,-7.63055,-1.15352,-1.18037,24.6035
-2150.65,0.979244,0.00352524,9,1023,0,2154.01,-7.47982,-1.47063,-9.66407,-0.987093,3.7333,24.2727
-2149.55,0.996347,0.00352524,9,511,0,2150.98,-5.33224,-0.0459886,-7.58065,-2.60838,4.28869,24.3072
-2148.48,0.990501,0.00352524,9,1023,0,2151.13,-2.01574,-3.39903,-4.62729,-4.06523,-1.32522,24.3373
-2149.01,0.949858,0.00352524,10,1023,0,2149.65,-5.62301,-4.27742,-0.969767,-1.52185,-1.41626,24.1116
-2152.33,0.956734,0.00352524,9,511,0,2154.11,-7.00466,-4.31158,-1.07964,-5.29971,-11.7648,24.1581
-2153.39,0.949616,0.00352524,9,511,0,2155.21,-11.2069,-2.58104,-0.587004,-7.34943,-8.75572,24.4838
-2151.07,0.997188,0.00352524,9,511,0,2154.26,-7.06512,-0.097408,-3.52347,-8.15032,-5.29877,24.1069
-2150.24,0.999961,0.00352524,9,511,0,2151.62,-6.80979,0.015966,-3.56253,-7.99056,-3.98999,24.3679
-2149.81,0.599689,0.00352524,9,511,0,2153.46,0.125146,-1.72817,-5.28891,-5.3222,-3.41692,24.5154
-2149,0.943697,0.00352524,9,919,0,2151.97,1.26584,-4.05441,-5.00224,-6.13979,-1.25278,24.3277
-2152.17,0.88578,0.00352524,10,1023,0,2157.16,7.22356,3.82223,1.73146,4.3707,-11.071,24.1068
-2151.06,0.935295,0.00352524,10,1023,0,2154.52,1.04791,2.02944,5.34661,2.09912,10.7498,24.0996
-2150.53,0.949215,0.00352524,10,1023,0,2154.01,0.978571,-5.27576,2.86853,8.49223,4.92074,24.1183
-2151.67,0.972318,0.00352524,10,1023,0,2153.03,-9.56501,-2.83361,-0.0360355,-10.1222,-3.10759,24.3606
-2148.55,0.848837,0.00352524,9,1023,0,2152.64,-3.12488,-5.99453,-1.35407,-1.90691,3.00921,24.3235
-2148.74,0.988594,0.00352524,10,1023,0,2149.87,3.30134,6.06263,2.05359,3.40835,-2.73392,24.2803
-2149.03,0.990195,0.00352524,10,1023,0,2150.96,2.58674,0.218889,3.78295,4.56969,6.37415,24.2273
-2148.73,0.973402,0.00352524,10,1023,0,2151.14,3.37065,1.46876,3.71043,3.7815,5.32932,24.311
-2149.22,0.999982,0.00352524,8,511,0,2149.6,3.83567,1.1125,4.37821,2.95422,7.11015,24.3115
-2151.61,0.996829,0.00352524,9,511,0,2152.43,-2.07843,9.37708,7.61438,4.92423,6.24442,24.2497
-2153.1,0.951388,0.00352524,10,1023,0,2155.06,12.0376,2.36679,-4.88585,-1.25643,-10.2574,24.3718
-2154.28,0.994126,0.00352524,8,255,0,2154.83,13.2831,1.85495,-5.99729,-1.79797,-11.0573,24.3652
-2148.77,0.928891,0.00352524,9,511,0,2154.85,4.675,5.89255,-2.11067,0.129302,-3.04155,24.2332
-2150.7,0.980024,0.00352524,10,1023,0,2151.18,8.31457,4.5019,-4.82797,1.456,-5.98168,24.4202
-2150.18,0.997997,0.00352524,10,1023,0,2151.43,4.89263,6.02583,2.69222,-4.63314,7.30712,24.3158
-2152.38,0.983594,0.00352524,10,1023,0,2152.91,7.05146,6.27774,-1.7756,4.63981,-11.6968,24.332
-2152.11,0.792694,0.00352524,10,1023,0,2155.95,10.9025,3.57396,3.11272,-1.62218,-9.56971,24.3461
-2149.45,0.957242,0.00352524,10,1023,0,2154.11,1.47003,4.56683,8.84426,2.03214,-0.437371,24.2488
-2149.77,0.931386,0.00352524,10,1023,0,2151.72,-2.78208,-0.997926,2.15041,9.04844,2.2002,24.4343
-2153.33,0.919028,0.00352524,10,1023,0,2155.66,-2.44248,4.54603,5.93597,7.89861,-11.6979,24.0844
-2151.47,0.928139,0.00352524,10,1023,0,2158.05,4.26536,0.0767203,-1.91457,-9.86692,5.31011,24.5283
-2150.51,0.510408,0.00352524,9,1023,0,2157.35,1.02269,-0.577398,-2.0505,-7.28806,9.96732,24.321
-2149.48,0.972983,0.00352524,10,1023,0,2153.84,-5.40914,-3.61954,-4.94337,0.014166,4.90548,24.4141
-2151.96,0.99135,0.00352524,9,1023,0,2152.64,-6.33917,-4.99603,-0.641418,-5.36327,-10.6727,24.4381
-2151.45,0.954432,0.00352524,9,511,0,2152.94,-4.88798,-5.55442,-1.83489,-3.88835,-10.1744,24.1102
-2149.47,0.990972,0.00352524,10,1023,0,2152.57,-5.72543,-0.721183,-4.52139,-3.77291,3.26561,24.4535
-2149.87,0.994994,0.00352524,10,1023,0,2151.73,9.91571,2.46158,0.046171,-1.49517,-0.20071,24.1386
-2149.4,0.999425,0.00352524,9,511,0,2150.09,8.65944,2.792,0.819407,-0.860017,0.949797,24.4223
-2150.83,0.993422,0.00352524,9,511,0,2151.34,11.0317,1.06206,-2.40166,-4.25,2.51022,24.4336
-2149.67,0.899729,0.00352524,10,1023,0,2152.96,-3.18651,3.12221,-4.58492,-6.57206,4.22573,24.4092
-2148.36,0.986101,0.00352524,9,511,0,2150.43,-0.915259,0.732839,-4.25389,-5.64408,0.952578,24.2912
-2149.97,0.864405,0.00352524,10,1023,0,2150.97,-1.50373,-1.60886,-3.28698,-6.64716,0.284433,24.5528
-2148.79,0.934385,0.00352524,7,251,0,2152.41,-1.80328,-0.163263,-4.50687,-4.84953,1.98221,24.1328
-2149.48,0.986164,0.00352524,9,543,0,2151.89,1.31404,-4.43647,-5.29914,-5.22803,2.24585,24.1202
-2153.75,0.90448,0.00352524,10,1023,0,2158.82,8.15062,-0.93967,-2.70891,-8.06862,9.79179,23.99
-2152.73,0.99986,0.00352524,9,511,0,2154.11,6.85331,0.299882,-1.68006,-7.55808,9.79019,24.5434
-2150.5,0.9951,0.00352524,10,1023,0,2153.86,-7.01422,-2.62162,-6.56777,-1.41042,-3.58158,24.0704
-2149.71,0.999625,0.00352524,10,1023,0,2151.26,-2.87461,-6.77036,6.26056,0.824866,-0.181977,24.4443
-2148.85,0.956402,0.00352524,10,1023,0,2152.48,2.05567,5.10331,4.0932,2.98575,1.70547,24.4175
-2151.6,0.964251,0.00352524,9,779,0,2152.95,1.13486,8.11862,1.78744,2.10985,11.395,24.3798
-2153.39,0.994868,0.00352524,9,511,0,2154.1,0.0443507,8.82599,1.71011,6.08346,13.5401,24.335
-2153.17,0.94979,0.00352524,9,511,0,2154.54,-0.0227509,8.51908,1.92586,5.83265,13.3144,24.3534
-2153.64,0.951483,0.00352524,10,1023,0,2155.99,-1.92247,3.13126,2.81729,4.99065,16.1461,24.1865
-2149.64,0.999845,0.00352524,9,511,0,2153.96,1.85655,-1.34037,4.78508,3.95603,7.93813,24.3796
-2150.32,0.990028,0.00352524,10,1023,0,2151.02,4.3016,7.03426,-1.57091,-0.848503,-7.46091,24.1306
-2151.95,0.937393,0.00352524,7,187,0,2153.15,4.18821,7.77241,-2.42982,-0.708994,-10.2006,24.0746
-2159.71,0.690173,0.00352524,9,1023,0,2161.8,10.9947,2.14324,-3.30824,-3.3993,-9.91563,24.8944
-2152.35,0.835112,0.00352524,2,3,0,2158.22,10.9791,2.112,-3.25496,-3.36611,-9.9397,24.2046
-2152,0.910811,0.00352524,9,511,0,2153.5,10.8291,2.549,-2.90996,-1.7178,-8.48363,24.1184
-2148.47,0.98785,0.00352524,9,1023,0,2153.65,3.64614,2.2001,-3.97459,-4.13483,-0.254498,24.2016
-2149.04,0.885291,0.00352524,9,1023,0,2151.09,0.419991,2.13924,-5.40995,-3.14215,6.42073,24.3181
-2149.03,0.973695,0.00352524,10,1023,0,2152.03,3.17132,6.71937,-2.63535,-1.02787,0.415189,24.4332
-2149.51,0.996991,0.00352524,10,1023,0,2150.14,3.52096,0.0126159,-3.29211,-5.36628,6.44546,24.1563
-2150.45,0.941894,0.00352524,10,1023,0,2154.17,2.38734,5.26981,8.32213,2.04199,-5.13907,24.4355
-2148.99,0.9847,0.00352524,9,511,0,2150.91,4.52556,4.64065,2.15704,2.77662,-2.55654,24.4343
-2152.09,0.973499,0.00352524,9,1023,0,2152.99,-1.81239,5.36232,5.43302,4.34646,10.6011,24.4968
-2149.22,0.959714,0.00352524,9,1023,0,2155.43,2.79351,5.07559,1.7427,7.20461,-2.42666,24.3075
-2150.07,0.836626,0.00352524,10,1023,0,2151.84,0.446738,-2.99733,7.94591,3.25183,-0.450435,24.0493
-2150.1,0.985217,0.00352524,9,511,0,2151.7,1.60291,-7.04447,8.14534,4.31695,0.453063,24.3245
-2151.26,0.997502,0.00352524,9,1023,0,2154.18,-6.40351,0.295278,2.01803,8.76834,8.52846,24.3324
-2150.55,0.999981,0.00352524,10,1023,0,2152.73,7.70754,3.66184,6.66725,0.394316,-6.52866,24.3242
-2148.63,0.972367,0.00352524,8,383,0,2153.19,4.63299,3.94372,3.71629,2.38466,-2.81822,24.3151
-2148.9,0.992767,0.00352524,10,1023,0,2149.34,4.12517,5.65159,5.28597,0.453068,-1.43005,24.2786
-2149.22,0.992653,0.00352524,10,1023,0,2152.52,-3.23137,-7.73885,-0.821839,3.92493,2.44786,24.2293
-2149.4,0.999698,0.00352524,10,1023,0,2150.7,-7.19447,-4.30129,-4.13375,2.32193,2.88138,24.2286
-2149.43,0.756966,0.00352524,8,423,0,2152.26,-5.04363,-3.95703,0.0216842,-0.328493,4.54188,24.4926
-2149.61,0.935971,0.00352524,9,727,0,2152.36,-6.99491,-3.21036,1.3971,2.8581,-1.96257,24.4867
-2148.67,0.925518,0.00352524,9,1023,0,2154.31,-3.56983,-6.4206,-0.822466,1.84933,2.91911,24.3185
-2149.11,0.934562,0.00352524,10,1023,0,2152.01,3.46922,6.26844,-4.57709,-1.07758,-2.49472,24.184
-2149.14,0.836223,0.00352524,6,71,0,2151.5,3.40616,6.58651,-4.70306,-0.971754,-2.79545,24.2095
-2150.43,0.991872,0.00352524,10,1023,0,2151.68,1.59274,8.66676,-0.876697,-3.25096,7.53018,24.1842
-2149.24,0.999354,0.00352524,9,511,0,2151.22,4.09435,4.884,-1.78449,1.28257,6.65679,24.3649
-2149.65,0.996916,0.00352524,10,1023,0,2150.72,8.49982,2.40737,1.16972,-0.828931,4.90315,24.3958
-2148.8,0.99911,0.00352524,10,1023,0,2150.17,3.43288,7.35081,0.968731,-1.63537,0.565281,24.2155
-2148.94,0.986241,0.00352524,9,1023,0,2152.12,5.63444,1.8328,2.2229,5.48253,1.67707,24.191
-2148.93,0.947766,0.00352524,2,3,0,2149.53,5.63983,1.84187,2.24212,5.4848,1.68338,24.3688
-2148.92,0.999767,0.00352524,10,1023,0,2149.79,3.09881,-0.726805,4.46619,6.52619,-2.63567,24.2593
-2148.76,0.975186,0.00352524,10,1023,0,2149.45,2.05287,-1.57752,4.49699,6.46296,-1.50781,24.3176
-2148.53,0.993006,0.00352524,9,1023,0,2149.38,-0.0791163,1.52948,3.49387,6.15158,2.90095,24.2728
-2149.55,0.891416,0.00352524,10,1023,0,2153.15,9.14683,3.10537,3.21948,-0.415293,-2.76563,24.3017
-2150.25,0.802903,0.00352524,10,1023,0,2152.68,1.79955,8.41972,-1.48836,-2.86156,4.67152,24.0823
-2150.05,0.987923,0.00352524,9,1023,0,2151.91,3.51357,8.1275,1.59447,-3.93899,2.19546,24.4714
-2150.77,0.959959,0.00352524,9,511,0,2152.4,2.58571,11.6544,1.89747,-4.36418,2.46742,24.3213
-2148.41,1,0.00352524,10,1023,0,2151.12,2.99056,2.47038,-4.1097,-3.28353,3.4149,24.2971
-2148.66,0.982099,0.00352524,10,1023,0,2149.43,-4.54666,-3.487,-2.23518,-3.71921,-0.00839227,24.1589
-2148.73,0.989995,0.00352524,10,1023,0,2149.85,0.558042,-2.44426,-3.93264,-5.38448,4.4721,24.2833
-2154.02,0.957897,0.00352524,10,1023,0,2155.25,1.37957,10.3511,-1.00697,-14.213,-4.37351,24.2185
-2153.92,0.978536,0.00352524,10,1023,0,2155.27,0.451593,11.2881,-1.72537,-13.3502,-3.92655,24.2051
-2150.16,0.478415,0.00352524,9,511,0,2157.11,0.38105,4.38889,-2.26003,-9.49033,0.999827,24.1207
-2150.07,0.954532,0.00352524,9,539,0,2151.1,2.568,0.113305,-8.13778,-2.38078,4.80743,24.4727
-2149.09,0.93169,0.00352524,10,1023,0,2153.3,-2.47066,-7.50335,-2.33224,-0.53595,4.50348,24.2917
-2148.58,0.985272,0.00352524,9,1023,0,2149.62,-3.16283,-6.71933,-1.89546,-1.25709,0.696816,24.3317
-2149.07,0.896114,0.00352524,8,419,0,2151.32,-6.2651,-1.63628,-3.3291,-3.54322,2.36503,24.4122
-2149.59,0.995653,0.00352524,10,1023,0,2150.22,-5.42973,0.640348,-5.15834,-4.39615,4.96808,24.168
-2150.35,0.996837,0.00352524,10,1023,0,2151.31,-1.61471,-10.7502,-0.701494,-2.52149,5.15292,24.2802
-2151.34,0.905763,0.00352524,10,1023,0,2152.65,-6.71373,4.13316,6.03221,8.27036,1.9694,24.1091
-2155.37,0.697397,0.00352524,9,511,0,2157.67,-3.91091,12.322,9.16029,7.57983,2.74546,23.9888
-2149.65,0.928636,0.00352524,9,511,0,2156.18,5.94476,2.04603,2.58608,2.32569,6.26682,24.4444
-2150.36,0.979082,0.00352524,9,511,0,2152.65,3.5727,1.11111,1.55159,9.39108,5.85857,24.3993
-2149.29,0.986728,0.00352524,9,511,0,2151.18,2.40196,4.63696,4.06057,1.69367,6.14882,24.1639
-2149.2,0.997398,0.00352524,10,1023,0,2150.05,2.35504,5.01377,3.21597,1.77683,6.68893,24.2108
-2149.4,0.998537,0.00352524,10,1023,0,2150.27,-1.95879,-6.05118,3.32882,5.1116,-4.65465,24.2139
-2149.28,0.99529,0.00352524,10,1023,0,2151.12,0.172747,4.51383,3.22484,5.57383,5.44827,24.2027
-2149.09,0.960722,0.00352524,10,1023,0,2150.42,6.22789,1.11001,4.79705,3.42625,1.04776,24.3967
-2148.69,0.994822,0.00352524,10,1023,0,2149.94,1.97284,-1.45192,5.03008,5.77202,-1.91114,24.2582
-2150.04,0.989661,0.00352524,10,1023,0,2151.24,8.99881,3.74134,-1.75526,5.44146,0.0753978,24.1918
-2150.32,0.912876,0.00352524,10,1023,0,2151.36,1.46669,5.94606,-1.72325,-8.56343,0.615681,24.0937
-2150.34,0.928002,0.00352524,9,511,0,2151.47,1.77854,4.31279,-2.1588,-7.78428,0.0618826,24.5371
-2149.26,0.947863,0.00352524,8,339,0,2151.85,4.12134,4.26611,-4.22635,-1.71977,-0.769048,24.0814
-2149.63,0.983184,0.00352524,9,511,0,2150.97,8.58621,3.51194,-4.14875,0.914177,-2.16164,24.1999
-2149.46,0.943105,0.00352524,10,1023,0,2151.57,6.47442,1.28501,4.32418,2.70722,4.39199,24.4182
-2153.11,0.956328,0.00352524,10,1023,0,2155.24,5.36247,1.66968,2.7103,10.0821,-11.9092,24.37
-2153.89,0.962934,0.00352524,10,1023,0,2156.73,-6.7853,-0.625146,5.61595,0.7815,15.7103,24.341
-2152.39,0.918742,0.00352524,9,511,0,2157.14,-0.699316,4.32776,3.0317,4.26867,14.3865,24.3013
-2150.28,0.92489,0.00352524,10,1023,0,2155.86,8.938,0.00655625,-4.09902,-5.28345,2.6959,24.4115
-2148.7,0.999976,0.00352524,9,511,0,2150.4,4.28713,1.9881,-3.62056,-3.32552,3.81076,24.3742
-2149.95,0.99597,0.00352524,10,1023,0,2152.96,5.77949,5.58346,-0.357605,4.09758,-6.60372,24.2005
-2149.26,0.992902,0.00352524,9,511,0,2150.34,6.59554,4.97641,-1.43009,3.14554,-4.05951,24.2642
-2148.8,0.949371,0.00352524,9,1023,0,2149.85,3.92845,6.16338,1.33284,-2.31105,3.20934,24.3416
-2149.82,0.998903,0.00352524,10,1023,0,2150.5,3.84357,-1.7231,-9.5604,-3.15444,0.67269,24.2076
-2150.19,0.836454,0.00352524,10,1023,0,2152.09,-9.57552,-2.92514,0.327137,-5.64046,-1.96883,24.1957
-2149.63,0.866673,0.00352524,9,1023,0,2152.67,-1.84536,-7.10497,1.60388,4.32451,4.08109,24.1283
-2149.57,0.998617,0.00352524,10,1023,0,2151.42,1.62083,3.3984,6.79042,3.68143,-6.20801,24.2987
-2150.36,0.990178,0.00352524,10,1023,0,2151.14,2.73727,6.92293,2.45529,5.33181,-7.79749,24.2435
-2149.74,0.936191,0.00352524,10,1023,0,2151.45,8.40304,2.49392,3.72921,0.205049,2.71357,24.4348
-2150.45,0.993381,0.00352524,10,1023,0,2151.28,1.18932,6.71721,-7.01191,-2.9381,-4.48679,24.1038
-2148.74,0.99918,0.00352524,10,1023,0,2151.44,3.22995,5.27126,-1.62587,-1.30601,5.07998,24.2293
-2148.61,0.999905,0.00352524,10,1023,0,2149.13,2.52823,5.30763,-2.85831,-2.38244,4.0496,24.2783
-2148.89,0.997119,0.00352524,10,1023,0,2149.73,2.28071,-2.063,-4.16177,-6.13773,3.3921,24.2308
-2149.1,0.999919,0.00352524,10,1023,0,2150.49,-5.98962,-1.94266,-1.86247,-3.78085,5.57509,24.2526
-2150.75,0.999702,0.00352524,10,1023,0,2152.41,2.40461,5.59198,-2.83124,-6.91758,-8.78575,24.2461
-2150.43,0.981215,0.00352524,10,1023,0,2152.72,9.40659,1.07557,-4.13082,-4.52411,-4.42847,24.3772
-2149.64,0.891276,0.00352524,10,1023,0,2151.85,8.80988,2.8022,-2.19495,-1.1967,-2.90456,24.4092
-2148.6,0.892249,0.00352524,10,1023,0,2151.42,-3.84082,0.157329,-4.67088,-5.00341,1.50702,24.2731
-2150.31,0.999866,0.00352524,9,1023,0,2151.2,-3.77157,-1.41049,-11.2552,-1.84455,-1.80112,24.2793
-2154.64,0.999831,0.00352524,10,1023,0,2157.49,5.80484,-0.806447,-4.40997,-2.60584,17.4756,24.286
-2154.51,0.932791,0.00352524,10,1023,0,2158.86,3.5386,9.64806,5.07554,0.953556,-14.5747,24.4057
-2161.08,0.459674,0.00352524,5,43,0,2162.36,3.64331,9.84821,5.19202,0.735698,-14.842,24.8578
-2154.42,0.991885,0.00352524,4,31,0,2159.82,3.60576,9.78679,5.0564,0.751217,-14.8277,24.2597
-2154.79,0.990583,0.00352524,9,511,0,2156.38,2.71114,11.9056,2.04958,3.16666,-14.4398,24.3282
-2150.12,0.999435,0.00352524,9,1023,0,2156.78,2.67281,9.50367,1.16374,3.49156,-5.22726,24.2375
-2149.81,0.842149,0.00352524,10,1023,0,2152.41,3.65447,-0.404061,-4.84829,-4.13171,5.52746,24.0826
-2149.31,0.947088,0.00352524,9,1023,0,2154.67,5.98771,4.18434,0.758093,3.73269,-3.7356,24.1488
-2150.18,0.851359,0.00352524,2,3,0,2151.3,6.02346,4.19841,0.790281,3.76973,-3.73929,24.5288
-2151.6,0.994719,0.00352524,10,1023,0,2152.9,5.18266,3.50658,5.62966,2.62618,-8.41815,24.5397
-2153.8,0.774488,0.00352524,2,7,0,2154.56,5.16549,3.47942,5.59871,2.56169,-8.45142,23.8637
-2150.1,0.95666,0.00352524,9,511,0,2155.49,6.64493,4.27275,5.35401,-0.0632212,-3.95018,24.1035
-2150.45,0.998294,0.00352524,9,511,0,2151.56,4.28719,8.02869,3.0123,-1.25868,-6.49032,24.1386
-2150.91,0.977435,0.00352524,10,1023,0,2153.11,8.4622,2.92631,0.624696,6.70733,-4.84438,24.1086
-2150.09,0.999983,0.00352524,10,1023,0,2152.32,4.73231,3.75889,6.71128,1.945,-6.4492,24.3925
-2149.02,0.970989,0.00352524,10,1023,0,2151.31,6.60408,3.78149,-0.91198,-0.779248,-1.24508,24.4388
-2149.92,0.971694,0.00352524,9,511,0,2151.48,9.14186,3.12532,2.25047,-3.73707,4.08679,24.2479
-2150.82,0.996405,0.00352524,9,511,0,2151.2,9.96612,3.51377,2.10325,-6.81043,3.59058,24.2852
-2150.58,0.773188,0.00352524,9,511,0,2152.56,8.19072,5.7361,3.25902,-7.10803,0.509924,24.3275
-2150.57,0.871703,0.00352524,10,1023,0,2152.18,-4.56214,0.692205,-10.7199,-2.49746,0.527121,24.1418
-2149.59,0.999866,0.00352524,10,1023,0,2152.11,-2.56309,-6.75319,6.71515,1.52136,-3.29951,24.2257
-2149.08,0.963491,0.00352524,8,255,0,2149.92,-2.22877,-5.65231,6.12132,2.32888,-2.5266,24.3269
-2148.74,0.974076,0.00352524,10,1023,0,2151.34,-1.40062,-4.4863,4.49558,4.5823,-2.56391,24.3198
-2149.3,0.993285,0.00352524,9,767,0,2151.38,-5.2491,-0.0875554,2.87361,7.03831,3.56172,24.2466
-2148.94,0.999198,0.00352524,10,1023,0,2149.96,-3.36149,-7.06979,3.71472,-0.494783,2.33283,24.2599
-2148.52,0.971009,0.00352524,10,1023,0,2149.95,-4.13025,-2.12928,-4.26268,-4.0955,-1.97018,24.2821
-2149.69,0.907455,0.00352524,7,187,0,2150.42,-4.37564,-1.71289,-4.49005,-4.39889,-2.73999,24.5062
-2150.47,0.944654,0.00352524,7,239,0,2152.09,-4.4459,-1.69659,-5.24812,-3.76248,-3.2928,23.996
-2148.99,0.981972,0.00352524,10,1023,0,2152.08,-4.49239,-5.26511,-5.38695,0.233644,1.94513,24.3394
-2149,0.962901,0.00352524,10,1023,0,2150.05,-2.0273,-2.63671,-2.36671,-7.63144,0.967685,24.3745
-2148.88,0.999467,0.00352524,9,1023,0,2149.6,-3.31802,0.195959,-3.72494,-5.51854,4.31251,24.2185
-2148.74,0.997447,0.00352524,9,1023,0,2149.4,-0.781554,-1.69809,-6.94025,-2.95644,2.50578,24.3513
-2148.65,0.993373,0.00352524,10,1023,0,2151.9,-5.33439,-4.92978,3.70358,-0.605334,0.224731,24.2802
-2148.71,0.998491,0.00352524,9,1023,0,2149.22,-5.51757,-4.95433,-0.391393,3.29655,-1.78468,24.2609
-2148.77,0.996694,0.00352524,10,1023,0,2150.5,0.948114,-2.83302,3.69776,6.56874,2.67226,24.2758
