# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = cf20_model
# start_datetime = 2023-07-05 17:05:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\cf\cf20.data.r
# init = 2 (Default)
# random
#   seed = 774767535 (Default)
# output
#   file = examples\cf\cf20_1k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mean
-20448.9,0.99917,0.00105802,10,1023,0,20467.2,-0.375068,-4.90587,11.4331,3.83492,4.08235,0.0394777,-1.62931,-0.784345,-1.69466,1.76908,-1.76968,-1.53416,-7.03245,-0.274839,6.94739,1.34886,7.57059,3.69282,7.20645,-1.44122,2.44296,0.364146,-8.37715,4.97843,1.15583,-2.26892,2.71684,-0.441949,4.26116,1.66317,0.928873,0.883697,4.01211,-5.40405,-0.683505,1.43053,-9.53273,-5.51445,-0.559242,-4.39514,-0.356554,73.7095
-20445.4,0.967508,0.00105802,10,1023,0,20463.6,0.106708,-6.04864,8.50384,2.07538,6.9242,1.18261,-1.40023,0.563335,-2.68805,0.921043,2.17716,1.11685,-6.28922,-4.4244,4.48434,-0.155698,6.13675,2.59126,5.45453,0.078999,5.72223,1.5786,-2.13028,4.38531,-0.517298,-3.92708,2.03307,-1.61373,3.8878,2.05217,2.56516,1.69101,4.97713,-3.89629,-2.51412,0.870897,-7.97293,-1.13721,-0.396387,-1.97256,4.55902,73.8348
-20447.4,0.997758,0.00105802,10,1023,0,20462.4,2.99949,-8.58931,6.97091,3.62455,6.35143,2.21168,-0.367068,2.10636,-0.359579,3.47757,0.100571,1.27803,-4.53531,-4.52895,4.69473,0.528495,6.69104,3.23129,3.69547,0.410218,2.28089,1.41657,-1.17487,4.21047,1.43943,-7.42856,3.52822,0.0769022,-0.0351107,1.67193,9.2686,2.75467,5.22843,-4.72775,-3.24846,0.642495,-6.99787,-2.65137,-1.78639,-4.39506,2.93218,73.8092
-20449.8,0.927609,0.00105802,10,1023,0,20464.7,1.61691,-9.81929,4.38167,3.87323,9.56314,4.86903,-0.477761,0.532821,-1.82461,1.94141,-0.477616,-1.98533,-1.8967,-1.71189,5.02944,0.877474,6.74498,2.2198,2.43627,-3.20913,0.693414,5.29393,-1.39775,5.06767,-0.177914,-7.02858,0.339619,0.877247,-2.0606,2.43515,10.5225,3.3681,5.51213,-6.47947,-3.02236,1.02864,-4.7612,1.23004,-4.93533,-5.94906,0.153879,73.9639
-20451,0.942902,0.00105802,10,1023,0,20472.2,3.5513,-6.17139,7.02391,2.19679,12.1831,8.5357,-0.556426,-6.16838,1.44455,-0.4721,4.32159,-2.42513,-1.69672,-0.442685,0.328642,-0.170064,4.48497,-0.79817,3.9191,-3.01835,-3.88944,2.94771,-6.29579,-0.595679,2.70064,-5.67193,1.66647,1.99891,-0.361444,1.7432,8.85045,6.17682,6.15214,-5.38933,-4.52038,0.950592,-1.68679,-1.54464,-4.42048,-1.83029,1.87552,74.0354
-20449.8,0.984991,0.00105802,10,1023,0,20468,0.919291,-3.56512,2.90033,5.63607,10.6327,10.8476,0.959213,-7.20933,1.27814,2.20967,4.60325,-1.61093,-1.09432,-0.170887,-1.00814,-1.87578,4.44883,0.0494961,1.23541,-0.930232,-4.77163,1.80617,-3.92141,0.392104,4.68525,-6.23264,3.0049,-0.887469,-2.12907,2.66598,9.15102,5.40078,6.53633,-5.89302,-4.3955,1.46742,0.557365,0.534309,-3.04168,-2.55214,-1.90419,73.5447
-20453.8,0.990517,0.00105802,10,1023,0,20473.1,-3.04374,0.221622,7.74569,4.6962,10.1755,10.1854,2.13768,-6.81892,0.485866,2.83794,7.68619,-5.9072,-0.193662,-3.78105,-2.11949,-2.27396,3.47757,3.8325,2.13465,1.38553,-3.21646,-1.94421,-7.49277,0.216671,2.75799,-3.59144,2.81518,-2.14394,-0.550208,3.02184,9.02297,8.16573,8.98463,-4.84364,-5.58198,-0.560951,-2.91416,0.8782,-0.525421,-4.3029,-3.65795,73.5362
-20451.1,0.992831,0.00105802,10,1023,0,20470.8,-3.56725,1.86577,7.13845,5.09907,5.40789,11.7788,-2.0075,-5.32852,2.8552,2.32006,7.39807,-6.5008,-0.825229,-2.54576,-4.94943,-2.97046,4.58835,2.32504,2.82787,-1.26977,0.135275,-2.73988,-6.65804,0.393043,3.56334,-4.48513,3.5936,-1.66139,-0.0187001,4.87935,5.56181,9.50875,7.33005,-0.608316,-4.2577,-1.96305,-1.39936,1.70355,-2.15417,-4.52715,-3.66434,73.9148
-20449.7,0.959168,0.00105802,10,1023,0,20475.3,-4.87061,2.68942,7.24967,4.25176,4.77593,10.9364,-2.14738,-6.48159,1.43766,1.20185,5.88033,-5.5107,-0.984472,-4.95021,-5.97132,-1.89682,4.41756,-0.0918413,2.3485,-2.07291,1.70819,-2.58829,-5.67827,1.01307,4.53475,-4.65817,2.61799,0.0952021,0.912401,4.20164,6.65036,8.49314,6.05813,0.404072,-5.57201,0.138715,-1.80576,1.65666,-2.84355,-5.49542,-1.56401,73.7328
-20450.5,0.972516,0.00105802,10,1023,0,20475.2,3.61399,-3.45505,5.30089,6.04324,6.21894,3.34923,6.79374,-10.8793,-2.72631,-0.865656,0.488918,-5.27915,-2.2573,3.15407,-4.38363,-2.79449,5.29648,-1.58999,2.62204,-0.0741173,-1.85544,-6.1722,-4.8211,0.355839,0.689738,1.52394,13.1135,4.45497,-0.811392,2.77867,5.06428,3.7367,2.77463,-2.90156,4.4615,3.16465,4.76639,2.06079,-5.49081,-1.84456,1.67569,73.7497
-20448.4,0.974734,0.00105802,10,1023,0,20475.3,3.2035,-0.281316,6.43387,3.80182,4.44227,1.27836,7.68263,-8.88165,-3.84328,-1.70695,-0.99863,-4.02422,1.19085,3.92443,-2.78571,-0.953965,6.06366,-0.472057,0.987558,-1.45761,-3.61487,-3.39574,-4.14432,0.97532,1.26852,-0.215255,12.3867,3.37983,2.23332,5.01193,4.18323,3.21307,5.05394,-4.10857,4.79739,3.47111,3.47797,4.68154,-3.22433,-1.6529,3.10964,73.6988
-20447.9,0.986669,0.00105802,10,1023,0,20467.1,-0.74256,-5.49192,6.64727,1.72198,3.8895,-0.838325,2.95009,-4.88107,4.17991,0.311338,0.802459,-0.0981022,-0.139021,-2.59293,1.03294,-6.38204,7.88658,-1.48392,4.47278,0.480895,-5.69777,-6.0621,-0.182075,0.61449,7.70768,-4.848,9.27619,3.74087,2.59089,5.16611,4.34598,8.33104,4.38475,2.05408,0.422141,1.25069,-1.30887,3.37039,-1.41975,-0.357667,3.60973,73.8192
-20448.6,0.969069,0.00105802,10,1023,0,20465,-1.69756,-4.375,6.13852,0.29183,2.80696,0.0622589,2.23792,-4.13894,4.89541,1.79777,2.94372,-2.1417,1.22263,-3.2482,0.203094,-7.02268,7.49873,-2.08922,3.53144,1.91685,-5.80231,-7.51532,1.84482,0.893255,8.82296,-4.8183,9.51975,2.86747,1.94095,5.59505,5.17932,6.95248,4.6016,3.39452,-2.25462,1.76947,-0.493892,3.43206,-1.00368,-1.81731,3.07782,73.7734
-20447.7,0.793306,0.00105802,10,1023,0,20464.2,-1.01581,-2.93848,4.56756,-2.2424,-0.42056,-2.49482,1.97145,-4.2493,5.89639,0.514307,4.59072,0.227451,-0.80463,-2.64923,1.52324,-7.59199,5.06938,2.58256,2.77841,2.73254,-5.69923,-7.39436,2.88217,-1.90318,5.81403,-1.3866,10.5213,1.73285,-3.04001,4.77259,4.96515,4.29659,3.9345,2.88012,-3.83946,0.421146,-2.6004,0.666104,-3.12574,-2.97471,1.31184,74.0309
-20446.5,0.908182,0.00105802,10,1023,0,20474.5,-0.769969,-3.34311,5.17256,-1.64689,0.332081,-3.08026,1.30901,-3.68533,5.19849,0.0410325,4.85977,1.3603,-0.162011,-1.87896,0.251737,-7.80858,5.21589,2.73372,3.77838,2.53288,-5.193,-7.40276,3.3679,-1.92213,6.41048,-0.227366,9.79528,0.455075,-3.24158,4.9799,4.62669,3.2117,4.07538,2.95837,-3.16083,0.158607,-2.85186,1.07838,-1.78728,-3.38136,1.56055,73.5804
-20448.9,0.985311,0.00105802,10,1023,0,20462.2,1.22151,-2.80876,4.41722,-6.24307,-1.73399,-2.3076,-4.01983,-1.13022,2.50762,-3.1212,3.38816,2.36975,-1.68505,-4.0052,-1.09671,-6.01118,6.05212,2.56707,2.93064,-1.42865,-6.23245,-7.098,6.83974,-3.08195,3.18186,5.67775,6.56847,-1.32326,-3.9447,2.71668,4.2524,4.21466,7.58056,2.503,-1.18768,1.30022,-0.947192,6.71369,-5.84305,-1.07917,5.98329,73.5567
-20451.7,0.865115,0.00105802,10,1023,0,20487.6,4.99525,-4.86788,1.39209,-2.59014,-2.50946,-1.55153,-4.12456,-0.976288,5.93741,-2.59932,2.78328,-1.99677,-0.95656,-0.1812,-0.561699,-5.51029,5.8063,-0.722428,6.07098,-0.197319,-5.72304,-8.86327,10.0651,2.94132,5.20409,1.42286,6.381,-1.57094,-3.83223,0.357326,0.888711,6.06241,9.19547,3.25495,-1.18091,-0.514935,-2.67768,8.12723,-5.86029,-3.88023,9.11696,73.6872
-20450.7,0.94905,0.00105802,10,1023,0,20473.4,0.83826,-5.51497,3.12185,-0.107235,-1.06878,-0.623069,-2.37506,-1.56582,7.41186,3.64493,4.79863,-3.39148,-1.60974,0.994659,0.712933,-1.50372,4.13557,-2.65732,4.44147,1.79085,-5.26174,-8.20713,10.1496,3.11258,4.07634,2.44862,3.55183,-0.618373,-1.82998,3.70643,2.1056,4.06199,7.73165,2.89705,-3.42469,-0.376992,-5.82721,8.65712,-4.89099,-3.64805,9.98193,73.5833
-20450.8,0.999676,0.00105802,10,1023,0,20471.9,0.991838,-6.28012,2.78364,0.410003,-0.786065,-0.739037,-2.91097,-1.87121,7.38794,3.35861,4.15911,-3.4351,-1.53017,0.755071,0.439441,-1.67758,4.81228,-2.859,5.01993,1.40539,-5.74112,-8.11067,10.8115,2.80174,3.8924,2.9756,3.62867,-0.848096,-2.31076,3.7041,1.85704,3.75156,6.89761,2.95495,-3.06909,0.109481,-6.09781,8.36861,-4.79899,-4.62177,10.1116,73.6588
-20450.2,0.906018,0.00105802,10,1023,0,20466.1,-4.08497,-5.0899,-2.51072,-0.399036,-1.21373,0.539848,-0.274763,-4.51623,7.70875,-0.58856,4.20273,-0.859951,-3.8222,1.07759,-1.17398,0.0966572,4.82912,-2.0192,4.64674,0.0672176,-3.74405,-7.6786,8.01404,1.87862,2.94777,5.47879,0.351721,4.17573,-2.06747,0.791315,1.79066,1.48958,7.9515,1.79635,-4.77615,1.50408,-9.1223,2.26964,-2.23682,-6.9276,12.5682,73.8578
-20449.4,0.870785,0.00105802,10,1023,0,20469.4,3.65044,-1.19989,-2.19664,3.95262,-0.494707,2.52382,-1.3709,1.69231,6.86995,1.98467,0.043058,5.87515,-0.743348,-1.94829,2.18737,-7.28277,3.33632,-5.62865,4.38023,1.77356,-8.21608,-7.67378,4.07069,-2.18791,-3.52291,3.38891,2.3411,3.33288,-1.91104,3.87366,-1.31124,3.66695,3.94603,3.81226,-5.31384,2.43396,-2.99017,-1.95596,-5.69982,-9.22032,3.74399,74.0685
-20448.9,0.99128,0.00105802,10,1023,0,20475,4.23291,-6.05943,-0.139102,5.39372,2.52184,3.91441,-2.41466,3.44756,2.09124,-2.46529,4.14501,5.99797,3.49891,-0.182015,2.75584,-5.03624,2.92077,-5.0772,3.46635,5.25147,-6.50378,-6.72724,3.86192,-6.08386,-4.00522,-3.44591,1.13072,1.53284,-1.14598,-0.368889,-1.80649,1.56523,8.08674,4.22025,-5.83075,6.56537,-4.56059,-3.32132,-5.26721,-3.88561,0.538171,73.9591
-20448.1,0.993704,0.00105802,10,1023,0,20465.7,3.53632,-7.09479,-1.65627,6.94796,2.27785,3.14806,3.31427,-1.14711,3.50177,0.472687,4.89812,9.46934,5.22801,4.2333,1.83939,-4.45118,2.44053,0.234897,2.19046,1.99563,-4.37701,-6.12199,2.05077,-1.27854,-4.69861,2.90708,4.9411,0.656438,-2.06071,3.12648,-1.5613,-0.251996,6.19143,-0.593038,-5.7559,5.2319,-5.22162,0.022961,-3.38407,-6.50582,-2.34739,73.5516
-20448.2,0.93908,0.00105802,10,1023,0,20474.8,2.9761,-9.12907,-3.83723,5.75791,2.02239,4.8191,3.55954,-1.17669,2.63857,0.299434,5.2,9.09448,5.83097,3.86128,1.15501,-4.12581,2.4759,-0.213469,1.58993,3.51457,-3.10102,-6.07679,1.87254,-4.18588,-4.96947,1.63991,4.60443,1.96063,-2.75528,2.65173,-1.4451,-1.26061,5.64752,-1.25001,-4.52249,6.32425,-4.17693,0.57736,-4.88677,-6.67355,-1.53059,73.8845
-20447.6,0.996488,0.00105802,10,1023,0,20473.2,2.86417,-9.37017,-3.52875,4.57725,0.82939,6.45088,2.65958,-2.70747,1.80282,0.135172,4.58229,10.8934,5.78203,3.44299,1.11788,-3.83969,2.1167,0.325268,2.22669,2.4508,-2.65407,-6.45924,1.70973,-3.17771,-5.50612,2.82657,5.15938,1.39575,-1.29561,0.327332,-2.34686,-0.152681,5.78593,-1.47995,-3.45303,5.53261,-2.97551,1.32817,-4.67286,-5.53822,-0.857675,73.6829
-20448.5,0.949844,0.00105802,10,1023,0,20466,2.47756,-5.06809,-2.8218,3.36282,3.55234,2.80115,-1.49061,-3.73247,5.36414,-2.29724,3.99244,10.3841,11.423,3.44649,0.0185068,-3.417,-3.46752,2.96936,1.944,0.87868,-2.80667,-5.63178,6.18452,-6.31336,-4.64386,3.55013,5.3225,1.19627,1.64592,3.68794,-0.713005,2.53985,0.597816,-0.777713,-4.10985,1.82222,-1.59734,2.51726,-4.08656,-5.5466,-2.75501,73.6173
-20453.1,0.965644,0.00105802,10,1023,0,20470.5,3.28793,-3.94041,0.139096,3.43957,3.65474,4.97426,-2.952,-10.284,10.8122,-1.71617,2.59772,6.28806,9.11355,6.59647,4.09689,-4.15651,-3.36741,-0.862558,0.761501,-1.17419,-6.30412,-2.95216,6.36408,-8.17284,-0.927061,-0.766957,5.21272,3.40278,0.783176,9.06859,-5.1042,4.59377,1.93234,5.08447,-1.276,2.50931,-0.536002,0.650354,-2.01155,-3.69974,-3.72714,73.9645
-20455,0.995415,0.00105802,10,1023,0,20469.4,-2.5321,-7.18769,-3.61066,2.51514,4.37226,8.32313,0.103142,-8.50083,6.36188,-0.434855,2.14237,3.77755,9.24554,8.15863,1.92106,-0.532243,0.58046,-4.88792,1.12813,-5.63729,-8.43551,-5.11972,12.052,-7.86466,0.762913,-4.37936,2.42702,4.75492,5.51285,4.15855,-2.21236,0.98148,0.295508,-1.70175,-2.21135,3.55352,-4.36363,2.31255,0.159558,-1.61867,-8.3076,73.6017
-20454,0.999993,0.00105802,10,1023,0,20474.1,-2.9304,-6.28962,6.34127,2.67715,3.76877,9.81768,-0.0433872,-6.42273,3.09442,1.2952,1.61608,2.43479,9.58073,7.41441,1.96586,2.94652,2.92905,-2.18767,0.488031,-2.82747,-1.77039,-4.75023,12.4565,-9.84992,0.968964,1.06098,3.2194,5.35702,7.43705,2.99235,-0.8717,5.38765,3.75941,-1.48138,-0.363928,-2.34317,-2.6612,-3.01899,2.99877,1.77707,-10.0563,73.742
-20454.4,0.966739,0.00105802,10,1023,0,20480.5,-1.77117,-2.51368,-1.22726,5.59339,5.60648,2.76547,3.55628,-8.50901,-0.279375,13.1808,-2.0892,-5.75158,5.98071,-0.854827,3.80244,1.68847,7.51126,-2.82288,3.42824,0.837064,-2.44063,1.96371,1.47723,-2.37488,1.46941,3.20483,4.0799,8.50672,0.648616,3.20305,2.3524,6.49753,4.67503,-0.978766,0.155245,-11.5651,11.9766,3.98564,-1.38306,-1.01611,-3.51795,73.8839
-20458,0.783464,0.00105802,10,1023,0,20476.1,-1.24225,1.04209,4.14009,1.92245,4.31113,2.61978,-1.44976,-10.1847,-0.077474,8.8095,-0.897008,-6.6849,2.25157,-1.03772,7.51024,2.33474,10.8196,-4.61456,5.60134,3.14988,-4.28291,0.660752,-0.201251,-3.05113,1.11274,-0.266408,0.0419659,12.5564,4.7608,0.0542448,2.9819,5.74985,4.94821,1.1979,1.9824,-13.0663,12.6253,4.28525,-1.60377,-1.31073,-4.65592,73.9401
-20458.2,0.969752,0.00105802,10,1023,0,20477.1,-2.73062,0.238479,5.05736,-1.37466,2.82057,0.951578,-1.86436,-11.4197,0.912176,7.13731,1.70306,-7.01212,0.225886,2.21549,8.87172,3.91482,10.2433,-4.91353,5.78193,1.58523,-4.45426,1.92108,-0.0776915,-1.36009,1.55329,2.19142,1.18452,14.6012,4.50535,0.130881,4.10101,3.62759,6.07524,-0.521578,-0.50262,-11.4337,12.0918,4.51765,-0.145198,-1.93331,-4.63857,73.6251
-20460.4,0.992883,0.00105802,10,1023,0,20479.7,2.9637,-2.84979,-2.27176,4.94657,-3.10618,-0.809567,4.07258,-8.75422,6.64236,16.4142,4.05639,-7.81783,-7.20109,-0.371708,4.48643,9.0036,4.77434,-1.48306,3.57027,2.67881,-4.45728,5.26864,-4.98266,2.22265,-0.0166016,-0.970475,-2.29858,11.4555,1.03099,-3.27553,7.41337,-0.29987,2.0613,1.51128,-4.44591,-7.27426,12.3727,5.90019,-3.8879,1.63678,-0.344073,73.6135
-20449.8,0.999578,0.00105802,10,1023,0,20474.2,4.34894,0.553118,2.06202,-1.61577,-5.04431,-3.18421,4.35336,-5.46867,3.64488,13.313,-2.53069,-3.85423,-5.98556,1.5389,4.86545,6.29007,1.19019,-2.22502,3.01318,-0.486045,-4.27455,1.92267,1.18871,2.15876,2.98064,-9.81508,1.26917,10.7402,1.18113,1.83261,1.86428,1.63477,-2.2406,-3.34576,-4.17057,-3.43883,4.94285,-1.95228,-3.03107,-0.673733,-0.916552,73.8907
-20455.6,0.995248,0.00105802,10,1023,0,20472.2,-0.53662,-4.63305,3.89317,6.15567,-9.95488,-5.80712,0.643222,-8.6571,3.48576,14.9972,-3.49794,3.78007,2.13904,1.23627,2.84718,2.82767,4.40249,-3.97632,-0.46784,2.79148,-5.60124,-2.72557,4.7095,-0.34222,-2.1426,-0.952255,1.71681,2.60535,-0.107554,0.713082,0.713097,8.01063,-4.17058,-1.79743,-9.2464,-1.38747,11.9004,-5.07641,-6.57464,0.632515,-4.18774,73.7788
-20455.8,0.787822,0.00105802,10,1023,0,20474.2,5.98721,-8.85049,1.96755,4.75835,-8.17401,-5.35952,-2.48483,-11.2167,-1.3541,13.5473,-1.30856,-5.38614,6.0931,4.50026,2.85619,1.46193,2.69497,-3.20059,1.61145,3.63021,-1.30852,-3.34921,0.488374,-1.52963,-1.30648,-3.70845,0.53602,2.08921,3.62515,-0.0501152,-4.62246,1.20405,-2.46884,-3.50607,-8.38667,-4.2215,5.21196,-10.3679,-8.36988,-3.54887,-2.55484,73.6502
