# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = cf5_model
# start_datetime = 2023-07-05 12:28:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\cf\cf5.data.r
# init = 2 (Default)
# random
#   seed = 758156533 (Default)
# output
#   file = examples\cf\cf5_1k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mean
-3937.6,0.849937,0.00243678,10,1023,0,3943.12,3.35331,2.08541,-4.26841,7.66938,2.63827,-4.72901,-7.17582,1.34814,8.6427,1.57425,2.14691,-32.1408
-3935.9,0.99995,0.00243678,10,1023,0,3940.05,2.98846,4.52197,-2.1734,6.47879,6.89465,-2.67903,-4.17069,-1.45645,3.39763,-5.33069,-0.837761,-31.9133
-3940.93,0.546535,0.00243678,10,1023,0,3944.09,7.86362,2.14563,-1.04974,2.54487,5.5056,-3.04414,-4.0352,-0.452,6.00509,-5.40806,0.724432,-32.4864
-3937.41,0.854057,0.00243678,9,511,0,3945.22,8.66852,2.94278,-2.73123,1.43075,6.30612,-4.30868,-5.811,-0.938083,5.72139,-5.77072,1.28284,-31.8517
-3939.05,0.672421,0.00243678,10,1023,0,3947.73,1.60965,6.78165,2.23572,4.91834,0.953356,4.43148,-8.9231,4.69359,3.89219,-3.5621,-2.72004,-32.3288
-3937.09,0.99405,0.00243678,10,1023,0,3943.48,0.257823,-3.81618,-6.12853,-3.4943,-8.79036,1.97964,-6.33682,5.94821,-5.60901,-0.175178,1.69767,-31.9832
-3940.5,0.987547,0.00243678,10,1023,0,3945.7,-10.249,-1.92323,-1.12168,6.86162,-9.47628,6.66194,-7.49217,1.3691,6.01564,4.14726,4.49734,-31.9275
-3938.19,0.877165,0.00243678,10,1023,0,3945.82,3.90007,5.44201,-0.23011,4.81091,-5.7857,6.41378,-8.50108,4.91903,3.71023,7.18128,0.10006,-32.0638
-3939.74,0.87241,0.00243678,10,1023,0,3943.31,3.15925,9.04476,-0.0308595,3.56791,-6.96507,4.38052,-12.7972,2.27527,-0.931594,0.0932558,-0.520894,-31.7711
-3948,0.377057,0.00243678,10,1023,0,3951.44,5.07631,8.5727,0.191763,3.9352,-7.80833,4.09517,-13.9359,3.1651,-0.995089,0.649357,-0.16073,-32.6194
-3939.88,0.985518,0.00243678,10,1023,0,3952.9,10.2565,1.21072,-3.52928,0.0723025,-4.46459,-0.0796876,-7.8203,2.32259,-7.88687,4.11174,5.81241,-32.2614
-3935.68,0.984242,0.00243678,10,1023,0,3946.14,-5.06195,5.22425,-6.2361,1.68022,-2.20233,-2.67021,3.88028,1.92551,5.9945,-2.12544,4.30154,-32.0101
-3935.75,0.733622,0.00243678,10,1023,0,3940.51,-2.92203,4.47782,-4.69998,2.16215,-4.55175,-1.50972,0.0954358,-1.303,7.21012,-2.98585,6.14284,-31.8844
-3937.96,0.952254,0.00243678,10,1023,0,3942.99,-3.031,-5.66561,-8.58552,0.768836,-5.36014,5.46392,-3.8301,4.19306,1.80767,5.31121,-6.92618,-32.1009
-3935.84,0.830641,0.00243678,10,1023,0,3942.77,-1.87028,-0.482405,-0.743256,-1.51766,-2.93875,6.43364,-7.18748,4.59416,2.47072,5.13713,5.15103,-32.0536
-3936,0.923307,0.00243678,10,1023,0,3941.45,3.3728,-2.64022,-6.22379,3.69543,-3.10893,-3.11002,-2.27328,4.48964,-3.53702,-2.37525,-7.86878,-31.9094
-3936.83,0.95273,0.00243678,10,1023,0,3939.42,2.83143,-4.82846,-6.18976,0.954607,-0.128249,0.00354592,-0.419597,1.31731,1.79392,-0.0761166,-11.8758,-32.1457
-3942.17,0.948092,0.00243678,10,1023,0,3946.46,7.13437,-8.10421,-5.10811,-9.89292,4.0283,-9.11468,-0.572666,-4.70239,-3.7797,-5.16258,-10.1271,-31.9222
-3940.94,0.544346,0.00243678,10,1023,0,3946.24,7.7039,-8.92944,-5.09295,-6.64139,1.55679,-6.48944,1.39727,-4.0511,-3.4779,-7.60132,-7.90063,-32.1945
-3939.63,0.815237,0.00243678,10,1023,0,3948.27,4.18344,-7.5356,-1.65069,6.59915,-8.0107,1.36557,-1.98054,-7.85449,-2.52377,-5.32286,-7.41607,-31.7833
-3935.02,0.986949,0.00243678,10,1023,0,3943.39,-2.97828,-1.59301,-2.25117,0.496431,-2.01114,4.66977,3.14214,-6.79617,2.25773,-4.2989,4.91721,-31.9078
-3936.77,0.993946,0.00243678,10,1023,0,3939.49,-3.08171,-3.65057,-7.14534,-3.39623,-5.05063,6.11655,7.20177,-5.54833,-2.16086,-0.70689,1.81527,-31.9902
-3936.63,0.954584,0.00243678,10,1023,0,3941.8,-8.88469,2.67887,-0.477106,1.98684,2.3065,6.93896,3.02461,-8.30471,2.20683,-0.167294,2.27459,-31.9573
-3939.36,0.993649,0.00243678,10,1023,0,3943.83,-7.92414,-1.2452,5.19787,8.65713,-3.6703,2.94521,1.22075,-4.35677,7.43793,-9.8079,2.28788,-31.9252
-3938.85,0.628769,0.00243678,10,1023,0,3948.19,5.64192,-5.09404,-9.74812,2.88071,-6.59987,4.55573,6.31043,7.4845,1.52913,4.06595,1.41524,-32.0259
-3938.97,0.999923,0.00243678,10,1023,0,3945.9,2.7878,0.739719,0.344859,-0.930208,-13.2213,3.41434,5.64077,0.641242,-0.487556,4.52204,10.0207,-31.9674
-3937.04,0.93224,0.00243678,10,1023,0,3943.03,4.686,-2.8721,-0.725261,4.72068,-4.56042,4.3372,6.74314,-2.60769,-3.99988,-3.43299,8.60905,-31.9053
-3937.05,0.836777,0.00243678,10,1023,0,3941.7,2.23902,-0.845744,-3.33266,0.584478,-3.63143,5.52611,2.50651,-5.32874,6.81482,1.47972,-5.09186,-32.2736
-3937.92,0.896455,0.00243678,10,1023,0,3943.93,4.81076,1.65018,-6.04356,4.10901,-3.88557,4.73492,1.13683,-6.87867,4.13318,4.83183,-8.71886,-31.8603
-3936.68,0.99757,0.00243678,10,1023,0,3941.95,-4.22499,-5.65878,-4.51882,5.45421,-5.70514,3.76511,-1.32779,4.56137,-1.77554,4.79514,4.92798,-31.8613
-3936.55,0.998498,0.00243678,10,1023,0,3939.52,1.1018,-2.81535,-1.63189,3.86058,-8.03171,2.23228,0.0242114,4.20536,-9.16233,0.981522,4.12323,-32.099
-3936.65,0.717044,0.00243678,10,1023,0,3943.05,2.08799,-9.50389,0.605869,-2.30266,-4.51753,0.957192,-1.59081,1.22646,-4.8638,2.63296,8.41645,-31.9041
-3937.05,0.999478,0.00243678,10,1023,0,3939.84,1.52146,-11.971,2.93693,-3.32199,-3.17763,3.87426,0.467621,2.06924,-0.330735,0.68708,7.58438,-31.956
-3937.14,0.997885,0.00243678,10,1023,0,3941.32,4.78389,-10.7449,-1.67112,-2.06347,1.62457,2.57277,-7.13306,-3.37322,3.9963,-1.90508,-4.6452,-31.9715
-3938.6,0.979333,0.00243678,10,1023,0,3943.59,-4.46748,-1.46824,-0.281379,5.05167,2.29135,-9.94621,-1.84235,-1.66542,1.85519,-12.0049,4.90675,-31.9485
-3934.82,0.827394,0.00243678,10,1023,0,3942.17,3.07464,-6.29202,-0.533467,2.74428,0.321974,3.0052,-1.39158,-0.430231,1.80246,-6.73301,-0.446782,-31.8262
-3935.99,0.941353,0.00243678,10,1023,0,3938.71,7.78816,-4.53476,3.46712,1.06644,-0.252403,-3.02047,-4.64056,1.17483,3.86962,1.57108,-1.52193,-31.7518
-3936.08,0.989596,0.00243678,10,1023,0,3940.69,7.55279,-6.711,0.172112,-2.57848,-0.617903,3.05832,-2.8398,2.12499,5.50414,4.91179,-0.105344,-32.125
-3935.97,0.517495,0.00243678,10,1023,0,3947.93,0.422935,-2.30026,2.9917,-5.76465,-1.54703,4.7908,6.50933,-1.48757,-2.12446,-4.05468,-5.46259,-32.1622
-3939.74,0.978332,0.00243678,10,1023,0,3942.63,3.10935,-10.1148,0.819469,-7.05646,-7.24481,-0.656917,7.6918,2.96453,5.46061,-3.0883,-5.6334,-32.1684
-3937.49,0.960201,0.00243678,10,1023,0,3947.57,1.67279,0.174193,-0.386357,-10.2427,3.05196,-2.95389,7.43347,0.976017,4.87079,-7.46954,2.00853,-31.8853
-3936.39,0.999991,0.00243678,10,1023,0,3941.63,-0.855049,-2.45577,4.66431,-8.92632,0.223578,-3.42751,1.9644,2.76266,0.447272,-6.96294,5.93255,-32.0564
-3938.55,0.894945,0.00243678,10,1023,0,3943.77,5.78699,7.07515,7.06808,-6.04273,6.98002,-5.27524,1.42282,4.0191,6.97473,-0.198985,2.1706,-32.0868
-3937.35,0.998506,0.00243678,10,1023,0,3943.25,-0.792612,2.99237,2.81014,-11.2774,-4.57865,-5.3267,5.33355,-1.23415,4.25004,-3.039,-2.71266,-31.8847
-3937.34,0.865576,0.00243678,10,1023,0,3942.99,-0.888501,3.87721,3.28598,-8.64099,-1.80787,-2.34024,6.62479,2.03771,-2.0795,8.36473,-0.668977,-32.1721
-3944.68,0.799005,0.00243678,10,1023,0,3948.65,2.77292,1.51534,6.71262,-3.52455,-0.119358,-8.5388,12.33,-4.75908,3.69896,11.7079,1.41621,-32.3941
-3935.26,0.994643,0.00243678,10,1023,0,3946.93,1.70422,1.52216,-2.99689,-5.23765,6.80195,-4.44246,5.29471,-4.02369,0.690213,-2.1057,2.67891,-32.0054
-3936.25,0.88001,0.00243678,10,1023,0,3939.34,7.02899,-3.37021,3.56534,2.1064,4.29371,-5.69974,1.17328,-2.5804,-3.60445,-2.6122,2.50455,-31.7596
-3938.34,0.945683,0.00243678,10,1023,0,3943.93,4.99819,-0.12561,-8.44727,-0.809265,-1.80372,-0.530037,4.08025,-9.9534,-0.89061,3.99861,5.26373,-31.7456
-3939.96,0.983793,0.00243678,10,1023,0,3945.34,2.26215,2.46183,-13.3034,0.200106,0.59923,7.87699,4.97558,-7.67157,-1.12055,3.5779,2.77553,-31.7771
-3938.38,0.858668,0.00243678,10,1023,0,3943.89,2.74892,1.74195,-10.7615,1.47573,2.11293,5.36674,6.53644,-3.81846,-1.32177,5.2855,-0.553016,-32.2514
-3937.07,0.984496,0.00243678,10,1023,0,3942.99,1.50802,-1.13185,2.90222,6.90334,3.00887,2.72973,5.90731,-7.87973,-2.86227,4.84552,2.10344,-31.7722
-3937.83,0.998727,0.00243678,10,1023,0,3941.97,2.97403,-0.911102,-6.20873,1.83262,-7.48189,3.8703,-1.8126,-6.71298,-7.17834,1.0576,6.64185,-31.827
-3941.56,0.845988,0.00243678,10,1023,0,3947.68,0.365849,-1.94524,-3.4562,8.24592,2.05815,3.1682,15.4434,-0.255999,-2.52983,3.23723,2.50382,-32.3299
-3936.6,0.949718,0.00243678,10,1023,0,3947.82,3.26627,5.21016,2.81748,-9.39066,-4.62195,3.6594,5.22266,-1.48505,3.3117,-0.00925434,2.02122,-32.1191
-3936.39,0.872144,0.00243678,10,1023,0,3941.21,-5.66766,2.52323,4.84869,-3.80027,7.19459,0.0764748,-3.93178,-0.520405,1.65299,-2.07824,1.8388,-31.7273
-3938.49,0.877752,0.00243678,10,1023,0,3944.05,-0.92282,6.95939,5.9422,-1.44053,-11.8259,0.434588,0.518259,2.87141,3.70887,-3.07589,-1.68978,-31.7313
-3935.31,0.519935,0.00243678,10,1023,0,3946.6,-7.41044,1.19869,2.90105,-1.28806,-2.11294,0.00448364,-3.75397,2.62857,-1.6109,0.865014,-8.16346,-32.0535
-3934.58,0.999909,0.00243678,10,1023,0,3937.26,-8.80083,1.73814,-1.85339,-0.199403,2.16989,-1.12393,-4.84542,2.53277,0.527878,-0.242249,-2.14556,-31.9121
-3934.72,0.996568,0.00243678,10,1023,0,3937.14,-6.95721,2.0221,-5.93905,0.608206,2.99365,-4.93771,2.66868,0.983469,-1.51897,1.9433,0.8352,-31.9541
-3938.11,0.971812,0.00243678,10,1023,0,3940.06,-8.53509,1.11985,-11.0748,1.34486,3.83778,-5.73908,3.82622,3.42287,-1.61441,1.17314,3.14843,-32.1262
-3941.01,0.988379,0.00243678,10,1023,0,3946.36,-8.94678,1.26614,5.89579,1.36663,5.85408,-4.82751,-4.34904,-6.85136,2.05726,-11.1084,-7.55563,-32.1429
-3939.36,0.874065,0.00243678,10,1023,0,3948.41,-6.697,-0.0194924,4.37696,0.892647,2.79726,-6.03064,-4.26175,-5.00264,2.76067,-13.1769,-4.22978,-32.1186
-3936.68,0.99223,0.00243678,10,1023,0,3942.72,-8.5853,-1.68439,2.03301,-6.17266,0.282142,-6.09682,-0.92858,2.79457,5.67599,-4.79098,-2.28811,-31.8849
-3937.18,0.889402,0.00243678,10,1023,0,3944.55,-3.90743,-3.06,-2.02882,2.4705,2.61159,-2.92375,2.74405,6.99487,6.0199,-8.18116,-1.01645,-31.763
-3937.8,0.969316,0.00243678,10,1023,0,3943.33,-7.643,-1.13921,-1.28069,8.64919,4.73528,-1.18633,6.12631,1.65094,4.12467,-8.38367,0.52806,-31.9252
-3935.62,0.790996,0.00243678,10,1023,0,3940.72,-4.52198,6.19013,-3.04593,-3.80317,-0.473267,-1.09223,-1.52053,2.37526,6.61621,-1.56869,-2.30114,-32.1821
-3934.86,0.999877,0.00243678,10,1023,0,3937.53,-5.22958,1.15793,2.57648,-2.60765,3.88622,-0.972494,3.41691,-0.445278,5.32316,-2.1274,-2.76818,-32.1675
-3936.74,0.991947,0.00243678,10,1023,0,3938.58,0.409624,6.25879,9.48389,-1.3305,-1.61079,0.538372,3.23272,-3.9735,1.26061,-3.78186,-3.22298,-31.7575
-3937.11,0.862511,0.00243678,10,1023,0,3943.28,1.48775,-4.66639,10.669,-0.237165,2.22885,0.103761,2.82608,-6.3872,0.440071,-7.2475,-1.60235,-32.084
-3937.23,0.995473,0.00243678,10,1023,0,3941.48,1.53598,-3.31521,12.1703,-0.201146,3.06959,1.44477,3.31257,-5.38893,1.73217,-5.62051,-1.17606,-31.8682
-3935.8,0.999996,0.00243678,10,1023,0,3941.8,-1.17788,1.26608,5.04071,-2.34173,-5.70992,6.34253,-1.78046,2.40242,2.8411,5.92544,4.87586,-32.0774
-3935.75,0.911178,0.00243678,10,1023,0,3939.9,0.555334,-1.22782,2.1917,-2.69135,3.39671,-4.06572,-1.77907,-1.37551,0.970678,-9.48745,-4.99254,-32.1452
-3935.1,0.986534,0.00243678,10,1023,0,3941.44,2.4793,0.456534,4.1383,-7.44819,-1.57993,-0.00625549,-0.755552,-5.36972,1.70765,-4.52811,1.22949,-32.1269
-3935.64,0.897001,0.00243678,10,1023,0,3939.34,-3.94745,2.64111,3.0137,-5.09569,0.587249,0.197021,1.1652,-9.20732,1.10753,-0.0772305,4.35928,-32.1214
-3938.61,0.982603,0.00243678,10,1023,0,3942.08,-3.79774,7.57934,-0.138729,5.62948,3.38264,-10.5564,6.94541,4.62711,-3.78888,-1.04621,-2.91931,-32.0921
-3934.96,0.999981,0.00243678,10,1023,0,3940.99,-3.20673,8.24265,-1.64337,0.347706,-3.61119,-2.85249,0.564286,-2.31092,-2.57311,5.59689,0.368084,-32.0399
-3936.59,0.995111,0.00243678,10,1023,0,3941.3,-6.07738,3.14001,-6.82284,2.30869,-5.53709,2.32395,3.46143,6.34523,0.227963,-0.709638,-6.00104,-31.902
-3937.38,0.999832,0.00243678,10,1023,0,3940.33,1.26736,3.98988,-0.53504,5.27653,-3.79379,8.25768,-0.800625,-8.99337,-3.9744,3.8899,5.33772,-32.0164
-3937.59,0.953122,0.00243678,10,1023,0,3941.51,1.96784,4.63008,-1.24886,5.80036,-2.99535,8.45586,-0.0789041,-7.67296,-3.73255,3.95767,5.776,-31.8516
-3935.53,0.902964,0.00243678,10,1023,0,3940.24,-3.10376,0.323861,-1.54827,-0.365871,-8.69627,3.15003,-1.93457,3.52589,-0.92494,1.65402,3.98851,-32.1947
-3936.59,0.941429,0.00243678,10,1023,0,3940.54,-4.43432,1.14153,-2.10082,-0.195447,-9.22478,3.36443,0.353983,3.43098,-0.726649,-0.26796,2.59315,-31.6851
-3936.75,0.923456,0.00243678,10,1023,0,3942.47,-5.30744,1.97849,-6.33008,0.364034,-5.62677,6.46941,3.18965,2.97354,2.29934,0.91275,5.44328,-32.1804
-3935.24,0.951171,0.00243678,10,1023,0,3940.12,0.997145,3.5313,-5.29371,1.67019,-9.04749,2.89078,-2.36655,0.39131,2.15282,-1.42786,3.55148,-31.9231
-3939.49,0.99784,0.00243678,10,1023,0,3941.78,1.28126,-2.10394,2.19569,2.50133,-9.94528,6.38425,-4.57818,1.52619,4.40365,5.3848,11.9147,-32.0565
-3937.43,0.733213,0.00243678,10,1023,0,3950.23,-1.71922,4.2597,2.5779,9.34801,-2.7462,1.13849,4.30139,-3.74648,4.66043,-7.21908,3.96306,-32.1476
-3934.58,0.941206,0.00243678,10,1023,0,3940.72,-4.2511,1.93415,1.20235,-1.96503,0.285685,3.83749,-1.59369,-1.64708,5.42751,-4.23426,-1.96087,-31.806
-3941.83,0.969618,0.00243678,10,1023,0,3943.17,-1.6751,5.48089,1.34042,-9.42279,-7.20557,7.02536,-0.405452,2.33079,-3.811,-12.0283,-4.15319,-31.6915
-3941.11,0.979764,0.00243678,10,1023,0,3947.32,-2.82209,1.39304,1.72761,-12.5735,-0.615312,7.43216,-0.482522,3.49616,-0.477592,-12.8463,-6.31908,-32.0972
-3936.32,0.998431,0.00243678,10,1023,0,3944.46,1.27475,-5.05238,1.34645,6.47566,-7.44493,0.286334,6.85889,-3.94052,-0.986686,4.29758,-0.952062,-32.0731
-3938.06,0.998968,0.00243678,10,1023,0,3942.85,9.23312,-7.35014,5.91455,2.55261,3.17582,-2.21686,-4.44412,-5.85158,5.86502,0.991491,-3.94015,-31.9275
-3937.72,0.77842,0.00243678,10,1023,0,3944.03,6.86026,-5.50812,-0.240926,2.54653,4.50812,-8.33067,-3.68068,-5.88624,6.76446,3.61913,-2.2128,-32.0223
-3938.56,0.815359,0.00243678,10,1023,0,3942.81,6.92446,-4.59749,4.13436,2.12394,6.36528,-5.42981,-4.74348,-6.79067,-1.35823,6.04658,1.38854,-32.2289
-3936.96,0.996778,0.00243678,10,1023,0,3943.71,-5.40138,7.99944,2.76487,4.34108,-2.29845,3.46673,5.72825,2.46969,1.52079,-6.28224,2.75005,-31.8306
-3935.78,0.990696,0.00243678,10,1023,0,3941.92,3.76158,-0.2909,-1.2694,4.78968,5.50922,-6.602,-5.82725,0.0722505,5.75118,1.94501,0.87266,-31.9084
-3937.94,0.91227,0.00243678,10,1023,0,3942.73,14.2403,-0.809197,1.27959,-0.485827,5.19635,-4.04898,2.30285,-3.12127,3.38572,1.35758,3.70469,-32.0716
-3936.26,0.737074,0.00243678,10,1023,0,3944.95,6.94013,3.11013,0.236403,-1.34718,-2.37099,4.9171,0.151138,-4.45037,-6.86847,5.29785,-4.43203,-31.885
-3935.1,0.984541,0.00243678,10,1023,0,3941.51,-1.44002,3.26643,7.71952,-3.027,-1.10288,4.33129,-3.8179,-2.76978,-2.31569,4.91327,1.65471,-31.9958
-3937.42,0.967024,0.00243678,10,1023,0,3940.92,1.1835,4.75135,9.34271,1.48495,-2.0506,1.74906,3.71887,-4.87475,-5.38409,6.46436,4.90128,-32.1219
-3936.05,0.788449,0.00243678,10,1023,0,3941.91,-4.57146,4.81748,6.0982,-2.79984,-7.06007,-1.67424,1.89221,-1.09461,-1.09454,1.41169,-1.3197,-32.2127
-3937.45,0.956025,0.00243678,10,1023,0,3942.35,3.15936,0.923486,1.11227,-0.238645,-5.94202,6.15344,-6.13642,4.022,2.96542,8.90497,0.415833,-31.7696
-3936.41,0.969467,0.00243678,10,1023,0,3941.64,4.92238,2.78983,-0.00743251,2.34929,-8.7673,5.24408,-4.48222,1.89918,2.42735,3.67914,-0.332878,-32.1762
-3938.09,0.994769,0.00243678,10,1023,0,3940.04,5.47034,5.30197,-1.06793,6.5013,-7.96907,5.06658,-6.9568,2.30197,0.796153,5.66853,-2.32119,-32.1378
-3937.48,0.946983,0.00243678,10,1023,0,3942.85,-1.19587,1.45848,-5.05721,-0.540074,-2.74134,13.3333,0.876297,-1.69426,1.18097,3.55906,0.65467,-32.1907
-3935.35,0.992006,0.00243678,10,1023,0,3943.19,-5.30122,4.14699,-2.43241,-0.256115,-1.1448,9.40264,0.727688,-1.93415,-1.30479,-0.611799,0.605729,-32.1287
-3937.94,0.831729,0.00243678,10,1023,0,3941.12,5.03697,-3.87017,5.20982,-1.99732,-7.46048,-2.90261,-4.14478,4.98235,1.93191,0.37683,-3.49436,-31.6619
-3934.82,0.851483,0.00243678,10,1023,0,3941.48,-0.0877317,-0.842243,-7.66443,6.07935,2.62441,5.21822,-1.18851,0.966994,-1.95058,0.169909,2.33296,-31.9738
-3936.23,0.994967,0.00243678,10,1023,0,3939.56,4.97732,3.09182,-6.82224,0.911244,7.58067,-1.27258,0.991887,-3.5632,-5.22555,5.46353,0.54994,-32.009
-3934.83,0.941433,0.00243678,10,1023,0,3940.24,3.87542,0.618777,2.57742,-1.9133,-0.763818,1.8427,-2.62415,8.36892,0.50254,-1.79069,-5.2543,-32.0563
-3938.53,0.986751,0.00243678,10,1023,0,3941.83,9.97485,1.92021,-2.21536,1.15165,-6.69151,6.93912,1.46987,0.914334,-3.52946,-1.69846,-9.35241,-31.8446
-3935.23,0.996926,0.00243678,10,1023,0,3941.8,4.5859,-7.45196,0.506073,1.25711,-0.279881,-1.34627,2.853,2.54595,-0.436338,-2.1865,-6.91858,-31.8619
-3934.89,0.938207,0.00243678,10,1023,0,3940.92,1.49877,1.4919,4.09205,-4.64335,1.88694,-2.15106,1.65425,-5.353,-0.303972,-4.07669,-3.72601,-32.1657
-3935.68,0.976998,0.00243678,10,1023,0,3941.19,-2.96767,5.29341,-3.22187,-6.39462,4.45955,-5.00764,2.09211,-3.28285,3.665,-1.26024,-2.94494,-31.8701
-3935.88,0.99085,0.00243678,10,1023,0,3940.18,-9.25451,3.79482,1.44502,-1.24925,6.30134,0.986687,3.54159,-2.32371,-1.55992,-4.15514,0.355102,-32.0997
-3935.9,0.998566,0.00243678,10,1023,0,3939.35,-4.63069,5.15109,-2.93817,3.2524,5.24906,1.367,-2.67774,-2.86829,7.83741,-1.14005,-4.45725,-31.9455
-3935.35,0.997594,0.00243678,10,1023,0,3940.79,3.54028,-0.725986,-1.36745,4.48624,-6.38871,-1.04736,-5.66494,1.54737,6.85669,-2.88714,-1.40195,-31.9775
-3937.47,0.9999,0.00243678,10,1023,0,3940.15,2.88444,-12.4744,2.09711,0.185595,1.45301,5.49663,-6.37213,-0.168988,1.68541,-4.82802,2.68134,-31.9848
-3944.33,0.748584,0.00243678,10,1023,0,3950.09,9.9732,-9.06014,4.77245,-1.07039,-10.0747,-5.47481,-1.46435,-9.10845,-1.64187,5.82282,4.17137,-32.3609
-3937.56,0.859957,0.00243678,10,1023,0,3950.52,4.66292,-6.73044,-3.35149,-2.64676,3.74886,4.67155,6.55338,-3.64384,2.3167,-1.53633,0.759815,-31.6788
-3937.9,0.839636,0.00243678,10,1023,0,3943.45,4.58961,-6.11841,-0.247194,-3.23861,4.38229,4.92976,6.65856,-2.75938,2.62644,-2.13428,-1.98754,-31.6435
-3937.37,0.989092,0.00243678,10,1023,0,3940.79,5.23727,-7.00594,-0.359202,-4.22267,4.17672,6.2776,9.91252,-1.98272,1.7043,-0.0158061,-3.29993,-31.936
-3937.09,0.94898,0.00243678,10,1023,0,3944.05,1.44972,-4.32357,-0.746237,1.33102,-9.36083,-0.280955,2.25372,-10.2179,-0.314833,-2.82361,-5.19195,-31.9624
-3939.16,0.943893,0.00243678,10,1023,0,3942.47,1.85377,-5.47183,-4.4376,-7.27139,-9.69659,4.33904,2.16274,-8.59179,-5.98618,-0.979837,0.838035,-31.8282
-3935.21,0.999953,0.00243678,10,1023,0,3941.87,1.68646,-3.96243,-0.858975,0.10396,-1.26138,-5.13117,5.17424,-5.67357,-0.466027,-5.46655,-4.91319,-32.0214
-3936.05,0.971069,0.00243678,10,1023,0,3938.48,3.76002,-4.01514,3.50806,-4.05253,-4.105,-0.565177,1.7709,-4.82824,-1.18342,-7.24992,-4.8676,-31.8317
