# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = cf3_model
# start_datetime = 2023-07-05 12:21:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\cf\cf3.data.r
# init = 2 (Default)
# random
#   seed = 757730203 (Default)
# output
#   file = examples\cf\cf3_1k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mean
-1066.7,0.905899,0.00582471,9,511,0,1071.65,-0.330368,-2.9944,-2.15233,3.07822,8.88575,-0.318608,2.47274,-5.99443
-1064.83,0.99994,0.00582471,8,255,0,1066.69,-0.628621,-2.48922,-2.09599,2.1605,6.0817,-0.473102,0.105393,-5.7355
-1065.56,0.707748,0.00582471,9,511,0,1070.9,0.680577,4.3445,2.94806,-2.09989,2.09786,-3.05967,4.03468,-5.61792
-1065.55,0.997279,0.00582471,9,511,0,1067.05,4.51411,0.575164,4.09377,-2.38011,1.10154,-3.90368,5.63132,-5.81599
-1065.86,0.823771,0.00582471,9,511,0,1069.81,-3.48569,4.51997,0.388822,-2.67962,-2.68411,-1.78068,6.08472,-5.93284
-1066.93,0.931145,0.00582471,9,1023,0,1069.73,-5.00441,5.94319,-2.97418,-7.16394,-0.788342,1.00221,3.26585,-5.95954
-1066.49,0.971502,0.00582471,10,1023,0,1069.44,-0.882556,2.48952,0.694227,4.62512,4.35257,0.326282,-8.37026,-5.93635
-1066.47,0.966975,0.00582471,10,1023,0,1070.63,1.84343,-5.47377,1.27443,-5.24167,-5.50871,-1.62164,2.24101,-5.59651
-1066.15,0.986396,0.00582471,10,1023,0,1069.53,1.04718,1.55793,-5.80186,2.98647,5.3473,2.66276,-4.18255,-5.6396
-1067.06,0.966641,0.00582471,9,1023,0,1068.93,-3.1561,0.764861,-1.39977,7.13432,0.611515,7.84572,2.00714,-5.5955
-1066.53,0.972477,0.00582471,9,511,0,1068.35,-4.75136,0.290072,3.20085,5.95518,-2.90876,7.70975,-1.10892,-5.85136
-1065.58,0.927822,0.00582471,10,1023,0,1069.41,3.17425,-2.84661,-1.22989,-4.25226,0.0932298,6.38241,-2.67021,-5.88124
-1066.69,0.674151,0.00582471,9,511,0,1070.27,0.925578,-2.96258,0.658716,-4.55833,2.54149,-2.44104,5.89071,-6.0579
-1069.24,0.908962,0.00582471,9,511,0,1071.15,1.12317,-3.8947,1.80038,4.30573,2.13952,-6.39801,4.10086,-6.21025
-1073.39,0.830908,0.00582471,8,255,0,1074.98,-0.738026,-2.02126,1.34741,6.87086,2.56429,-9.15968,7.48042,-5.25804
-1064.95,0.989264,0.00582471,9,511,0,1072.73,-1.61312,-1.25167,0.999232,2.45672,3.50363,-2.18246,-2.45103,-5.62363
-1065.93,0.915343,0.00582471,8,511,0,1070.15,-1.56506,-0.869053,-0.0221733,6.65971,1.18506,-0.0318722,-6.843,-5.66832
-1065.73,0.79644,0.00582471,8,383,0,1070.71,-0.710943,-0.336493,0.146917,5.23732,1.99757,0.275327,-7.46441,-5.90574
-1065.68,0.991758,0.00582471,9,1023,0,1067.98,1.99601,-0.245491,5.37752,1.82019,3.29784,-5.29637,2.50859,-5.65985
-1065.87,0.977144,0.00582471,10,1023,0,1067.57,3.19044,-3.89784,1.14103,2.42337,-0.0809871,-6.05105,3.5519,-5.62871
-1065.89,0.82421,0.00582471,9,511,0,1069.64,-4.66509,-1.50311,-2.30894,1.623,1.1961,-3.21374,-5.40159,-5.98081
-1068.55,0.694865,0.00582471,9,511,0,1074.91,1.23786,0.185336,5.88316,-0.19546,-1.41392,1.55738,-2.22551,-5.34802
-1065.62,0.974693,0.00582471,9,511,0,1071.26,-4.6044,0.737935,-6.10466,0.398823,1.60847,-2.08424,3.52357,-5.66131
-1068.92,0.985814,0.00582471,9,511,0,1070.13,-1.18052,-2.01581,-9.54133,2.55044,-2.65884,-1.74568,11.6315,-5.68188
-1067.92,0.997651,0.00582471,8,255,0,1069.45,-0.81213,-3.35361,-9.55184,2.46863,-3.64045,-1.6891,8.98399,-5.72332
-1068.24,0.95731,0.00582471,8,483,1,1074.5,-0.317232,-3.12266,-9.67479,2.17833,-1.66604,-2.42169,10.182,-5.86762
-1066.06,0.947788,0.00582471,10,1023,0,1070.56,1.87804,0.532437,-5.84438,-1.54081,-7.13208,1.76799,-3.29867,-5.90309
-1065.9,0.999011,0.00582471,9,1023,0,1066.94,2.21172,0.53555,-6.49172,-1.09072,-6.17994,1.74716,-3.15879,-5.69096
-1066.2,0.971949,0.00582471,10,1023,0,1067.8,1.70276,-2.56116,6.36694,-0.344485,7.07739,-0.446627,3.82723,-5.88807
-1067.57,0.51751,0.00582471,10,1023,0,1074.3,-1.23119,-3.01905,0.740524,2.30191,3.97648,0.0774361,-11.6772,-5.94758
-1069.38,0.805338,0.00582471,8,255,0,1072.11,-1.58363,-4.31694,1.32471,1.74271,4.2176,-0.634972,-11.9466,-5.47965
-1070.62,0.911583,0.00582471,3,11,0,1071.27,-1.5975,-4.32395,1.33488,1.75686,4.2084,-0.640638,-11.9498,-5.39318
-1068.5,0.949776,0.00582471,8,255,0,1073.69,-3.1809,-2.68,-2.74135,2.34087,-0.415554,-0.376494,-7.66782,-5.4037
-1065.44,1,0.00582471,8,255,0,1069.23,-1.98628,-1.30385,-2.22563,-0.439052,-2.15507,0.474898,-8.29063,-5.74708
-1065.41,0.996889,0.00582471,9,511,0,1067.23,-1.33072,-6.27705,-3.27022,2.87931,0.090921,0.758943,-4.75724,-5.75123
-1065.42,0.815441,0.00582471,9,511,0,1069.73,3.00188,1.3868,-0.560141,5.0332,1.95241,-4.75778,2.28602,-5.65939
-1065.5,0.584815,0.00582471,8,511,0,1071.97,1.53121,0.190495,-1.27695,6.90525,-0.628215,-5.90189,-1.01135,-5.8297
-1064.83,0.912876,0.00582471,10,1023,0,1066.89,-2.34183,2.26793,-2.69225,1.63652,0.0983442,4.04709,3.60538,-5.71365
-1064.75,0.949489,0.00582471,10,1023,0,1066.23,-1.28538,1.66351,2.25013,2.31585,-2.30775,1.58394,-5.1574,-5.74
-1065.99,0.994752,0.00582471,10,1023,0,1067.51,0.550693,-5.10866,-4.97345,2.20331,5.50035,0.517311,5.16692,-5.75904
-1065.05,0.896438,0.00582471,10,1023,0,1067.82,-1.13781,1.91035,-0.881642,-2.86343,-5.88567,0.540705,-2.85972,-5.69122
-1065.02,0.616995,0.00582471,5,55,0,1071.01,-1.0997,1.80931,-1.06363,-3.18711,-6.29148,0.74101,-2.58207,-5.84391
-1065.52,0.855515,0.00582471,10,1023,0,1068.3,3.64503,-1.27919,-3.15457,-3.08018,-2.40508,2.69319,-4.20839,-5.6318
-1065.62,0.972593,0.00582471,10,1023,0,1067.9,-2.01467,-1.00405,4.77344,0.260986,3.71129,-3.35413,3.20811,-5.97139
-1067.41,0.791863,0.00582471,9,511,0,1070.9,9.24842,-0.239615,-1.58139,6.28216,-0.54249,-6.89987,2.66459,-5.74287
-1068.1,0.123508,0.00582471,9,511,0,1073.76,-8.30708,1.62735,2.92483,2.62914,-7.64194,-0.556573,-3.97518,-5.5506
-1069.43,0.70272,0.00582471,8,255,0,1070.04,-11.4506,2.72413,2.1521,2.3249,-9.46276,-2.4914,-3.35138,-5.96547
-1068.85,0.039619,0.00582471,7,127,0,1072.41,-11.2921,2.79366,2.26871,1.77936,-9.41044,-2.6549,-3.34579,-5.8714
-1068.81,0.109633,0.00582471,4,19,1,1074.69,-11.2843,2.75938,2.25364,1.80308,-9.36691,-2.62185,-3.35153,-5.86701
-1068.55,0.689933,0.00582471,5,47,1,1071.95,-11.018,2.67629,2.40502,1.69083,-8.67252,-2.62313,-3.22982,-5.90148
-1067.06,0.883042,0.00582471,7,147,0,1071.73,-7.394,3.12841,2.60178,1.56772,-7.57881,-2.38044,-4.68525,-5.69694
-1067.88,0.696163,0.00582471,9,1023,0,1071.13,5.17325,-1.63668,1.41253,-6.21674,6.93448,0.338632,9.1847,-5.71534
-1066.89,0.697088,0.00582471,9,511,0,1069.36,4.12545,-1.87778,1.36685,-7.56693,5.56569,0.976133,6.87278,-5.78393
-1065.39,0.872837,0.00582471,9,511,0,1068.5,3.08844,-3.50137,-1.87743,-3.91123,4.44966,0.170449,-2.95754,-5.66981
-1067.25,0.8017,0.00582471,9,1023,0,1070.29,-2.16993,-0.708237,-0.2862,1.39276,9.65743,-0.318474,-3.60187,-5.53929
-1069.69,0.801611,0.00582471,9,511,0,1073.29,-7.16304,1.08561,-0.762665,-4.88965,4.13239,1.80824,-8.86551,-5.44025
-1065.65,0.9842,0.00582471,9,511,0,1072.91,5.88156,-0.756035,-4.33699,3.67045,-3.5566,-3.91752,0.603163,-5.82913
-1068.09,0.71426,0.00582471,9,511,0,1070.56,7.61414,-2.48968,1.42013,6.00995,2.37655,-1.15811,7.14037,-6.03376
-1069.84,0.669005,0.00582471,9,511,0,1072.89,7.26142,-2.58836,1.70299,7.17056,2.46053,-1.80502,5.62361,-5.40147
-1066.41,0.860658,0.00582471,9,1023,0,1072.57,7.94733,-0.973588,0.289626,4.21936,-1.83617,-0.413592,-0.256974,-6.01294
-1066.23,0.820023,0.00582471,9,511,0,1068.45,6.37209,-0.743712,-2.00543,0.640512,-2.7404,-0.461411,-0.763535,-5.52259
-1065.11,0.86271,0.00582471,8,511,0,1071.02,3.69045,-0.849534,-1.35855,1.62648,-1.87105,0.746115,0.73349,-6.00734
-1064.42,0.994676,0.00582471,9,511,0,1066.04,2.19573,-2.93953,1.29848,2.43435,-1.47284,0.0583784,-2.4884,-5.86785
-1065.95,0.996117,0.00582471,9,511,0,1066.46,2.93106,-0.743446,0.955392,-4.40845,1.1207,-5.17002,6.50514,-5.67977
-1068.54,0.841807,0.00582471,9,511,0,1071.23,4.4305,7.56321,-1.742,4.45921,3.29986,-7.30471,-7.27071,-5.63435
-1068.65,0.956863,0.00582471,10,1023,0,1071.53,-2.2785,-8.24593,1.72168,-6.65261,1.94186,-8.07287,2.32193,-6.01984
-1065.12,0.946364,0.00582471,9,511,0,1069.11,-4.49157,-1.9018,0.408478,-2.06249,3.30847,-4.84548,2.57556,-5.756
-1065.23,0.804884,0.00582471,8,409,1,1071.22,-4.36348,-1.67582,-1.45087,-2.88753,4.14383,-4.67553,2.09402,-5.77875
-1065.22,0.938044,0.00582471,9,1023,0,1069.26,5.8912,1.09839,-2.43815,1.08115,1.7966,-4.51785,-1.58805,-5.86998
-1067.92,0.996981,0.00582471,10,1023,0,1070.46,-1.80724,-1.34793,-1.76238,-5.89296,-2.48493,2.58115,-12.2662,-5.8585
-1067.59,0.9748,0.00582471,10,1023,0,1071.54,-4.9787,4.7568,7.10498,0.998857,2.25013,0.597897,9.41933,-5.82114
-1068.55,0.966257,0.00582471,9,511,0,1073.3,4.24527,-0.777946,5.21557,-2.71154,3.26282,-0.498716,13.3104,-5.76163
-1064.76,0.999972,0.00582471,10,1023,0,1069.21,2.82476,-0.419913,4.64186,-0.365455,-0.756319,-1.82913,-4.27536,-5.7745
-1065.45,0.991291,0.00582471,9,511,0,1066.66,4.57144,0.87051,1.56738,-6.63998,2.56974,-1.04364,3.29919,-5.81055
-1070.18,0.879613,0.00582471,9,511,0,1072.44,9.77503,-3.94949,-0.557667,0.509921,-7.58721,-2.94618,10.562,-5.97554
-1069.55,0.83128,0.00582471,6,101,1,1083.08,10.2206,-3.45456,-0.626962,0.308834,-5.49142,-3.60401,10.0922,-5.61804
-1071.04,0.937671,0.00582471,9,511,0,1072.48,10.7341,-4.29151,-0.641057,-1.46137,-6.19529,-4.63077,10.8778,-5.56198
-1070.24,0.113299,0.00582471,9,511,0,1075.89,10.19,-4.54732,-0.391268,-1.2479,-6.25662,-4.55292,11.6424,-5.72073
-1065.86,0.984405,0.00582471,9,511,0,1071.6,3.1437,-3.69116,-4.07328,0.732161,-0.490294,-4.54051,6.61569,-5.74433
-1065.73,0.85851,0.00582471,9,511,0,1069.38,0.670209,0.440634,2.54246,-1.09459,-7.66908,-0.033889,-3.70548,-5.93321
-1066.02,0.996294,0.00582471,10,1023,0,1066.81,-2.23705,-3.10568,-3.35691,4.42433,3.06741,-1.37525,6.46225,-5.66071
-1065.43,0.996446,0.00582471,9,1023,0,1068.1,4.18111,-3.94238,-2.88882,0.212319,-4.85196,-2.61424,-1.48694,-5.89964
-1066.48,0.708287,0.00582471,9,511,0,1070.51,2.79713,-4.33576,3.82036,-0.70506,1.10224,4.78597,3.99284,-5.55314
-1067.15,0.77151,0.00582471,9,511,0,1070.15,2.16574,-4.64036,4.57113,-1.49536,1.51222,5.08059,3.69571,-5.50666
-1066.82,0.975704,0.00582471,10,1023,0,1070.48,-8.25442,0.204581,5.07539,-0.780705,-4.96404,0.574072,2.87638,-5.62442
-1067.06,0.809125,0.00582471,10,1023,0,1069.49,-10.0296,0.0444535,2.61346,-2.30048,-1.31335,0.153534,1.09673,-5.56297
-1069.2,0.546426,0.00582471,8,255,0,1071.65,-9.08364,0.6856,3.85217,-0.255894,0.0648946,0.790673,0.952848,-6.20933
-1065.25,0.941693,0.00582471,9,511,0,1071.73,3.83005,-1.14614,0.662594,3.57601,2.44494,1.06664,-6.35894,-5.77141
-1065.95,0.997728,0.00582471,10,1023,0,1067.88,-4.1685,2.00989,1.0869,-1.34423,-1.99561,2.37995,8.76077,-5.82793
-1067.55,0.838815,0.00582471,9,511,0,1072.1,3.02036,1.94341,3.30696,-5.98315,2.57781,1.98577,2.66799,-6.12933
-1066.83,0.879503,0.00582471,9,511,0,1070.76,-4.24634,0.559349,-1.197,3.64275,0.297408,-4.19002,1.87135,-6.11034
-1067.32,0.994781,0.00582471,9,511,0,1070.3,3.08656,3.00035,-1.38483,2.62362,-0.596099,3.08462,-9.34343,-5.55469
-1067.53,0.964545,0.00582471,9,511,0,1069.72,0.452412,5.62318,0.927978,5.62456,-0.966575,4.34063,-9.48962,-5.92171
-1067.03,0.855842,0.00582471,9,511,0,1072.41,1.79512,3.63025,0.55713,5.59892,-1.46537,5.00754,-7.9214,-5.6232
-1064.34,0.980566,0.00582471,9,511,0,1069.61,2.97747,-1.99205,-3.01226,1.09917,2.13434,1.56202,0.154123,-5.75425
-1064.49,0.999899,0.00582471,9,1023,0,1065.71,-0.195771,1.96368,0.475707,0.152128,-0.0900244,-1.56001,-5.64585,-5.81747
-1064.07,0.98797,0.00582471,8,511,0,1066.96,-0.595912,0.943555,1.32983,0.247268,1.91313,-1.51256,-2.61783,-5.74501
-1066.15,0.978802,0.00582471,8,263,0,1066.83,-1.5077,4.10674,-1.25775,0.00318975,4.78717,1.06429,-4.92042,-6.02122
-1066.43,0.9841,0.00582471,8,511,0,1067.95,-0.824016,5.46447,0.0899778,-1.27424,7.01838,0.836161,-6.96841,-5.71738
-1068.02,0.816741,0.00582471,7,213,1,1072.09,-0.860182,6.34031,-1.1282,-2.4568,10.0338,0.241509,-5.33759,-5.59639
-1069.55,0.763379,0.00582471,9,511,0,1071.75,-1.05976,3.62266,-2.59218,-4.14657,12.7791,-0.248463,-9.52019,-5.78582
-1069.05,0.375971,0.00582471,5,63,1,1076.48,-1.12234,3.54006,-2.76634,-3.54295,11.8297,-0.204501,-9.09884,-5.69015
-1067.06,0.787222,0.00582471,9,511,0,1072.27,2.7962,-0.174384,3.86011,-0.356779,0.784086,-10.8167,4.47232,-5.87375
-1066.98,0.862045,0.00582471,9,511,0,1070.15,2.87274,0.658713,-2.90213,8.33928,-3.19481,-6.65065,-4.70881,-5.77064
-1068.29,0.614656,0.00582471,9,1023,0,1073.19,1.9941,5.6522,-7.7885,5.28043,4.24854,6.3399,-2.6729,-5.59309
-1069.74,0.981556,0.00582471,9,511,0,1072.72,-0.340531,6.55631,-4.63157,-0.668724,1.12578,6.37725,-13.8804,-5.83645
-1069.11,0.843703,0.00582471,8,402,1,1075.5,-2.13714,-1.80198,-4.0662,1.23862,6.70293,1.32971,-13.627,-5.8994
-1067.15,0.9876,0.00582471,9,511,0,1071.25,3.80589,-2.19426,-4.71437,0.24527,9.51042,0.899408,-4.70686,-5.66054
-1068.73,0.833804,0.00582471,9,511,0,1071.58,6.2614,-2.23987,-7.05105,-1.96443,7.7037,-0.110607,-4.49436,-5.51988
-1065.55,0.514488,0.00582471,9,511,0,1074,-1.58021,3.78392,0.850307,-6.56015,-1.1821,-5.4536,-0.686496,-5.79733
-1066.65,0.860505,0.00582471,9,511,0,1068.56,-2.97667,7.9431,5.95516,1.03797,-2.8079,-4.39196,-0.765375,-5.89592
-1066.62,0.568244,0.00582471,7,234,1,1072.7,-3.96219,6.48979,6.42767,1.52468,-2.62357,-4.08913,-0.747345,-5.93284
-1068.07,0.711642,0.00582471,7,136,1,1070.41,-6.11713,7.56111,5.91909,2.2874,-4.07878,-6.97223,-1.63949,-5.91423
-1065.62,0.999983,0.00582471,9,511,0,1069.3,-7.56007,0.846166,3.6539,-1.15255,-0.375027,-1.71063,4.12164,-5.8452
-1065.85,0.799562,0.00582471,9,511,0,1067.71,3.28504,4.3035,4.0692,-3.28065,0.410104,0.708465,-6.91245,-5.83437
-1066.02,0.967455,0.00582471,10,1023,0,1068.53,3.09747,-1.15388,0.624023,-2.86953,-1.17658,6.49758,7.22261,-5.78706
-1066.01,0.946208,0.00582471,9,511,0,1068.55,0.523909,-3.86082,3.60765,-0.247583,-8.22505,0.00601556,-2.71735,-5.68274
-1066.33,0.994045,0.00582471,9,1023,0,1070.12,-3.20034,1.38301,1.59242,5.68865,-2.27701,0.897875,-8.28191,-5.69374
-1066.2,0.991265,0.00582471,10,1023,0,1069.05,3.06674,-2.17593,-3.49155,-1.7786,3.20825,-4.08703,7.86332,-5.71183
-1066.34,0.748437,0.00582471,9,511,0,1069.55,5.97352,-1.81313,-4.02211,-1.88458,4.77337,-1.91216,6.63491,-5.74331
-1067.76,0.606822,0.00582471,7,144,1,1074.55,6.45385,-1.50472,-3.40232,-6.43803,7.22047,-3.29853,5.92032,-5.70366
-1066.82,0.997669,0.00582471,9,1023,0,1069.2,3.99187,1.75249,-0.482675,-8.87877,6.26719,-3.03115,1.84874,-5.86678
-1066.63,0.998648,0.00582471,9,1023,0,1071.52,-5.28858,1.67238,-1.28599,4.31432,0.436676,-1.91327,9.47233,-5.75584
-1068.85,0.84999,0.00582471,10,1023,0,1072.14,-9.484,2.46514,-4.80453,1.25619,-4.48936,-5.55715,-1.61199,-6.07875
-1066.89,0.981308,0.00582471,9,511,0,1069.73,-7.14349,3.02946,-6.96205,-0.767905,-2.51707,-4.59786,-1.21348,-5.93512
-1065.96,0.997382,0.00582471,9,1023,0,1068.03,-1.81349,4.37691,-6.81451,-0.717571,-0.438095,-3.30857,-4.06909,-5.66718
-1066.89,0.96024,0.00582471,9,511,0,1067.74,-1.18989,5.62119,-6.67678,-0.00901996,-2.21265,-2.9241,-5.81734,-5.97571
-1066.66,0.968026,0.00582471,9,1023,0,1070.12,2.31197,-3.09977,-1.46813,2.62072,-6.65949,0.362368,7.77261,-5.65473
-1066.87,0.898884,0.00582471,9,1023,0,1071.47,9.35897,0.401366,-5.37019,3.77483,4.2304,2.24846,1.26277,-5.7405
-1069.19,0.240108,0.00582471,9,511,0,1074.17,10.4851,-0.22574,-5.02536,2.67966,2.19828,0.792676,8.0524,-6.03822
-1064.96,0.655645,0.00582471,9,511,0,1071.36,-1.93799,-2.71565,-2.72986,1.62743,1.70506,-1.85769,-3.289,-5.63624
-1065.31,0.922711,0.00582471,9,511,0,1068.88,3.90216,-3.20814,2.2585,2.92893,-0.75363,4.81899,3.79615,-5.73926
-1066.68,0.857613,0.00582471,10,1023,0,1068.1,-3.15196,3.59865,-5.57658,-0.791569,-4.529,-1.12485,-3.71543,-5.54955
-1065.68,0.982863,0.00582471,9,1023,0,1068.58,0.813535,-4.3326,-2.85846,5.87014,3.22502,4.48514,0.124601,-5.71501
-1066.72,0.846776,0.00582471,10,1023,0,1069.48,1.91344,6.81145,-2.40269,2.15314,-2.64155,2.78846,-6.0895,-5.5954
-1066.24,0.983631,0.00582471,9,511,0,1068.51,2.03457,6.27309,-4.52037,1.00898,-2.61043,2.91125,-6.46255,-5.86007
-1067.75,0.57518,0.00582471,9,511,0,1071.52,1.48961,5.4147,-0.963933,0.877982,-0.410529,6.75497,-10.3623,-5.91594
-1066.72,0.943795,0.00582471,9,511,0,1071.17,-2.07407,2.65858,-0.637059,2.99896,-9.9739,0.370556,5.28261,-5.83789
-1070.8,0.591045,0.00582471,9,511,0,1073.59,-4.00037,5.26145,1.43206,7.42918,-7.2717,1.14511,12.7529,-5.98267
-1067.48,0.280343,0.00582471,9,511,0,1079.09,6.09889,-1.64332,-3.21258,-1.59473,-3.81729,-1.54009,-7.03362,-6.05391
-1064.79,0.998522,0.00582471,9,511,0,1068.39,-4.89703,0.125538,2.34303,-3.08633,1.36525,0.163781,1.73072,-5.8918
-1065.59,0.756741,0.00582471,9,511,0,1069.11,0.437531,2.26468,-0.765999,0.309687,4.62647,-1.83093,2.16858,-5.54851
-1066.87,0.909614,0.00582471,9,511,0,1068.98,1.38792,0.803514,-0.38805,6.94344,0.63493,-8.0684,1.1126,-5.58946
-1067.22,0.311509,0.00582471,6,95,0,1076.41,0.947575,0.639484,-0.332103,7.80205,0.568982,-9.29655,1.63772,-5.63698
-1067.75,0.730121,0.00582471,10,1023,0,1072.19,-2.82294,2.81633,-2.10049,-9.81858,5.54022,-2.2044,-6.34928,-5.88863
-1068.56,0.99828,0.00582471,10,1023,0,1072.12,-5.14948,4.84084,-1.1633,-7.03818,5.95112,0.184768,9.9357,-5.70501
-1065.84,0.831262,0.00582471,9,511,0,1072.89,-6.81497,1.5483,0.540678,0.53651,6.13064,1.26928,-3.22477,-5.70477
-1067.5,0.838698,0.00582471,9,511,0,1069.87,-7.36017,-2.72999,-3.37009,2.67224,7.43206,-2.93596,5.08287,-5.64988
-1065.73,0.772983,0.00582471,7,213,1,1073.68,-2.21372,-3.93144,-2.98482,1.70714,4.95346,-2.61327,3.38463,-5.95247
-1067.04,0.858515,0.00582471,7,183,0,1072.58,-2.50993,-6.3946,-5.40978,0.00657013,7.45569,-3.38092,3.50648,-5.68614
-1067.06,0.97157,0.00582471,8,255,0,1067.49,-2.72474,-6.09941,-6.29143,0.431083,6.82809,-3.53621,4.377,-5.8614
-1068.49,0.598053,0.00582471,8,485,1,1073.67,-8.99732,-0.330607,3.49681,-0.776191,10.1754,-0.746506,1.73912,-5.59653
-1069.04,0.301859,0.00582471,8,255,0,1071.88,-8.33331,-0.2509,2.47387,-0.892108,8.52579,-1.04829,3.58401,-5.46962
-1068.01,0.937275,0.00582471,9,1023,0,1073.43,2.85913,-6.09055,4.45199,-2.35659,-2.69691,-6.93928,3.11823,-6.07233
