# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = normal_mixture_model
# start_datetime = 2023-01-12 11:25:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\normal_mixture\normal_mixture.data.R
# init = 2 (Default)
# random
#   seed = 2900640468 (Default)
# output
#   file = examples\normal_mixture\normal_mixtureMCMC5k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,mu.1,mu.2
-83.2783,0.947395,0.8402,2,3,0,83.634,0.272144,-9.3235,9.58923
-83.9644,0.926462,0.8402,2,3,0,84.865,0.24385,-9.55502,9.95399
-82.5424,0.996437,0.8402,2,3,0,84.0351,0.266837,-9.67189,9.76508
-82.7357,0.98559,0.8402,2,3,0,82.8336,0.295315,-9.62712,9.81403
-84.0728,0.825323,0.8402,2,3,0,84.5244,0.419683,-9.83758,9.6224
-83.5446,0.72186,0.8402,2,3,0,88.2298,0.21579,-9.87293,9.47969
-83.1005,0.97815,0.8402,3,7,0,84.519,0.314394,-9.58957,9.86055
-83.1055,1,0.8402,3,7,0,83.2226,0.255373,-9.75874,9.44815
-83.9665,0.905548,0.8402,2,3,0,84.6824,0.383644,-9.66643,9.43513
-83.8748,0.886431,0.8402,2,3,0,85.9201,0.40358,-9.48813,9.67945
-88.6812,0.664449,0.8402,2,3,0,89.1496,0.514664,-9.30229,9.89779
-83.1083,1,0.8402,3,7,0,88.7556,0.374772,-9.76216,9.62077
-83.6411,0.94437,0.8402,3,7,0,84.355,0.306157,-9.34608,9.84246
-84.1158,0.925254,0.8402,2,3,0,84.9164,0.221109,-10.1689,9.67489
-83.2258,0.945648,0.8402,2,3,0,85.0848,0.317378,-10.0674,9.65973
-82.7694,1,0.8402,2,3,0,83.3626,0.268794,-9.96268,9.63869
-82.6414,0.903951,0.8402,2,3,0,83.9188,0.278789,-9.59176,9.53252
-82.4932,0.947853,0.8402,2,3,0,83.2371,0.273756,-9.6491,9.75255
-84.0102,0.666718,0.8402,1,3,0,85.5473,0.346373,-10.1734,9.66001
-83.4172,0.951258,0.8402,2,3,0,85.1218,0.337366,-9.83004,9.43663
-85.9074,0.703477,0.8402,2,3,0,87.5338,0.434725,-9.73803,9.33234
-84.2232,0.938797,0.8402,2,3,0,87.9305,0.199889,-9.94699,9.86683
-84.4473,0.994372,0.8402,3,7,0,84.8974,0.198972,-9.92903,9.90405
-84.1703,0.992247,0.8402,3,7,0,84.7566,0.227613,-9.94843,9.9285
-83.3201,0.982751,0.8402,2,3,0,85.0803,0.258065,-9.55132,9.43076
-83.018,1,0.8402,2,3,0,83.7546,0.254821,-9.41133,9.58499
-83.0157,0.953138,0.8402,2,3,0,83.7793,0.237676,-9.50382,9.54367
-84.0955,0.780399,0.8402,2,3,0,85.7038,0.180256,-9.94528,9.69297
-83.3037,0.848101,0.8402,2,3,0,86.3467,0.277904,-9.64829,9.90998
-83.8364,0.813397,0.8402,2,3,0,86.0222,0.408368,-9.84441,9.69667
-83.5358,1,0.8402,2,7,0,84.3336,0.201217,-9.62487,9.51195
-83.3547,0.987621,0.8402,3,7,0,84.538,0.370804,-9.70277,9.50504
-84.1046,0.94725,0.8402,3,7,0,84.5044,0.215924,-9.7758,9.93856
-85.2703,0.87783,0.8402,2,3,0,86.565,0.354401,-9.07949,9.55225
-83.9803,1,0.8402,3,7,0,85.6514,0.249899,-9.20473,9.70116
-84.7647,0.964876,0.8402,3,7,0,85.715,0.404357,-9.26802,9.69818
-82.5347,1,0.8402,2,3,0,84.7607,0.280593,-9.53155,9.61323
-82.4252,1,0.8402,2,3,0,82.5806,0.276318,-9.65073,9.5882
-82.9178,0.888259,0.8402,2,3,0,83.3847,0.245487,-9.4727,9.73838
-82.7515,1,0.8402,3,7,0,83.2554,0.27879,-9.93352,9.57675
-83.2149,0.672647,0.8402,2,3,0,86.5428,0.311986,-9.83995,9.87485
-83.5784,0.975423,0.8402,2,3,0,84.042,0.363533,-9.97348,9.78454
-84.0726,0.97005,0.8402,2,3,0,84.2078,0.387272,-9.96022,9.8203
-83.2302,1,0.8402,2,3,0,84.1521,0.325405,-10.0132,9.76419
-83.5026,0.982326,0.8402,2,3,0,83.8049,0.34526,-10.0756,9.65807
-83.8314,0.916523,0.8402,3,7,0,85.3663,0.22629,-9.43721,9.44473
-82.8908,0.844529,0.8402,2,3,0,86.1191,0.230042,-9.88551,9.68778
-82.8442,0.876941,0.8402,3,7,0,84.4138,0.358792,-9.66956,9.6381
-83.4575,0.940457,0.8402,2,3,0,83.8765,0.269699,-10.0269,9.48063
-83.8264,0.982566,0.8402,2,3,0,84.2252,0.307774,-9.93137,9.38273
-83.8637,0.916531,0.8402,2,3,0,85.4426,0.402279,-9.78614,9.52739
-83.5964,1,0.8402,2,3,0,84.1561,0.372379,-9.94559,9.53877
-83.0189,0.99677,0.8402,2,3,0,83.919,0.232694,-9.68871,9.8162
-83.9335,0.904619,0.8402,2,3,0,84.2991,0.387708,-9.63104,9.45515
-85.7094,0.729979,0.8402,2,7,0,88.0765,0.425578,-9.22366,9.7874
-83.0901,1,0.8402,3,7,0,85.3163,0.314191,-9.42476,9.77915
-85.3729,0.799184,0.8402,2,3,0,85.974,0.317229,-9.42057,10.0639
-86.0197,0.944764,0.8402,3,7,0,86.5089,0.297081,-9.2538,10.0639
-86.203,0.992708,0.8402,2,7,0,86.6324,0.271208,-10.2471,9.28613
-87.2977,0.836544,0.8402,2,3,0,90.6952,0.370801,-9.34123,9.17413
-85.2817,1,0.8402,2,3,0,88.5068,0.269853,-9.74704,9.21702
-84.2898,1,0.8402,2,3,0,85.7625,0.215627,-9.72963,9.35364
-83.4478,1,0.8402,1,1,0,84.219,0.245413,-9.71649,9.4074
-83.0813,0.99015,0.8402,2,3,0,84.072,0.32016,-10.0074,9.58527
-83.3944,0.948975,0.8402,3,7,0,84.1805,0.291655,-9.35583,9.80923
-83.103,0.783174,0.8402,2,7,0,85.6988,0.267261,-10.0137,9.7607
-83.7971,0.893663,0.8402,2,3,0,84.9931,0.391529,-9.95792,9.71513
-84.2866,0.968697,0.8402,2,3,0,84.8594,0.195122,-9.30521,9.69358
-84.0972,1,0.8402,3,7,0,85.1142,0.207715,-9.28334,9.65923
-82.7934,0.858462,0.8402,2,3,0,86.1727,0.321157,-9.82131,9.52681
-82.9437,0.991571,0.8402,3,7,0,83.2561,0.312249,-9.81152,9.47994
-83.058,0.980627,0.8402,3,7,0,83.5435,0.2726,-9.56526,9.85799
-83.6323,0.901752,0.8402,2,3,0,84.4192,0.224881,-9.64378,9.89791
-83.0782,0.982287,0.8402,2,7,0,83.999,0.357338,-9.64582,9.52978
-83.8532,0.699262,0.8402,2,3,0,86.6932,0.320203,-9.691,9.96437
-83.3895,0.993596,0.8402,3,7,0,84.6215,0.223738,-9.58693,9.4674
-83.9826,0.969251,0.8402,2,3,0,84.1313,0.223559,-9.67746,9.37379
-82.8758,1,0.8402,3,7,0,84.2305,0.228881,-9.80545,9.74753
-82.7458,0.983866,0.8402,2,3,0,83.2375,0.238427,-9.59367,9.73954
-82.8387,0.898445,0.8402,2,3,0,83.9498,0.323125,-9.84682,9.78683
-84.2119,0.865504,0.8402,3,7,0,84.6219,0.270678,-9.26782,9.87829
-84.3998,0.983432,0.8402,3,7,0,85.0339,0.276114,-10.1286,9.40323
-84.0655,1,0.8402,1,1,0,84.5668,0.285022,-10.1124,9.43741
-82.575,0.959564,0.8402,2,3,0,84.7137,0.242207,-9.76072,9.62231
-83.4688,0.910769,0.8402,2,3,0,83.7259,0.254639,-9.62856,9.39911
-83.6876,0.963153,0.8402,3,7,0,84.7989,0.282728,-9.64289,9.35923
-84.196,0.918094,0.8402,1,1,0,84.3136,0.269883,-9.59119,9.31459
-83.0791,1,0.8402,2,3,0,84.0871,0.2562,-9.66433,9.44983
-83.237,0.990337,0.8402,2,3,0,83.4778,0.278446,-9.51666,9.44229
-87.0946,0.588918,0.8402,2,3,0,88.2383,0.480046,-9.20811,9.67034
-86.3719,0.985513,0.8402,3,7,0,89.9931,0.290058,-10.3365,9.32829
-84.7724,0.844188,0.8402,2,3,0,89.1682,0.249889,-10.277,9.5109
-83.4336,1,0.8402,3,7,0,84.6734,0.297006,-10.1257,9.62314
-83.3858,0.99945,0.8402,2,7,0,83.5298,0.263142,-9.29317,9.65829
-82.7451,0.997928,0.8402,2,7,0,83.5295,0.342818,-9.80533,9.60546
-83.0823,0.777349,0.8402,1,3,0,84.8518,0.2496,-9.38393,9.67633
-84.1428,0.773068,0.8402,2,3,0,85.8231,0.184977,-9.79826,9.84079
-85.1529,0.925879,0.8402,2,7,0,86.5074,0.174348,-9.936,9.41058
-84.0836,1,0.8402,1,1,0,85.0501,0.189636,-9.82884,9.47032
-83.1204,1,0.8402,2,3,0,84.1733,0.232842,-9.92631,9.54865
-83.1204,0.838567,0.8402,2,3,0,85.2462,0.232842,-9.92631,9.54865
-83.9287,0.904018,0.8402,2,3,0,84.3268,0.350975,-9.29418,9.77236
-83.0769,0.981629,0.8402,3,7,0,84.5352,0.348664,-9.86272,9.77832
-83.0769,0.831321,0.8402,2,7,0,85.2584,0.348664,-9.86272,9.77832
-82.8601,0.987134,0.8402,2,3,0,83.3636,0.248117,-9.63117,9.50552
-83.2635,0.918829,0.8402,2,3,0,84.0557,0.26064,-9.73347,9.89789
-86.2497,0.441942,0.8402,2,3,0,91.135,0.489944,-9.54933,9.55765
-84.2946,0.994257,0.8402,2,3,0,87.0349,0.173562,-9.77452,9.8063
-84.2946,0.595299,0.8402,2,7,0,89.791,0.173562,-9.77452,9.8063
-83.2586,0.99145,0.8402,3,7,0,85.0132,0.291687,-10.0575,9.55111
-83.1797,0.937529,0.8402,3,7,0,84.576,0.375412,-9.81271,9.70288
-83.0132,0.990924,0.8402,3,7,0,83.787,0.284454,-9.92363,9.49624
-83.3416,0.897016,0.8402,3,7,0,84.4869,0.207298,-9.5591,9.76328
-83.4882,0.979106,0.8402,2,7,0,84.1592,0.389254,-9.74374,9.76244
-86.4519,0.737774,0.8402,2,3,0,87.6939,0.28958,-10.1016,10.1174
-82.8729,0.840061,0.8402,2,3,0,88.6442,0.308964,-9.47536,9.76834
-82.5016,1,0.8402,2,7,0,82.9557,0.249729,-9.65977,9.61892
-83.3996,0.728144,0.8402,2,3,0,85.371,0.243797,-9.91939,9.85744
-82.4415,1,0.8402,3,7,0,83.2481,0.298704,-9.64337,9.58648
-83.987,0.805092,0.8402,2,3,0,84.1877,0.401721,-9.97081,9.65822
-83.8359,0.979903,0.8402,2,7,0,85.0657,0.208911,-9.77606,9.88644
-83.6724,0.785608,0.8402,3,7,0,87.1863,0.34824,-9.5546,9.42116
-84.8495,0.861572,0.8402,3,7,0,86.1726,0.173511,-10.0687,9.57253
-82.7937,1,0.8402,2,3,0,84.7222,0.291253,-9.46369,9.74804
-85.8903,0.705694,0.8402,2,3,0,86.2041,0.159,-9.74215,9.35027
-82.6171,0.890532,0.8402,2,3,0,87.815,0.259685,-9.51368,9.67431
-85.5635,0.660852,0.8402,2,3,0,86.1446,0.255257,-8.98064,9.68528
-82.9039,0.976652,0.8402,2,3,0,86.0163,0.28485,-9.48049,9.79495
-83.2564,0.952818,0.8402,2,3,0,83.8405,0.325086,-9.89007,9.46365
-82.8027,0.975647,0.8402,2,3,0,83.7453,0.349506,-9.82096,9.67235
-83.6199,0.915992,0.8402,2,3,0,84.0523,0.247056,-9.96265,9.87751
-83.0513,1,0.8402,2,3,0,84.0724,0.321305,-9.88619,9.82064
-83.4385,0.930032,0.8402,1,1,0,83.5173,0.336498,-9.98991,9.81416
-85.1671,0.828604,0.8402,2,7,0,85.8338,0.316606,-9.03762,9.57859
-82.8192,0.977373,0.8402,2,3,0,85.5708,0.33707,-9.51054,9.69128
-82.5183,0.627292,0.8402,2,3,0,87.2771,0.311841,-9.76167,9.74056
-82.8283,0.965209,0.8402,2,3,0,82.9428,0.231199,-9.54106,9.63073
-83.7091,0.738021,0.8402,2,3,0,85.8491,0.310563,-10.0504,9.45895
-83.931,0.979906,0.8402,3,7,0,85.0024,0.353803,-9.31094,9.5303
-82.5729,1,0.8402,2,3,0,83.8257,0.241149,-9.75123,9.62925
-82.4694,0.944166,0.8402,1,3,0,83.1685,0.303538,-9.67442,9.74195
-82.6844,0.920741,0.8402,2,7,0,83.2969,0.325071,-9.73734,9.54295
-82.9496,0.94454,0.8402,3,7,0,83.4187,0.252627,-9.50834,9.79415
-83.6525,0.952949,0.8402,2,3,0,84.086,0.400943,-9.78345,9.72828
-82.8934,1,0.8402,2,3,0,83.9972,0.277522,-9.8286,9.4821
-84.9256,0.642353,0.8402,2,3,0,87.7678,0.447594,-9.50099,9.70419
-83.9562,1,0.8402,2,3,0,85.2106,0.379024,-9.33258,9.66276
-84.0413,0.923376,0.8402,3,7,0,86.1325,0.356747,-9.65411,9.37247
-82.6292,1,0.8402,2,3,0,83.9874,0.268017,-9.55686,9.7553
-82.8104,0.84239,0.8402,1,3,0,84.238,0.308719,-9.78904,9.49763
-82.6233,1,0.8402,1,1,0,82.8031,0.304292,-9.72302,9.52653
-82.9063,0.649203,0.8402,2,3,0,86.8529,0.341086,-9.86169,9.75176
-84.0881,0.637667,0.8402,2,3,0,86.5532,0.207554,-9.55844,9.90518
-85.8198,0.834203,0.8402,2,7,0,87.183,0.375,-10.2868,9.87404
-84.3317,0.897002,0.8402,2,3,0,87.9657,0.255306,-10.2653,9.64235
-84.0617,0.999529,0.8402,2,7,0,85.0695,0.271817,-10.1448,9.4682
-83.2391,0.997849,0.8402,3,7,0,84.7251,0.30209,-9.83634,9.88561
-82.6267,1,0.8402,2,3,0,83.3906,0.234155,-9.70162,9.67089
-82.4327,0.997313,0.8402,2,3,0,82.7031,0.267803,-9.5963,9.67495
-82.9096,0.864629,0.8402,2,3,0,83.7194,0.253579,-9.94826,9.57302
-83.7177,0.896955,0.8402,2,3,0,84.3855,0.33194,-9.98961,9.44378
-83.4224,0.987616,0.8402,3,7,0,84.6949,0.258838,-9.7061,9.39745
-82.8753,0.986617,0.8402,2,3,0,83.865,0.330996,-9.57545,9.52826
-82.4733,0.909894,0.8402,2,7,0,83.7449,0.253384,-9.77679,9.66054
-83.5156,0.771517,0.8402,2,3,0,85.1365,0.376609,-9.60259,9.50299
-84.5515,0.933819,0.8402,2,3,0,85.0966,0.336924,-9.5187,9.31457
-84.8445,0.78046,0.8402,2,7,0,87.8886,0.346811,-10.2084,9.45399
-88.1558,0.811988,0.8402,2,3,0,88.7983,0.320833,-10.6611,9.54461
-88.5826,0.917615,0.8402,3,7,0,89.5858,0.30806,-10.714,9.59221
-85.5406,1,0.8402,1,1,0,88.0838,0.301449,-10.4264,9.60406
-83.0311,0.871993,0.8402,2,3,0,87.3684,0.273229,-9.72698,9.44437
-83.6116,0.900275,0.8402,2,7,0,84.5543,0.196165,-9.58436,9.53358
-82.9856,0.992951,0.8402,3,7,0,84.1408,0.335539,-9.94385,9.72552
-85.4713,0.760316,0.8402,2,3,0,86.0832,0.374339,-9.42355,9.29779
-84.0753,1,0.8402,2,3,0,85.7153,0.392252,-9.6581,9.44287
-85.2699,0.795259,0.8402,2,3,0,87.3331,0.353277,-10.003,9.29584
-82.4055,1,0.8402,2,3,0,84.8675,0.263596,-9.75961,9.67925
-82.5165,0.988674,0.8402,2,3,0,82.5744,0.271406,-9.54799,9.61707
-86.7967,0.600157,0.8402,2,3,0,86.9914,0.123538,-9.62789,9.47293
-83.4757,1,0.8402,2,3,0,86.7241,0.367922,-9.81805,9.82821
-82.6161,0.91166,0.8402,2,3,0,84.5381,0.270746,-9.90758,9.62861
-82.5884,0.999014,0.8402,2,7,0,82.725,0.272569,-9.84442,9.56767
-82.6726,0.800007,0.8402,2,3,0,84.7516,0.262971,-9.67969,9.5195
-84.9157,0.78409,0.8402,2,3,0,85.2395,0.206579,-10.2459,9.72945
-85.7823,0.952931,0.8402,3,7,0,87.7024,0.255589,-10.0675,9.24504
-82.6709,1,0.8402,2,3,0,85.4825,0.304836,-9.49068,9.60737
-84.5381,0.534179,0.8402,1,3,0,87.7386,0.276822,-10.1585,9.9102
-85.0736,0.901767,0.8402,2,3,0,87.0411,0.311216,-9.04072,9.59723
-84.1405,1,0.8402,2,3,0,85.8613,0.219376,-10.1606,9.71429
-84.0048,0.998324,0.8402,3,7,0,85.3546,0.185238,-9.49065,9.76027
-83.2753,0.992451,0.8402,3,7,0,84.5737,0.357749,-9.88447,9.78917
-83.3876,0.951462,0.8402,2,3,0,84.3306,0.319851,-9.54482,9.88844
-85.6221,0.780271,0.8402,2,3,0,86.3842,0.192057,-10.3065,9.70646
-84.8042,1,0.8402,2,7,0,86.7148,0.205228,-10.0386,9.9202
-84.4257,1,0.8402,3,7,0,85.941,0.332466,-9.40959,9.35549
-83.8179,1,0.8402,2,3,0,84.7317,0.282338,-9.34344,9.43935
-83.0224,0.978047,0.8402,2,3,0,84.3911,0.250491,-9.72563,9.46518
-82.6099,1,0.8402,2,3,0,83.1337,0.335064,-9.63152,9.69157
-83.2641,0.873049,0.8402,2,3,0,83.7918,0.35041,-9.99009,9.71056
-82.4283,0.895891,0.8402,2,3,0,84.5324,0.265502,-9.61387,9.68501
-83.4942,0.875004,0.8402,2,3,0,83.5641,0.224089,-10.0472,9.69528
-82.7715,0.986335,0.8402,2,3,0,83.8258,0.224483,-9.75059,9.67361
-82.6569,0.986738,0.8402,2,3,0,83.0638,0.250528,-9.70312,9.7721
-82.9476,0.931836,0.8402,2,7,0,83.5923,0.220303,-9.7941,9.58538
-84.5618,0.84133,0.8402,2,3,0,85.1155,0.273177,-9.26694,9.38952
-82.9591,1,0.8402,2,3,0,84.5741,0.286595,-10.0267,9.66572
-82.6617,0.937147,0.8402,2,7,0,83.7879,0.323387,-9.69065,9.54402
-83.0473,0.920378,0.8402,2,3,0,83.5104,0.329505,-9.40761,9.62933
-83.2447,0.96328,0.8402,1,1,0,83.3536,0.350232,-9.4168,9.61197
-83.0719,1,0.8402,2,3,0,83.3675,0.351965,-9.51287,9.57162
-83.653,0.848899,0.8402,2,3,0,85.018,0.240112,-10.1292,9.64392
-86.2606,0.647837,0.8402,2,3,0,88.3609,0.129244,-9.9427,9.68365
-87.8253,0.961756,0.8402,2,3,0,88.0127,0.10384,-9.86215,9.67534
-85.2344,0.977912,0.8402,3,7,0,89.3265,0.182487,-9.6236,9.33753
-83.0968,0.982553,0.8402,2,3,0,85.6223,0.213213,-9.67267,9.55716
-83.87,0.917728,0.8402,2,3,0,84.5558,0.183716,-9.58898,9.76473
-83.7903,0.916656,0.8402,3,7,0,85.7923,0.412185,-9.72036,9.62849
-83.0273,0.935462,0.8402,2,7,0,84.9766,0.311981,-9.42338,9.76276
-86.5406,0.668644,0.8402,2,3,0,87.1755,0.237135,-9.90427,10.155
-82.8746,1,0.8402,2,3,0,86.518,0.319963,-9.54553,9.79569
-82.9645,0.905663,0.8402,2,3,0,84.0959,0.316208,-9.47306,9.5341
-83.1083,0.971966,0.8402,2,3,0,83.5455,0.324292,-9.96744,9.77736
-82.9819,0.956596,0.8402,2,7,0,84.0346,0.237579,-9.64231,9.49966
-84.5302,0.878348,0.8402,2,3,0,84.8883,0.418504,-9.5051,9.81706
-83.3427,1,0.8402,2,3,0,85.2306,0.256826,-9.66011,9.90497
-83.2705,0.974003,0.8402,3,7,0,84.2797,0.254235,-9.34537,9.58873
-83.3947,0.996206,0.8402,3,7,0,83.9229,0.2655,-9.35209,9.51932
-83.4491,0.854297,0.8402,3,7,0,85.6912,0.213425,-9.98936,9.62183
-83.0943,1,0.8402,2,3,0,83.8759,0.212009,-9.69837,9.5638
-82.9156,1,0.8402,2,3,0,83.3655,0.224254,-9.54038,9.65037
-83.7847,0.889571,0.8402,2,3,0,84.5609,0.396782,-9.83904,9.53788
-88.5739,0.555988,0.8402,2,3,0,89.825,0.136684,-10.3322,9.87454
-85.1588,1,0.8402,2,3,0,88.2179,0.173433,-10.1409,9.72491
-85.0123,1,0.8402,3,7,0,86.6632,0.395734,-9.24107,9.79927
-83.2395,1,0.8402,2,3,0,85.325,0.198921,-9.66697,9.65323
-83.3635,0.969071,0.8402,3,7,0,84.1717,0.385768,-9.56788,9.67352
-84.3969,0.905932,0.8402,2,7,0,85.3759,0.260273,-9.23843,9.44048
-82.7936,1,0.8402,2,3,0,84.6726,0.225485,-9.61409,9.63545
