# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = normal_mixture_model
# start_datetime = 2023-01-12 11:28:14 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\normal_mixture\normal_mixture.data.R
# init = 2 (Default)
# random
#   seed = 2900780693 (Default)
# output
#   file = examples\normal_mixture\normal_mixturevar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,theta,mu.1,mu.2
0,-85.5126,-2.59935,0.266091,-10.0853,9.48921
0,-88.5236,-3.61374,0.13999,-9.23995,9.58287
0,-85.5992,-0.95059,0.24707,-9.30145,9.80095
0,-87.1152,-2.39949,0.214865,-9.08959,9.74544
0,-85.0503,-0.813752,0.199833,-9.71436,9.65174
0,-84.3684,-0.486838,0.295257,-9.74776,9.54781
0,-84.7987,-0.283418,0.231745,-9.47774,9.6744
0,-85.9865,-3.7154,0.286767,-10.2456,9.59981
0,-85.7782,-1.56576,0.405623,-9.66415,9.5173
0,-85.751,-1.16996,0.215305,-9.40202,9.48092
0,-87.1266,-2.50259,0.445644,-9.62001,9.86629
0,-84.449,-0.712279,0.277,-9.84649,9.75848
0,-85.1416,-1.04614,0.37145,-9.71426,9.79674
0,-86.2364,-3.23694,0.320912,-10.089,9.92287
0,-89.2312,-5.78987,0.150414,-10.0897,9.99171
0,-84.6063,-1.28326,0.282054,-9.96986,9.63123
0,-87.0695,-2.31708,0.409989,-9.24841,9.79151
0,-84.9551,-0.490632,0.314376,-9.35868,9.65992
0,-86.669,-2.91083,0.436123,-9.9411,9.75591
0,-84.5063,-0.344166,0.342219,-9.6271,9.66459
0,-85.0608,-0.603405,0.207561,-9.56476,9.59338
0,-84.5797,-0.176561,0.300146,-9.44654,9.66665
0,-85.7063,-1.03067,0.229358,-9.38808,9.85637
0,-86.1301,-1.64468,0.274267,-9.522,10.0001
0,-85.6184,-1.06653,0.253644,-9.26521,9.54369
0,-87.9959,-3.10266,0.147971,-9.26883,9.57722
0,-86.285,-2.11298,0.296842,-9.55197,9.29538
0,-86.9624,-2.13083,0.206752,-9.30735,9.93184
0,-86.4736,-2.31647,0.33652,-9.70492,10.0285
0,-85.2689,-0.800281,0.205061,-9.55227,9.54301
0,-86.7728,-2.21305,0.295442,-9.44819,10.0419
0,-86.681,-1.92083,0.431153,-9.4032,9.73396
0,-87.4921,-2.89674,0.470225,-9.65914,9.50967
0,-84.5605,-0.176482,0.262911,-9.4922,9.58709
0,-85.0634,-0.982385,0.246405,-9.68267,9.43777
0,-84.7717,-0.68338,0.317107,-9.69502,9.84217
0,-85.8049,-2.47291,0.276257,-9.94515,9.36617
0,-85.8997,-1.39944,0.251558,-9.53809,9.96848
0,-85.0516,-1.52147,0.33558,-9.91739,9.81473
0,-86.0863,-3.20246,0.374025,-10.1005,9.53066
0,-85.6573,-1.48197,0.294791,-9.56101,9.35638
0,-85.8532,-1.27806,0.403261,-9.43507,9.66495
0,-88.1506,-3.31587,0.153024,-9.30378,9.44955
0,-85.8637,-1.3387,0.240825,-9.53704,9.95373
0,-85.8834,-1.38207,0.254929,-9.31565,9.43899
0,-85.1401,-0.608513,0.27016,-9.30598,9.63625
0,-85.3026,-1.9036,0.341272,-9.92343,9.46688
0,-84.476,-1.01222,0.298746,-9.91654,9.62262
0,-85.5459,-1.19352,0.343773,-9.43739,9.45198
0,-84.3677,-0.401663,0.321904,-9.73181,9.72577
0,-85.4788,-1.32183,0.394386,-9.67317,9.53527
0,-85.2764,-1.38194,0.196747,-9.85821,9.6314
0,-85.555,-1.01814,0.371684,-9.39857,9.75656
0,-84.8169,-0.550657,0.240115,-9.6002,9.50315
0,-84.9214,-0.751822,0.369684,-9.66314,9.73423
0,-84.8856,-0.357843,0.226761,-9.47053,9.64097
0,-86.7005,-1.98167,0.15417,-9.52693,9.69334
0,-85.7427,-1.05367,0.207442,-9.33612,9.59974
0,-85.9046,-1.29564,0.184807,-9.57193,9.81581
0,-85.879,-1.52497,0.194801,-9.62969,9.44495
0,-84.772,-0.373661,0.333851,-9.46632,9.71463
0,-85.1878,-0.838023,0.195722,-9.67579,9.70894
0,-86.077,-2.13443,0.232501,-9.75474,9.33358
0,-84.6846,-0.622511,0.35687,-9.69954,9.70973
0,-84.7009,-0.242348,0.270769,-9.46819,9.76858
0,-84.6901,-0.742525,0.349555,-9.72497,9.56366
0,-85.7956,-1.16019,0.261305,-9.2812,9.84105
0,-84.8067,-1.2764,0.237436,-9.93221,9.59171
0,-85.1846,-1.26404,0.334516,-9.7812,9.8818
0,-84.3506,-0.651326,0.267028,-9.85659,9.67811
0,-87.3456,-3.8216,0.228028,-10.0011,10.0469
0,-85.8387,-1.26188,0.285572,-9.21099,9.78048
0,-84.6506,-0.410197,0.220971,-9.67851,9.66877
0,-84.2516,-0.210833,0.31125,-9.67857,9.62287
0,-84.6077,-0.878631,0.295328,-9.80618,9.50115
0,-84.5109,-0.258955,0.245818,-9.61087,9.56793
0,-85.4396,-1.69308,0.303404,-9.85699,9.92873
0,-85.5166,-1.01338,0.341532,-9.42121,9.85422
0,-85.4675,-0.935687,0.334623,-9.32155,9.77365
0,-85.292,-1.86296,0.221708,-9.9758,9.53978
0,-85.8051,-1.31414,0.334158,-9.22958,9.58883
0,-87.0695,-2.4335,0.404636,-9.23526,9.51462
0,-85.4976,-0.87616,0.224329,-9.46449,9.85188
0,-86.0685,-1.32905,0.219482,-9.26178,9.783
0,-86.9042,-2.63823,0.363747,-9.51029,9.29786
0,-85.8516,-1.21033,0.176602,-9.53272,9.67734
0,-84.558,-0.124015,0.268776,-9.47835,9.72215
0,-85.8137,-1.07767,0.207026,-9.31924,9.70807
0,-86.7891,-2.41387,0.369562,-9.6137,10.0156
0,-86.4078,-1.70038,0.201529,-9.27654,9.51447
0,-84.6356,-0.831071,0.29693,-9.81895,9.81637
0,-86.5951,-2.51707,0.252412,-9.65389,9.2667
0,-85.1671,-1.13781,0.339608,-9.66044,9.44011
0,-84.217,-0.138816,0.279145,-9.67245,9.60483
0,-87.2447,-2.80117,0.304319,-8.99845,9.7273
0,-88.3195,-5.3948,0.160165,-10.2009,9.85388
0,-86.2301,-1.57572,0.265036,-9.25553,9.89203
0,-85.437,-0.795981,0.237068,-9.38199,9.81985
0,-85.4668,-1.38217,0.227237,-9.70618,9.41103
0,-87.3169,-2.89595,0.277557,-9.0272,9.49261
0,-85.2239,-1.04272,0.248598,-9.62219,9.41707
0,-84.4949,-0.930979,0.261766,-9.90967,9.68503
0,-84.7805,-0.42372,0.240325,-9.54556,9.53136
0,-85.1497,-0.753987,0.373216,-9.52818,9.73469
0,-87.1322,-2.43756,0.143903,-9.56328,9.71797
0,-85.3363,-1.40845,0.220294,-9.79119,9.45256
0,-84.5699,-0.138381,0.250547,-9.4921,9.63882
0,-85.0174,-1.91031,0.30589,-10.0192,9.53979
0,-84.2607,-0.21512,0.304155,-9.67332,9.59652
0,-84.6583,-0.605173,0.227307,-9.74331,9.5775
0,-85.0649,-0.597863,0.336388,-9.41373,9.75858
0,-87.6692,-3.12955,0.184126,-9.67112,10.0423
0,-84.7772,-0.623964,0.286742,-9.67657,9.85932
0,-85.6008,-1.09048,0.289313,-9.21959,9.60883
0,-84.9494,-0.604142,0.208832,-9.65737,9.7299
0,-86.0397,-2.14534,0.280937,-9.82294,10.0029
0,-86.9637,-2.20107,0.430296,-9.31894,9.60284
0,-84.2475,-0.0246403,0.267105,-9.61783,9.67242
0,-85.3417,-0.843534,0.36501,-9.42037,9.74308
0,-85.7721,-1.29082,0.388196,-9.43305,9.54129
0,-84.7816,-0.833035,0.239716,-9.76219,9.5028
0,-85.5225,-1.0365,0.388892,-9.45757,9.62375
0,-84.8461,-0.592768,0.346892,-9.54851,9.54801
0,-86.778,-2.04665,0.161654,-9.45638,9.53681
0,-87.0341,-2.27096,0.186375,-9.24502,9.49588
0,-87.0574,-2.40571,0.214679,-9.14816,9.4821
0,-84.382,-0.133117,0.250264,-9.61371,9.61073
0,-85.9721,-2.14317,0.347997,-9.75067,9.34998
0,-84.7429,-0.42492,0.268708,-9.5959,9.83675
0,-84.8353,-0.56821,0.284688,-9.61627,9.86222
0,-85.6038,-1.31845,0.411079,-9.65919,9.64254
0,-85.3138,-1.01121,0.331615,-9.59184,9.89891
0,-85.1962,-1.79149,0.240281,-9.96046,9.49395
0,-86.7085,-3.42256,0.245782,-9.97706,9.30052
0,-84.9803,-1.15235,0.33362,-9.81234,9.8442
0,-84.9641,-1.95416,0.27936,-10.0664,9.65673
0,-86.0349,-1.46618,0.317585,-9.22261,9.81895
0,-85.7315,-2.20701,0.360729,-9.8861,9.42229
0,-84.6639,-0.264638,0.314958,-9.43959,9.65596
0,-84.7925,-0.63539,0.268494,-9.61639,9.46612
0,-87.4386,-4.52169,0.197616,-10.1319,9.37138
0,-87.4863,-2.62261,0.433006,-9.32666,9.84692
0,-84.1926,-0.242122,0.28912,-9.7301,9.61968
0,-85.1603,-1.54053,0.358648,-9.85874,9.50611
0,-85.4587,-2.41581,0.360667,-10.0587,9.64685
0,-84.8555,-0.913276,0.327425,-9.70475,9.47164
0,-85.4567,-0.946791,0.223954,-9.56285,9.8801
0,-85.5049,-1.65938,0.193364,-9.89314,9.73293
0,-86.8687,-2.49704,0.234648,-9.49626,9.27868
0,-84.881,-0.564532,0.267385,-9.51333,9.48166
0,-85.7362,-1.30564,0.313967,-9.51566,9.95042
0,-85.7038,-1.05721,0.216763,-9.32842,9.55786
0,-84.5907,-0.423807,0.274601,-9.6717,9.82273
0,-85.2168,-2.37441,0.313727,-10.1048,9.67059
0,-86.1877,-2.08469,0.210103,-9.71899,9.35784
0,-87.0349,-3.96587,0.329865,-10.081,10.0063
0,-86.5106,-2.015,0.181681,-9.56622,9.41564
0,-85.2067,-0.613472,0.205951,-9.48276,9.66107
0,-86.2557,-1.70545,0.252744,-9.17067,9.52203
0,-85.0522,-0.545409,0.22105,-9.54653,9.79018
0,-85.2677,-1.36461,0.385656,-9.78065,9.56008
0,-84.4326,-0.289331,0.238799,-9.69004,9.61893
0,-93.4269,-8.64258,0.528041,-9.91108,10.1704
0,-84.519,-0.160742,0.284035,-9.53213,9.76749
0,-86.0481,-1.40321,0.188876,-9.44588,9.50831
0,-86.594,-2.58119,0.30698,-9.64149,9.26115
0,-85.7379,-1.16129,0.265846,-9.42292,9.92412
0,-85.2606,-1.3847,0.389589,-9.80311,9.60535
0,-86.1676,-1.62975,0.345625,-9.18016,9.69698
0,-85.0754,-2.11474,0.304612,-10.0769,9.70476
0,-85.8902,-1.58388,0.266814,-9.49383,9.34955
0,-84.3365,-0.486695,0.27675,-9.80011,9.74198
0,-86.292,-2.01468,0.279655,-9.48958,9.3066
0,-85.8977,-2.26505,0.24746,-9.93373,9.94684
0,-85.9309,-1.18118,0.197973,-9.32857,9.66697
0,-84.9979,-0.903274,0.317569,-9.69936,9.87897
0,-85.7285,-1.18529,0.315666,-9.2305,9.7542
0,-84.283,-0.284819,0.270066,-9.74052,9.73262
0,-86.3028,-2.0588,0.440088,-9.75464,9.66173
0,-85.3493,-1.01351,0.395878,-9.59493,9.64302
0,-84.4171,-0.149478,0.266244,-9.61183,9.76216
0,-84.7975,-0.543044,0.31167,-9.60507,9.84212
0,-87.7665,-3.13733,0.316031,-9.38669,10.0986
0,-86.2546,-1.60663,0.403853,-9.33303,9.65483
0,-85.5852,-1.06038,0.248918,-9.32845,9.48784
0,-84.7641,-0.345826,0.292229,-9.40842,9.58654
0,-86.4176,-2.22858,0.273233,-9.56105,9.28231
0,-86.7131,-2.27809,0.269153,-9.58403,10.0609
0,-84.5184,-0.594772,0.335668,-9.7303,9.57334
0,-84.9674,-0.688485,0.310192,-9.59747,9.87037
0,-84.6652,-0.448268,0.226843,-9.6645,9.57673
0,-90.0794,-5.48578,0.507996,-9.78814,9.33214
0,-86.6296,-2.16948,0.263746,-9.30631,9.34465
0,-84.659,-0.182825,0.259282,-9.43828,9.66592
0,-85.1533,-0.942909,0.385889,-9.66206,9.7169
0,-85.4734,-1.88673,0.263423,-9.93029,9.90881
0,-91.0303,-6.3421,0.242488,-8.95546,10.1279
0,-87.582,-2.64423,0.169576,-9.3186,9.88785
0,-87.3732,-2.5499,0.423722,-9.27409,9.82045
0,-84.9892,-0.600616,0.238825,-9.5181,9.49944
0,-84.957,-0.583703,0.240489,-9.60684,9.84258
0,-85.6952,-1.95318,0.186822,-9.93041,9.68407
0,-85.4194,-1.04335,0.18663,-9.66164,9.61227
0,-85.2223,-0.768131,0.327742,-9.33591,9.58523
0,-87.209,-2.72173,0.427808,-9.65755,9.94337
0,-84.8705,-0.606397,0.366803,-9.59767,9.697
0,-85.3778,-0.882345,0.314593,-9.26946,9.63822
0,-84.864,-0.333227,0.260455,-9.39914,9.73065
0,-86.017,-1.30176,0.23121,-9.28374,9.83435
0,-85.2797,-0.727849,0.277555,-9.27976,9.70718
0,-85.103,-0.577818,0.290181,-9.3601,9.78266
0,-84.2893,-0.187789,0.311136,-9.66403,9.71646
0,-85.1134,-0.827863,0.201135,-9.67622,9.5807
0,-86.1341,-2.02216,0.18832,-9.75885,9.42953
0,-85.016,-0.546518,0.233591,-9.55332,9.82404
0,-84.2116,-0.215135,0.306344,-9.70471,9.64142
0,-85.8367,-2.52152,0.361166,-10.0027,9.85689
0,-84.8649,-0.464936,0.21141,-9.60698,9.66048
0,-85.2138,-1.94775,0.252942,-9.99234,9.48898
0,-85.1288,-0.618918,0.30708,-9.35517,9.77198
0,-85.8585,-1.2793,0.300334,-9.25857,9.83876
0,-87.6288,-2.68704,0.475416,-9.47912,9.62634
0,-84.875,-0.986456,0.326523,-9.72938,9.46769
0,-85.3359,-0.753966,0.236709,-9.46437,9.85186
0,-87.1911,-2.29827,0.156997,-9.35634,9.73682
0,-84.6588,-0.305515,0.256105,-9.58297,9.80264
0,-85.5065,-2.0365,0.205422,-9.99899,9.71596
0,-86.7453,-2.2939,0.411131,-9.50756,9.4093
0,-86.2876,-4.04783,0.270194,-10.2718,9.75856
0,-84.5607,-0.766429,0.284099,-9.7855,9.50431
0,-85.1679,-0.725468,0.368957,-9.4731,9.70871
0,-87.7174,-3.27619,0.355348,-9.10972,9.40166
0,-89.0207,-4.30093,0.467148,-9.53577,9.31173
0,-84.7361,-0.258711,0.264726,-9.46144,9.76634
0,-84.6898,-0.48956,0.346184,-9.58945,9.57694
0,-85.5265,-0.919109,0.253642,-9.25106,9.70155
0,-85.7659,-1.06487,0.202976,-9.34887,9.60864
0,-86.7134,-2.37088,0.323434,-9.6083,10.0543
0,-85.7204,-1.65991,0.411304,-9.75676,9.57283
0,-87.5692,-3.13921,0.285557,-9.15684,9.32944
0,-85.3032,-0.962736,0.189531,-9.68413,9.666
0,-85.2549,-1.61182,0.356741,-9.84564,9.47738
0,-87.7209,-4.29651,0.372638,-9.91526,9.24333
0,-84.4373,-0.286226,0.259604,-9.64485,9.54852
0,-84.5067,-0.383061,0.343887,-9.64932,9.66266
0,-85.512,-2.07999,0.378949,-9.96659,9.74779
0,-85.5506,-1.10334,0.34826,-9.49447,9.88197
0,-84.4891,-0.570248,0.337494,-9.73644,9.59557
0,-84.6446,-0.560592,0.230271,-9.75153,9.74703
0,-84.9736,-1.01251,0.364772,-9.7639,9.77296
0,-87.7351,-4.33427,0.286038,-9.90378,9.187
0,-88.4198,-5.80547,0.184418,-10.263,9.92806
0,-84.5451,-0.815605,0.305137,-9.84027,9.78131
0,-84.6476,-0.334458,0.341458,-9.53485,9.69017
0,-84.304,-0.333623,0.311447,-9.73011,9.72561
0,-85.2778,-1.00637,0.230582,-9.60399,9.43996
0,-84.2975,-0.250342,0.282782,-9.71079,9.75152
0,-84.4181,-0.856197,0.305081,-9.88012,9.61628
0,-85.2707,-1.04839,0.193968,-9.74326,9.72791
0,-85.5719,-2.18779,0.212298,-9.99861,9.52845
0,-84.5114,-0.839615,0.316714,-9.83097,9.5572
0,-84.434,-0.214219,0.238214,-9.66297,9.68306
0,-85.2241,-1.03742,0.204078,-9.75291,9.78771
0,-84.8071,-0.644514,0.211818,-9.72931,9.65492
0,-85.9033,-1.57226,0.340755,-9.44032,9.39528
0,-84.6824,-0.264942,0.226248,-9.56322,9.66008
0,-86.1529,-1.95511,0.172539,-9.75483,9.5093
0,-85.5565,-1.0033,0.185503,-9.55911,9.61786
0,-84.5793,-0.218829,0.240768,-9.59101,9.74624
0,-85.6271,-0.958468,0.205543,-9.46795,9.81537
0,-85.1534,-0.705264,0.292387,-9.3434,9.53938
0,-86.2336,-1.73364,0.275436,-9.15037,9.53422
0,-84.7779,-0.382785,0.279553,-9.43896,9.54455
0,-84.2579,-0.219553,0.30469,-9.69818,9.71951
0,-84.2501,-0.282883,0.279625,-9.74564,9.72636
0,-85.6923,-1.42578,0.363038,-9.64029,9.90845
0,-85.6411,-1.54495,0.179776,-9.80641,9.6509
0,-85.4417,-0.959141,0.312791,-9.44718,9.8908
0,-84.8576,-1.20674,0.35202,-9.84906,9.55955
0,-84.8729,-0.38636,0.216978,-9.54146,9.67914
0,-84.7005,-0.702368,0.35866,-9.71562,9.61214
0,-86.3868,-1.77863,0.279171,-9.38746,9.98683
0,-87.1763,-3.50806,0.182985,-9.99067,9.94043
0,-84.4092,-0.575572,0.300173,-9.79803,9.76388
0,-87.443,-3.80697,0.150611,-10.0088,9.78133
0,-85.0535,-1.85182,0.29574,-10.0196,9.79323
0,-85.9038,-1.39042,0.30821,-9.17243,9.67313
0,-84.4899,-0.64679,0.321084,-9.75974,9.54773
0,-85.5303,-2.92019,0.284564,-10.1738,9.70405
0,-84.8141,-0.30274,0.266924,-9.38784,9.69291
0,-88.9692,-4.03589,0.170255,-9.44488,10.0814
0,-84.5065,-0.0915928,0.265702,-9.47917,9.65314
0,-84.5344,-0.136867,0.261734,-9.48914,9.60933
0,-86.1811,-1.89947,0.162439,-9.75334,9.6649
0,-86.7726,-2.13499,0.157304,-9.54142,9.52877
0,-86.6463,-2.28818,0.30511,-9.37291,9.31226
0,-85.2936,-0.765881,0.217875,-9.46437,9.5268
0,-86.5517,-1.9074,0.387335,-9.22613,9.72804
0,-85.0073,-1.24458,0.235006,-9.84124,9.48673
0,-86.1404,-1.53595,0.376257,-9.26552,9.72506
0,-86.6163,-3.00601,0.407686,-9.95839,9.87503
0,-85.2104,-0.732867,0.356643,-9.39568,9.67546
0,-84.5548,-0.319066,0.24589,-9.66072,9.77512
0,-84.3445,-0.114396,0.267424,-9.59565,9.58679
0,-84.804,-0.463451,0.328359,-9.46916,9.56292
0,-85.475,-1.33369,0.40261,-9.72677,9.72166
0,-88.5382,-3.45287,0.475599,-9.25705,9.61493
0,-85.7266,-1.3159,0.195883,-9.67315,9.85472
0,-87.873,-3.38033,0.270519,-8.96472,9.82512
0,-84.3341,-0.0730246,0.285231,-9.58938,9.73654
0,-84.9745,-0.45194,0.250108,-9.38225,9.5963
0,-85.5938,-1.11519,0.311939,-9.46269,9.91819
0,-84.8896,-0.415113,0.30053,-9.40892,9.76929
0,-85.0822,-0.616075,0.303137,-9.32841,9.60148
0,-84.7805,-0.939468,0.285035,-9.7594,9.4586
0,-87.4815,-2.62703,0.461209,-9.43725,9.54762
0,-85.0762,-1.51902,0.242525,-9.94445,9.81164
0,-85.7457,-1.67612,0.289084,-9.74071,9.98155
0,-85.6566,-1.4378,0.396297,-9.63894,9.5057
0,-84.403,-0.114527,0.255811,-9.57821,9.60056
0,-84.2707,-0.0207131,0.289938,-9.57187,9.64678
0,-84.205,-0.354968,0.292295,-9.77912,9.66313
0,-85.8158,-1.76364,0.410934,-9.78885,9.769
0,-84.9513,-0.977726,0.343182,-9.75307,9.83191
0,-85.0933,-1.22124,0.345776,-9.74334,9.46251
0,-84.6586,-0.820594,0.23685,-9.81838,9.55884
0,-86.7677,-2.05503,0.228726,-9.4225,10.0011
0,-84.5083,-0.468863,0.236865,-9.75779,9.72093
0,-86.0803,-3.55178,0.234435,-10.2203,9.68635
0,-85.0404,-1.06758,0.266912,-9.78128,9.889
0,-85.4919,-0.813264,0.222385,-9.33326,9.71631
0,-84.2622,-0.491204,0.298195,-9.81194,9.68322
0,-84.7803,-0.917423,0.286426,-9.80583,9.84964
0,-87.6812,-3.1388,0.339236,-9.49043,10.103
0,-87.7879,-3.23299,0.391357,-9.11624,9.46894
0,-84.82,-0.310299,0.240764,-9.43964,9.62348
0,-85.2583,-0.787601,0.317626,-9.30602,9.6
0,-84.7447,-0.356452,0.253886,-9.4942,9.53949
0,-85.0799,-0.622302,0.205487,-9.57114,9.60031
0,-86.6463,-2.01955,0.178909,-9.59952,9.9137
0,-87.1948,-2.71126,0.262425,-9.14931,9.38263
0,-84.4099,-0.140572,0.260568,-9.57933,9.58194
0,-84.6882,-1.05999,0.345399,-9.86986,9.68822
0,-84.9909,-0.476811,0.285314,-9.33782,9.7017
0,-87.5473,-3.58798,0.232248,-9.86028,10.0986
0,-84.82,-0.459959,0.214995,-9.61404,9.61472
0,-84.9287,-0.40906,0.267022,-9.42091,9.78747
0,-84.6863,-1.04734,0.254234,-9.8718,9.53088
0,-85.9758,-1.61076,0.272206,-9.4297,9.35842
0,-85.1565,-0.567624,0.212866,-9.49008,9.74072
0,-86.0465,-1.44787,0.294476,-9.30744,9.90803
0,-85.0472,-0.55183,0.223423,-9.55169,9.80017
0,-85.5761,-1.04956,0.272941,-9.45876,9.92102
0,-86.2489,-1.98251,0.32362,-9.64181,10.0158
0,-86.4001,-2.92312,0.183014,-9.99941,9.49653
