# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = trueskills_model
# start_datetime = 2023-01-12 09:10:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 2892518430 (Default)
# output
#   file = examples\trueskills\trueskillsMCMC.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,skillA,skillB,skillC,perfA,perfB,perfC
-1.45424,0.907926,0.24215,4,15,0,3.61942,122.733,89.4298,75.1849,140.08,58.5572,50.6228
-2.27388,0.305061,0.24215,3,7,0,5.06818,123.934,91.4103,74.6634,138.188,76.6978,34.0634
-0.3634,0.776824,0.24215,4,15,0,6.71276,86.6069,109.09,104.012,91.6336,72.4391,78.1169
4.03991,0.943466,0.24215,3,15,0,2.01459,93.8508,105.024,104.754,114.568,97.436,89.6613
1.75197,0.937334,0.24215,4,15,0,-0.338346,109.132,90.8695,77.0996,111.599,98.2207,89.5585
4.19375,0.993526,0.24215,4,15,0,0.082522,99.5934,102.843,101.423,124.31,107.303,106.616
3.84836,0.995752,0.24215,4,15,0,-2.86647,105.062,100.574,87.9532,105.696,90.2281,95.4373
4.49378,0.996245,0.24215,4,15,0,-2.83502,97.0181,101.131,88.6212,109.068,85.5351,70.0362
3.2631,0.844696,0.24215,3,7,0,0.716912,95.5056,93.0736,83.2786,122.609,93.2899,91.9436
3.19433,0.975529,0.24215,4,15,0,0.635785,111.387,98.0462,99.3954,114.888,105.309,108.091
2.71862,0.978515,0.24215,4,15,0,-0.19594,103.104,103.443,89.4315,92.5082,82.5267,80.5653
2.26192,0.991377,0.24215,3,15,0,-0.353541,91.0173,92.0076,87.5984,99.7201,95.7526,86.5556
4.51245,0.987516,0.24215,4,15,0,0.221005,109.263,91.9859,104.55,113.204,89.2172,103.797
5.44769,0.990347,0.24215,4,15,0,-3.66348,99.448,98.1733,96.1279,119.241,84.1774,87.1648
3.47826,0.938441,0.24215,4,15,0,-2.79552,120.247,107.701,101.049,123.298,105.831,103.069
1.20745,0.984131,0.24215,4,15,0,-0.0283056,105.697,109.445,91.0233,154.819,114.711,97.5975
2.75663,0.989387,0.24215,4,15,0,2.07872,111.969,95.9197,93.7805,96.3227,83.0433,70.9584
2.09701,0.995474,0.24215,4,15,0,-0.107124,84.6244,90.7093,95.1486,97.369,63.1223,80.2458
3.47312,0.996825,0.24215,4,15,0,0.795194,94.0086,96.7314,82.5594,101.957,84.0036,84.678
3.92972,0.977371,0.24215,3,15,0,0.0814939,90.8495,96.4371,100.651,107.041,94.3896,82.4977
-1.28215,0.960225,0.24215,4,15,0,2.57179,101.032,78.7976,96.8144,84.7587,81.8743,81.8436
0.0766011,0.986105,0.24215,4,15,0,4.81016,95.0249,77.3212,109.811,99.6737,87.4262,95.206
4.06589,0.996808,0.24215,4,15,0,2.63761,105.774,94.3663,84.6117,114.761,75.4541,62.6069
4.95495,0.946291,0.24215,3,7,0,-2.77144,106.334,92.8227,88.6172,115.51,77.178,91.7589
3.67887,0.984702,0.24215,4,15,0,-2.2556,119.675,99.393,97.5796,115.819,100.505,81.2973
2.95715,0.97372,0.24215,3,15,0,-0.354393,103.476,99.2698,114.642,115.245,85.1184,110.892
3.99109,0.994973,0.24215,3,15,0,-1.7292,108.244,97.464,107.692,107.241,85.0947,99.434
2.63256,0.995109,0.24215,4,15,0,-1.88224,91.9651,98.1115,81.2883,109.582,102.061,77.8894
5.12732,0.999356,0.24215,4,15,0,-1.56996,103.233,96.8579,89.4186,109.012,84.0676,88.7041
3.91204,0.92877,0.24215,3,15,0,-1.05915,95.0665,95.2025,106.061,103.854,90.473,85.2245
3.2845,0.892499,0.24215,4,15,0,1.37061,88.9053,89.6013,101.334,107.648,81.0561,99.3093
4.13152,0.995985,0.24215,4,15,0,-1.62402,107.46,90.2477,108.584,110.906,91.1912,98.2537
3.64595,0.984813,0.24215,4,15,0,-2.08849,105.528,90.2131,82.1265,133.822,92.3312,82.4687
2.35878,0.943282,0.24215,4,15,0,-0.00302021,120.216,100.485,112.757,117.279,82.7527,104.57
2.28979,0.951084,0.24215,4,15,0,1.50567,87.2079,100.008,81.8624,107.93,94.5706,66.0796
-0.989855,0.840672,0.24215,4,15,0,3.27036,126.485,99.8396,118.424,118.25,95.5424,114.516
2.33978,0.999704,0.24215,4,15,0,2.11373,109.081,91.8424,111.387,119.795,94.8637,117.401
4.89835,0.999494,0.24215,4,15,0,-1.91131,101.16,95.2381,100.372,111.362,93.9004,100.4
3.92113,0.989764,0.24215,4,15,0,-1.91742,108.457,88.4627,108.765,114.001,77.2011,105.907
4.07606,0.96243,0.24215,4,15,0,-2.81,105.582,106.112,92.3811,124.499,108.311,68.1918
2.43933,0.985146,0.24215,3,7,0,-1.96112,100.974,110.277,94.6153,136.095,87.5332,105.898
2.82255,0.985989,0.24215,4,15,0,1.42096,109.325,106.349,101.011,140.431,106.457,69.766
1.13012,0.807809,0.24215,3,15,0,2.8157,95.5537,82.4681,95.4982,85.9276,55.7829,79.9634
3.26809,0.998765,0.24215,4,15,0,0.238262,97.4273,98.667,105.154,112.896,107.375,101.05
4.28779,0.990487,0.24215,4,15,0,-1.76212,103.622,90.2863,91.5069,100.238,72.1184,85.5473
1.54783,0.908865,0.24215,3,15,0,-0.545366,110.596,92.6914,86.1411,102.08,97.9112,92.7917
3.17636,0.997717,0.24215,4,15,0,-0.598627,93.3406,93.1929,104.655,129.643,91.367,108.331
2.57084,0.984961,0.24215,3,7,0,-1.77092,95.4741,91.4059,103.897,126.958,76.8943,73.0774
3.43397,0.947005,0.24215,4,15,0,-0.146488,102.807,109.895,92.426,118.181,98.784,106.043
2.94986,0.999237,0.24215,4,15,0,-0.448195,89.9398,94.6156,93.3062,90.1891,78.0849,79.706
2.81232,0.983846,0.24215,4,15,0,-0.685322,111.821,94.5198,87.4054,102.539,92.7865,91.3994
4.67574,0.98842,0.24215,3,15,0,-1.45667,113.119,91.2614,92.4433,115.925,95.911,88.7161
4.74308,0.977293,0.24215,4,15,0,-0.672761,98.4873,98.8723,102.235,110.065,98.521,87.6925
3.8854,0.976993,0.24215,3,15,0,-1.75221,115.312,99.1568,91.3513,111.749,101.439,78.6908
1.25638,0.909623,0.24215,4,15,0,1.54863,86.4677,103.499,98.2096,120.046,112.502,101.235
1.43133,1,0.24215,4,15,0,1.61584,120.813,114.346,90.2955,126.767,96.5024,106.099
0.12424,0.842878,0.24215,4,15,0,4.9744,88.46,93.0567,92.6463,125.693,108.182,110.395
4.17086,0.998382,0.24215,4,15,0,0.893998,95.1118,96.3278,87.8017,107.702,72.1192,80.5732
4.49087,0.993888,0.24215,3,7,0,-3.40587,97.9692,95.6073,85.3684,103.825,79.7661,77.8063
2.79627,0.955694,0.24215,4,15,0,-1.41615,117.518,92.704,115.187,129.673,98.5042,114.575
4.19971,0.962572,0.24215,4,31,0,0.318614,93.1043,104.018,98.2736,114.753,100.202,95.7787
3.98508,0.942439,0.24215,3,7,0,-0.825943,92.7605,104.858,101.979,113.821,96.8868,84.1159
3.14344,0.968206,0.24215,4,15,0,-0.820153,101.741,86.9833,102.648,110.689,96.359,104.861
3.3717,0.987251,0.24215,3,15,0,0.342385,92.1549,99.3114,91.7479,96.5464,79.8903,67.8907
2.57372,0.951954,0.24215,3,15,0,1.20036,93.637,96.0938,113.426,123.057,100.567,108.824
3.32098,0.982967,0.24215,4,15,0,0.64631,114.584,108.548,98.85,119.069,105.037,108.234
2.66898,0.998674,0.24215,4,15,0,-0.717114,88.6836,84.8054,99.2524,101.065,85.854,77.1262
4.0778,1,0.24215,3,7,0,-2.35931,95.1195,89.2231,93.8795,97.6105,76.9517,86.5294
4.3974,0.99361,0.24215,4,15,0,-2.908,107.493,107.847,96.5983,119.683,107.335,76.4002
2.8869,0.925792,0.24215,4,23,0,0.356481,98.8495,87.3901,93.2807,109.215,94.7256,103.087
3.71071,0.990517,0.24215,4,15,0,0.0283082,111.433,98.483,107.65,114.137,97.0263,107.779
-1.23401,0.961513,0.24215,3,7,0,2.2887,127.797,105.115,109.797,119.643,94.7183,117.896
3.78907,0.981808,0.24215,3,7,0,2.75162,105.785,97.4144,101.773,116.031,98.2562,111.26
3.4511,0.990716,0.24215,4,23,0,-1.80002,114.877,93.812,97.2479,109.415,74.8395,70.9193
2.86874,0.951702,0.24215,3,15,0,0.187729,112.852,99.1866,95.4106,103.1,96.0059,95.1122
2.58765,0.993358,0.24215,4,15,0,-0.820317,89.2287,98.1805,107.214,113.665,71.715,96.082
4.23313,0.998483,0.24215,3,15,0,-0.822982,94.7708,93.2598,91.3565,106.268,93.2373,91.4329
0.0591103,0.854499,0.24215,4,15,0,2.4953,120.969,96.4018,120.54,122.557,110.086,107.884
1.43904,0.98652,0.24215,4,15,0,1.5734,105.19,103.096,84.2397,147.671,119.617,77.2776
2.00097,0.993838,0.24215,4,31,0,0.369703,86.7781,93.6286,107.298,104.622,95.6251,96.1014
1.36326,0.98925,0.24215,4,31,0,1.6754,118.119,79.3694,91.1088,119.428,98.3136,92.7128
1.58154,0.979576,0.24215,3,7,0,1.45401,120.715,85.7157,100.093,114.286,56.2896,81.1446
-2.37674,0.635799,0.24215,3,7,0,4.11422,124.161,77.6265,95.879,111.959,103.981,92.9058
-1.64546,0.984086,0.24215,4,15,0,4.96898,118.291,79.8007,89.5661,105.147,100.294,94.1623
0.953459,0.997072,0.24215,4,15,0,3.21712,81.3833,107.477,104.038,106.762,94.3674,93.3115
0.0835378,0.984055,0.24215,4,15,0,3.45916,113.504,72.3071,94.5785,100.887,56.2057,92.589
4.69328,0.987671,0.24215,3,7,0,0.756487,99.8485,91.2535,96.6538,117.661,80.8704,104.218
4.36444,0.986056,0.24215,3,15,0,-2.8736,102.101,96.4197,88.3127,106.126,85.2561,94.1407
0.670791,0.988176,0.24215,4,15,0,0.269583,87.0666,82.4591,86.4432,84.0899,67.8526,77.8162
4.0298,0.999174,0.24215,4,15,0,0.602197,92.4267,91.6507,99.3178,107.909,89.957,76.9196
4.79786,0.996288,0.24215,4,31,0,-2.79932,112.001,99.2785,100.858,126.285,87.405,109.743
4.74726,0.973363,0.24215,3,15,0,-3.01964,112.883,90.8333,104.299,127.183,80.3978,107.75
4.38084,0.973527,0.24215,3,7,0,-3.72206,114.74,85.7169,103.249,122.326,86.5079,99.7093
3.49961,0.970942,0.24215,4,15,0,-0.919664,99.8184,107.21,105.132,104.193,90.8531,95.7519
3.6857,0.967258,0.24215,4,15,0,0.178108,108.148,85.1505,98.5786,126.7,59.9402,103.25
3.93089,0.417026,0.24215,4,15,0,-0.336249,110.643,111.236,100.969,115.095,100.56,99.2922
2.25631,0.969016,0.24215,4,15,0,-1.20458,103.84,83.1742,92.3688,128.527,95.5841,109.923
3.34327,0.995583,0.24215,4,15,0,-0.933115,115.628,96.549,100.576,118.727,77.7982,69.2141
5.05314,1,0.24215,4,15,0,-2.71361,100.492,99.3651,97.863,111.536,76.9956,90.8534
3.39549,0.991323,0.24215,4,15,0,-2.40418,121.58,96.7339,105.248,147.655,101.204,108.796
1.65523,0.885305,0.24215,4,15,0,2.86529,96.6214,87.7414,101.369,97.1817,50.0153,88.6732
3.87245,0.936916,0.24215,3,7,0,0.944791,100.085,89.2194,101.695,98.4982,70.5305,88.4221
2.22718,0.990113,0.24215,4,15,0,0.252675,115.159,81.0965,112.771,135.221,65.5291,111.378
4.78851,0.986191,0.24215,4,15,0,-0.379268,112.513,100.802,92.372,110.629,88.1131,85.7132
3.75447,0.985564,0.24215,3,15,0,-2.52098,98.2419,107.547,104.305,116.482,105.517,104.285
2.64582,0.98145,0.24215,4,15,0,-1.36523,120.176,89.678,97.3124,138.873,102.162,112.401
2.86423,0.469297,0.24215,4,15,0,3.94053,107.253,112.577,92.4957,112.012,83.1533,72.8731
3.85295,1,0.24215,3,7,0,-2.40605,109.594,108.836,92.5365,127.877,115.689,98.0341
3.62845,0.950268,0.24215,3,15,0,-0.496806,105.216,105.31,97.0488,120.581,81.3208,109.351
4.24029,0.984761,0.24215,3,15,0,-2.27645,108.253,105.525,92.2473,122.088,102.271,66.0038
2.52358,0.910666,0.24215,4,15,0,0.568545,110.319,114.656,95.729,139.163,125.027,99.223
3.05743,0.995917,0.24215,4,15,0,-0.286088,98.5246,83.7278,93.9956,91.725,74.5236,80.3176
-0.378331,0.953464,0.24215,4,15,0,2.33606,86.4769,89.8853,73.9125,96.7319,84.5819,84.5441
2.74095,0.996461,0.24215,4,15,0,3.32922,115.872,99.9891,115.613,127.112,85.8667,117.773
3.00877,0.986539,0.24215,3,15,0,-1.05345,104.99,99.9756,100.55,127.796,97.7011,121.367
0.663902,0.940175,0.24215,3,15,0,4.90604,110.122,122.769,89.3028,114.102,92.4051,83.3636
3.85561,0.977126,0.24215,3,15,0,3.5116,98.857,102.642,98.0752,106.929,98.7112,99.5888
3.61225,0.988117,0.24215,4,15,0,-0.362259,99.4225,88.5487,83.9771,111.855,87.9048,93.362
5.22154,0.991087,0.24215,3,7,0,-2.01603,101.841,93.0956,91.4435,110.331,91.5256,88.1735
1.1579,0.920061,0.24215,4,15,0,1.05611,120.54,78.1483,100.712,108.503,79.8207,92.2408
-1.05786,0.971374,0.24215,3,15,0,7.0326,93.8199,78.6335,122.601,116.327,62.777,107.447
-4.39529,0.704573,0.24215,4,15,0,8.60441,91.7715,72.3542,122.574,108.871,89.9964,104.713
-0.89389,0.997184,0.24215,2,3,0,4.90916,95.2648,72.3223,116.595,107.432,72.396,102.171
2.55144,0.99899,0.24215,4,15,0,2.74193,104.914,103.083,79.0276,99.3255,88.9687,77.0879
3.84321,0.99021,0.24215,4,15,0,-0.849659,103.047,103.672,79.7667,117.237,92.5115,82.7603
-0.477487,0.983244,0.24215,4,15,0,1.6426,118.874,101.142,128.313,141.025,103.846,123.585
-0.103023,0.98913,0.24215,4,15,0,3.43401,116.293,88.518,114.855,143.76,98.5819,135.899
0.0345983,0.997236,0.24215,4,15,0,2.70758,96.0981,100.222,76.7112,93.0146,73.9619,87.5847
-0.0515223,0.96463,0.24215,4,15,0,6.59045,94.4203,76.5553,100.394,103.472,98.1595,87.2416
4.99617,0.970681,0.24215,4,15,0,2.46893,113.3,98.6841,102.549,124.23,98.2198,105.218
4.40862,0.976878,0.24215,3,15,0,-2.47984,101.187,91.4492,101.209,107.29,81.2679,100.976
2.74987,0.95549,0.24215,4,15,0,-2.10011,106.19,106.656,103.52,103.336,83.3547,98.8384
1.67931,0.988829,0.24215,3,7,0,-1.08577,100.474,104.546,97.6311,124.226,101.924,120.955
2.35811,0.994879,0.24215,4,15,0,-0.242298,101.024,84.9164,103.498,93.0364,82.6022,81.5524
0.659029,0.978957,0.24215,4,15,0,2.83471,80.5365,103.957,88.8997,114.914,96.4579,92.4596
0.502026,0.998656,0.24215,4,15,0,3.53056,124.769,98.8193,98.8168,135.175,126.201,105.423
1.44065,0.993844,0.24215,4,15,0,1.00301,102.109,106.534,88.6781,128.824,66.3014,96.1142
0.567734,0.829472,0.24215,4,23,0,5.24093,86.7304,99.468,94.8904,87.203,85.4489,69.7577
1.87924,0.994611,0.24215,4,15,0,0.176325,94.5437,100.863,90.0177,109.595,107.602,96.823
-0.0506798,0.991761,0.24215,4,15,0,2.39993,88.4757,92.6644,101.324,101.495,48.1152,74.5489
3.21146,1,0.24215,2,3,0,0.357788,86.9587,88.7942,100.096,103.594,74.7374,83.2239
2.70226,0.960744,0.24215,4,31,0,0.841512,113.48,99.7276,114.398,133.965,110.427,118.799
3.24188,0.98934,0.24215,3,7,0,-1.72977,111.727,99.359,115.134,121.797,87.0821,90.4348
4.20926,0.994486,0.24215,3,15,0,-2.2318,108.706,101.925,110.713,122.176,97.3137,88.4628
4.12663,0.98945,0.24215,4,15,0,-3.02619,112.692,103.004,90.6195,131.428,96.0003,65.0123
3.97848,0.99408,0.24215,4,15,0,-0.447189,109.631,111.337,89.8115,115.047,101.916,77.5968
2.23967,0.995288,0.24215,4,15,0,-0.963213,95.6929,111.67,87.1665,111.365,108.399,82.1087
4.05631,0.996517,0.24215,4,15,0,-0.429739,107.972,88.9066,88.2239,101.622,75.8198,81.44
0.924114,0.893788,0.24215,4,15,0,2.19549,106.472,109.695,91.639,115.595,97.4452,113.676
2.16732,0.994309,0.24215,4,15,0,0.386445,113.987,105.663,104.827,107.638,88.4053,104.258
2.66147,0.99453,0.24215,4,15,0,-0.400322,101.685,92.6119,106.017,118.935,87.978,116.976
3.69796,0.968698,0.24215,4,15,0,0.239005,109.47,87.1723,97.7752,117.438,102.735,81.3199
3.21867,0.978655,0.24215,4,31,0,-1.71269,93.1024,95.2235,88.7153,106.24,96.6938,94.9324
0.952855,0.993794,0.24215,4,15,0,0.629273,114.258,88.1977,93.1606,101.829,61.71,98.5889
-2.87933,1,0.24215,4,15,0,3.92987,86.7408,101.971,111.601,102.305,92.3613,102.235
-5.96673,0.992557,0.24215,4,15,0,7.59517,115.652,100.345,90.1931,108.61,107.479,108.577
-3.5,0.997139,0.24215,3,7,0,6.67273,104.394,100.191,103.217,94.5309,92.784,94.4976
-0.901945,0.987234,0.24215,4,15,0,5.34045,105.225,97.4348,99.9193,123.101,63.3814,122.436
0.35551,1,0.24215,3,7,0,1.16677,108.717,94.6989,99.5636,123.578,101.377,122.922
1.37511,0.970269,0.24215,4,23,0,2.97104,108.87,92.4441,99.9594,117.511,83.6931,116.9
1.20268,0.932861,0.24215,3,15,0,7.9191,111.951,107.407,84.8691,124.591,83.3685,110.116
1.57668,0.958099,0.24215,3,7,0,3.07631,108.173,108.803,98.3771,108.954,89.6551,57.1316
4.3512,1,0.24215,4,15,0,-0.893477,104.899,107.711,98.7352,109.628,94.8323,78.0315
3.1439,0.994928,0.24215,4,15,0,-1.47602,118.77,110.387,92.0104,142.144,104.401,72.9131
5.15767,0.837764,0.24215,4,15,0,0.889516,102.082,99.3831,92.2945,108.581,93.2996,89.5924
5.40677,0.997636,0.24215,4,15,0,-4.3584,100.143,98.0326,102.001,113.39,87.8712,93.7521
4.2177,0.927306,0.24215,3,15,0,-2.25372,100.628,105.667,89.8668,105.262,89.4935,89.3793
2.39432,0.982423,0.24215,4,15,0,-0.70108,96.785,111.662,109.371,128.826,110.586,92.1965
-2.26901,0.788051,0.24215,4,15,0,4.33022,105.882,82.1059,88.5955,102.104,99.0014,101.069
-3.13843,0.990485,0.24215,4,15,0,7.46416,83.9007,90.6976,98.1503,93.7223,92.8341,93.3539
-4.43721,0.999949,0.24215,4,15,0,5.73261,83.3505,91.798,100.401,87.5268,86.644,87.4064
-0.890209,0.976937,0.24215,3,15,0,11.1299,112.089,110.507,100.946,119.824,116.209,118.798
3.08147,0.983411,0.24215,4,15,0,2.90134,94.8708,102.678,107.663,100.39,90.529,87.2516
1.92365,0.994561,0.24215,4,15,0,-0.0155772,102.986,80.1624,77.1743,107.88,63.3006,77.0413
3.92267,0.979413,0.24215,3,15,0,-0.193591,111.767,86.5408,84.6721,113.884,88.1217,75.5978
2.2368,0.932338,0.24215,4,15,0,-1.90889,113.38,84.6497,86.1917,115.653,92.047,57.5119
3.2288,0.731129,0.24215,4,15,0,3.35082,121.598,97.9961,107.245,136.67,110.377,95.8156
3.38327,0.98022,0.24215,4,31,0,-1.44182,109.9,104.136,86.5896,125.626,72.8138,74.8488
3.71919,0.880097,0.24215,3,7,0,0.152029,107.227,96.3603,86.0936,113.295,103.257,93.1218
1.41905,0.936185,0.24215,4,15,0,2.74192,105.604,102.072,100.438,109.551,105.963,107.882
3.67363,0.985987,0.24215,3,15,0,5.40573,106.521,97.2893,83.0587,108.164,100.148,71.3256
4.09158,0.997008,0.24215,4,15,0,-2.74652,96.7107,99.965,106.433,105.506,91.3654,95.458
4.43289,0.981913,0.24215,4,15,0,-2.18684,112.107,102.592,94.8025,114.264,84.7107,73.0759
3.18819,0.994732,0.24215,3,15,0,-2.23964,96.5624,82.9487,93.0011,125.006,82.8526,101.428
2.88516,0.957088,0.24215,3,7,0,-0.84229,93.5376,81.518,96.0058,117.931,66.6413,101.188
1.21018,0.926518,0.24215,4,31,0,4.94508,93.3739,112.515,102.459,95.738,90.7027,82.3853
4.60667,0.998344,0.24215,4,15,0,-0.248308,103.559,100.131,98.7168,119.646,94.6567,109.203
3.11056,0.979433,0.24215,3,7,0,-2.57444,99.4419,105.654,94.3417,123.387,95.6985,112.783
5.37525,0.928573,0.24215,3,15,0,-0.208574,100.972,97.0177,94.2866,109.618,85.0242,78.1648
-3.17755,0.800972,0.24215,3,7,0,4.26553,81.2536,102.132,99.4145,131.984,123.573,105.171
-0.198093,1,0.24215,4,15,0,5.25924,124.637,92.9575,95.6014,114.653,110.956,76.2423
2.33456,0.992423,0.24215,3,15,0,1.08379,111.848,91.1326,90.351,112.442,108.521,87.382
3.38396,0.999169,0.24215,4,15,0,-1.31047,106.462,95.6654,88.2058,110.461,106.365,79.2014
