# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = radar_model
# start_datetime = 2023-01-12 15:29:38 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 2915264921 (Default)
# output
#   file = examples\radar\radarvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,bi1,unif.1,unif.2,unif.3,unif.4,unif.5,x1,x2,a1,a2,b1,b2,c1,c2,d1,d2,e1,e2,f1,f2,g1,g2,h1,h2,a,b,c,d,e,f,g,h
0,-28.5708,-14.9641,0.639033,0.91137,0.850014,0.912268,0.764089,0.998108,4.49718,4.87134,-2.51666,3.99683,-0.41437,0.364805,-0.29989,1.90396,-3.04662,1.85376,-0.541251,2.34002,-0.928997,0.479673,-1.25683,2.94705,-4.72151,1.83869,1.48016,-0.0495652,1.60407,-1.19287,1.79877,-0.449324,1.69022,-2.88282
0,-29.3645,-14.3079,0.795039,0.121373,0.228704,0.849499,0.222247,0.240877,7.06515,5.25495,-0.628445,3.71335,-0.0297163,0.420371,-1.18181,2.49532,-0.128016,0.362772,-4.68438,1.96202,-0.0626825,0.863177,-0.43924,3.94752,-2.40482,0.465031,3.0849,0.390655,1.31351,0.234755,-2.72236,0.800495,3.50828,-1.93979
0,-32.9051,-17.5153,0.462371,0.987405,0.318422,0.867855,0.359278,0.344376,6.05593,4.42021,-0.80782,0.177026,-0.753408,0.908851,-4.63179,0.517041,-0.105258,3.42487,-4.3645,0.683876,-0.741319,0.326884,-4.86212,4.79954,-4.44978,1.21454,-0.630794,0.155443,-4.11475,3.31962,-3.68062,-0.414435,-0.0625726,-3.23525
0,-22.1284,-6.80661,0.873912,0.084299,0.370021,0.163525,0.805923,0.799658,3.58739,4.88173,-0.633808,2.26477,-0.885513,0.225304,-2.19405,4.28571,-2.31011,3.97632,-3.47449,3.37462,-0.518636,0.753128,-3.09018,0.441279,-3.22732,3.22069,1.63096,-0.660209,2.09166,1.66622,-0.099865,0.234492,-2.6489,-0.00663067
0,-33.3145,-16.602,0.0733597,0.918538,0.90786,0.510444,0.00983157,0.167617,3.71503,5.23748,-4.6537,4.76869,-0.0707313,0.89975,-3.36556,4.73191,-1.00167,3.91662,-0.788188,1.12146,-0.889333,0.618462,-1.74208,4.78829,-2.2949,0.944514,0.114994,0.829018,1.36635,2.91496,0.333269,-0.27087,3.04621,-1.35039
0,-24.1465,-9.16955,0.240611,0.816936,0.907506,0.076462,0.299142,0.375112,2.95654,2.62483,-3.06376,1.954,-0.89873,0.249584,-2.90748,3.64607,-4.15041,4.15536,-3.04109,0.386112,-0.700109,0.674516,-4.83714,4.00271,-1.12676,3.90127,-1.10976,-0.649146,0.738596,0.0049465,-2.65498,-0.025593,-0.834435,2.77451
0,-25.0206,-11.4249,0.221805,0.245939,0.418002,0.623069,0.324335,0.55073,4.04678,2.4209,-1.31937,1.07988,-0.605074,0.386008,-4.12489,2.96608,-2.47955,2.51394,-3.47422,4.93372,-0.293265,0.091891,-4.62118,4.49665,-1.36122,4.95526,-0.239493,-0.219067,-1.15881,0.0343869,1.4595,-0.201374,-0.124526,3.59405
0,-37.9191,-21.6353,0.0545017,0.225116,0.11365,0.796799,0.983048,0.994207,0.896081,5.41179,-3.37456,1.51006,-0.623221,0.040307,-2.88504,0.333811,-4.77242,4.44382,-4.58755,1.67968,-0.288399,0.568555,-4.42736,2.48855,-0.423073,1.47813,-1.86451,-0.582914,-2.55123,-0.328599,-2.90787,0.280156,-1.9388,1.05506
0,-25.9203,-10.6237,0.822711,0.931625,0.920456,0.208131,0.575641,0.772735,6.75113,3.97198,-1.08672,4.4513,-0.0995797,0.383468,-2.13821,0.730041,-2.37872,4.33888,-2.42472,2.97143,-0.100672,0.541738,-4.0461,2.1573,-2.4229,4.90811,3.36458,0.283888,-1.40817,1.96015,0.546704,0.441066,-1.8888,2.4852
0,-27.9179,-10.2203,0.815918,0.483433,0.184601,0.431519,0.118341,0.193972,2.79628,4.02616,-0.673879,4.22844,-0.66943,0.0544707,-0.914408,1.5725,-4.43796,4.11575,-0.48249,4.72835,-0.836028,0.62882,-1.76028,4.17765,-2.22899,4.79782,3.55456,-0.614959,0.658091,-0.322209,4.24586,-0.207208,2.41737,2.56883
0,-24.2967,-8.77629,0.549458,0.813177,0.763281,0.742091,0.165795,0.544575,7.7639,4.72111,-1.30478,4.20181,-0.485071,0.815231,-0.391266,0.723596,-2.01258,3.46385,-3.29372,1.76144,-0.611271,0.578441,-0.231267,0.539153,-0.971325,3.3214,2.89703,0.330161,0.33233,1.45127,-1.53228,-0.03283,0.307886,2.35008
0,-26.5057,-8.54927,0.384517,0.258124,0.186909,0.958535,0.64971,0.398934,5.40541,1.13392,-0.493511,1.46549,-0.754501,0.516772,-3.08495,1.17287,-0.673786,4.18022,-4.38919,1.12953,-0.773313,0.798624,-1.12475,4.09496,-3.18505,3.16239,0.971978,-0.237729,-1.91207,3.50643,-3.25966,0.025311,2.97021,-0.0226661
0,-31.6853,-17.3707,0.815472,0.570663,0.302228,0.739153,0.957356,0.0134777,3.51055,4.36294,-0.47363,3.16814,-0.345576,0.228844,-2.64117,0.154737,-1.70407,2.11217,-0.0228794,3.11029,-0.180875,0.0794457,-0.0798839,3.76209,-3.35214,2.15721,2.69451,-0.116732,-2.48644,0.408103,3.08741,-0.101429,3.68221,-1.19492
0,-21.863,-7.33302,0.37744,0.896774,0.126635,0.782041,0.715622,0.278957,5.38653,6.63032,-2.45453,4.39625,-0.0905796,0.459552,-2.84987,4.25199,-4.61893,2.73597,-1.25316,2.75364,-0.705302,0.654122,-1.48969,1.25612,-1.25255,4.25704,1.94172,0.368972,1.40212,-1.88297,1.50048,-0.0511804,-0.233565,3.00449
0,-26.3742,-11.2544,0.514121,0.440721,0.82114,0.442678,0.00787667,0.751403,6.08701,5.51207,-0.674051,0.589741,-0.916054,0.907537,-2.62552,3.15138,-4.22775,3.56876,-3.73241,4.80048,-0.850202,0.316504,-0.905008,0.858992,-3.2461,3.28061,-0.0843109,-0.00851756,0.525857,-0.658987,1.06807,-0.533698,-0.0460153,0.0345066
0,-42.328,-13.548,0.767811,0.581552,0.768265,0.217813,0.721818,0.172192,1.42382,11.0371,-4.39695,2.70087,-0.646999,0.166028,-1.11798,3.44091,-0.811116,2.88768,-3.83303,1.8903,-0.61523,0.474137,-4.07941,1.81448,-1.91671,2.72366,-1.69607,-0.480971,2.32293,2.07657,-1.94273,-0.141093,-2.26493,0.806958
0,-29.0657,-14.5574,0.629119,0.964435,0.123517,0.32201,0.70027,0.76966,1.84679,2.43923,-0.963423,3.59957,-0.495574,0.00870974,-2.02564,3.73359,-0.834008,0.504632,-0.478957,0.301992,-0.911017,0.671193,-0.455793,4.55574,-2.86199,3.1461,2.63615,-0.486864,1.70795,-0.329376,-0.176964,-0.239825,4.09994,0.284109
0,-26.9209,-10.02,0.773977,0.688015,0.57222,0.766113,0.389653,0.856572,3.15822,6.21954,-3.86483,2.74372,-0.698736,0.34698,-3.87895,0.294488,-3.83753,4.94868,-0.490776,1.79518,-0.824169,0.0601482,-3.53233,3.92303,-3.11678,3.38428,-1.12111,-0.351757,-3.58446,1.11115,1.30441,-0.76402,0.390702,0.267501
0,-30.2728,-14.7308,0.276441,0.528734,0.697401,0.00564304,0.945399,0.923452,4.94961,5.30855,-4.2145,0.535485,-0.708688,0.382136,-3.48397,4.35987,-0.364944,0.622911,-3.73003,0.138621,-0.931023,0.485478,-3.87164,0.866684,-1.19939,3.80717,-3.67901,-0.326552,0.875898,0.257967,-3.5914,-0.445545,-3.00495,2.60778
0,-27.4067,-13.1185,0.140852,0.30695,0.772559,0.47748,0.493659,0.961975,4.99624,6.22552,-3.27497,4.92821,-0.418818,0.165622,-4.43376,4.22487,-0.420667,2.82605,-4.86941,3.07251,-0.218631,0.856273,-4.01721,0.785863,-1.59693,2.85661,1.65323,-0.253196,-0.208896,2.40539,-1.79689,0.637643,-3.23135,1.25969
0,-26.1727,-11.2803,0.575836,0.747077,0.608292,0.460204,0.960782,0.724029,2.71501,3.44789,-0.659787,4.74913,-0.0354222,0.139359,-3.66234,0.850851,-2.69876,1.97735,-3.49093,3.12578,-0.813733,0.772133,-4.89394,2.1963,-4.40372,2.70959,4.08934,0.103937,-2.81149,-0.721417,-0.365149,-0.0415998,-2.69764,-1.69413
0,-32.5067,-17.4368,0.994424,0.404441,0.800939,0.907357,0.482425,0.854773,4.68057,1.4089,-0.289766,1.86775,-0.0369314,0.881025,-2.19078,0.457712,-2.33919,4.59835,-1.39046,3.95634,-0.645189,0.89694,-3.86468,1.5347,-4.90698,1.21379,1.57798,0.844094,-1.73307,2.25916,2.56588,0.251751,-2.32998,-3.6932
0,-23.9845,-10.3138,0.792395,0.859179,0.226254,0.31441,0.470285,0.796796,6.79523,7.2882,-3.83331,0.275494,-0.0896806,0.36793,-1.07818,3.58632,-4.03152,3.08229,-3.10783,1.15644,-0.48692,0.14018,-3.46721,4.61687,-1.53953,4.44171,-3.55782,0.27825,2.50814,-0.949222,-1.95139,-0.34674,1.14966,2.90218
0,-23.5429,-9.29077,0.923627,0.0320952,0.231993,0.319153,0.627346,0.287716,6.29545,7.25009,-0.67274,2.38012,-0.0995892,0.868706,-2.08043,4.19837,-0.945744,2.2727,-3.06108,3.59824,-0.253065,0.191987,-1.79031,0.95624,-2.67674,2.46496,1.70738,0.769117,2.11794,1.32696,0.537155,-0.0610784,-0.834067,-0.211779
0,-30.664,-14.1201,0.173166,0.89221,0.765315,0.454327,0.863525,0.566488,4.32601,2.75673,-0.834743,1.92434,-0.98507,0.802857,-4.88438,0.796838,-3.88986,0.988572,-3.46556,0.734122,-0.481007,0.0342367,-0.160615,1.18535,-0.976422,2.01606,1.0896,-0.182213,-4.08755,-2.90128,-2.73144,-0.446771,1.02473,1.03964
0,-28.1008,-11.9577,0.849784,0.861558,0.204829,0.915254,0.757476,0.487367,3.6713,4.21173,-1.0301,0.739246,-0.933496,0.755573,-1.38712,4.81898,-3.82475,2.23874,-3.59177,0.711232,-0.765161,0.54235,-4.19012,4.33846,-0.190142,4.80234,-0.290858,-0.177924,3.43186,-1.58601,-2.88054,-0.222811,0.14834,4.6122
0,-31.8019,-15.7683,0.793992,0.801307,0.0375344,0.959021,0.416958,0.651321,3.58336,4.27733,-2.31245,2.8298,-0.0426694,0.749831,-0.166441,1.78543,-0.220261,4.43447,-3.34714,0.31118,-0.726322,0.0509649,-0.303002,4.77761,-2.28393,3.80326,0.517349,0.707162,1.61899,4.21421,-3.03596,-0.675357,4.47461,1.51933
0,-33.4302,-20.7491,0.359898,0.0741771,0.533312,0.999489,0.284012,0.319191,4.93661,4.40628,-0.63674,1.8196,-0.768852,0.762857,-4.3272,1.3837,-4.74934,0.049762,-3.04414,0.809325,-0.541081,0.902868,-2.35384,4.06416,-0.488136,4.8088,1.18286,-0.00599538,-2.9435,-4.69958,-2.23482,0.361787,1.71033,4.32066
0,-26.5479,-9.7164,0.803458,0.588805,0.29854,0.300846,0.964004,0.0401353,4.98304,3.84555,-1.97561,3.41135,-0.720001,0.646193,-1.46667,1.78328,-0.916555,2.25469,-1.48702,0.223489,-0.910149,0.312324,-4.00355,4.44033,-1.38273,0.265588,1.43574,-0.0738078,0.316616,1.33814,-1.26353,-0.597826,0.436777,-1.11714
0,-30.0352,-15.7168,0.17284,0.510618,0.988834,0.285952,0.186339,0.607238,4.63805,3.09099,-1.84553,2.04121,-0.0207177,0.0632292,-2.80502,4.11734,-4.47951,2.41646,-4.25934,3.19143,-0.687409,0.881344,-0.518632,4.59004,-0.335301,4.85798,0.195677,0.0425116,1.31231,-2.06305,-1.06792,0.193935,4.07141,4.52268
0,-28.897,-15.1455,0.177074,0.595834,0.580893,0.281994,0.751138,0.614137,4.41058,6.0287,-1.03945,0.692312,-0.486145,0.579081,-1.238,2.93545,-4.57546,3.48115,-0.234356,0.614972,-0.999415,0.933812,-1.49972,2.67492,-1.25116,4.42808,-0.347142,0.0929357,1.69744,-1.09431,0.380617,-0.0656028,1.1752,3.17692
0,-25.5359,-9.44489,0.835527,0.728377,0.319621,0.502643,0.398565,0.833255,2.84198,5.11005,-3.68164,3.29881,-0.633794,0.531946,-4.434,3.76794,-4.69834,1.88344,-3.49603,4.63108,-0.0132688,0.89582,-3.37997,0.678842,-2.81752,3.27329,-0.382829,-0.101848,-0.666062,-2.8149,1.13505,0.882551,-2.70113,0.455769
0,-24.4681,-10.1151,0.184623,0.971968,0.64822,0.658534,0.917712,0.710886,3.73793,3.29052,-4.47526,2.5568,-0.404017,0.148033,-3.5954,4.17832,-4.635,2.17599,-4.77493,3.50791,-0.517041,0.843258,-2.84746,1.90279,-1.77535,4.73923,-1.91845,-0.255984,0.582927,-2.45902,-1.26702,0.326217,-0.944664,2.96388
0,-23.6783,-7.58284,0.42276,0.131259,0.0923784,0.530858,0.544087,0.125074,3.19129,4.93288,-1.87588,3.49519,-0.283164,0.294654,-2.43957,0.390308,-0.671279,1.53095,-1.7733,1.85314,-0.945189,0.0484161,-2.73613,0.982612,-2.30544,0.92994,1.61932,0.01149,-2.04926,0.859671,0.0798417,-0.896772,-1.75352,-1.3755
0,-20.6164,-5.69663,0.298405,0.706464,0.223031,0.437708,0.463427,0.244118,7.13176,4.75804,-2.55197,1.97184,-0.7585,0.160979,-2.61575,4.02166,-2.77171,2.47971,-1.52015,0.199232,-0.872936,0.129806,-2.73293,2.41553,-2.39951,2.37725,-0.580135,-0.597521,1.40591,-0.291996,-1.32092,-0.74313,-0.317398,-0.0222651
0,-34.8172,-19.927,0.985674,0.38585,0.100281,0.844556,0.732698,0.918663,1.91709,2.93404,-4.09276,0.314065,-0.272274,0.892131,-3.08966,1.7338,-4.3789,1.31678,-3.06838,4.30939,-0.899744,0.968142,-4.91762,4.80124,-0.190831,3.88157,-3.77869,0.619857,-1.35586,-3.06212,1.24102,0.0683979,-0.116371,3.69074
0,-25.1775,-9.9289,0.11712,0.0862849,0.196022,0.893553,0.971216,0.485431,3.05755,4.59757,-0.618235,0.309496,-0.899813,0.844111,-1.22444,2.2273,-2.81096,1.56114,-0.501521,1.61033,-0.303562,0.430267,-0.553108,3.47085,-2.02384,2.7967,-0.308739,-0.0557026,1.00287,-1.24982,1.10881,0.126704,2.91774,0.772863
0,-33.1264,-15.4933,0.167741,0.123412,0.188183,0.933348,0.0123394,0.52308,4.52109,5.71865,-1.81281,4.82435,-0.919499,0.0769832,-0.53401,0.707248,-1.60883,2.06578,-0.644281,4.84589,-0.12284,0.771519,-0.491943,3.26821,-2.45377,0.549147,3.01154,-0.842516,0.173238,0.45695,4.20161,0.648678,2.77627,-1.90462
0,-26.7767,-11.9065,0.954077,0.284503,0.963715,0.819205,0.722927,0.936353,3.40286,2.56378,-0.923495,1.80767,-0.211979,0.164112,-4.26704,2.33623,-3.09771,2.26696,-2.67452,2.50342,-0.472441,0.0112204,-4.49707,1.88945,-2.42808,2.29128,0.884177,-0.0478671,-1.9308,-0.830746,-0.171107,-0.461221,-2.60762,-0.136797
0,-24.988,-10.7017,0.19179,0.342451,0.112524,0.19646,0.890575,0.775671,3.54944,2.15909,-3.00462,0.856375,-0.252962,0.892197,-3.84612,3.87697,-4.25299,2.49022,-0.445041,2.89648,-0.743425,0.920122,-4.01874,1.28103,-4.90637,3.2835,-2.14825,0.639235,0.0308496,-1.76277,2.45143,0.176697,-2.73771,-1.62288
0,-23.2548,-7.73592,0.390418,0.256149,0.566344,0.689259,0.363945,0.847763,6.32095,5.36869,-3.85806,1.48026,-0.167457,0.0602833,-0.990719,2.90393,-3.17609,2.83179,-2.6,1.36669,-0.898581,0.221252,-0.900368,4.52953,-4.3084,0.678152,-2.3778,-0.107174,1.91321,-0.344294,-1.23331,-0.677329,3.62916,-3.63025
0,-31.1539,-16.3715,0.320647,0.276078,0.162125,0.290097,0.692749,0.708912,5.21389,3.51826,-4.17895,2.16668,-0.701262,0.946726,-3.85675,0.394934,-0.735101,3.97126,-4.95313,0.527747,-0.507349,0.0936019,-4.42677,0.363494,-4.25825,4.9702,-2.01227,0.245463,-3.46182,3.23616,-4.42539,-0.413747,-4.06328,0.71195
0,-29.7842,-10.0642,0.547655,0.615212,0.054329,0.212138,0.881001,0.14508,2.43882,7.27948,-1.45422,1.73717,-0.571893,0.621273,-3.57768,4.16883,-2.92475,1.2033,-4.62353,0.17823,-0.855834,0.365469,-3.77932,1.72668,-0.791791,4.15792,0.282955,0.0493803,0.591156,-1.72145,-4.4453,-0.490366,-2.05264,3.36613
0,-28.5165,-13.1099,0.168471,0.384573,0.131685,0.0540083,0.861525,0.422989,4.19725,2.95309,-4.06356,2.54716,-0.749769,0.0644881,-4.87916,0.537345,-3.84484,0.567919,-4.03883,4.72162,-0.374309,0.578312,-1.15815,0.742546,-4.32198,4.78827,-1.5164,-0.68528,-4.34181,-3.27692,0.682789,0.204003,-0.415603,0.466293
0,-26.8929,-10.5912,0.166798,0.0750847,0.685459,0.529907,0.956609,0.686565,3.22087,2.90498,-1.18634,3.9602,-0.625476,0.341617,-3.46547,2.75405,-0.402616,1.81827,-3.98705,1.3417,-0.967558,0.929697,-4.86558,2.58944,-2.01473,1.53435,2.77386,-0.283859,-0.711416,1.41565,-2.64535,-0.0378613,-2.27613,-0.480373
0,-34.4629,-17.5251,0.917967,0.337568,0.466815,0.858874,0.851837,0.637228,4.71989,3.03835,-4.87686,3.43156,-0.412228,0.962309,-3.12558,3.50996,-4.77303,4.73686,-0.533661,0.288681,-0.51537,0.105142,-4.57697,4.588,-0.450454,4.9432,-1.4453,0.550081,0.384383,-0.0361768,-0.24498,-0.410228,0.0110273,4.49274
0,-25.1297,-8.78569,0.639879,0.356923,0.682366,0.474728,0.126678,0.865934,2.10272,4.52856,-0.915456,2.06058,-0.449726,0.96495,-3.24216,4.1187,-0.304321,1.31773,-2.3187,1.69394,-0.268989,0.0389241,-2.56024,1.59297,-4.40763,3.82283,1.14513,0.515224,0.87654,1.01341,-0.624754,-0.230064,-0.967268,-0.584801
0,-25.6514,-9.80675,0.673476,0.964437,0.721916,0.537316,0.582089,0.672888,3.96805,6.34574,-2.23692,0.312219,-0.116022,0.867643,-1.94816,2.57273,-0.233919,3.14295,-2.46513,4.12036,-0.124847,0.703135,-1.14875,0.1872,-3.00344,2.23364,-1.92471,0.751621,0.624572,2.90903,1.65523,0.578288,-0.961546,-0.7698
0,-39.1087,-19.9398,0.0403155,0.298958,0.194891,0.834556,0.040176,0.716604,1.99704,5.8588,-2.30248,0.146955,-0.502237,0.475978,-1.23287,4.78877,-0.715381,4.86604,-0.119683,4.59243,-0.397877,0.662962,-4.92272,4.4785,-4.40493,0.38255,-2.15552,-0.0262589,3.5559,4.15066,4.47275,0.265085,-0.444224,-4.02238
0,-22.1943,-8.42895,0.119754,0.36026,0.279472,0.186,0.679856,0.211088,2.97784,3.01569,-2.98064,1.64651,-0.620888,0.482826,-4.945,1.86387,-1.2843,1.15724,-1.35862,2.61807,-0.697944,0.673271,-2.52317,4.1394,-1.95679,0.217981,-1.33412,-0.138061,-3.08113,-0.127061,1.25945,-0.0246725,1.61623,-1.73881
0,-22.1591,-6.87398,0.44701,0.263636,0.626993,0.912243,0.330751,0.252098,4.32321,2.4503,-3.48597,3.0979,-0.778549,0.825207,-1.68174,4.58845,-1.57788,3.338,-4.28857,4.03549,-0.47081,0.0406667,-1.07576,2.96873,-2.81055,1.17005,-0.388074,0.0466579,2.90671,1.76013,-0.253075,-0.430143,1.89296,-1.6405
0,-27.5509,-12.5164,0.0683334,0.614665,0.933639,0.447333,0.941167,0.753203,5.60947,6.19096,-1.32811,4.37135,-0.266829,0.0679777,-4.80202,3.80987,-0.575897,2.03466,-2.33337,2.74597,-0.648392,0.690172,-0.147404,2.58331,-3.9602,0.363919,3.04325,-0.198852,-0.992151,1.45876,0.412593,0.0417797,2.43591,-3.59628
0,-23.9659,-9.57622,0.342542,0.904933,0.782012,0.536253,0.669048,0.79651,2.92658,3.64978,-3.39047,0.886747,-0.25542,0.0425496,-2.01569,4.28863,-1.74344,2.22598,-4.71491,4.3341,-0.708654,0.210538,-0.859214,4.52168,-2.9264,4.70558,-2.50372,-0.21287,2.27295,0.482536,-0.380809,-0.498116,3.66246,1.77918
0,-24.5048,-10.2623,0.799484,0.976515,0.019036,0.554999,0.362062,0.0750377,6.65409,5.01456,-2.34594,2.40105,-0.566172,0.665083,-0.977759,3.76048,-2.43935,3.90785,-2.02883,2.10324,-0.357932,0.0912591,-1.42821,3.82682,-0.804195,3.93957,0.0551099,0.0989109,2.78272,1.46849,0.0744096,-0.266672,2.39861,3.13537
0,-23.9895,-9.64106,0.644715,0.426779,0.134469,0.177411,0.236495,0.463728,2.93745,2.87752,-0.738332,4.35344,-0.0164899,0.930984,-3.14028,1.31267,-2.83279,0.926801,-1.63442,0.676497,-0.322284,0.314062,-2.48266,4.58728,-2.74105,3.97013,3.61511,0.914495,-1.82761,-1.90599,-0.957927,-0.00822184,2.10462,1.22908
0,-30.6805,-15.1269,0.684475,0.735009,0.0493132,0.221692,0.146449,0.328271,4.0997,6.22627,-1.61086,0.2612,-0.631239,0.128615,-4.91715,0.740931,-1.61799,3.95984,-0.0322272,2.78113,-0.202284,0.779298,-0.693352,1.84679,-0.365325,1.37965,-1.34966,-0.502624,-4.17621,2.34184,2.7489,0.577014,1.15343,1.01433
