# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = altermu_model
# start_datetime = 2023-01-12 11:09:56 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\altermu\altermu.data.R
# init = 2 (Default)
# random
#   seed = 2899682674 (Default)
# output
#   file = examples\altermu\altermuvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,mu.1,mu.2,mu.3
0,-120.992,-2.1042,-0.48855,-0.0665313,-0.44158
0,-129.389,-1.53116,-0.491818,0.300296,-0.066954
0,-120.384,-0.0950577,0.0409685,0.00956446,-0.145817
0,-120.991,-1.1861,-0.127065,0.427624,-0.241724
0,-121.104,-2.99513,0.125256,0.518755,0.126651
0,-123.671,-2.47134,-0.595156,-0.234809,-0.322063
0,-120.041,-0.18715,-0.0205748,0.172099,-0.22642
0,-120.712,-0.154231,0.0311967,0.110897,-0.0925974
0,-121.049,-1.75715,-0.388351,-0.088653,-0.444467
0,-120.152,-0.794309,-0.100061,-0.268888,-0.110323
0,-120.837,-1.21458,0.284904,0.13406,0.0236319
0,-119.887,-0.414368,-0.220565,-0.152771,-0.176635
0,-120.805,-4.05799,-0.673217,-0.153713,0.201651
0,-120.096,-6.55219,0.509008,-0.221125,-0.692814
0,-120.118,-0.448063,-0.300056,0.0816448,-0.276745
0,-122.806,-1.05289,0.169096,-0.212944,-0.0355751
0,-119.891,-0.334138,-0.0402621,-0.114774,-0.257157
0,-120.122,-1.84854,0.288219,0.303852,0.0600057
0,-119.944,-1.44416,-0.563409,-0.0422338,-0.223762
0,-119.879,-0.753435,0.0962852,0.318373,-0.218027
0,-119.996,-0.123641,-0.14082,-0.0527586,-0.204772
0,-122.671,-0.597804,-0.354222,0.208993,-0.160764
0,-120.597,-1.02958,0.272714,-0.141653,-0.237796
0,-119.888,-0.558831,-0.163757,0.120767,-0.351164
0,-120.251,-1.00187,0.143697,0.260433,-0.333797
0,-122.866,-3.70495,-0.660001,-0.363144,0.028584
0,-119.928,-0.902779,-0.0458202,-0.20959,-0.33256
0,-122.078,-0.551722,0.0391695,0.0667814,0.0309476
0,-120.116,-1.0568,0.350161,0.000112028,-0.20308
0,-122.939,-3.09911,-0.42547,0.428382,-0.475002
0,-119.9,-2.0715,-0.273787,-0.396185,0.00722891
0,-122.189,-0.983597,-0.0685704,0.380101,-0.0498671
0,-122.037,-1.91446,-0.0184387,-0.378306,0.0380659
0,-121.243,-0.142863,-0.13528,0.167182,-0.1157
0,-120.238,-0.202233,-0.240212,0.0734559,-0.228404
0,-122.978,-1.38428,0.335866,-0.0941546,-0.0122133
0,-120.935,-0.0859543,-0.153712,0.035612,-0.0945813
0,-119.995,-0.580596,0.0102415,0.303407,-0.224785
0,-122.702,-2.25493,0.521825,-0.11608,-0.120363
0,-119.964,-0.757189,0.227148,0.161958,-0.267663
0,-120.675,-0.565981,0.201931,-0.0844128,-0.160355
0,-120.373,-2.87162,0.621282,-0.020772,-0.206061
0,-120.85,-1.0093,-0.0235728,-0.293264,-0.0684754
0,-120.656,-0.823725,0.256229,-0.109997,-0.197612
0,-122.381,-0.894999,0.106149,0.0863233,0.0721456
0,-120.39,-2.37331,0.553498,0.146764,-0.217954
0,-122.113,-0.863766,0.219824,-0.137218,-0.0660961
0,-120.329,-0.479669,-0.370238,0.000170824,-0.162017
0,-119.873,-0.315903,-0.211514,-0.0397712,-0.271769
0,-120.079,-0.654952,0.0360241,0.327426,-0.174851
0,-120.41,-3.13541,-0.148149,0.577635,-0.422491
0,-119.906,-0.828581,-0.347078,0.0101602,-0.339637
0,-122.695,-1.29493,0.0519774,0.249956,0.104109
0,-119.996,-0.757375,0.207573,0.161117,-0.288481
0,-121.87,-1.70285,-0.388472,-0.197751,-0.392622
0,-121.008,-1.48318,0.422785,-0.0566019,-0.147165
0,-120.119,-1.81702,0.0948945,0.48949,-0.270989
0,-126.349,-1.40973,-0.179242,0.351042,0.068334
0,-120.027,-0.392344,-0.236655,0.0996868,-0.295879
0,-127.16,-1.92011,-0.357644,0.106198,0.17766
0,-119.93,-0.316069,-0.256743,0.0030695,-0.26034
0,-121.951,-0.71976,-0.359112,0.22415,-0.232801
0,-120.56,-0.0324278,-0.143071,0.0902345,-0.161963
0,-119.918,-1.96668,0.17408,0.480316,-0.0387585
0,-120.807,-2.48595,-0.674133,-0.108316,-0.294445
0,-121.807,-1.00153,0.158236,0.130694,0.0633927
0,-121.127,-0.423701,0.0392927,-0.133119,-0.0738367
0,-120.723,-0.307199,-0.16347,-0.0869338,-0.0595426
0,-135.28,-2.93748,-0.284622,0.504127,0.133894
0,-128.938,-3.9,0.0527422,-0.2878,0.315579
0,-120.217,-1.44326,-0.0189145,0.246195,-0.449933
0,-119.969,-2.70389,0.553403,-0.0302566,-0.33288
0,-124.207,-2.3702,0.486814,-0.0877295,0.024119
0,-121.859,-2.40433,-0.21725,-0.45434,-0.325764
0,-119.9,-0.343941,0.077462,-0.0278057,-0.271748
0,-119.99,-0.801619,-0.367987,-0.156474,-0.209018
0,-127.147,-1.13542,-0.405683,0.283352,-0.0546735
0,-121.32,-0.174006,-0.232722,0.105957,-0.115119
0,-121.441,-0.561813,-0.299219,-0.0161811,-0.0159542
0,-120.564,-0.0156774,-0.118923,0.0811043,-0.151338
0,-121.299,-0.463676,0.0814307,0.121546,-0.0119452
0,-119.978,-2.10923,-0.229319,0.233241,-0.516476
0,-133.512,-4.54413,-0.414727,-0.534257,-0.468173
0,-119.981,-0.834567,0.269879,-0.0246523,-0.258181
0,-122.3,-3.66289,-0.808243,-0.167419,-0.241061
0,-119.927,-1.71392,-0.0771086,0.405107,-0.397577
0,-121.99,-2.26106,0.304112,0.173054,-0.474578
0,-122.693,-1.49367,0.333019,-0.0240352,0.0402996
0,-140.083,-2.76544,-0.480172,0.409058,0.102465
0,-128.351,-1.99558,-0.407651,0.144791,0.161562
0,-121.714,-2.61137,0.375763,0.156834,0.167233
0,-132.303,-3.88784,-0.586419,-0.508648,-0.200632
0,-125.267,-1.087,-0.194764,0.182012,0.102095
0,-121.894,-0.365944,-0.082889,0.0132991,0.00569271
0,-124.528,-2.11883,-0.0681769,-0.173438,0.207134
0,-122.096,-1.72848,-0.0211341,0.479542,-0.0106558
0,-120.299,-1.78969,-0.0420387,0.269628,-0.483268
0,-120.399,-0.0282855,-0.0338412,0.00773854,-0.145553
0,-121.547,-0.670098,-0.0511358,-0.156136,0.00421878
0,-123.031,-0.580489,-0.189567,0.0868636,0.0379325
0,-120.341,-1.18762,-0.226635,-0.308398,-0.251599
0,-123.656,-3.12192,0.460015,0.0428607,0.180681
0,-119.864,-0.443806,-0.0226283,-0.103133,-0.298118
0,-120.536,-1.54213,-0.425176,-0.289324,-0.119258
0,-120.072,-3.69062,-0.842431,-0.0481223,-0.216518
0,-119.993,-0.0801016,-0.030418,0.0425074,-0.23109
0,-120.73,-0.207923,0.0145421,0.167566,-0.0940925
0,-121.684,-0.332304,-0.295707,0.0856816,-0.0859584
0,-120.412,-2.58599,0.148082,0.588411,-0.202253
0,-125.183,-1.89775,0.0882185,-0.213393,0.147971
0,-122.926,-1.72336,0.282067,-0.314754,-0.188637
0,-119.999,-1.35479,-0.0760766,0.255834,-0.437603
0,-119.877,-0.458452,0.147896,0.0231356,-0.274152
0,-120.976,-3.85729,-0.778565,-0.227828,0.002541
0,-120.856,-0.538371,0.0493792,0.248239,-0.0510528
0,-122.277,-1.12848,-0.144208,-0.136887,0.0960087
0,-122.512,-2.62381,0.576439,-0.104028,-0.132657
0,-119.917,-0.52552,-0.186404,-0.145204,-0.277924
0,-123.307,-0.572943,-0.17834,0.14092,0.0287263
0,-120.424,-0.156173,-0.24368,0.062767,-0.189963
0,-123.129,-0.918065,-0.00463765,0.145975,0.0916254
0,-119.93,-0.822149,0.22849,0.0756644,-0.310792
0,-123.292,-0.814207,-0.101876,0.285093,0.0154367
0,-120.384,-0.133298,-0.227761,0.00414744,-0.151914
0,-120.224,-0.192521,-0.107441,0.176206,-0.233917
0,-120.147,-1.04139,-0.159545,-0.269204,-0.29688
0,-119.958,-1.81526,0.196754,-0.14472,-0.447642
0,-120.061,-1.44558,-0.0361085,-0.284424,-0.371798
0,-127.435,-1.5672,-0.203747,0.293095,0.124055
0,-120.486,-0.566375,0.12899,0.206731,-0.0536563
0,-120.176,-2.24514,0.525001,0.198038,-0.111451
0,-120.075,-1.75903,0.107639,-0.169797,-0.458797
0,-119.916,-1.49984,-0.496423,-0.178743,-0.0565029
0,-120.381,-0.184506,-0.131637,0.178623,-0.22115
0,-120.169,-0.465516,-0.294889,0.101841,-0.282255
0,-119.908,-0.633668,-0.339937,-0.0752995,-0.266666
0,-126.329,-3.74889,0.28552,0.358978,-0.567413
0,-123.324,-1.67168,0.165742,0.109078,0.159178
0,-120.279,-3.40827,-0.769422,-0.0281119,-0.3555
0,-121.885,-0.713795,-0.343946,0.234678,-0.238656
0,-120.359,-1.8801,-0.552419,-0.0564898,-0.359742
0,-122.927,-0.809338,-0.221415,0.355171,-0.157874
0,-120.684,-1.66908,0.323122,0.370956,-0.149092
0,-124.462,-3.22967,-0.634809,-0.00482334,0.172101
0,-120.219,-2.16882,-0.558946,-0.00769103,-0.410478
0,-122.253,-0.737362,0.118917,0.00689898,0.0381899
0,-120.14,-0.26661,0.050364,-0.0909953,-0.204947
0,-119.912,-0.886178,-0.0123235,-0.181962,-0.346296
0,-121.601,-1.5184,0.0780681,-0.371839,-0.105212
0,-135.113,-2.47887,-0.595474,0.404907,-0.165345
0,-124.91,-2.7601,-0.74651,0.166278,-0.189269
0,-119.872,-0.427274,0.161621,0.145386,-0.217811
0,-119.867,-0.552784,-0.177601,-0.205217,-0.196994
0,-123.89,-1.33674,0.0549023,-0.1343,0.115988
0,-137.545,-3.80939,-0.605388,0.215325,0.234812
0,-122.707,-1.52714,0.225389,-0.318492,-0.151244
0,-120.52,-0.28521,-0.308794,0.0396593,-0.168052
0,-121.77,-2.52941,0.240513,0.108835,-0.536057
0,-146.192,-4.91448,-0.700312,0.568079,-0.363017
0,-121.99,-2.79706,-0.127694,-0.360313,-0.49354
0,-125.431,-2.93086,0.122572,0.186953,0.284352
0,-121.661,-0.941017,-0.139875,0.397522,-0.181109
0,-120.38,-0.0189363,-0.0857573,0.00239566,-0.148451
0,-119.92,-1.70824,0.00475126,-0.350346,-0.346549
0,-122.41,-0.560037,-0.0520023,0.194305,0.0160252
0,-119.877,-0.388464,0.0546245,-0.0460373,-0.289593
0,-146.487,-4.88933,-0.48954,0.737017,-0.244865
0,-121.162,-0.109468,-0.071297,0.0729843,-0.0701608
0,-131.965,-3.25369,-0.771609,0.274415,-0.174597
0,-120.941,-1.85556,-0.138682,-0.0442637,-0.519522
0,-120.918,-0.567526,-0.318421,0.182571,-0.259359
0,-120.981,-2.72316,0.0648203,0.497151,-0.440989
0,-121.374,-1.57895,0.169433,-0.349167,-0.216639
0,-119.92,-1.5195,0.214075,-0.10797,-0.413742
0,-120.294,-0.329487,0.153706,-0.0152514,-0.169581
0,-119.966,-1.00445,0.139133,0.353157,-0.0978557
0,-120.052,-0.139861,-0.166393,0.0663265,-0.246966
0,-122.861,-2.05018,0.151024,0.233939,0.181377
0,-121.849,-1.49555,-0.528994,0.182092,-0.292106
0,-121.849,-0.598322,-0.324555,0.0204379,-0.0165744
0,-119.994,-0.432329,0.000521629,-0.162023,-0.229247
0,-120.438,-1.49191,-0.450919,-0.132808,0.032522
0,-120.194,-0.0805812,-0.168624,0.0637326,-0.214113
0,-119.902,-1.47338,0.0749751,-0.246343,-0.386805
0,-121.215,-0.481655,0.100061,0.115956,-0.0147889
0,-121.569,-1.17191,-0.192069,-0.170938,0.0795965
0,-120.845,-1.98465,-0.30115,-0.243992,0.128317
0,-120.968,-0.749915,0.266596,-0.0400104,-0.108106
0,-120.014,-0.298181,0.0590028,0.207472,-0.186496
0,-125.36,-1.41528,-0.14274,0.381761,0.0482715
0,-122.577,-1.34886,0.245726,0.0361727,0.0840194
0,-120.676,-0.180814,-0.120083,0.200039,-0.181643
0,-120.054,-4.06876,-0.703795,-0.238505,0.138972
0,-120.324,-0.144139,0.00218391,0.170226,-0.156573
0,-119.946,-1.29686,-0.478012,-0.144518,-0.0594296
0,-121.056,-1.32551,-0.174617,0.420373,-0.293151
0,-119.911,-1.0774,-0.163429,-0.317155,-0.112782
0,-120.947,-0.129616,-0.0370901,0.139759,-0.0922711
0,-127.848,-5.30912,0.766935,0.228738,-0.409127
0,-122.204,-0.575467,-0.176496,0.312972,-0.136153
0,-120.554,-2.839,-0.659504,-0.236155,-0.0145453
0,-119.985,-0.307348,-0.0732959,0.183978,-0.275258
0,-120.011,-0.72701,0.00885322,0.340124,-0.221908
0,-119.898,-0.569617,-0.226045,0.0865488,-0.343385
0,-119.919,-2.30359,-0.0236858,-0.473001,-0.281283
0,-119.903,-0.562053,0.0541839,0.0351562,-0.346591
0,-121.382,-0.972221,0.0288283,0.333775,-0.00750751
0,-134.865,-3.86147,-0.525889,0.16582,0.290503
0,-124.174,-1.76411,0.271842,-0.326156,-0.114713
0,-121.259,-0.764772,-0.0281338,-0.215056,-0.0279458
0,-120.348,-1.05718,0.156975,0.190534,-0.373255
0,-121.288,-1.71304,0.181941,0.244902,-0.440042
0,-124.591,-1.28266,-0.0695832,0.203313,0.132652
0,-119.976,-2.19279,-0.0900841,-0.482615,-0.122188
0,-120.476,-2.21872,-0.523541,-0.289343,-0.0216319
0,-123.258,-2.96113,0.289231,0.576518,-0.217201
0,-119.956,-0.346382,0.105766,-0.0320187,-0.251179
0,-126.194,-2.81743,-0.169131,0.630524,-0.0731258
0,-120.914,-1.42871,-0.446219,0.199484,-0.357634
0,-123.49,-0.730124,-0.348974,0.262138,-0.162083
0,-119.932,-0.168171,-0.0743213,0.0850178,-0.270137
0,-124.387,-2.76432,0.546386,-0.0859937,0.019942
0,-124.468,-1.75091,0.352824,-0.250538,-0.0983537
0,-121.35,-2.4049,0.55436,-0.0152622,-0.069907
0,-120.048,-0.892553,-0.0415345,0.0997497,-0.414005
0,-122.697,-2.38561,0.336307,0.220876,-0.460196
0,-121.112,-0.550748,-0.158346,0.305241,-0.208406
0,-120.691,-0.70736,0.26663,-0.0145266,-0.119253
0,-120.498,-1.25936,0.320537,0.233375,-0.260572
0,-120.559,-1.22619,-0.292233,-0.0960126,-0.407967
0,-124.164,-1.39332,0.133975,-0.0811624,0.120395
0,-122.699,-1.25646,0.291585,-0.202355,-0.112801
0,-121.155,-1.66811,0.448224,-0.0108872,-0.0750758
0,-120.322,-2.16679,-0.353397,-0.400666,-0.0296166
0,-120.453,-1.77239,-0.012224,0.524327,-0.167679
0,-119.901,-0.954124,0.233325,0.286205,-0.144797
0,-119.905,-1.14267,0.361396,0.144247,-0.185592
0,-120.478,-1.73076,0.165901,0.00266394,-0.479296
0,-125.203,-1.71186,-0.0839384,0.365622,0.112332
0,-121.02,-0.240065,0.06157,-0.00816468,-0.0700441
0,-120.454,-1.29129,0.398833,-0.0113641,-0.156695
0,-121.802,-1.44832,0.0793482,0.32806,0.0773871
0,-120.608,-0.104759,0.00925175,-0.0190052,-0.116102
0,-122.991,-4.19352,-0.228734,0.689895,-0.400245
0,-122.444,-0.528694,-0.0642356,0.0400882,0.0416657
0,-120.92,-0.454864,0.0844331,-0.145246,-0.116835
0,-122.635,-3.14599,0.372765,0.150833,0.227255
0,-119.993,-1.08457,0.306359,0.240244,-0.164532
0,-120.361,-0.395045,-0.267625,0.137466,-0.26679
0,-122.51,-1.57436,-0.0821575,0.486842,-0.0707261
0,-121.148,-4.49476,0.0756794,-0.35188,-0.632697
0,-132.658,-4.50764,0.63646,-0.387513,-0.256314
0,-123.449,-2.55584,0.324253,0.266375,-0.471062
0,-126.109,-1.99988,-0.157164,0.506393,0.00615641
0,-121.368,-2.69157,0.0321382,-0.526368,-0.0929418
0,-122.05,-1.47546,-0.126458,-0.224048,0.104499
0,-122.189,-1.58286,0.298433,0.0661777,0.0886223
0,-135.819,-2.56967,-0.370381,0.536994,-0.0176629
0,-122.975,-0.451402,-0.194461,0.159378,-0.00948531
0,-120.755,-2.83645,-0.229308,-0.542008,-0.140964
0,-120.257,-2.44798,-0.355246,0.29215,-0.501844
0,-119.994,-0.559717,0.108171,-0.118803,-0.268961
0,-123.079,-1.68583,-0.531291,0.241567,-0.301444
0,-121.573,-6.8332,-0.148689,0.874591,-0.432262
0,-124.318,-0.942412,-0.131731,0.241339,0.06524
0,-123.01,-0.751299,-0.0489398,0.176603,0.060204
0,-121.041,-0.21766,-0.0848645,0.213805,-0.122438
0,-120.301,-1.42819,0.228693,-0.224401,-0.322483
0,-120.114,-3.83253,0.49447,-0.090327,-0.526624
0,-119.88,-0.856332,0.286636,0.0803435,-0.254458
0,-127.538,-2.27685,-0.429112,0.468561,-0.299772
0,-121.135,-0.214574,-0.142398,0.211257,-0.149273
0,-120.371,-0.518271,-0.0454029,0.307012,-0.195468
0,-122.039,-1.1653,-0.286256,0.35619,-0.29173
0,-120.138,-4.48612,0.77285,0.0808841,-0.044496
0,-120.877,-1.9258,0.139924,0.0533273,-0.508742
0,-120.384,-0.605338,-0.40173,-0.0128123,-0.13829
0,-124.043,-1.06085,-0.118447,0.332646,0.0269411
0,-123.839,-0.976971,-0.430111,0.115544,-0.0163764
0,-122.442,-2.07246,0.383054,0.26213,-0.364725
0,-121.671,-0.261131,-0.152355,0.213603,-0.108116
0,-120.2,-0.429009,-0.00248798,-0.179419,-0.178585
0,-121.28,-0.744392,-0.348052,0.211697,-0.27004
0,-122.157,-1.13003,0.00617522,0.33405,0.0329797
0,-119.981,-0.367977,-0.25086,-0.117662,-0.146084
0,-119.893,-0.694678,-0.0450732,0.192006,-0.361193
0,-120.054,-0.912996,0.321009,0.0142382,-0.203299
0,-120.097,-0.907999,0.026187,0.0493828,-0.41113
0,-120.425,-2.07186,0.217301,-0.323292,-0.362427
0,-119.941,-1.11615,-0.291821,0.0710085,-0.414657
0,-119.871,-0.680749,0.223031,0.203613,-0.183113
0,-119.935,-0.637689,-0.32613,-0.121437,-0.24318
0,-120.842,-2.51006,0.225764,0.363097,0.15224
0,-120.046,-2.07184,-0.167027,-0.428326,-0.00969386
0,-119.928,-0.590177,0.000839931,0.0538342,-0.364023
0,-123.236,-0.597502,-0.311358,0.25073,-0.136459
0,-124.73,-5.2188,-0.937159,-0.214659,-0.188055
0,-125.501,-1.9437,-0.26909,0.0154157,0.206666
0,-119.945,-0.54098,-0.134609,0.188217,-0.330394
0,-121.148,-3.22438,0.648426,0.205094,-0.155086
0,-122.101,-0.714651,0.0961535,-0.144973,-0.0174928
0,-121.948,-0.501736,0.00622968,0.141316,0.0156031
0,-122.873,-1.89766,0.183514,0.170625,0.170423
0,-120.592,-1.33809,0.356168,0.100994,-0.014165
0,-120.589,-0.929781,-0.220905,0.299313,-0.324617
0,-121.64,-0.226297,-0.134482,0.190555,-0.0895452
0,-120.679,-0.438841,-0.227138,0.213825,-0.257424
0,-119.943,-0.466056,-0.321204,-0.0921438,-0.163846
0,-119.905,-0.959827,0.123895,0.360945,-0.142802
0,-120.27,-1.76679,0.140268,-0.34329,-0.320298
0,-120.694,-1.17576,-0.251755,-0.172185,-0.380771
0,-120.161,-1.04361,0.281675,0.154693,-0.297725
0,-123.729,-1.3314,-0.0368528,0.304194,0.094341
0,-120.293,-2.56303,0.13765,0.588972,-0.19963
0,-119.946,-1.07841,-0.0936671,0.324846,-0.355884
0,-121.681,-1.71059,-0.271127,-0.329134,-0.340925
0,-129.98,-3.29155,-0.554534,-0.410748,-0.334775
0,-121.328,-0.553462,-0.363716,0.0245519,-0.0687444
0,-120.032,-2.22244,0.230456,-0.140945,-0.483938
0,-120.279,-1.00077,-0.148546,-0.164353,-0.378138
0,-121.781,-0.506157,0.0887169,-0.0446212,-0.01186
0,-125.133,-0.803627,-0.328316,0.243737,-0.0393148
0,-121.68,-2.20849,-0.648478,-0.00643343,-0.00542191
0,-119.974,-1.40524,0.397185,0.0922564,-0.262733
0,-119.969,-0.470433,-0.323065,0.0187475,-0.264205
0,-124.099,-4.37019,0.415487,0.136932,0.316369
0,-120.98,-3.41936,-0.00791141,0.466546,-0.546381
0,-120.82,-0.669462,0.208055,0.0918617,-0.0340764
0,-123.876,-0.759197,-0.193887,0.314576,-0.0472785
0,-119.907,-0.535764,-0.112768,0.180389,-0.334809
0,-120.121,-2.58354,0.578059,0.169049,-0.113441
0,-120.088,-0.946161,-0.269293,-0.263208,-0.199821
0,-126.064,-2.76227,0.535657,-0.150455,0.000778452
0,-120.135,-1.72931,0.227926,0.443956,-0.114754
0,-128.139,-2.65562,0.423917,-0.184882,0.0952119
0,-123.024,-2.81154,-0.688146,-0.232724,-0.220142
0,-124.553,-2.51952,0.400346,0.362335,-0.356193
0,-121.417,-8.7239,-0.127519,0.622014,-0.802472
0,-120.312,-1.21599,-0.43005,-0.0942075,-0.330288
0,-120.621,-0.0211347,-0.0931641,0.0967656,-0.141763
0,-119.911,-1.05804,0.266945,0.278108,-0.127761
0,-122.829,-0.858883,-0.329453,0.299346,-0.225033
0,-119.885,-0.561505,0.161232,0.102205,-0.290981
0,-127.594,-4.53813,0.127059,-0.630049,0.0662683
0,-123.428,-3.16018,-0.455566,-0.126241,-0.554138
0,-122.531,-1.96123,-0.367906,-0.222276,-0.426479
0,-120.013,-0.682181,-0.410663,-0.00855872,-0.224409
0,-124.564,-3.20038,-0.369361,-0.544013,-0.188351
0,-120.375,-3.18804,-0.733973,0.0897002,-0.378271
