# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = clickgraph_model
# start_datetime = 2023-01-12 08:53:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 20000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\clickgraph\clickgraph.data.R
# init = 2 (Default)
# random
#   seed = 2891521876 (Default)
# output
#   file = examples\clickgraph\clickgraphMCMC20k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,simAll,unif.1,unif.2,unif.3,unif.4,unif.5,beta1,beta2
-20.2481,0.449941,0.00273203,10,1023,0,23.839,0.752598,0.165806,0.696939,0.492228,0.844754,0.656904,0.594627,0.0644137
-21.5994,0.682102,0.00273203,10,1023,0,23.603,0.280582,0.819192,0.123697,0.345358,0.131277,0.124657,0.503147,0.944487
-22.1234,0.429737,0.00273203,10,1023,0,23.3065,0.238588,0.856668,0.12719,0.355828,0.181375,0.141433,0.511091,0.973164
-21.5871,0.547153,0.00273203,10,1023,0,25.7907,0.933327,0.780252,0.25228,0.551318,0.219391,0.657393,0.659946,0.0981841
-22.3382,0.945474,0.00273203,10,1023,0,24.6602,0.95281,0.631773,0.102579,0.904214,0.583172,0.347569,0.474387,0.275212
-21.624,0.905714,0.00273203,10,1023,0,23.7171,0.975888,0.813438,0.270796,0.759322,0.399909,0.290587,0.518826,0.423446
-21.3509,0.942549,0.00273203,10,1023,0,24.0311,0.116282,0.142184,0.762815,0.0747593,0.52884,0.706666,0.525201,0.465798
-21.9943,0.987623,0.00273203,10,1023,0,25.2476,0.187616,0.325947,0.733794,0.0494638,0.481431,0.548364,0.344922,0.328822
-21.8344,1,0.00273203,10,1023,0,25.3994,0.229047,0.695128,0.342778,0.691543,0.795798,0.293758,0.198513,0.688554
-20.2344,0.954015,0.00273203,10,1023,0,23.2393,0.217995,0.717404,0.268869,0.372622,0.470627,0.107954,0.351582,0.503491
-23.479,0.702795,0.00273203,10,1023,0,27.8705,0.0904196,0.139371,0.796326,0.353356,0.625528,0.702769,0.173318,0.456414
-23.029,0.841482,0.00273203,10,1023,0,29.8976,0.917053,0.937588,0.890525,0.864812,0.330512,0.227945,0.460265,0.833024
-25.5669,0.863259,0.00273203,10,1023,0,26.7461,0.133315,0.0518225,0.00921357,0.0441238,0.646475,0.805351,0.818679,0.0912197
-24.0838,0.636003,0.00273203,10,1023,0,31.0407,0.0736886,0.0722773,0.0163225,0.0412938,0.547751,0.629361,0.753408,0.325038
-25.5734,0.300862,0.00273203,10,1023,0,31.0884,0.00364548,0.727389,0.086745,0.273512,0.835452,0.875,0.564943,0.733655
-25.0792,0.941836,0.00273203,10,1023,0,27.1437,0.00575041,0.879284,0.0655462,0.252602,0.698673,0.826065,0.575354,0.671683
-25.8027,1,0.00273203,10,1023,0,27.4013,0.00275846,0.833643,0.0316141,0.188299,0.490584,0.707138,0.536326,0.614646
-21.7992,0.999998,0.00273203,10,1023,0,29.4619,0.16104,0.970521,0.559515,0.0945104,0.362047,0.517393,0.650433,0.575376
-20.9098,0.91496,0.00273203,10,1023,0,23.8204,0.709753,0.0687714,0.377107,0.860725,0.653407,0.568732,0.37826,0.647221
-22.5755,0.642323,0.00273203,10,1023,0,23.5521,0.380812,0.894792,0.544338,0.0319843,0.294552,0.371284,0.742031,0.545718
-26.2661,0.966824,0.00273203,10,1023,0,31.7176,0.631849,0.627995,0.355004,0.0155743,0.506881,0.75712,0.890529,0.912408
-20.6924,0.813121,0.00273203,10,1023,0,29.1117,0.552906,0.38865,0.502778,0.295227,0.974625,0.706929,0.750761,0.0352513
-20.8821,0.463814,0.00273203,10,1023,0,21.6225,0.700167,0.361402,0.422747,0.380042,0.971338,0.773382,0.777273,0.0371262
-21.3071,0.232132,0.00273203,10,1023,0,25.7152,0.495993,0.143025,0.488945,0.31088,0.953336,0.86511,0.781434,0.0398292
-21.5874,0.269768,0.00273203,10,1023,0,23.4259,0.655314,0.196207,0.381689,0.622879,0.951937,0.835372,0.819666,0.0251084
-21.6709,0.128217,0.00273203,10,1023,0,26.9329,0.722373,0.179284,0.355264,0.611914,0.943857,0.818294,0.841811,0.028162
-20.9888,0.382601,0.00273203,10,1023,0,22.9991,0.800091,0.187596,0.467945,0.401742,0.939233,0.834149,0.820778,0.0545317
-20.9173,0.282948,0.00273203,10,1023,0,22.8387,0.68362,0.155107,0.372952,0.560989,0.956757,0.807976,0.813902,0.0625741
-20.9063,0.20374,0.00273203,10,1023,0,25.626,0.773774,0.243681,0.417352,0.451757,0.948184,0.825081,0.820133,0.0482813
-20.8419,0.641109,0.00273203,10,1023,0,25.1728,0.698474,0.737388,0.138073,0.107202,0.558782,0.444265,0.52024,0.927554
-19.5675,0.363001,0.00273203,10,1023,0,24.9932,0.698007,0.499635,0.218432,0.255376,0.185869,0.304703,0.618382,0.707516
-20.1818,0.999998,0.00273203,10,1023,0,22.9736,0.329252,0.328313,0.416075,0.892478,0.688611,0.433309,0.395166,0.39049
-22.041,0.981287,0.00273203,10,1023,0,23.7824,0.942475,0.67381,0.408466,0.252494,0.309252,0.954878,0.791988,0.377417
-23.158,0.590967,0.00273203,10,1023,0,25.1297,0.919253,0.823727,0.247625,0.207357,0.255668,0.94451,0.783641,0.688109
-22.6622,0.777965,0.00273203,10,1023,0,30.01,0.996086,0.794276,0.546169,0.625217,0.383954,0.609787,0.575557,0.398388
-24.0571,0.960488,0.00273203,10,1023,0,26.3113,0.995194,0.935775,0.641689,0.636059,0.234073,0.608818,0.512191,0.309435
-26.199,0.999998,0.00273203,10,1023,0,27.5337,0.996908,0.912311,0.415239,0.916359,0.398668,0.526322,0.362108,0.229938
-18.5334,1,0.00273203,10,1023,0,26.5445,0.626713,0.361458,0.7115,0.201995,0.649985,0.710255,0.665885,0.47083
-22.4866,0.671506,0.00273203,10,1023,0,23.2106,0.423965,0.197663,0.963708,0.239721,0.157637,0.863896,0.6949,0.690985
-21.4448,0.959187,0.00273203,10,1023,0,25.9685,0.721956,0.714029,0.498554,0.425026,0.374182,0.98317,0.449257,0.361168
-22.3958,0.688336,0.00273203,10,1023,0,24.91,0.893216,0.419236,0.478197,0.298421,0.462259,0.990795,0.498938,0.423787
-24.1949,0.791592,0.00273203,10,1023,0,26.2387,0.519214,0.580443,0.738906,0.189016,0.936695,0.994988,0.589633,0.351953
-24.5937,0.981351,0.00273203,10,1023,0,26.3049,0.604726,0.366926,0.628334,0.0470206,0.909232,0.99287,0.598862,0.201162
-22.1085,0.999999,0.00273203,9,511,0,24.9814,0.693977,0.412476,0.581148,0.145768,0.813971,0.989645,0.640212,0.549021
-22.5409,0.373079,0.00273203,10,1023,0,27.6167,0.668582,0.316464,0.476636,0.234056,0.906388,0.98847,0.609325,0.583603
-22.6565,0.690032,0.00273203,10,1023,0,25.4044,0.500838,0.233119,0.133349,0.186414,0.786634,0.98807,0.533074,0.104331
-21.9348,0.589025,0.00273203,10,1023,0,25.0471,0.536472,0.173387,0.124444,0.218454,0.631595,0.988485,0.632104,0.12687
-24.692,0.397911,0.00273203,10,1023,0,29.9915,0.642878,0.0789646,0.096597,0.262083,0.218484,0.993897,0.66373,0.113547
-22.4995,0.767773,0.00273203,10,1023,0,27.5467,0.898726,0.0673466,0.269772,0.406297,0.456782,0.9163,0.823944,0.213968
-22.971,0.693706,0.00273203,10,1023,0,25.6852,0.866391,0.255585,0.303913,0.262101,0.201979,0.976539,0.833461,0.354468
-23.4757,0.97306,0.00273203,10,1023,0,27.4072,0.150891,0.269685,0.745076,0.51143,0.892234,0.0304643,0.372067,0.349107
-20.5827,0.906076,0.00273203,10,1023,0,25.8045,0.466446,0.612448,0.886743,0.639728,0.922423,0.245028,0.366128,0.656687
-21.3148,0.71288,0.00273203,10,1023,0,25.1199,0.800575,0.169507,0.0923522,0.784915,0.368159,0.709905,0.464932,0.771352
-18.6266,0.630057,0.00273203,10,1023,0,22.6724,0.671141,0.473837,0.289635,0.582983,0.784455,0.204199,0.646659,0.380656
-26.2608,0.505918,0.00273203,10,1023,0,30.6201,0.99526,0.847512,0.490573,0.392484,0.302444,0.058403,0.32793,0.788099
-23.4022,1,0.00273203,10,1023,0,28.6867,0.929452,0.0969562,0.61843,0.614237,0.787698,0.893136,0.676822,0.0622863
-21.942,0.972141,0.00273203,10,1023,0,25.9328,0.870706,0.0602419,0.713967,0.754747,0.314218,0.871935,0.556182,0.649389
-20.9651,1,0.00273203,10,1023,0,25.4341,0.837765,0.271812,0.056669,0.49015,0.726209,0.405886,0.466968,0.323102
-18.8981,0.739331,0.00273203,10,1023,0,22.7979,0.55129,0.437633,0.224937,0.720734,0.513863,0.647455,0.605394,0.291576
-22.255,0.633103,0.00273203,10,1023,0,22.94,0.920173,0.398852,0.0948763,0.639767,0.762896,0.220239,0.471611,0.895725
-24.0492,0.892566,0.00273203,10,1023,0,26.8935,0.915081,0.115215,0.0149061,0.210769,0.220576,0.493072,0.607897,0.186985
-23.6318,0.99648,0.00273203,10,1023,0,28.6644,0.759964,0.010536,0.251445,0.406872,0.294494,0.618456,0.698438,0.0683896
-23.9766,0.801286,0.00273203,10,1023,0,28.2357,0.92046,0.140262,0.744865,0.277091,0.747942,0.429878,0.272742,0.875562
-24.1458,0.999998,0.00273203,10,1023,0,28.5711,0.144223,0.973852,0.315898,0.975655,0.320886,0.335078,0.715873,0.454006
-23.7564,0.999999,0.00273203,10,1023,0,25.0298,0.853447,0.019048,0.684955,0.0389696,0.675977,0.668765,0.569599,0.758982
-20.8454,0.778122,0.00273203,10,1023,0,28.0875,0.414366,0.0218824,0.439088,0.569219,0.555091,0.662536,0.629043,0.682726
-19.5451,0.993014,0.00273203,10,1023,0,25.2194,0.271632,0.795915,0.356451,0.693483,0.484589,0.776632,0.406577,0.582427
-19.6399,0.910269,0.00273203,10,1023,0,24.2331,0.281423,0.839206,0.342907,0.639112,0.472354,0.755037,0.407907,0.637697
-18.7771,0.755903,0.00273203,10,1023,0,23.2845,0.468676,0.515777,0.30338,0.161933,0.558429,0.700633,0.576296,0.553912
-18.5439,0.958641,0.00273203,10,1023,0,19.8215,0.6698,0.613755,0.639202,0.575823,0.345652,0.334209,0.60755,0.702196
-22.0432,0.999992,0.00273203,9,1023,0,25.2724,0.929891,0.544733,0.918425,0.128426,0.214415,0.462538,0.692005,0.336945
-23.2028,0.914252,0.00273203,10,1023,0,26.8526,0.0448647,0.456613,0.59627,0.292477,0.770367,0.971758,0.719055,0.732953
-21.1241,0.724109,0.00273203,10,1023,0,25.8629,0.156089,0.144238,0.517912,0.26823,0.296372,0.688241,0.850389,0.368777
-24.078,0.283961,0.00273203,10,1023,0,27.8444,0.880608,0.817955,0.440162,0.684531,0.0373647,0.0268824,0.538649,0.796653
-24.9843,0.914882,0.00273203,10,1023,0,33.0548,0.239703,0.787512,0.520193,0.994972,0.708702,0.354638,0.431935,0.227143
-24.0682,0.868296,0.00273203,10,1023,0,28.9159,0.264053,0.877897,0.558457,0.990047,0.923441,0.475563,0.397446,0.670162
-23.5415,0.98094,0.00273203,10,1023,0,28.8895,0.0920772,0.23081,0.688117,0.995303,0.642164,0.516417,0.547624,0.569974
-21.0838,0.964212,0.00273203,10,1023,0,25.799,0.164231,0.704263,0.175833,0.921248,0.263658,0.747383,0.516479,0.637447
-20.6777,0.971797,0.00273203,10,1023,0,23.1373,0.696695,0.209503,0.609072,0.216137,0.776583,0.138948,0.415261,0.404322
-21.2882,0.932817,0.00273203,10,1023,0,24.1794,0.0700708,0.206562,0.596426,0.706397,0.248276,0.782447,0.474654,0.761565
-20.663,0.994196,0.00273203,10,1023,0,23.5401,0.928957,0.673438,0.663232,0.198608,0.565918,0.415068,0.714311,0.25735
-19.2615,0.918312,0.00273203,10,1023,0,21.6202,0.64873,0.505072,0.562789,0.836576,0.354509,0.53454,0.430035,0.859231
-18.1668,0.948193,0.00273203,10,1023,0,19.9056,0.535618,0.586835,0.848689,0.76691,0.43313,0.468767,0.372145,0.820102
-18.2157,0.231051,0.00273203,10,1023,0,19.2868,0.488231,0.585402,0.85147,0.781382,0.439041,0.483185,0.369962,0.797914
-21.3998,0.351571,0.00273203,10,1023,0,22.5727,0.433859,0.573274,0.887614,0.387302,0.0274724,0.668665,0.527643,0.476575
-23.7119,0.999619,0.00273203,10,1023,0,24.2685,0.629168,0.39782,0.0523394,0.649911,0.994589,0.327454,0.596525,0.611753
-20.6596,0.948937,0.00273203,10,1023,0,26.4034,0.650523,0.0948476,0.232105,0.600501,0.804077,0.0968583,0.683696,0.467445
-19.1674,0.691817,0.00273203,10,1023,0,27.0802,0.634098,0.59756,0.329614,0.735364,0.683016,0.167195,0.53077,0.435704
-19.3651,0.906209,0.00273203,10,1023,0,20.3893,0.649081,0.498426,0.595194,0.270481,0.53552,0.180191,0.485389,0.781688
-18.9296,0.985607,0.00273203,10,1023,0,20.6639,0.513703,0.649336,0.925794,0.694568,0.34001,0.41888,0.54025,0.724203
-21.1344,0.343912,0.00273203,10,1023,0,26.3129,0.865699,0.836416,0.838621,0.843194,0.441918,0.369087,0.573234,0.169596
-21.5908,0.760424,0.00273203,10,1023,0,23.8468,0.581384,0.144233,0.191461,0.490551,0.678615,0.812057,0.788871,0.803833
-20.9284,0.510724,0.00273203,10,1023,0,24.7398,0.367142,0.0992661,0.725015,0.827961,0.828447,0.437876,0.780176,0.374515
-23.1424,0.881302,0.00273203,10,1023,0,25.9129,0.178284,0.0393344,0.345939,0.109965,0.194743,0.844759,0.74651,0.707537
-21.5115,0.800515,0.00273203,10,1023,0,27.5402,0.815737,0.264461,0.222021,0.179277,0.937283,0.894173,0.554674,0.109003
-24.4282,0.371523,0.00273203,10,1023,0,28.6984,0.968062,0.111634,0.11393,0.791151,0.206206,0.104979,0.712038,0.217556
-24.0459,1,0.00273203,10,1023,0,29.0955,0.98078,0.557553,0.630381,0.141827,0.981264,0.361336,0.57807,0.122406
-34.523,0.848162,0.00273203,10,1023,0,35.5489,0.986023,0.916343,0.877812,0.0194992,0.989351,0.225393,0.258882,0.0110883
-26.5439,0.816782,0.00273203,10,1023,0,41.0262,0.754174,0.0370103,0.241049,0.11363,0.978251,0.988506,0.526456,0.407925
-23.3793,0.705094,0.00273203,10,1023,0,29.4092,0.947814,0.0990136,0.235586,0.450622,0.965953,0.884119,0.670549,0.308925
-24.8124,0.5191,0.00273203,10,1023,0,28.2738,0.955133,0.0952523,0.204629,0.556839,0.954871,0.873031,0.618985,0.0932877
-25.9781,1,0.00273203,10,1023,0,27.9323,0.0124275,0.955597,0.612028,0.36575,0.0829181,0.0883355,0.48147,0.779211
-23.3771,1,0.00273203,10,1023,0,28.5169,0.292896,0.951955,0.735117,0.269384,0.0174817,0.404302,0.588273,0.401147
-20.614,0.614158,0.00273203,10,1023,0,25.1887,0.669181,0.225431,0.378664,0.788379,0.572025,0.737821,0.68347,0.856136
-23.0925,0.9528,0.00273203,10,1023,0,24.4475,0.937554,0.690929,0.453852,0.827822,0.307032,0.645827,0.662648,0.981919
-20.1415,0.946958,0.00273203,10,1023,0,23.7708,0.795651,0.618254,0.491781,0.88113,0.692319,0.308888,0.638769,0.87854
-20.8481,0.781048,0.00273203,10,1023,0,23.8153,0.519355,0.318837,0.0723291,0.252085,0.600105,0.858757,0.507312,0.0498316
-20.7075,0.409376,0.00273203,10,1023,0,24.8379,0.945265,0.852332,0.272137,0.359755,0.305185,0.470593,0.566933,0.655797
-19.5934,0.973491,0.00273203,10,1023,0,22.5014,0.810092,0.135568,0.696233,0.423182,0.663568,0.382055,0.584108,0.322795
-24.2647,0.831329,0.00273203,10,1023,0,26.8789,0.449169,0.958378,0.0267293,0.117533,0.0986964,0.764797,0.640428,0.415096
-24.2302,0.82959,0.00273203,10,1023,0,27.2084,0.770647,0.952732,0.0278382,0.428065,0.147456,0.78832,0.775962,0.332687
-20.8478,0.791106,0.00273203,10,1023,0,26.1358,0.606965,0.946932,0.336295,0.670455,0.156857,0.754746,0.644998,0.62054
-20.8115,0.988546,0.00273203,10,1023,0,23.336,0.433478,0.918138,0.0622838,0.610274,0.294598,0.524155,0.591569,0.566862
-19.8456,0.991998,0.00273203,10,1023,0,23.1241,0.607102,0.449314,0.552378,0.787215,0.671535,0.933111,0.749235,0.572307
-19.936,0.798951,0.00273203,10,1023,0,22.046,0.684629,0.348763,0.207516,0.263388,0.348011,0.930769,0.566949,0.279243
-21.5765,0.873626,0.00273203,10,1023,0,22.8879,0.610297,0.486143,0.349467,0.225394,0.851481,0.982031,0.488434,0.37691
-22.5111,0.740388,0.00273203,10,1023,0,24.2837,0.589497,0.543163,0.465323,0.284454,0.926303,0.995751,0.634208,0.360269
-21.8021,0.524395,0.00273203,10,1023,0,26.2782,0.772119,0.691591,0.385349,0.810831,0.813807,0.976473,0.772549,0.272985
-20.7019,0.433045,0.00273203,10,1023,0,26.7064,0.761203,0.698635,0.437361,0.694271,0.831714,0.980162,0.785293,0.298848
-20.6336,0.462442,0.00273203,10,1023,0,22.7771,0.827362,0.484391,0.663819,0.540564,0.836053,0.96926,0.74732,0.492005
-22.4592,0.339201,0.00273203,10,1023,0,25.4453,0.990498,0.253682,0.466201,0.401756,0.78738,0.788075,0.67011,0.47687
-19.7862,0.889805,0.00273203,10,1023,0,23.7415,0.8295,0.824124,0.634386,0.617936,0.782694,0.854191,0.651298,0.288503
-20.7636,0.543415,0.00273203,10,1023,0,23.7849,0.364476,0.642412,0.0886784,0.310072,0.453511,0.0721256,0.588005,0.64174
-24.0533,0.99742,0.00273203,10,1023,0,27.9772,0.588187,0.709719,0.522738,0.0201428,0.951901,0.491863,0.808687,0.756296
-24.0697,0.996728,0.00273203,10,1023,0,28.3023,0.652309,0.465546,0.211496,0.969861,0.0203837,0.468589,0.373258,0.869927
-22.1329,0.691017,0.00273203,10,1023,0,27.4853,0.65817,0.494044,0.167062,0.956105,0.052108,0.36137,0.467146,0.710679
-22.0669,0.929351,0.00273203,10,1023,0,25.9544,0.733506,0.579032,0.782053,0.886499,0.464813,0.0278587,0.689581,0.745552
-21.1381,1,0.00273203,10,1023,0,24.1505,0.6837,0.355263,0.339141,0.113484,0.486836,0.118071,0.453789,0.136665
-20.2185,0.822956,0.00273203,10,1023,0,23.8109,0.861021,0.0745109,0.44768,0.494862,0.456685,0.533514,0.507966,0.702503
-25.111,0.789611,0.00273203,10,1023,0,27.3269,0.974986,0.203095,0.873554,0.530579,0.49912,0.808195,0.261245,0.202724
-25.3595,0.804349,0.00273203,10,1023,0,31.974,0.953189,0.188953,0.881173,0.541746,0.471367,0.836785,0.23848,0.172339
-26.6377,1,0.00273203,10,1023,0,42.972,0.80096,0.614849,0.926777,0.904316,0.828266,0.121652,0.148817,0.378223
-24.7105,0.882519,0.00273203,10,1023,0,31.5408,0.624998,0.34049,0.694919,0.352414,0.134772,0.643828,0.859638,0.956393
-22.7134,0.991825,0.00273203,10,1023,0,27.3074,0.894778,0.559104,0.522153,0.170518,0.333009,0.642233,0.749975,0.974262
-20.3402,0.995945,0.00273203,10,1023,0,28.674,0.596965,0.529644,0.581396,0.611257,0.10538,0.228558,0.748378,0.731557
-20.1262,0.996028,0.00273203,10,1023,0,23.0132,0.270444,0.765061,0.241286,0.811596,0.450509,0.861236,0.722018,0.571846
-19.9548,0.896323,0.00273203,10,1023,0,23.2687,0.424751,0.512502,0.440098,0.518699,0.284038,0.892906,0.283644,0.528144
-18.7538,0.506836,0.00273203,10,1023,0,22.092,0.562131,0.850171,0.318394,0.520879,0.431375,0.369187,0.576554,0.646394
-22.1038,0.856014,0.00273203,10,1023,0,23.4817,0.628862,0.201972,0.847585,0.818257,0.846873,0.825588,0.333724,0.453229
-21.4123,0.933394,0.00273203,10,1023,0,25.0187,0.254671,0.245448,0.64435,0.613412,0.933695,0.908474,0.471173,0.435813
-21.2357,0.866186,0.00273203,10,1023,0,24.7855,0.0870567,0.771611,0.143373,0.680447,0.209297,0.31652,0.690916,0.442702
-20.6176,0.999673,0.00273203,10,1023,0,22.4646,0.0741602,0.701314,0.241546,0.627981,0.215333,0.246884,0.684121,0.547379
-20.4942,0.941787,0.00273203,10,1023,0,23.0924,0.157521,0.548739,0.144677,0.192094,0.569754,0.203586,0.65446,0.68357
-22.872,0.992729,0.00273203,10,1023,0,26.8493,0.428437,0.661155,0.0767778,0.195153,0.0271857,0.521664,0.390661,0.416281
-20.1932,0.893556,0.00273203,10,1023,0,25.0831,0.598012,0.548025,0.262759,0.312474,0.123683,0.762105,0.443772,0.562894
-21.4297,0.987776,0.00273203,10,1023,0,23.739,0.837908,0.391313,0.577762,0.774546,0.157188,0.970281,0.689571,0.228989
-22.3341,0.689159,0.00273203,10,1023,0,24.6424,0.554253,0.206108,0.864326,0.280036,0.698287,0.989142,0.703686,0.529067
-23.8835,0.617526,0.00273203,10,1023,0,27.8657,0.0330922,0.699403,0.0985506,0.714575,0.309715,0.874172,0.287111,0.716318
-22.8153,0.899941,0.00273203,10,1023,0,25.7784,0.0477228,0.758415,0.332931,0.687177,0.60871,0.962991,0.362504,0.528391
-26.1951,0.706392,0.00273203,10,1023,0,28.5793,0.0360864,0.150613,0.462154,0.0484369,0.878248,0.976055,0.34343,0.5608
-20.7337,0.528805,0.00273203,10,1023,0,30.6251,0.517594,0.178772,0.0964978,0.077262,0.397853,0.559133,0.755414,0.292294
-20.1084,0.698464,0.00273203,10,1023,0,22.8221,0.307617,0.183971,0.0815639,0.110258,0.317196,0.366224,0.792719,0.385929
-19.9561,0.154436,0.00273203,10,1023,0,25.8752,0.213015,0.152448,0.112499,0.125712,0.3561,0.323394,0.786148,0.32821
-21.8832,0.269766,0.00273203,10,1023,0,24.7753,0.0446188,0.270714,0.155305,0.161435,0.29493,0.649925,0.676683,0.707975
-21.6778,0.924593,0.00273203,10,1023,0,24.4992,0.0482105,0.726983,0.278655,0.488865,0.247408,0.425094,0.801165,0.406585
-22.1144,0.827985,0.00273203,10,1023,0,28.5548,0.85192,0.290719,0.962676,0.398277,0.758694,0.117759,0.630241,0.776246
-23.2138,0.70456,0.00273203,10,1023,0,26.9032,0.623171,0.679964,0.459425,0.558476,0.997065,0.731544,0.552967,0.181319
-22.3086,1,0.00273203,10,1023,0,26.3655,0.823545,0.341775,0.759033,0.718586,0.0333491,0.187416,0.678732,0.813086
-19.583,0.962705,0.00273203,10,1023,0,23.5822,0.23157,0.769845,0.430378,0.450832,0.641587,0.87769,0.540394,0.512757
-21.9672,0.77597,0.00273203,10,1023,0,23.1275,0.820176,0.220648,0.0375119,0.524281,0.399341,0.249407,0.705947,0.177988
-21.8304,0.963622,0.00273203,10,1023,0,23.8986,0.745267,0.303908,0.0417932,0.370634,0.38823,0.152193,0.732997,0.247671
-19.6037,0.998757,0.00273203,10,1023,0,24.7602,0.448232,0.38649,0.0504837,0.364176,0.691642,0.286913,0.613815,0.354173
-19.9816,0.718331,0.00273203,10,1023,0,21.7906,0.500762,0.205527,0.151676,0.0556016,0.61672,0.620217,0.665598,0.497321
-23.6226,0.610147,0.00273203,10,1023,0,26.6439,0.964186,0.450638,0.261026,0.019998,0.7572,0.463398,0.431116,0.654966
-22.7575,0.999998,0.00273203,10,1023,0,27.2711,0.581082,0.643909,0.870328,0.109997,0.0787707,0.33447,0.241864,0.918178
-20.7309,0.492457,0.00273203,10,1023,0,25.2969,0.454712,0.347581,0.515701,0.919897,0.816673,0.462643,0.814351,0.66114
-21.7738,0.867219,0.00273203,10,1023,0,23.8382,0.275986,0.0284207,0.440909,0.792377,0.516043,0.394395,0.81406,0.342112
