# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = clickgraph_model
# start_datetime = 2023-01-12 08:57:24 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\clickgraph\clickgraph.data.R
# init = 2 (Default)
# random
#   seed = 2891730761 (Default)
# output
#   file = examples\clickgraph\clickgraphvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,simAll,unif.1,unif.2,unif.3,unif.4,unif.5,beta1,beta2
0,-23.1737,-3.56099,0.0807103,0.773942,0.609366,0.626034,0.679793,0.139353,0.797895,0.865512
0,-19.9919,-1.56186,0.638277,0.0997177,0.217548,0.239439,0.383797,0.379939,0.500894,0.385613
0,-22.7504,-3.14383,0.26859,0.408139,0.707158,0.856058,0.0313855,0.12575,0.639841,0.504199
0,-23.3459,-4.91015,0.988873,0.867204,0.612317,0.263804,0.611505,0.478526,0.710932,0.869896
0,-19.918,-1.46793,0.81074,0.441043,0.735669,0.205749,0.867898,0.642442,0.525835,0.496897
0,-20.2178,-1.59206,0.861,0.818541,0.634374,0.345128,0.752563,0.200056,0.494733,0.510445
0,-23.8423,-4.10572,0.162463,0.101609,0.260658,0.572529,0.916031,0.25137,0.62192,0.114261
0,-19.5055,-1.38961,0.597824,0.197562,0.26292,0.399494,0.382803,0.572205,0.619272,0.863282
0,-20.5068,-2.73764,0.82556,0.261413,0.855436,0.380162,0.683158,0.31804,0.410251,0.874501
0,-19.1097,-1.08669,0.358691,0.58884,0.331379,0.603761,0.659839,0.224605,0.44923,0.7549
0,-22.5162,-3.65606,0.833462,0.691833,0.838235,0.373059,0.926332,0.934561,0.758947,0.67258
0,-26.0675,-5.15346,0.912077,0.0783091,0.775573,0.273572,0.941893,0.154238,0.396972,0.8627
0,-23.0112,-4.79888,0.00632958,0.408264,0.607029,0.859499,0.321015,0.516034,0.700257,0.696571
0,-19.8332,-1.31062,0.137649,0.173868,0.392067,0.518298,0.751593,0.315546,0.513643,0.4784
0,-21.3572,-2.37371,0.696952,0.956622,0.334634,0.565714,0.343675,0.33951,0.760176,0.736715
0,-21.4391,-3.02559,0.497787,0.246931,0.377134,0.616579,0.060652,0.500166,0.814379,0.267432
0,-26.1006,-7.18972,0.76657,0.563986,0.0254532,0.527026,0.0200523,0.942725,0.817697,0.711315
0,-21.6409,-3.22157,0.886082,0.387274,0.31223,0.922427,0.188512,0.142099,0.510278,0.830178
0,-21.6731,-2.85145,0.815987,0.929831,0.166755,0.76779,0.813513,0.30151,0.649391,0.80742
0,-20.2463,-1.75861,0.630295,0.774859,0.46411,0.0871103,0.496334,0.156729,0.630833,0.751365
0,-24.9448,-5.52228,0.173597,0.329296,0.261701,0.159128,0.0130969,0.27699,0.833596,0.393638
0,-20.9664,-2.31603,0.701925,0.859185,0.161929,0.517673,0.899268,0.664094,0.481403,0.339284
0,-26.2238,-6.48387,0.902492,0.987282,0.769636,0.952998,0.904058,0.653329,0.76284,0.72303
0,-21.0726,-2.34523,0.143922,0.347071,0.865972,0.108693,0.3643,0.850605,0.665605,0.501388
0,-21.2704,-2.40381,0.156068,0.799378,0.286817,0.164725,0.401228,0.11647,0.430442,0.426731
0,-23.6795,-3.67848,0.250721,0.465866,0.857406,0.842971,0.317706,0.577431,0.323891,0.159244
0,-22.9112,-3.64437,0.0180219,0.569749,0.214907,0.439052,0.50453,0.260783,0.708533,0.270058
0,-19.8277,-1.37875,0.813622,0.274043,0.874759,0.445083,0.270229,0.673634,0.52185,0.555033
0,-25.784,-6.06165,0.537367,0.0176833,0.0305723,0.92892,0.336128,0.376288,0.672351,0.231117
0,-24.2436,-4.05327,0.225519,0.0208649,0.226562,0.793161,0.743169,0.835096,0.559944,0.842416
0,-26.6359,-7.17399,0.67323,0.563964,0.011668,0.641026,0.203015,0.979511,0.50623,0.886301
0,-20.4058,-2.06429,0.211455,0.243009,0.81503,0.763922,0.704944,0.104134,0.486162,0.643955
0,-25.453,-5.56097,0.780556,0.903423,0.637828,0.526001,0.486685,0.958799,0.233641,0.837489
0,-23.9287,-4.67925,0.188062,0.560178,0.134115,0.00908246,0.313196,0.773433,0.528421,0.7134
0,-21.3254,-2.75777,0.75457,0.642856,0.745406,0.190663,0.554173,0.93624,0.793093,0.641512
0,-25.8221,-6.93501,0.449983,0.626492,0.04237,0.721822,0.226273,0.593287,0.919312,0.87095
0,-23.3382,-3.6313,0.233687,0.908603,0.846582,0.516504,0.813833,0.855948,0.801181,0.289017
0,-18.7692,-0.623512,0.531077,0.593141,0.209611,0.639776,0.756573,0.449528,0.594701,0.650544
0,-22.9056,-3.84457,0.427421,0.108521,0.771013,0.164733,0.925756,0.121444,0.642741,0.18787
0,-28.5676,-7.83385,0.344627,0.976093,0.535231,0.344955,0.473149,0.913604,0.291107,0.968993
0,-21.5241,-2.7012,0.361384,0.305668,0.405525,0.088438,0.307974,0.278269,0.363213,0.246665
0,-22.5698,-3.23767,0.748053,0.826283,0.948033,0.320554,0.611476,0.811738,0.788216,0.41502
0,-23.7131,-4.50506,0.130456,0.103267,0.671634,0.802966,0.331227,0.869183,0.249401,0.387023
0,-22.1627,-3.92998,0.258526,0.0697509,0.0936382,0.939602,0.38349,0.287294,0.773343,0.471496
0,-22.4731,-4.02697,0.231989,0.760578,0.531006,0.972757,0.285169,0.279084,0.313516,0.705344
0,-20.7886,-2.2357,0.430695,0.108155,0.52499,0.767556,0.353451,0.65828,0.339966,0.369886
0,-27.2561,-8.00258,0.0849471,0.39262,0.0188422,0.870339,0.851335,0.0166504,0.787258,0.719475
0,-21.7869,-3.24047,0.499546,0.141161,0.9814,0.3361,0.371457,0.645252,0.608247,0.701378
0,-26.6209,-7.83556,0.00588682,0.771235,0.183572,0.331183,0.368974,0.0283499,0.396015,0.830892
0,-26.5743,-7.86597,0.23602,0.936756,0.994869,0.110042,0.611634,0.914756,0.530382,0.251885
0,-22.2483,-3.72964,0.880326,0.680427,0.13331,0.373438,0.775196,0.569395,0.76474,0.918812
0,-20.7711,-2.26355,0.382916,0.404283,0.157488,0.91174,0.363146,0.614181,0.492729,0.842116
0,-24.6539,-4.63455,0.079412,0.972039,0.577732,0.936923,0.535675,0.571052,0.68014,0.855888
0,-20.3148,-4.24892,0.601553,0.398683,0.107601,0.487795,0.80667,0.817527,0.888049,0.44216
0,-24.5679,-5.22211,0.894701,0.945082,0.2504,0.984778,0.195736,0.780206,0.533742,0.491386
0,-21.1119,-2.10402,0.781526,0.847572,0.704492,0.394605,0.763918,0.870655,0.724307,0.742908
0,-24.6855,-6.49966,0.906037,0.797199,0.798262,0.767368,0.301115,0.00419751,0.499151,0.659351
0,-23.0214,-4.07279,0.623057,0.723602,0.440488,0.928641,0.0498568,0.952677,0.479199,0.53206
0,-22.7323,-3.84574,0.284898,0.707605,0.398096,0.14845,0.416147,0.614275,0.234329,0.233895
0,-24.8423,-6.06359,0.923121,0.0653739,0.451039,0.146948,0.680757,0.0274576,0.558791,0.920485
0,-25.857,-6.08917,0.671798,0.105797,0.547848,0.964672,0.0143091,0.247899,0.675899,0.218586
0,-25.0523,-6.06794,0.53313,0.993564,0.915983,0.428424,0.953812,0.679344,0.488566,0.638506
0,-20.677,-1.75062,0.291516,0.073185,0.294863,0.233475,0.278219,0.286438,0.680268,0.648758
0,-24.441,-6.04007,0.383041,0.817545,0.0453387,0.124058,0.888777,0.947451,0.590337,0.123184
0,-20.9218,-2.55749,0.279482,0.476791,0.554624,0.396365,0.973064,0.746707,0.486046,0.474317
0,-22.922,-3.96579,0.722921,0.0116934,0.649916,0.518783,0.113581,0.171947,0.669571,0.548422
0,-25.6357,-7.89017,0.272562,0.888176,0.952502,0.956878,0.0310296,0.266114,0.235119,0.556746
0,-21.7403,-2.78216,0.924793,0.150408,0.282825,0.492205,0.622239,0.0728594,0.69837,0.490471
0,-21.3731,-2.75665,0.448542,0.761009,0.080141,0.096372,0.225216,0.328231,0.408543,0.569494
0,-26.9814,-4.93708,0.0475504,0.130826,0.685983,0.82965,0.68377,0.528317,0.620959,0.07726
0,-21.4883,-2.70521,0.964765,0.790791,0.544697,0.157846,0.597639,0.219685,0.591868,0.696713
0,-22.9146,-4.01192,0.0819906,0.533358,0.794553,0.421125,0.945127,0.277779,0.823726,0.726016
0,-21.9047,-2.98008,0.925612,0.528643,0.892772,0.718523,0.880255,0.167663,0.6519,0.433248
0,-22.8792,-4.11909,0.44574,0.353467,0.972712,0.0823957,0.216329,0.749941,0.781256,0.538907
0,-25.0677,-4.23546,0.203479,0.809718,0.938876,0.880292,0.915007,0.152553,0.601909,0.262826
0,-23.9999,-4.87779,0.098698,0.449189,0.851295,0.351993,0.442749,0.0138541,0.782818,0.61118
0,-22.1506,-3.39249,0.723737,0.0306359,0.577795,0.890515,0.276617,0.25329,0.396703,0.601063
0,-21.4292,-3.82888,0.578899,0.940702,0.861112,0.250378,0.376096,0.485974,0.262588,0.685864
0,-27.1624,-7.2981,0.0822722,0.0422599,0.983958,0.846972,0.826623,0.22334,0.517352,0.161061
0,-23.7005,-7.1281,0.16028,0.140741,0.0335389,0.0509689,0.933637,0.232669,0.689791,0.118926
0,-22.1377,-3.11942,0.334047,0.971716,0.731025,0.403664,0.213161,0.919543,0.567154,0.552036
0,-24.6373,-4.93702,0.903972,0.0526929,0.0902788,0.794523,0.911114,0.0717214,0.606171,0.62443
0,-21.4943,-2.52811,0.92599,0.103619,0.349227,0.802774,0.190522,0.387696,0.582477,0.742698
0,-21.748,-2.91928,0.054293,0.381394,0.0808448,0.827198,0.387781,0.245484,0.547169,0.651766
0,-21.2333,-2.68139,0.598279,0.448304,0.910198,0.904939,0.0930792,0.413315,0.470196,0.542965
0,-20.1107,-1.63479,0.178204,0.268524,0.41599,0.687747,0.915148,0.476781,0.501977,0.520591
0,-21.5317,-2.52389,0.435973,0.900623,0.166296,0.0689042,0.625645,0.618069,0.709141,0.700792
0,-23.9093,-4.26695,0.0147847,0.455132,0.775327,0.466941,0.844686,0.726462,0.653256,0.233202
0,-22.8209,-3.57827,0.125644,0.936315,0.260193,0.888498,0.9237,0.444903,0.485002,0.480292
0,-24.8904,-6.81282,0.303126,0.100686,0.525198,0.496457,0.190211,0.518367,0.115734,0.438946
0,-21.9293,-3.5371,0.261512,0.182608,0.276223,0.706104,0.334418,0.984232,0.560005,0.469108
0,-27.5269,-8.27326,0.695054,0.558428,0.015406,0.513544,0.819104,0.251912,0.572605,0.982586
0,-24.2437,-6.30676,0.1473,0.537297,0.48412,0.285138,0.0478538,0.994333,0.566137,0.747266
0,-26.3507,-7.90743,0.995159,0.0756525,0.0610769,0.839245,0.796324,0.413174,0.603337,0.856614
0,-21.0936,-2.61773,0.140359,0.82279,0.269432,0.375312,0.862586,0.0929504,0.479625,0.659242
0,-23.6479,-4.63618,0.0297549,0.224524,0.550791,0.0197886,0.417128,0.355458,0.683732,0.715189
0,-19.3903,-0.84323,0.505628,0.87558,0.403272,0.731314,0.474094,0.599252,0.668817,0.489297
0,-23.269,-3.98725,0.317535,0.672464,0.768551,0.671068,0.971471,0.933785,0.683336,0.792431
0,-27.5785,-6.87382,0.834325,0.0711036,0.048017,0.0874174,0.667512,0.955377,0.58067,0.927605
0,-24.8568,-5.74213,0.0285913,0.903016,0.91951,0.0220849,0.427016,0.639515,0.57737,0.446128
0,-25.7505,-5.78053,0.305628,0.0252868,0.539943,0.124885,0.849059,0.140392,0.24726,0.719725
0,-23.0557,-4.0783,0.455724,0.640372,0.973839,0.778902,0.615338,0.946165,0.667886,0.766125
0,-23.9702,-5.58519,0.788794,0.595209,0.0528893,0.993532,0.64487,0.645807,0.642565,0.571342
0,-23.6987,-4.103,0.288186,0.219597,0.083413,0.794803,0.393112,0.0754656,0.657535,0.913143
0,-23.3573,-5.18362,0.543578,0.889317,0.235344,0.99417,0.501978,0.274687,0.472564,0.485257
0,-24.4437,-5.13418,0.0882329,0.556018,0.976308,0.134802,0.936385,0.67376,0.696658,0.740569
0,-25.9384,-6.7779,0.978626,0.735288,0.370019,0.976458,0.862012,0.196383,0.333366,0.327506
0,-21.9562,-3.29646,0.712186,0.831924,0.624878,0.537721,0.31587,0.977157,0.745986,0.659538
0,-26.1921,-4.88463,0.109449,0.487947,0.087327,0.046003,0.603762,0.878346,0.554451,0.902566
0,-21.1995,-2.24724,0.605583,0.846588,0.12596,0.710815,0.80086,0.173914,0.672128,0.768201
0,-19.7951,-1.91322,0.229803,0.111294,0.333166,0.179136,0.309244,0.551272,0.616891,0.256236
0,-24.7141,-4.67635,0.303254,0.9609,0.140269,0.802274,0.185711,0.0870809,0.804329,0.72605
0,-20.7496,-2.04378,0.816123,0.272941,0.513746,0.210282,0.244003,0.260766,0.36732,0.412901
0,-24.2721,-4.34308,0.68939,0.941006,0.0945192,0.889246,0.732119,0.0906173,0.755801,0.371451
0,-20.3329,-2.84495,0.902862,0.373863,0.691425,0.478332,0.533957,0.942414,0.619608,0.22995
0,-21.6096,-3.08162,0.0227178,0.606215,0.134227,0.600221,0.595376,0.452916,0.706335,0.66222
0,-24.8051,-5.68665,0.310246,0.42972,0.844593,0.934021,0.592815,0.990778,0.56648,0.836155
0,-24.5753,-4.22325,0.105486,0.408004,0.229783,0.353989,0.824004,0.452993,0.779466,0.940895
0,-24.2554,-3.40113,0.26192,0.899043,0.494275,0.586418,0.794243,0.913807,0.639269,0.144417
0,-19.8423,-1.63022,0.496222,0.341167,0.525147,0.241059,0.21395,0.712308,0.60581,0.185809
0,-20.7394,-2.8139,0.448334,0.624357,0.894808,0.337196,0.870687,0.568828,0.831952,0.531634
0,-21.8849,-2.35386,0.629815,0.936466,0.760771,0.670009,0.803909,0.786858,0.658279,0.302069
0,-27.0903,-6.80299,0.0168656,0.643276,0.395787,0.972968,0.885386,0.307655,0.657124,0.914163
0,-24.0694,-5.12872,0.822671,0.641426,0.572164,0.554556,0.712861,0.433576,0.906273,0.893595
0,-21.571,-2.43778,0.0757931,0.583251,0.151168,0.527223,0.791018,0.211718,0.557013,0.796034
0,-22.1978,-2.69783,0.846665,0.0926767,0.744039,0.897976,0.73192,0.532049,0.75103,0.594403
0,-20.4486,-1.71424,0.563603,0.224793,0.569334,0.213548,0.804961,0.759662,0.753453,0.741608
0,-19.9987,-1.65319,0.692198,0.367481,0.73692,0.631838,0.623671,0.0892355,0.440172,0.484959
0,-24.6788,-4.56191,0.0535642,0.193152,0.820659,0.962834,0.697564,0.463214,0.47873,0.224163
0,-23.9825,-4.84397,0.972088,0.892419,0.204366,0.575456,0.509656,0.048799,0.428752,0.729037
0,-24.8214,-6.73486,0.21054,0.775629,0.172518,0.622337,0.114681,0.00325533,0.665196,0.642308
0,-19.3749,-1.00826,0.189926,0.469474,0.772369,0.502585,0.693702,0.59152,0.498053,0.725722
0,-22.6961,-5.13891,0.316253,0.110306,0.0128559,0.592343,0.346862,0.777499,0.609055,0.180195
0,-21.6727,-3.08254,0.422362,0.728839,0.184671,0.0178292,0.684038,0.686628,0.565248,0.58542
0,-29.6833,-10.037,0.00697508,0.0721935,0.898299,0.269074,0.9907,0.181304,0.483866,0.242059
0,-25.0965,-5.93705,0.974456,0.573537,0.898072,0.0719498,0.720213,0.939317,0.404581,0.333222
0,-22.4788,-2.98924,0.611256,0.501424,0.317134,0.692017,0.0423474,0.130465,0.725875,0.292419
0,-24.245,-4.79138,0.569591,0.451094,0.0581355,0.803706,0.509458,0.939199,0.528351,0.935245
0,-22.737,-4.84683,0.420564,0.232265,0.397203,0.0366873,0.6821,0.722038,0.31232,0.138299
0,-25.655,-3.88235,0.468378,0.397953,0.408634,0.69613,0.787669,0.858706,0.436435,0.953007
0,-22.9664,-3.52105,0.375036,0.887534,0.38173,0.0560977,0.413102,0.444184,0.47451,0.139739
0,-19.8964,-1.08998,0.229544,0.587639,0.552738,0.694622,0.65771,0.764263,0.690634,0.33571
0,-21.924,-2.69772,0.118581,0.938427,0.812962,0.83511,0.646256,0.753024,0.603121,0.689425
0,-23.6938,-4.0912,0.846083,0.0326573,0.745805,0.466833,0.10448,0.784837,0.800211,0.504845
0,-24.614,-4.37134,0.0850086,0.205616,0.128526,0.640891,0.520595,0.0235862,0.668687,0.312444
0,-24.8104,-5.27772,0.255219,0.589696,0.902027,0.0627051,0.394804,0.508848,0.260944,0.159507
0,-20.8547,-2.5119,0.354978,0.705578,0.855478,0.912779,0.571183,0.144546,0.528388,0.804203
0,-27.7086,-7.97225,0.0811729,0.866898,0.729533,0.523876,0.128507,0.996192,0.69373,0.19645
0,-22.5681,-2.42659,0.708551,0.873805,0.44248,0.781359,0.750655,0.788386,0.621302,0.885221
0,-22.6297,-5.07546,0.608678,0.321659,0.00952537,0.195536,0.69271,0.228083,0.4547,0.276099
0,-20.6012,-1.74403,0.443023,0.587951,0.780857,0.618229,0.51564,0.0903611,0.451936,0.34458
0,-24.2344,-3.49261,0.459883,0.828969,0.64819,0.0793256,0.726738,0.862791,0.542862,0.914313
0,-23.049,-4.64059,0.530302,0.586079,0.317811,0.32737,0.209366,0.90683,0.760862,0.0661602
0,-25.0502,-6.58911,0.855139,0.311919,0.8228,0.155997,0.00814461,0.103002,0.683539,0.194534
0,-22.7967,-2.49185,0.387999,0.452245,0.795343,0.810657,0.480454,0.452561,0.458448,0.13175
0,-20.9356,-2.19202,0.476586,0.729083,0.272993,0.835421,0.610893,0.0561249,0.683362,0.685127
0,-23.7252,-4.33767,0.775646,0.0202124,0.113724,0.150586,0.775316,0.126383,0.644086,0.669041
0,-24.6847,-6.08044,0.925509,0.890309,0.348185,0.985786,0.870877,0.741386,0.622778,0.880695
0,-20.8412,-4.27883,0.818409,0.655286,0.147625,0.253701,0.920141,0.91632,0.779906,0.242358
0,-22.6575,-3.51501,0.83041,0.706069,0.917225,0.313506,0.496142,0.529234,0.54029,0.102991
0,-20.5751,-2.19276,0.89504,0.451061,0.254344,0.208759,0.767387,0.777577,0.645579,0.270304
0,-23.176,-3.88989,0.820916,0.11336,0.133558,0.70017,0.854803,0.0340263,0.608374,0.645888
0,-21.7035,-2.55989,0.474978,0.230475,0.906182,0.393857,0.0719795,0.422282,0.750317,0.664836
0,-23.4891,-3.32362,0.544607,0.0681539,0.883908,0.392152,0.791071,0.800282,0.348736,0.708394
0,-22.6303,-3.33642,0.452155,0.224611,0.236777,0.70319,0.547986,0.129705,0.758189,0.92321
0,-24.2607,-4.0784,0.446464,0.907545,0.207843,0.214446,0.0623633,0.085694,0.766828,0.347427
0,-25.4162,-6.03305,0.481708,0.248589,0.0926095,0.436333,0.248182,0.0651007,0.230161,0.899437
0,-24.3846,-5.6441,0.947245,0.446209,0.300101,0.00773252,0.819901,0.257312,0.710944,0.554442
0,-21.619,-3.60328,0.645255,0.847821,0.416775,0.945379,0.442352,0.237802,0.282514,0.538199
0,-24.6964,-4.81914,0.625572,0.86348,0.937872,0.783879,0.456405,0.866163,0.875723,0.524446
0,-22.5961,-3.50543,0.30747,0.258041,0.285778,0.975873,0.847264,0.18471,0.622109,0.755868
0,-24.2866,-3.9623,0.679758,0.0967847,0.212513,0.1736,0.878518,0.444642,0.265288,0.626607
0,-27.7795,-5.64229,0.186095,0.937401,0.79949,0.70729,0.374573,0.95452,0.556814,0.0815989
0,-20.6972,-2.05617,0.652674,0.948623,0.274935,0.563923,0.835885,0.439568,0.71072,0.527153
0,-25.0847,-4.91183,0.123127,0.384669,0.202399,0.329533,0.937455,0.786889,0.309536,0.169322
0,-19.5333,-1.22027,0.513757,0.762237,0.433428,0.764253,0.105366,0.323248,0.595386,0.662158
0,-22.991,-4.70156,0.729374,0.174375,0.0158583,0.268487,0.302867,0.431871,0.752294,0.236245
0,-21.5174,-2.90733,0.730377,0.946797,0.111475,0.163468,0.490063,0.270631,0.491133,0.73982
0,-25.3364,-4.49783,0.167326,0.793189,0.513886,0.170002,0.887228,0.0270157,0.556497,0.212371
0,-20.682,-1.94045,0.827597,0.598495,0.325576,0.837549,0.60722,0.9088,0.498418,0.640354
0,-22.7743,-3.78656,0.696143,0.950192,0.395537,0.427651,0.926895,0.0801271,0.50862,0.296711
0,-23.0177,-4.39426,0.576807,0.0366641,0.344036,0.665825,0.160284,0.545813,0.238506,0.658812
0,-24.7194,-5.55376,0.281793,0.968603,0.0978244,0.987035,0.541085,0.683987,0.535534,0.662753
0,-23.9805,-4.70307,0.109655,0.158111,0.913885,0.924113,0.0405403,0.367217,0.609429,0.771492
0,-22.8307,-4.18109,0.0827658,0.466219,0.083693,0.247587,0.12899,0.184389,0.315862,0.55546
0,-22.455,-4.34858,0.112018,0.672521,0.0453683,0.0503804,0.415074,0.426498,0.598021,0.212864
0,-24.8174,-5.63128,0.974927,0.463474,0.128249,0.382742,0.032671,0.145461,0.405833,0.730548
0,-20.6555,-1.74579,0.194462,0.812582,0.547092,0.65406,0.741549,0.892691,0.610211,0.738857
0,-22.0652,-3.85107,0.668235,0.387377,0.843068,0.446261,0.969833,0.948287,0.611821,0.41101
0,-24.7806,-3.20195,0.407264,0.247455,0.383676,0.105133,0.741078,0.773666,0.298453,0.792645
0,-29.5619,-9.98862,0.852476,0.208357,0.911265,0.0363659,0.0263999,0.0173479,0.236425,0.496835
0,-23.5374,-4.28695,0.216534,0.776456,0.404904,0.339259,0.296312,0.0430927,0.851731,0.789192
0,-23.6819,-4.95184,0.453197,0.922741,0.857394,0.889156,0.31742,0.645715,0.585209,0.959085
0,-23.9488,-4.62694,0.609174,0.0876041,0.0542695,0.232687,0.13016,0.0403708,0.642949,0.729973
0,-20.8175,-1.99429,0.120334,0.349968,0.82293,0.243073,0.32761,0.143574,0.704558,0.529781
